pair,station.depth,t,t.rf,t.lm,,,,,,GRR1,7.815214826,,,,,,,,,,time period,station,temperature (°C)
1961-1990,USC00200779.0,7.115349979,7.148630839,7.080087574,,,,,,,,,,,,station,t.lm,t.rf,,,1961-1990,Cadillac,5.8
1961-1990,USW00014817.0,5.844101501,5.957090696,6.100481621,,,,,,Cadillac to Normals,-1.463997039,,,,,GRR1,7.466491131,8.146048642,,,cadillac X GRR1,GRR1.50,7.8
1961-1990,USW00014850.0,7.016939165,7.142197143,7.369433641,,,,,,Cadillac to GRR1,0.507116286,,,,,GRR2,8.787596902,9.101756698,,,cadillac X GRR1,Cadillac,7.3
GRR1 X cadillac,GRR1.10,7.872273057,8.152529795,8.026990752,,,,,,Cadillac0,7.30809854,,,,,GRR5,8.388438281,8.770253302,,,adjusted to 1990,GRR1.50,6.3
GRR1 X cadillac,GRR1.50,7.815214826,8.079331053,7.810954275,,,,,,Adjusted GRR1,6.351217787,,,,,GRR6,8.68871429,9.302796043,,,time period,station,temperature (°C)
GRR1 X cadillac,USW00014817.0,7.30809854,7.216234018,7.065734426,,,,,,,,,,,,,,,,,1961-1990,Cadillac,5.8
aetna X GRR6,GRR6.50,9.265225515,9.539147653,9.198580188,,,,,,Traverse to Normals,-2.178150915,,,,,,,,,,cadillac X GRR2,GRR2.50,9.1
aetna X GRR6,aetna.50,10.42025104,10.54308891,10.61213299,,,,,,Traverse to ElkRapids0,-1.068343476,,,,,,,,,,cadillac X GRR2,Cadillac,7.1
aetna X bigrapids,USC00200779.0,7.807830846,7.970480696,8.138362016,,,,,,Surface to 50 cm,2.131238487,,,,,,,,,,adjusted to 1990,GRR2.50,7.8
aetna X bigrapids,aetna.0,8.945675428,8.97395994,8.69901002,,,,,,ElkRapids50 to GRR1,-2.434219754,,,,,,,,,,time period,station,temperature (°C)
elkrapids X GRR1,GRR1.50,7.823765337,8.082463906,7.805084524,,,,,,ElkRapids50,10.25798509,,,,,,,,,,1961-1990,Big Rapids,7.1
elkrapids X GRR1,elkrapids.50,10.25798509,10.31348785,10.00691441,,,,,,Adjusted GRR1,6.708509433,,,,,,,,,,bigrapids X GRR5,GRR5.50,9.0
elkrapids X traverse,USW00014850.0,9.19509008,8.711083219,8.419194725,,,,,,,,,,,,,,,,,bigrapids X GRR5,Big Rapids,7.8
elkrapids X traverse,elkrapids.0,8.126746605,8.193174257,8.258409691,,,,,,,,,,,,,,,,,adjusted to 1990,GRR5.50,8.3
,,,,,,,,,,GRR6,9.265225515,,,,,,,,,,time period,station,temperature (°C)
,,,,,,,,,,,,,,,,,,,,,1961-1990,Big Rapids,7.1
pair,station.depth,t,t.rf,t.lm,,,,,,aetna to bigrapids,1.137844581,,,,,,,,,,bigrapids X GRR6,GRR6.50,9.3
1961-1990,USC00200779.0,7.115349979,7.143950369,7.084222462,,,,,,bigrapids to normals,-0.692480868,,,,,,,,,,bigrapids X GRR6,Big Rapids,8.0
1961-1990,USW00014817.0,5.844101501,5.961567146,6.105134053,,,,,,GRR6 to aetna,-1.155025529,,,,,,,,,,adjusted to 1990,GRR6.50,8.3
1961-1990,USW00014850.0,7.016939165,7.146773325,7.369634441,,,,,,aetna50,8.945675428,,,,,,,,,,,,
aetna X GRR6,GRR6.50,9.265225515,9.529482679,9.268993035,,,,,,Adjusted GRR6,8.236013613,,,,,,,,,,,,
aetna X GRR6,aetna.50,10.42025104,10.54916164,10.76332152,,,,,,,,,,,,,,,,,,,
aetna X bigrapids,USC00200779.0,7.807830846,7.968140587,8.13852555,,,,,,,,,,,,,,,,,,,
aetna X bigrapids,aetna.0,8.945675428,8.968653448,8.697087539,,,,,,,,,,,,,,,,,,,
bigrapids X GRR5,GRR5.50,8.967906625,9.029341199,8.941406185,,,,,,,,,,,,,,,,,,,
bigrapids X GRR5,USC00200779.0,7.831487778,7.985329301,8.157142378,,,,,,,,,,,,,,,,,,,
bigrapids X GRR6,GRR6.50,9.274502406,9.533401114,9.272861599,,,,,,,,,,,,,,,,,,,
bigrapids X GRR6,USC00200779.0,8.041447312,8.185154937,8.340835303,,,,,,,,,,,,,,,,,,,
cadillac X GRR1,GRR1.50,7.803161535,8.06066803,7.815229877,,,,,,,,,,,,,,,,,,,
cadillac X GRR1,USW00014817.0,7.304993685,7.207790482,7.067844445,,,,,,,,,,,,,,,,,,,
cadillac X GRR2,GRR2.50,9.07192054,9.151657731,9.046430234,,,,,,,,,,,,,,,,,,,
cadillac X GRR2,USW00014817.0,7.106598321,7.020190389,6.922931635,,,,,,,,,,,,,,,,,,,
elkrapids X GRR1,GRR1.50,7.823765337,8.075658595,7.823963117,,,,,,,,,,,,,,,,,,,
elkrapids X GRR1,elkrapids.50,10.25798509,10.32050913,10.14675684,,,,,,,,,,,,,,,,,,,
elkrapids X traverse,USW00014850.0,9.19509008,8.713732682,8.414866386,,,,,,,,,,,,,,,,,,,
elkrapids X traverse,elkrapids.0,8.126746605,8.19840229,8.235091485,,,,,,,,,,,,,,,,,,,
