"pair","station.depth","t","t.rf","t.lm"
"1961-1990","USC00200779.0",7.11534997892477,7.14395036887131,7.08422246174113
"1961-1990","USW00014817.0",5.84410150060642,5.96156714645785,6.1051340532142
"1961-1990","USW00014850.0",7.01693916473208,7.14677332466244,7.3696344412865
"aetna X GRR6","GRR6.50",9.26522551472846,9.52948267945882,9.26899303512411
"aetna X GRR6","aetna.50",10.4202510436166,10.549161635812,10.7633215154709
"aetna X bigrapids","USC00200779.0",7.80783084642566,7.96814058696872,8.13852555005344
"aetna X bigrapids","aetna.0",8.94567542780389,8.96865344783008,8.69708753892241
"bigrapids X GRR5","GRR5.50",8.96790662522204,9.02934119905304,8.94140618450496
"bigrapids X GRR5","USC00200779.0",7.83148777765048,7.98532930101351,8.15714237827874
"bigrapids X GRR6","GRR6.50",9.27450240570947,9.53340111410397,9.27286159863914
"bigrapids X GRR6","USC00200779.0",8.04144731157891,8.18515493741994,8.34083530349226
"cadillac X GRR1","GRR1.50",7.8031615346172,8.06066802963723,7.81522987718085
"cadillac X GRR1","USW00014817.0",7.30499368484873,7.20779048177284,7.06784444541451
"cadillac X GRR2","GRR2.50",9.07192054023909,9.15165773086715,9.0464302344397
"cadillac X GRR2","USW00014817.0",7.10659832054042,7.02019038872791,6.92293163458228
"elkrapids X GRR1","GRR1.50",7.82376533733943,8.07565859475358,7.82396311746203
"elkrapids X GRR1","elkrapids.50",10.2579850912789,10.3205091295548,10.146756843166
"elkrapids X traverse","USW00014850.0",9.19509008017397,8.71373268217231,8.41486638569473
"elkrapids X traverse","elkrapids.0",8.12674660460907,8.19840229036515,8.23509148527529
