"station","lat","lon","elev","depth","forest","t.rf","t.best","t"
"GRR1",44.3602778,-85.6794444,502,0,"open",6.3370949614289,6.3370949614289,NA
"GRR1",44.3602778,-85.6794444,502,10,"forest",8.08002379812031,8.08002379812031,NA
"GRR1",44.3602778,-85.6794444,502,10,"open",8.56151029143565,8.56151029143565,NA
"GRR1",44.3602778,-85.6794444,502,50,"forest",7.97137584611121,7.97137584611121,NA
"GRR1",44.3602778,-85.6794444,502,50,"open",8.49097025228449,8.49097025228449,NA
"GRR2",44.3701389,-85.7571111,286,0,"open",7.1834385486008,7.1834385486008,NA
"GRR2",44.3701389,-85.7571111,286,10,"forest",8.99594204377506,8.99594204377506,NA
"GRR2",44.3701389,-85.7571111,286,10,"open",9.46983977264842,9.46983977264842,NA
"GRR2",44.3701389,-85.7571111,286,50,"forest",8.97827255156057,8.97827255156057,NA
"GRR2",44.3701389,-85.7571111,286,50,"open",9.40800009408806,9.40800009408806,NA
"GRR5",43.68175,-85.5799722,401,0,"open",6.81831448970585,6.81831448970585,NA
"GRR5",43.68175,-85.5799722,401,10,"forest",8.65880536830816,8.65880536830816,NA
"GRR5",43.68175,-85.5799722,401,10,"open",9.0429388107346,9.0429388107346,NA
"GRR5",43.68175,-85.5799722,401,50,"forest",8.72088438392757,8.72088438392757,NA
"GRR5",43.68175,-85.5799722,401,50,"open",9.16177519581674,9.16177519581674,NA
"GRR6",43.631,-85.7725278,285,0,"open",7.54760584910836,7.54760584910836,NA
"GRR6",43.631,-85.7725278,285,10,"forest",9.17316094231829,9.17316094231829,NA
"GRR6",43.631,-85.7725278,285,10,"open",9.75815213882595,9.75815213882595,NA
"GRR6",43.631,-85.7725278,285,50,"forest",9.18012725526816,9.18012725526816,NA
"GRR6",43.631,-85.7725278,285,50,"open",9.74821352603582,9.74821352603582,NA
"USC00200146",43.3869,-84.6481,221.9,0,"open",8.29476306275305,8.34218150753021,8.39977595220314
"USC00200146",43.3869,-84.6481,221.9,10,"forest",9.57865613174583,9.57865613174583,NA
"USC00200146",43.3869,-84.6481,221.9,10,"open",9.75398240483335,9.75398240483335,NA
"USC00200146",43.3869,-84.6481,221.9,50,"forest",9.72711521172769,9.72711521172769,NA
"USC00200146",43.3869,-84.6481,221.9,50,"open",9.90644425882755,9.90644425882755,NA
"USC00200230",42.2981,-83.6639,247.8,0,"open",9.60912882536685,9.68549511726483,9.77388490548468
"USC00200230",42.2981,-83.6639,247.8,10,"forest",10.9025418154339,10.9025418154339,NA
"USC00200230",42.2981,-83.6639,247.8,10,"open",11.0528482525349,11.0528482525349,NA
"USC00200230",42.2981,-83.6639,247.8,50,"forest",10.8506385595722,10.8506385595722,NA
"USC00200230",42.2981,-83.6639,247.8,50,"open",10.9940128351451,10.9940128351451,NA
"USC00200552",42.3678,-85.2633,281.3,0,"open",8.98527241086609,8.9646708249737,8.97043502101992
"USC00200552",42.3678,-85.2633,281.3,10,"forest",10.6616061896521,10.6616061896521,NA
"USC00200552",42.3678,-85.2633,281.3,10,"open",10.7984919085243,10.7984919085243,NA
"USC00200552",42.3678,-85.2633,281.3,50,"forest",10.6303245976191,10.6303245976191,NA
"USC00200552",42.3678,-85.2633,281.3,50,"open",10.7664480254606,10.7664480254606,NA
"USC00200710",42.1244,-86.4267,190.5,0,"open",9.47744642318991,9.50932216942149,9.53925044672247
"USC00200710",42.1244,-86.4267,190.5,10,"forest",11.3771490493492,11.3771490493492,NA
"USC00200710",42.1244,-86.4267,190.5,10,"open",11.5228696977738,11.5228696977738,NA
"USC00200710",42.1244,-86.4267,190.5,50,"forest",11.2712044409556,11.2712044409556,NA
"USC00200710",42.1244,-86.4267,190.5,50,"open",11.4209172377236,11.4209172377236,NA
"USC00200779",43.7072,-85.4819,273.7,0,"open",7.21527727798287,7.19626025812491,7.23248066349828
"USC00200779",43.7072,-85.4819,273.7,10,"forest",8.88454458523042,8.88454458523042,NA
"USC00200779",43.7072,-85.4819,273.7,10,"open",9.34535503883348,9.34535503883348,NA
"USC00200779",43.7072,-85.4819,273.7,50,"forest",8.88655081275734,8.88655081275734,NA
"USC00200779",43.7072,-85.4819,273.7,50,"open",9.36204753945218,9.36204753945218,NA
"USC00200864",42.3839,-85.9625,224.3,0,"open",8.67538495793078,8.58995471257042,8.4128696169875
"USC00200864",42.3839,-85.9625,224.3,10,"forest",10.9217236276849,10.9217236276849,NA
"USC00200864",42.3839,-85.9625,224.3,10,"open",11.0802853682925,11.0802853682925,NA
"USC00200864",42.3839,-85.9625,224.3,50,"forest",10.8317114840172,10.8317114840172,NA
"USC00200864",42.3839,-85.9625,224.3,50,"open",10.9906284529436,10.9906284529436,NA
"USC00200925",45.1672,-84.9139,221.9,0,"open",7.1555089542432,6.99568249545969,7.11686808589756
"USC00200925",45.1672,-84.9139,221.9,10,"forest",8.6356382922812,8.6356382922812,NA
"USC00200925",45.1672,-84.9139,221.9,10,"open",8.78572723760398,8.78572723760398,NA
"USC00200925",45.1672,-84.9139,221.9,50,"forest",8.71742734779523,8.71742734779523,NA
