
	Warning... 
	   Date Selected:                 20190101:2400
	   First Entry In Datebase:       20190410:2400
	   ...Resetting Date Selected To: 20190410:2400
aetna
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,rpet,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
04/10/2019,6.4,-0.0,0.5,-6.2,0.00,1.483,9027.1,,,,
04/11/2019,4.3,-1.3,-0.4,-6.3,0.25,1.026,6076.1,,,,
04/12/2019,9.7,2.3,7.1,-3.4,7.62,1.968,14912.6,,,,
04/13/2019,7.2,0.8,-1.8,-4.9,0.00,1.962,15024.8,,,,
04/14/2019,2.8,-1.1,-0.3,-3.4,0.25,0.494,3824.5,,,,
04/15/2019,8.3,-3.1,0.3,-10.2,6.35,2.914,27438.7,,,,
04/16/2019,14.0,1.2,10.1,-7.6,7.11,1.232,8526.0,,,,
04/17/2019,13.7,3.3,10.8,3.3,4.32,0.859,7625.7,,,,
04/18/2019,16.7,3.1,13.4,2.6,3.81,0.629,3212.7,,,,
04/19/2019,12.6,3.2,5.3,-3.0,0.00,2.098,14414.8,,,,
04/20/2019,19.8,-0.0,4.1,-12.2,0.00,4.873,28121.6,,,,
04/21/2019,22.3,5.6,5.9,-3.4,0.00,4.236,22073.4,,,,
04/22/2019,25.7,10.4,11.2,-0.1,0.00,5.529,22948.3,,,,
04/23/2019,18.6,3.7,12.3,-2.7,5.33,1.547,12507.4,,,,
04/24/2019,17.9,0.0,5.7,-3.4,0.00,4.047,27523.4,,,,
04/25/2019,21.6,2.9,7.1,0.3,0.00,4.624,25975.2,,,,
04/26/2019,13.6,3.8,8.7,-2.5,0.25,3.318,22658.3,,,,
04/27/2019,7.4,-1.1,-2.1,-9.4,0.00,2.118,13201.1,,,,
04/28/2019,14.2,-1.8,-3.1,-8.9,0.00,4.109,27987.6,,,,
04/29/2019,6.3,1.2,4.0,-5.5,5.33,1.012,4470.4,,,,
04/30/2019,6.1,3.8,4.9,3.1,9.40,0.602,4475.5,,,,
05/01/2019,11.2,4.0,10.4,3.8,24.64,0.617,4116.7,,,,
05/02/2019,8.4,4.8,8.3,4.6,12.70,0.553,3793.7,,,,
05/03/2019,14.3,4.9,9.3,3.2,0.00,1.988,13625.7,,,,
05/04/2019,19.1,4.3,6.8,0.4,0.00,4.357,28242.5,,,,
05/05/2019,21.4,4.2,9.9,2.0,0.00,4.394,25776.7,,,,
05/06/2019,13.6,8.2,11.8,5.8,5.33,1.117,6845.5,,,,
05/07/2019,16.2,5.4,6.6,-2.5,0.00,3.215,18606.5,,,,
05/08/2019,13.9,3.8,3.8,-3.1,0.00,2.847,10747.2,,,,
05/09/2019,18.3,7.0,16.4,1.7,26.67,1.359,7256.4,,,,
05/10/2019,11.2,3.5,6.5,-1.5,0.00,2.649,22642.9,,,,
05/11/2019,12.2,0.7,3.7,-1.4,0.00,2.118,13012.7,,,,
05/12/2019,13.2,5.6,6.3,-1.6,0.00,1.947,10601.4,,,,
05/13/2019,16.4,5.6,5.6,0.3,0.00,2.768,16490.8,,,,
05/14/2019,20.1,2.1,5.3,-0.7,0.00,4.872,29371.8,,,,
05/15/2019,22.5,7.4,11.1,0.0,0.00,4.815,26106.2,,,,
05/16/2019,22.6,8.0,16.4,4.8,0.00,2.495,14188.6,,,,
05/17/2019,21.1,9.6,13.2,-0.0,0.00,4.186,23835.9,,,,
05/18/2019,21.3,8.8,17.6,1.8,1.27,2.090,12027.8,,,,
05/19/2019,20.5,10.4,18.0,8.3,21.08,1.603,8919.9,,,,
05/20/2019,11.7,5.3,8.4,2.3,0.00,1.545,11826.9,,,,
05/21/2019,17.9,2.8,6.7,1.5,0.00,3.785,21767.4,,,,
05/22/2019,22.6,8.7,16.1,1.8,6.35,3.473,18322.2,,,,
05/23/2019,20.4,11.6,17.8,8.3,7.62,4.522,28139.2,,,,
05/24/2019,16.8,8.1,13.7,7.1,0.25,1.390,7794.6,,,,
05/25/2019,24.2,14.1,19.9,12.7,11.68,3.251,19378.1,,,,
05/26/2019,24.4,12.7,14.7,7.2,0.00,4.462,23740.8,,,,
05/27/2019,22.6,9.6,15.6,7.6,7.37,3.028,16406.7,,,,
05/28/2019,15.9,11.3,13.4,10.9,4.32,1.017,5667.0,,,,
05/29/2019,21.8,11.9,14.5,10.8,0.00,3.329,19788.2,,,,
05/30/2019,21.3,10.1,14.6,9.4,0.00,1.852,9932.7,,,,
05/31/2019,26.2,9.5,16.9,8.3,0.00,4.992,26682.9,,,,
06/01/2019,20.3,10.9,16.6,9.6,3.56,1.951,11583.7,,,,
06/02/2019,18.7,7.8,10.1,-1.8,0.00,4.841,30766.9,,,,
06/03/2019,19.3,2.7,5.9,-1.1,0.00,4.679,30564.1,,,,
06/04/2019,22.1,7.1,15.0,2.3,3.81,3.483,19140.5,,,,
06/05/2019,24.0,15.3,19.5,14.0,9.40,3.065,17491.2,,,,
06/06/2019,26.7,13.7,18.4,10.6,0.00,4.288,22926.3,,,,
06/07/2019,28.1,12.2,16.3,6.7,0.00,6.180,30946.0,,,,
06/08/2019,27.0,11.9,14.7,7.7,0.00,5.901,28427.3,,,,
06/09/2019,18.8,14.7,18.0,10.1,44.96,1.233,4892.7,,,,
06/10/2019,19.1,11.0,18.1,5.1,1.78,2.514,15762.5,,,,
06/11/2019,25.0,7.8,12.4,5.0,0.00,4.945,27374.0,,,,
06/12/2019,,,,,,,,,,,
06/13/2019,16.5,9.1,13.0,2.3,9.65,2.155,14365.1,17.5,15.1,16.5,15.7
06/14/2019,18.9,6.3,13.0,4.1,3.81,1.954,9757.9,15.4,12.6,15.7,14.8
06/15/2019,21.1,14.6,16.2,8.9,0.00,2.254,10193.8,17.7,14.4,15.0,14.6
06/16/2019,15.3,13.1,13.4,5.3,1.02,1.635,5873.0,16.9,14.9,15.2,14.9
06/17/2019,23.3,12.4,16.0,8.4,0.00,4.239,24706.0,20.8,14.1,15.4,14.6
06/18/2019,25.6,12.7,17.9,10.7,0.00,4.258,23414.1,22.6,16.5,16.5,15.3
06/19/2019,20.8,14.8,18.2,13.4,2.79,1.581,8657.8,20.4,17.7,16.8,16.4
06/20/2019,22.9,14.1,16.5,10.4,8.13,3.048,17100.1,20.4,17.2,16.8,16.5
06/21/2019,25.9,9.8,13.2,7.1,0.00,5.395,29898.2,23.4,15.6,17.2,16.4
06/22/2019,25.0,11.3,14.4,7.7,0.00,5.775,30679.9,23.8,16.4,17.5,16.9
06/23/2019,26.4,12.5,17.1,9.0,0.00,4.811,23685.4,23.5,17.1,17.8,17.2
06/24/2019,21.9,15.0,20.3,14.5,14.99,1.063,4846.3,21.1,19.2,18.1,17.7
06/25/2019,25.4,14.3,18.4,13.5,0.51,4.230,24518.8,23.2,17.3,18.0,17.4
06/26/2019,26.9,15.7,18.2,12.7,0.00,5.317,28557.2,25.3,17.9,18.6,17.8
06/27/2019,29.4,15.2,21.5,13.7,0.00,5.837,29514.5,27.6,19.0,19.4,18.5
06/28/2019,27.0,17.0,21.8,15.7,9.65,2.991,15600.0,24.4,20.6,20.0,19.3
06/29/2019,29.9,16.2,21.0,15.6,0.00,5.762,29784.1,27.5,19.8,20.1,19.3
06/30/2019,28.3,17.6,21.8,12.9,0.00,4.418,22618.4,26.5,21.2,20.5,20.0
07/01/2019,29.8,17.2,22.2,16.5,0.00,4.889,24901.2,28.1,21.2,20.9,20.3
07/02/2019,29.0,19.6,23.9,18.4,7.11,3.035,14900.0,26.4,22.3,21.2,20.8
07/03/2019,30.7,18.9,21.7,16.9,0.00,5.356,27404.8,28.5,21.9,21.5,20.9
07/04/2019,30.9,19.0,24.1,16.8,0.00,5.601,27872.6,29.7,22.2,22.0,21.3
07/05/2019,30.9,21.4,24.1,20.4,0.00,5.172,25782.8,30.1,23.7,22.6,21.9
07/06/2019,30.0,19.4,21.0,12.9,0.00,5.509,26171.5,29.4,23.5,22.8,22.3
07/07/2019,27.8,17.0,16.8,11.9,0.00,5.314,26749.7,28.8,22.8,22.9,22.1
07/08/2019,27.0,13.3,16.3,9.9,0.00,4.853,26042.5,27.9,21.2,22.6,21.7
07/09/2019,28.3,13.3,18.7,11.0,0.00,5.489,29068.8,28.7,20.6,22.2,21.4
07/10/2019,30.8,18.8,25.1,14.8,0.00,5.593,27061.7,29.6,22.4,22.4,21.7
07/11/2019,25.0,13.7,19.1,11.2,0.00,4.567,25386.7,27.4,22.8,22.6,22.1
07/12/2019,26.9,10.0,15.8,8.8,0.00,5.413,29879.3,27.9,19.9,22.4,21.4
07/13/2019,29.8,17.3,22.8,12.8,0.00,5.359,26440.6,28.2,21.7,22.1,21.5
07/14/2019,29.3,13.9,16.9,8.6,0.00,5.610,29838.5,28.8,21.1,22.2,21.6
07/15/2019,30.6,16.8,23.9,13.2,0.00,5.121,24198.8,28.6,22.2,22.4,21.8
07/16/2019,29.1,20.0,22.8,17.0,0.00,3.321,15244.7,27.0,23.2,22.5,22.1
07/17/2019,31.7,19.5,22.9,18.1,0.00,4.870,23894.9,29.3,22.8,22.7,22.0
07/18/2019,29.5,18.9,21.5,16.9,0.25,2.999,13199.7,26.5,23.5,22.9,22.3
07/19/2019,33.0,22.4,24.7,19.0,0.00,4.644,21412.4,29.1,23.5,22.8,22.2
07/20/2019,28.4,19.0,24.1,18.6,30.99,1.103,4193.4,26.8,22.6,23.0,22.4
07/21/2019,32.9,17.7,23.9,12.0,0.00,5.653,26700.0,26.0,21.7,22.4,21.7
07/22/2019,28.5,11.8,16.6,9.3,0.00,5.401,27417.2,24.8,20.4,22.2,21.4
07/23/2019,27.8,9.4,18.5,9.0,0.00,4.885,25272.1,24.4,19.0,21.7,20.8
07/24/2019,31.6,0.0,18.6,0.0,0.00,5.284,8382.0,25.3,0.0,20.9,0.0
07/25/2019,31.8,11.7,20.5,11.3,0.00,5.364,26001.5,26.0,19.8,21.1,20.5
07/26/2019,32.2,13.5,20.4,12.3,0.00,4.952,23246.8,25.5,20.3,21.2,20.8
07/27/2019,31.8,19.3,21.3,15.6,0.00,4.367,18553.7,25.6,21.8,21.4,21.0
07/28/2019,34.3,17.3,25.8,16.9,1.02,5.333,25348.8,27.2,21.7,21.9,21.2
07/29/2019,31.0,17.3,22.5,16.1,0.00,2.950,13744.6,25.0,22.8,22.0,21.7
07/30/2019,30.8,12.6,20.2,11.2,0.00,5.275,26220.4,26.0,21.4,21.9,21.4
07/31/2019,31.0,9.1,14.7,6.9,0.00,5.525,29058.0,25.5,19.7,21.8,21.0
08/01/2019,33.1,10.4,18.0,9.9,0.00,5.723,28223.3,26.2,19.9,21.5,20.9
08/02/2019,34.3,10.5,19.3,9.7,0.00,5.468,26788.8,26.4,20.2,21.5,20.9
08/03/2019,34.1,12.2,20.8,11.7,0.00,5.527,25474.2,26.9,20.8,21.6,21.1
08/04/2019,34.8,0.0,22.0,0.0,0.00,4.700,21919.2,26.2,0.0,21.8,0.0
08/05/2019,33.9,11.2,22.0,10.4,5.84,4.909,22589.7,26.1,20.6,21.9,21.3
08/06/2019,33.0,0.0,24.2,0.0,10.16,3.721,18101.9,25.1,0.0,21.8,0.0
08/07/2019,32.8,13.5,21.5,13.2,13.21,5.444,25787.9,25.4,20.4,21.6,21.0
08/08/2019,29.1,12.4,22.6,10.4,8.13,4.855,24503.1,24.1,21.3,21.6,21.1
08/09/2019,29.6,11.0,18.4,10.1,0.00,5.073,25858.6,23.1,19.3,21.4,20.6
08/10/2019,30.2,11.2,19.3,10.9,0.00,4.695,24059.6,23.1,19.0,20.9,20.3
08/11/2019,32.7,10.8,20.8,10.4,0.00,3.802,18016.8,23.5,19.1,20.7,20.1
08/12/2019,35.7,17.2,22.8,16.1,0.00,4.109,19575.9,25.1,21.1,21.0,20.4
08/13/2019,32.7,16.1,19.0,10.4,0.00,4.649,21833.6,25.0,21.1,21.2,20.8
08/14/2019,29.5,13.3,18.3,10.8,0.51,2.588,11633.2,23.2,20.8,21.3,20.8
08/15/2019,28.9,13.2,18.3,12.2,0.00,3.159,16133.7,22.3,19.6,20.9,20.3
08/16/2019,32.2,10.1,19.0,9.7,25.40,3.830,18691.7,22.9,18.6,20.5,19.9
08/17/2019,32.7,14.5,25.2,14.2,4.83,4.291,21882.9,23.4,19.3,20.4,19.9
08/18/2019,,,,,13.72,,10189.9,22.3,20.6,20.6,20.3
08/19/2019,32.4,14.4,20.1,12.8,0.00,5.137,25506.9,23.7,19.9,20.6,20.1
08/20/2019,30.7,13.9,23.8,13.6,0.00,2.989,14488.4,23.1,19.9,20.7,20.2
08/21/2019,29.2,0.0,22.1,0.0,0.00,3.341,5000.5,23.7,0.0,20.9,0.0
08/22/2019,22.9,12.0,14.1,8.5,0.00,3.932,22587.1,21.9,19.6,20.9,20.3
08/23/2019,23.1,8.5,12.7,7.6,0.00,3.973,23746.1,21.3,17.8,20.5,19.7
08/24/2019,23.4,10.2,13.2,8.7,0.00,4.396,25559.5,21.8,17.7,19.9,19.4
08/25/2019,25.1,11.0,16.1,10.1,0.00,3.959,22141.5,22.0,18.1,19.7,19.3
08/26/2019,23.2,14.6,19.0,11.9,8.89,1.889,8034.2,20.6,18.8,19.7,19.3
08/27/2019,24.5,17.1,20.1,12.6,1.27,4.087,23210.1,22.5,19.5,19.7,19.2
08/28/2019,21.2,12.6,14.2,9.8,0.00,2.628,15287.1,20.9,18.5,19.8,19.3
08/29/2019,25.4,11.0,19.4,10.2,15.24,3.238,18244.0,20.4,17.1,19.4,18.8
08/30/2019,21.4,11.0,15.3,6.3,0.00,3.761,23052.3,20.3,17.4,19.1,18.7
08/31/2019,22.0,8.0,12.0,6.6,0.00,3.356,19405.8,19.3,16.1,18.9,18.2
09/01/2019,20.4,12.4,14.9,10.1,0.00,2.320,12848.1,19.3,17.2,18.5,18.2
09/02/2019,24.8,13.8,18.9,13.1,0.00,2.769,15052.3,20.5,17.5,18.5,18.2
09/03/2019,23.4,15.2,20.0,13.2,0.00,1.388,5843.2,19.8,18.2,18.6,18.4
09/04/2019,19.9,9.6,15.5,8.2,0.00,1.984,10973.0,19.3,17.5,18.6,18.3
09/05/2019,21.9,6.9,13.6,6.2,0.51,3.641,22608.2,19.3,15.3,18.3,17.6
09/06/2019,20.6,12.9,17.7,12.0,1.02,1.014,5029.1,18.4,17.1,17.9,17.7
09/07/2019,21.6,9.9,16.3,9.3,0.00,2.053,12547.5,18.4,16.1,17.9,17.5
09/08/2019,17.8,10.0,13.1,9.2,0.00,1.613,9447.7,17.7,16.0,17.7,17.3
09/09/2019,17.1,10.9,14.0,6.3,0.00,1.587,9438.0,17.4,15.7,17.4,16.9
09/10/2019,26.1,14.4,22.9,12.6,11.68,1.805,8803.2,19.8,16.5,17.3,16.9
09/11/2019,27.2,16.2,24.4,15.8,36.32,1.548,8244.7,20.9,17.7,18.2,17.3
09/12/2019,19.3,14.4,18.9,13.2,0.25,1.248,7183.5,19.9,18.1,18.3,18.0
09/13/2019,24.9,15.8,21.3,11.3,38.86,2.329,12051.7,20.2,17.9,18.1,17.8
09/14/2019,20.9,11.0,14.1,8.9,0.00,3.438,21244.1,19.4,16.9,18.2,17.8
09/15/2019,20.3,14.7,18.4,13.1,2.79,0.933,4274.5,19.0,17.7,18.0,17.8
09/16/2019,26.7,16.5,19.3,15.2,0.00,3.167,17130.1,21.1,18.4,18.4,17.9
09/17/2019,24.9,14.7,18.4,13.9,0.00,2.843,16124.2,20.9,18.4,18.6,18.3
09/18/2019,26.4,14.2,19.5,12.9,0.00,3.670,19848.9,21.1,17.8,18.6,18.3
09/19/2019,27.9,14.1,19.1,11.7,0.00,3.184,16415.6,20.8,17.9,18.7,18.4
09/20/2019,28.9,15.2,21.0,14.2,0.00,3.473,18429.1,21.9,18.6,19.0,18.6
09/21/2019,27.3,16.7,22.7,15.9,0.76,2.092,10456.0,21.2,19.1,19.2,18.9
09/22/2019,21.8,18.4,20.2,17.9,19.81,0.665,2187.7,20.6,20.0,19.3,19.1
