
	Warning... 
	   Date Selected:                 20150101:2400
	   First Entry In Datebase:       20150301:2400
	   ...Resetting Date Selected To: 20150301:2400
allegan
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
03/01/2015,-4.4,-20.0,,,,
03/02/2015,-1.7,-6.1,,,,
03/03/2015,0.0,-9.4,,,,
03/04/2015,1.1,-5.0,,,,
03/05/2015,-1.7,-17.2,,,,
03/06/2015,-6.1,-17.8,,,,
03/07/2015,-3.9,-17.2,,,,
03/08/2015,6.7,-9.4,,,,
03/09/2015,5.0,-5.6,,,,
03/10/2015,7.2,0.0,,,,
03/11/2015,8.3,-1.7,,,,
03/12/2015,9.4,-4.4,,,,
03/13/2015,8.9,-2.8,,,,
03/14/2015,12.8,-1.1,,,,
03/15/2015,6.1,-3.3,,,,
03/16/2015,11.1,-2.8,,,,
03/17/2015,17.8,1.7,,,,
03/18/2015,4.4,-3.9,,,,
03/19/2015,8.3,-3.3,,,,
03/20/2015,6.1,-2.8,,,,
03/21/2015,10.6,-2.8,,,,
03/22/2015,8.9,-3.3,,,,
03/23/2015,3.3,-2.8,,,,
03/24/2015,3.9,-6.7,,,,
03/25/2015,7.2,-7.2,,,,
03/26/2015,5.0,0.6,,,,
03/27/2015,4.4,-6.1,,,,
03/28/2015,0.0,-10.6,,,,
03/29/2015,2.8,-10.6,,,,
03/30/2015,6.1,-4.4,,,,
03/31/2015,12.2,-4.4,,,,
04/01/2015,21.1,-1.1,,,,
04/02/2015,17.6,5.8,2.54,11.5,9.2,4779.3
04/03/2015,10.5,-0.3,0.00,9.4,6.6,6615.5
04/04/2015,12.0,-6.0,0.00,8.9,3.2,21070.9
04/05/2015,17.4,0.2,0.00,10.6,5.3,15766.4
04/06/2015,17.6,-1.2,0.00,11.9,5.8,14263.6
04/07/2015,11.5,3.8,0.00,11.2,8.3,4845.5
04/08/2015,8.9,4.6,2.03,9.1,7.6,4899.3
04/09/2015,20.2,5.3,21.34,11.3,7.2,3388.2
04/10/2015,20.6,3.2,8.38,11.8,8.4,14981.8
04/11/2015,14.8,0.2,0.00,12.7,5.8,24675.7
04/12/2015,20.2,0.6,0.00,13.9,6.6,20323.1
04/13/2015,17.9,5.6,4.06,13.9,11.1,13377.9
04/14/2015,20.4,1.1,0.00,15.8,7.8,22605.3
04/15/2015,20.9,1.4,0.00,15.7,8.5,23188.0
04/16/2015,16.5,7.2,0.25,14.5,11.0,9516.5
04/17/2015,25.0,2.4,0.00,18.8,9.4,24608.5
04/18/2015,25.1,7.6,0.00,19.9,12.7,24852.9
04/19/2015,22.1,9.0,11.94,17.6,13.4,15418.9
04/20/2015,14.0,5.5,7.62,14.4,10.0,3506.4
04/21/2015,9.0,4.4,0.00,10.0,7.7,9554.8
04/22/2015,4.9,0.1,0.00,7.7,5.8,8764.8
04/23/2015,8.8,-1.3,0.00,9.1,4.3,15825.5
04/24/2015,16.5,-3.9,5.08,13.8,4.2,25449.4
04/25/2015,12.1,5.3,0.76,11.9,8.4,8171.4
04/26/2015,15.3,-1.3,0.00,14.2,5.9,25201.8
04/27/2015,12.2,2.2,0.00,12.2,8.2,13572.4
04/28/2015,16.8,-0.2,0.00,16.5,7.4,27347.6
04/29/2015,19.2,1.4,0.00,16.3,9.7,21960.7
04/30/2015,16.2,1.6,0.00,17.6,10.1,26336.9
05/01/2015,23.0,1.6,0.00,19.7,10.9,27923.0
05/02/2015,23.7,4.7,0.00,20.8,13.1,26873.0
05/03/2015,27.7,8.5,0.00,20.8,14.4,20284.5
05/04/2015,23.8,12.9,1.78,21.5,16.6,20661.4
05/05/2015,13.6,9.6,33.27,19.8,13.6,3485.2
05/06/2015,27.7,11.1,0.00,20.8,13.0,21593.2
05/07/2015,30.9,13.6,0.00,23.3,16.4,21340.0
05/08/2015,28.4,16.1,6.60,23.6,18.4,17021.2
05/09/2015,20.8,14.5,4.57,21.5,18.8,5915.6
05/10/2015,20.7,13.4,6.60,19.5,17.6,6094.1
05/11/2015,21.7,11.9,6.60,19.0,16.6,7862.6
05/12/2015,12.0,8.3,0.00,17.8,12.5,6099.7
05/13/2015,15.7,4.1,0.00,17.8,10.6,23487.4
05/14/2015,17.6,3.3,0.25,17.2,11.9,19764.9
05/15/2015,22.1,11.3,4.83,17.8,14.3,9639.1
05/16/2015,27.6,14.0,0.00,22.6,15.6,19576.6
05/17/2015,27.5,18.0,0.00,23.5,18.8,17123.0
05/18/2015,29.1,11.2,0.00,25.4,20.1,25035.0
05/19/2015,11.3,4.1,0.00,22.8,16.8,15922.9
05/20/2015,15.2,1.8,0.25,18.7,13.3,19936.6
05/21/2015,17.8,5.3,0.00,19.4,13.5,23377.2
05/22/2015,20.3,5.6,0.00,22.5,14.8,30304.8
05/23/2015,26.8,3.2,0.00,24.1,15.4,30136.7
05/24/2015,24.3,8.8,0.00,22.4,18.1,11241.6
05/25/2015,25.4,16.5,7.62,22.0,19.0,15963.9
05/26/2015,27.6,16.3,9.14,22.4,18.6,14877.0
05/27/2015,23.9,13.4,0.00,22.8,19.2,24166.7
05/28/2015,28.1,11.5,0.00,25.8,18.0,28214.3
05/29/2015,29.4,18.2,18.29,25.3,20.8,20131.5
05/30/2015,21.9,9.8,17.78,23.9,19.1,5615.3
05/31/2015,15.0,8.4,11.18,19.2,15.8,16769.2
06/01/2015,19.8,7.0,0.00,21.3,14.7,29155.9
06/02/2015,23.7,4.9,0.00,23.7,15.3,30849.2
06/03/2015,24.8,6.7,0.00,24.7,17.5,29047.0
06/04/2015,27.6,11.9,0.00,25.3,19.3,24934.3
06/05/2015,22.8,14.8,0.00,23.7,20.9,16546.1
06/06/2015,25.3,13.2,0.00,26.7,20.3,30719.2
06/07/2015,24.8,13.6,1.27,24.9,21.1,9339.3
