
	Warning... 
	   Date Selected:                 20000101:2400
	   First Entry In Datebase:       20000516:2400
	   ...Resetting Date Selected To: 20000516:2400
belding
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/16/2000,12.0,8.2,8.64,13.3,11.8,5462.1
05/17/2000,20.1,8.2,3.30,17.1,12.0,16308.0
05/18/2000,15.6,6.0,123.20,15.2,12.1,4116.6
05/19/2000,12.2,4.3,9.91,14.1,10.6,14035.0
05/20/2000,20.3,0.7,0.00,17.8,9.8,29167.0
05/21/2000,19.7,5.4,0.00,18.1,11.9,24871.0
05/22/2000,20.1,11.0,9.65,16.2,13.2,11792.0
05/23/2000,23.5,13.2,0.25,18.9,14.0,20516.0
05/24/2000,23.4,10.9,0.00,20.2,14.3,29126.0
05/25/2000,19.2,6.2,0.00,19.2,13.5,30719.0
05/26/2000,23.0,4.0,0.00,18.8,12.7,23775.0
05/27/2000,15.7,11.1,0.25,16.4,14.7,5271.1
05/28/2000,17.5,6.4,11.18,15.9,13.0,11407.0
05/29/2000,21.7,5.5,0.00,19.1,12.1,28205.0
05/30/2000,22.8,10.4,0.00,17.8,13.9,16786.0
05/31/2000,23.9,14.6,0.25,18.3,15.4,9236.2
06/01/2000,27.3,16.3,8.13,19.8,16.4,13651.0
06/02/2000,19.4,8.4,0.51,19.6,16.4,21304.0
06/03/2000,19.1,4.8,0.00,18.0,13.9,23528.0
06/04/2000,20.9,9.0,1.27,18.5,14.4,22266.0
06/05/2000,17.1,3.6,4.32,16.6,14.2,12319.0
06/06/2000,23.9,3.6,0.00,18.8,12.3,30568.0
06/07/2000,23.9,8.0,0.00,19.1,13.7,27809.0
06/08/2000,27.4,15.8,0.00,20.9,15.8,28761.0
06/09/2000,29.8,19.4,0.00,21.8,17.1,29365.0
06/10/2000,31.1,18.6,0.00,21.6,17.5,25926.0
06/11/2000,25.9,14.8,3.30,20.7,19.1,10306.0
06/12/2000,14.8,11.4,44.96,19.7,16.1,3468.3
06/13/2000,23.9,13.6,0.25,18.8,16.2,12330.0
06/14/2000,28.4,18.8,19.81,20.8,17.7,18292.0
06/15/2000,22.7,15.6,1.78,20.0,18.2,22346.0
06/16/2000,24.1,13.2,0.00,19.4,17.8,19424.0
06/17/2000,22.9,12.0,0.00,19.8,16.8,28115.0
06/18/2000,23.1,10.7,0.00,19.6,17.0,23427.0
06/19/2000,26.4,11.8,0.00,20.3,16.1,28952.0
06/20/2000,24.1,13.6,1.27,18.9,16.9,12653.0
06/21/2000,25.0,18.5,0.00,20.4,18.4,25576.0
06/22/2000,23.8,13.2,0.00,19.3,17.7,19353.0
06/23/2000,26.6,13.0,0.00,20.1,16.5,26401.0
06/24/2000,25.4,18.9,2.03,19.7,18.3,13729.0
06/25/2000,27.4,16.4,0.76,20.6,18.4,21148.0
06/26/2000,26.4,12.6,3.30,20.7,18.4,16221.0
06/27/2000,24.2,10.0,0.00,22.3,16.9,29129.0
06/28/2000,21.9,9.0,5.08,19.2,16.3,12499.0
06/29/2000,21.9,11.2,0.25,21.0,16.5,26069.0
06/30/2000,25.0,10.5,0.00,23.0,16.0,29937.0
07/01/2000,27.0,14.5,0.00,23.7,17.4,28325.0
07/02/2000,28.3,17.1,1.27,24.1,18.8,22333.0
07/03/2000,24.3,17.3,9.91,22.4,20.2,10712.0
07/04/2000,29.8,14.6,0.00,25.1,18.9,23344.0
07/05/2000,28.8,15.0,0.00,26.4,19.6,28618.0
07/06/2000,21.3,11.1,0.00,22.7,19.5,12747.0
07/07/2000,24.9,10.2,0.00,24.2,17.1,28338.0
07/08/2000,19.8,12.4,5.08,21.2,18.4,8046.1
07/09/2000,27.4,16.8,12.70,23.0,18.6,14863.0
07/10/2000,28.1,16.3,0.25,23.9,19.3,13744.0
07/11/2000,26.2,13.0,0.00,24.9,18.8,28985.0
