
	Warning... 
	   Date Selected:                 20080101:2400
	   First Entry In Datebase:       20080306:2400
	   ...Resetting Date Selected To: 20080306:2400
berriensprings
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,soil0_max,soil0_min,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
03/06/2008,0.6,-5.4,,,0.00,2.2,0.3,8799.1,,,,
03/07/2008,-0.8,-6.5,,,0.00,0.5,0.1,15467.0,,,,
03/08/2008,-2.1,-11.2,,,0.00,0.1,-0.1,20757.8,,,,
03/09/2008,1.3,-6.8,,,0.00,-0.0,-0.2,9570.4,,,,
03/10/2008,2.7,-5.8,,,0.00,-0.0,-0.1,11841.1,,,,
03/11/2008,5.9,-5.8,,,0.00,0.0,-0.1,18965.6,,,,
03/12/2008,9.9,-3.3,,,0.00,4.0,-0.1,19737.3,,,,
03/13/2008,13.1,1.6,,,0.00,7.4,0.8,20475.7,,,,
03/14/2008,14.7,0.1,,,0.00,9.2,1.8,20133.8,,,,
03/15/2008,7.4,-3.7,,,0.00,6.1,1.8,13581.8,,,,
03/16/2008,4.5,-4.8,,,0.00,6.5,1.1,22291.5,,,,
03/17/2008,3.1,-3.5,,,2.03,2.6,1.2,6551.8,,,,
03/18/2008,10.0,1.6,,,3.05,4.6,1.9,1709.9,,,,
03/19/2008,5.0,-1.5,,,0.76,5.1,2.4,9538.4,,,,
03/20/2008,5.3,-3.1,,,0.00,6.2,1.0,22160.6,,,,
03/21/2008,0.2,-2.3,,,0.00,2.6,1.2,2462.3,,,,
03/22/2008,7.0,-5.0,,,5.08,1.4,1.2,21872.1,,,,
03/23/2008,7.0,-7.0,,,0.00,1.2,0.8,20919.0,,,,
03/24/2008,7.3,-6.7,,,0.00,0.8,0.4,24101.9,,,,
03/25/2008,12.4,-0.4,,,0.25,3.7,0.5,8684.9,,,,
03/26/2008,9.0,-1.9,,,0.00,7.4,1.1,20120.8,,,,
03/27/2008,5.9,-0.2,,,7.87,4.4,2.5,3029.0,,,,
03/28/2008,4.3,-4.3,,,5.33,5.9,2.1,22008.6,,,,
03/29/2008,7.7,-5.2,,,0.00,5.9,0.8,21798.0,,,,
03/30/2008,8.7,0.2,,,0.25,4.4,1.6,4928.6,,,,
03/31/2008,15.2,8.3,,,9.14,9.0,4.3,2437.0,,,,
04/01/2008,15.0,-2.3,,,1.02,9.3,3.8,5074.8,,,,
04/02/2008,9.7,-4.8,,,0.00,9.6,1.9,24689.7,,,,
04/03/2008,14.1,-0.2,,,1.27,9.7,2.8,19220.7,,,,
04/04/2008,10.6,2.6,,,1.02,7.9,4.9,7498.3,,,,
04/05/2008,18.1,0.8,,,0.00,12.3,3.2,23778.8,,,,
04/06/2008,19.0,3.2,,,0.00,11.9,4.9,21631.8,,,,
04/07/2008,17.6,3.1,,,0.00,12.9,6.8,23333.2,,,,
04/08/2008,18.2,3.3,,,4.06,10.1,6.9,9321.6,,,,
04/09/2008,18.2,1.8,,,12.19,10.6,6.8,10325.0,,,,
04/10/2008,7.9,1.5,,,17.53,6.8,5.2,2731.7,,,,
04/11/2008,20.5,5.8,,,1.78,13.3,6.7,16396.4,,,,
04/12/2008,6.4,1.6,,,9.65,8.7,6.2,4649.6,,,,
04/13/2008,6.4,-0.1,,,0.76,8.2,5.1,13124.8,,,,
04/14/2008,9.6,-1.9,,,0.00,11.5,3.3,26177.7,,,,
04/15/2008,14.9,-2.7,,,0.00,11.7,3.5,26463.9,,,,
04/16/2008,21.7,7.1,,,0.00,12.9,5.8,25719.1,,,,
04/17/2008,23.6,11.1,,,0.00,15.6,8.5,20206.2,,,,
04/18/2008,24.5,13.9,,,0.00,16.1,10.5,19883.4,,,,
04/19/2008,19.5,7.6,,,4.32,15.0,11.6,8480.9,,,,
04/20/2008,17.7,5.2,,,0.00,17.2,10.0,24171.1,,,,
04/21/2008,23.0,10.2,,,0.00,17.4,11.6,17788.6,,,,
04/22/2008,24.2,12.6,,,0.00,17.1,11.9,18414.0,,,,
04/23/2008,25.2,12.2,,,0.00,19.0,12.8,25584.3,,,,
04/24/2008,22.5,14.0,,,1.27,15.7,12.3,16926.7,,,,
04/25/2008,27.7,13.3,,,7.62,17.6,12.9,16688.9,,,,
04/26/2008,18.3,5.0,,,1.02,16.2,11.8,22379.3,,,,
