
	Warning... 
	   Date Selected:                 20080101:2400
	   First Entry In Datebase:       20080819:2400
	   ...Resetting Date Selected To: 20080819:2400
cassopolis
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
08/19/2008,26.9,15.6,0.00,29.1,22.0,
08/20/2008,28.1,14.0,0.00,29.5,21.9,
08/21/2008,30.0,13.8,0.00,27.7,21.8,
08/22/2008,26.1,20.8,14.22,26.4,23.4,
08/23/2008,30.9,20.2,0.00,29.7,22.2,
08/24/2008,25.9,14.2,0.00,30.0,22.1,
08/25/2008,24.4,12.1,0.00,28.9,19.9,
08/26/2008,26.3,9.2,0.00,28.3,19.0,
08/27/2008,29.8,11.8,0.00,29.0,19.6,
08/28/2008,27.2,14.7,0.00,26.9,21.5,
08/29/2008,28.6,15.7,1.27,29.5,23.0,
08/30/2008,30.8,14.1,0.00,29.5,20.1,
08/31/2008,32.3,15.7,0.00,30.0,21.3,
09/01/2008,31.6,14.8,0.00,29.6,21.4,
09/02/2008,34.8,15.5,0.00,30.2,21.6,
09/03/2008,29.3,18.6,0.00,30.1,23.5,
09/04/2008,19.7,16.7,30.99,26.3,20.5,
09/05/2008,22.1,12.2,13.46,23.6,20.2,
09/06/2008,24.0,9.9,0.00,23.8,17.4,
09/07/2008,22.5,14.1,8.64,23.5,19.0,
09/08/2008,22.6,11.6,36.32,21.6,17.4,
09/09/2008,20.1,9.2,1.02,20.2,16.1,
09/10/2008,23.3,7.5,0.00,28.1,15.9,
09/11/2008,26.1,9.9,0.00,28.9,21.2,
09/12/2008,21.5,19.4,11.43,26.8,24.7,
09/13/2008,26.6,19.1,123.70,28.3,24.8,
09/14/2008,22.7,14.5,95.50,26.9,22.8,
09/15/2008,17.9,12.6,7.37,23.9,20.9,
09/16/2008,21.4,9.4,0.00,25.9,19.2,
09/17/2008,25.9,11.7,0.00,27.4,19.2,
09/18/2008,23.0,11.0,0.00,26.4,20.6,
09/19/2008,25.7,10.4,0.00,26.4,19.9,
09/20/2008,27.9,11.8,0.00,27.9,20.9,
09/21/2008,27.4,12.3,0.00,27.2,21.8,
09/22/2008,25.9,13.5,0.00,27.8,22.2,
09/23/2008,27.5,11.8,0.00,27.4,21.7,
09/24/2008,29.0,13.9,0.00,27.9,21.7,
09/25/2008,28.7,13.9,0.00,28.7,22.2,
09/26/2008,26.2,12.0,0.00,27.5,21.1,
