
	Warning... 
	   Date Selected:                 20150101:2400
	   First Entry In Datebase:       20150901:2400
	   ...Resetting Date Selected To: 20150901:2400
deerfield
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
09/01/2015,32.3,15.9,0.00,29.9,21.9,17427.3
09/02/2015,33.2,19.0,0.00,29.8,23.0,15984.7
09/03/2015,32.9,19.6,11.94,30.8,23.6,19156.1
09/04/2015,30.8,18.5,0.25,28.2,23.1,15068.2
09/05/2015,29.7,18.8,19.81,25.7,22.2,9936.4
09/06/2015,32.9,17.3,0.00,28.1,21.5,20326.2
09/07/2015,33.3,18.6,0.00,27.8,22.4,18961.2
09/08/2015,32.5,19.6,0.00,28.5,23.0,17652.5
09/09/2015,26.3,16.3,0.00,26.4,23.6,12071.9
09/10/2015,28.7,11.3,0.00,26.8,19.8,20576.2
09/11/2015,18.9,13.1,3.56,23.6,19.6,6203.7
09/12/2015,18.2,9.6,0.00,19.6,16.7,13434.2
09/13/2015,21.5,6.2,0.00,20.7,14.3,19524.3
09/14/2015,26.2,6.5,0.00,22.4,14.7,20600.9
09/15/2015,29.4,11.9,0.00,24.1,17.6,18636.1
09/16/2015,30.0,9.7,0.00,24.6,17.8,19204.1
09/17/2015,30.1,10.6,0.00,24.8,18.3,19355.1
09/18/2015,29.0,15.3,17.78,24.1,20.1,12819.0
09/19/2015,23.1,12.3,14.99,22.8,19.2,10918.1
09/20/2015,22.6,6.8,0.00,20.9,15.7,18450.7
09/21/2015,23.4,9.4,0.00,20.8,15.6,19040.6
09/22/2015,26.2,7.3,0.00,21.4,14.9,18910.4
09/23/2015,25.8,8.7,0.00,21.6,16.1,18005.4
09/24/2015,26.4,9.8,0.00,22.2,16.2,18769.3
09/25/2015,26.3,11.9,0.00,22.6,17.5,16832.0
09/26/2015,24.9,15.3,0.00,21.9,18.3,13234.2
09/27/2015,28.1,14.4,0.00,22.6,18.4,11533.5
09/28/2015,27.8,17.8,0.00,23.0,19.8,9662.1
09/29/2015,22.5,13.3,7.11,21.3,18.6,3388.0
09/30/2015,20.6,9.5,0.00,19.6,15.6,17306.6
10/01/2015,17.3,7.5,0.00,17.3,13.3,16248.9
10/02/2015,15.9,7.3,0.00,15.8,12.6,12067.5
10/03/2015,10.2,7.3,4.32,14.1,12.1,2170.6
10/04/2015,16.1,8.9,0.25,15.3,12.1,5314.6
10/05/2015,23.0,10.5,0.00,18.9,14.4,11906.3
10/06/2015,22.6,10.2,0.00,18.8,15.2,7926.1
10/07/2015,24.7,8.9,0.00,19.5,14.8,14000.0
10/08/2015,25.0,7.1,0.00,18.7,13.9,10485.3
10/09/2015,20.0,11.5,0.00,17.6,15.7,4807.4
10/10/2015,19.5,4.1,0.00,18.5,12.8,15586.3
10/11/2015,24.8,7.4,0.00,19.0,12.8,15145.1
10/12/2015,26.5,10.7,0.00,19.6,14.1,11912.3
10/13/2015,16.9,9.9,0.00,17.8,14.9,5025.6
10/14/2015,16.4,2.8,0.00,16.8,13.6,9870.4
10/15/2015,18.3,2.4,0.25,14.2,11.1,6937.8
10/16/2015,14.0,1.7,0.51,12.7,9.6,8521.1
10/17/2015,9.6,-2.3,0.00,10.1,7.5,6748.2
10/18/2015,13.0,-2.3,0.00,12.4,6.2,13897.6
10/19/2015,20.3,-1.3,0.00,13.2,6.4,12675.7
10/20/2015,25.1,11.0,0.00,16.7,10.9,11404.1
10/21/2015,25.1,11.4,0.00,17.8,12.9,9508.1
10/22/2015,20.4,4.2,0.00,18.1,14.3,9553.8
10/23/2015,15.4,2.8,0.00,15.0,11.0,9354.6
10/24/2015,21.3,10.9,11.43,16.1,12.9,4057.2
10/25/2015,18.1,3.5,0.00,16.3,11.6,13403.1
10/26/2015,15.6,0.3,0.00,13.9,8.6,11570.3
10/27/2015,14.2,4.4,1.02,11.5,9.0,6527.4
10/28/2015,17.7,9.7,22.61,13.9,10.7,2960.1
10/29/2015,11.2,2.9,0.00,12.6,7.7,5392.3
10/30/2015,12.0,2.9,0.00,10.7,6.9,5986.9
10/31/2015,11.2,3.2,1.52,9.2,7.4,3109.6
11/01/2015,18.4,3.3,0.00,12.6,9.0,12171.2
11/02/2015,21.1,2.0,0.00,13.3,7.1,11893.3
11/03/2015,23.8,5.5,0.00,15.0,8.4,11564.3
11/04/2015,24.6,4.1,0.00,15.9,9.2,11106.3
11/05/2015,23.2,11.6,0.25,16.1,12.2,6606.6
