
	Warning... 
	   Date Selected:                 20030101:2400
	   First Entry In Datebase:       20030502:2400
	   ...Resetting Date Selected To: 20030502:2400
eastleland
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/02/2003,10.6,-1.3,0.00,9.9,5.5,23550.0
05/03/2003,15.2,-4.8,0.00,10.9,4.7,28258.0
05/04/2003,19.1,2.0,0.00,11.0,5.8,24595.0
05/05/2003,12.7,6.8,17.78,8.8,7.8,2994.6
05/06/2003,8.3,3.2,1.52,8.3,7.3,3493.9
05/07/2003,19.7,0.8,0.00,12.2,6.1,21658.0
05/08/2003,20.0,8.1,0.00,14.2,8.5,25960.0
05/09/2003,20.5,9.0,0.00,12.4,9.0,15725.0
05/10/2003,19.6,4.2,0.00,14.6,8.6,26109.0
05/11/2003,15.9,3.3,40.89,12.1,9.6,5353.7
05/12/2003,7.3,3.3,2.29,9.6,7.7,4129.8
05/13/2003,15.4,3.5,0.00,12.6,6.4,28394.0
05/14/2003,21.0,0.9,0.00,13.5,7.0,24935.0
05/15/2003,21.1,8.3,0.00,15.1,8.9,27120.0
05/16/2003,18.2,9.2,0.00,13.0,10.1,12754.0
05/17/2003,20.8,10.1,0.00,15.2,10.6,18619.0
05/18/2003,23.2,6.7,0.00,15.9,10.3,24582.0
05/19/2003,25.2,11.3,1.52,17.3,11.6,24926.0
05/20/2003,17.4,5.3,7.11,15.1,11.5,18474.0
05/21/2003,16.5,-1.5,0.00,15.5,8.5,28583.0
05/22/2003,18.0,-1.6,0.00,15.4,8.9,27819.0
05/23/2003,17.5,3.7,0.00,13.4,9.8,16186.0
05/24/2003,14.6,4.1,0.00,11.8,9.7,10082.0
05/25/2003,20.0,4.5,0.00,16.0,9.3,24957.0
05/26/2003,20.3,2.8,0.00,16.0,10.2,23987.0
05/27/2003,22.3,3.5,0.00,17.0,10.3,28132.0
05/28/2003,24.3,5.5,0.00,17.1,10.7,26954.0
05/29/2003,19.3,5.3,0.00,16.8,11.9,22852.0
05/30/2003,16.5,5.1,3.81,13.3,11.6,4379.4
05/31/2003,11.1,2.0,1.78,14.2,10.9,21593.0
06/01/2003,16.1,-1.4,0.00,15.4,8.3,27469.0
06/02/2003,20.3,2.7,0.00,16.1,9.3,26365.0
06/03/2003,23.5,4.7,0.00,16.0,10.6,20261.0
06/04/2003,20.1,4.3,0.00,14.2,10.5,14823.0
06/05/2003,21.6,7.7,0.00,16.8,11.0,27128.0
06/06/2003,23.4,8.5,3.05,15.3,11.3,16340.0
06/07/2003,17.8,8.9,2.03,15.9,12.5,14333.0
06/08/2003,17.3,7.1,5.33,14.6,12.2,9148.7
06/09/2003,18.0,7.3,0.25,17.0,12.3,22323.0
06/10/2003,16.0,7.2,27.43,13.9,11.9,2859.2
06/11/2003,20.5,7.5,0.00,17.7,12.1,23288.0
06/12/2003,24.8,7.7,0.76,18.8,12.1,28317.0
06/13/2003,23.6,7.9,0.00,19.4,13.1,28385.0
06/14/2003,22.9,9.5,0.00,20.0,13.7,29028.0
06/15/2003,24.7,7.3,0.00,20.2,13.7,28848.0
06/16/2003,25.1,6.1,0.00,20.2,13.6,30362.0
06/17/2003,26.5,7.9,0.00,20.4,13.9,29375.0
06/18/2003,24.2,11.1,0.00,20.5,15.1,26192.0
06/19/2003,18.8,6.2,0.00,19.4,14.1,30349.0
06/20/2003,22.3,2.8,0.00,19.3,12.9,29382.0
06/21/2003,24.1,4.7,0.00,19.6,13.0,29919.0
06/22/2003,26.8,3.7,0.00,19.9,13.0,29848.0
06/23/2003,30.4,9.3,0.00,20.4,14.1,28779.0
06/24/2003,29.8,19.1,0.00,20.3,16.1,21095.0
06/25/2003,32.6,21.7,0.00,22.0,17.1,25668.0
06/26/2003,24.9,13.9,0.76,20.8,17.9,19276.0
06/27/2003,20.8,12.5,0.00,20.1,15.8,23608.0
06/28/2003,17.6,9.3,6.10,17.3,15.0,10149.0
06/29/2003,18.8,10.9,0.76,18.3,15.2,14012.0
06/30/2003,23.9,8.0,0.00,20.8,13.7,29425.0
07/01/2003,27.2,12.0,0.00,21.8,15.2,29269.0
07/02/2003,29.4,11.0,0.00,21.4,15.7,26471.0
07/03/2003,29.0,17.5,0.00,21.1,16.9,20598.0
07/04/2003,29.7,14.5,0.00,21.1,16.8,19530.0
07/05/2003,27.2,12.5,0.00,22.2,16.8,25184.0
07/06/2003,29.0,11.0,0.00,20.0,16.2,18581.0
07/07/2003,27.5,13.2,0.00,22.2,16.7,26168.0
07/08/2003,22.8,9.4,0.00,20.6,16.6,20541.0
07/09/2003,24.4,6.3,0.00,19.9,15.1,21876.0
07/10/2003,19.1,13.1,41.15,18.1,15.8,3237.2
07/11/2003,16.1,12.9,19.81,16.9,15.5,4388.7
07/12/2003,22.7,11.3,0.25,20.0,15.0,27601.0
07/13/2003,25.9,8.8,0.00,20.9,14.9,27901.0
07/14/2003,27.5,16.9,0.00,21.2,16.4,25985.0
07/15/2003,24.3,12.6,0.51,20.1,17.7,14491.0
07/16/2003,24.2,10.7,0.00,20.6,16.1,28074.0
07/17/2003,22.7,9.5,2.03,20.6,17.5,21994.0
07/18/2003,23.1,5.2,0.00,20.1,15.0,29212.0
07/19/2003,25.3,7.9,0.00,20.0,15.1,27276.0
07/20/2003,25.0,16.1,0.25,20.5,16.9,24391.0
07/21/2003,24.0,15.5,5.08,19.9,17.4,14082.0
07/22/2003,22.8,12.5,0.00,20.7,16.4,24480.0
07/23/2003,23.2,11.1,0.00,20.7,16.0,28186.0
07/24/2003,24.7,7.2,0.00,20.3,15.5,27687.0
07/25/2003,27.0,16.0,0.00,20.6,16.7,25852.0
07/26/2003,26.0,18.4,7.37,20.7,18.0,13361.0
07/27/2003,24.9,13.9,0.00,21.4,18.7,21656.0
07/28/2003,23.8,8.3,0.00,20.9,15.9,26047.0
07/29/2003,25.8,9.3,0.00,20.7,15.8,25019.0
07/30/2003,28.2,14.5,0.00,20.8,17.0,21828.0
07/31/2003,28.8,16.0,0.25,21.0,17.7,20516.0
08/01/2003,23.8,15.8,30.23,20.4,17.9,13663.0
08/02/2003,25.9,14.3,0.00,20.5,17.8,13646.0
08/03/2003,26.4,15.2,2.03,20.9,17.9,12864.0
08/04/2003,22.8,15.1,0.25,20.1,18.2,14443.0
08/05/2003,23.8,15.2,0.00,20.1,18.0,13353.0
08/06/2003,24.8,17.3,0.00,21.6,18.4,23891.0
08/07/2003,25.0,17.4,0.00,21.1,18.8,15717.0
08/08/2003,24.0,14.7,0.00,21.7,18.9,23021.0
08/09/2003,25.9,13.5,0.00,20.8,18.6,16491.0
08/10/2003,26.2,11.4,0.00,21.0,17.1,23784.0
08/11/2003,22.4,16.3,0.00,19.6,18.5,9809.4
08/12/2003,25.5,11.5,0.00,20.5,17.1,19982.0
08/13/2003,28.0,11.9,0.00,21.0,16.8,24803.0
08/14/2003,28.4,13.3,0.00,21.4,17.1,23911.0
