
	Warning... 
	   Date Selected:                 20040101:2400
	   First Entry In Datebase:       20040405:2400
	   ...Resetting Date Selected To: 20040405:2400
eastport
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
04/05/2004,4.3,-8.3,0.00,6.3,1.9,22486.0
04/06/2004,12.0,-1.5,3.56,8.0,3.4,16648.0
04/07/2004,14.6,-0.6,0.00,8.7,4.2,17608.0
04/08/2004,12.5,0.6,0.76,8.3,5.6,13645.0
04/09/2004,6.6,-1.3,0.00,6.5,4.5,9798.4
04/10/2004,5.9,-4.1,0.00,6.6,3.0,17582.0
04/11/2004,3.7,-6.6,0.00,6.8,2.6,21825.0
04/12/2004,7.0,-0.2,0.00,5.5,4.2,3175.0
04/13/2004,8.0,-3.1,0.00,7.3,2.6,24212.0
04/14/2004,12.9,-2.7,0.00,9.0,3.4,24106.0
04/15/2004,19.8,0.1,0.00,10.3,4.9,22671.0
04/16/2004,23.7,9.2,0.00,12.6,7.7,20432.0
04/17/2004,18.1,7.5,2.03,13.0,9.2,21177.0
04/18/2004,23.2,6.9,2.54,12.6,9.3,12831.0
04/19/2004,22.0,2.2,8.64,12.0,8.5,6959.1
04/20/2004,10.9,1.4,2.29,10.2,7.4,14937.0
04/21/2004,11.5,2.4,13.21,9.3,7.7,3271.6
04/22/2004,10.2,1.1,0.25,10.6,6.7,23442.0
04/23/2004,11.3,-2.7,0.00,10.2,6.1,20141.0
04/24/2004,12.4,-1.1,0.00,10.6,6.4,21735.0
04/25/2004,9.8,2.0,7.37,8.7,7.0,3876.5
04/26/2004,11.6,0.3,5.84,9.6,6.4,14083.0
04/27/2004,5.0,-2.0,0.25,8.4,5.2,24158.0
04/28/2004,21.4,1.2,0.51,9.6,5.7,16466.0
04/29/2004,21.6,2.9,0.00,12.6,9.4,16681.0
04/30/2004,13.1,2.5,0.51,10.3,8.3,8666.0
05/01/2004,9.2,2.5,0.51,9.6,8.1,11759.0
05/02/2004,8.6,0.4,0.00,10.3,6.9,23857.0
05/03/2004,8.2,-0.4,0.00,10.6,6.8,26657.0
05/04/2004,13.4,0.8,0.00,8.3,6.7,4737.9
05/05/2004,11.8,1.1,0.00,10.8,6.4,24145.0
05/06/2004,18.8,4.8,2.03,10.1,8.4,10322.0
05/07/2004,12.5,1.7,0.00,10.9,6.9,23024.0
05/08/2004,9.6,3.8,1.02,8.8,7.7,3955.8
05/09/2004,17.7,8.0,0.00,11.1,8.4,9760.8
05/10/2004,21.4,11.0,2.54,14.0,10.6,17494.0
05/11/2004,24.3,4.3,0.00,15.2,9.9,25773.0
05/12/2004,28.0,15.4,0.00,17.1,13.1,23494.0
05/13/2004,20.7,14.7,21.08,15.9,14.5,4661.3
05/14/2004,16.0,3.9,13.72,15.5,11.4,4420.9
05/15/2004,12.8,2.4,0.00,14.2,10.2,25678.0
05/16/2004,19.0,1.9,0.00,14.6,10.2,27905.0
05/17/2004,23.4,8.7,0.51,14.7,12.0,14348.0
05/18/2004,15.8,5.3,0.00,14.5,12.2,19109.0
05/19/2004,22.9,1.8,0.00,15.3,10.2,27959.0
05/20/2004,24.3,8.9,7.37,16.0,13.2,12454.0
05/21/2004,16.8,4.2,0.00,14.4,11.9,13168.0
05/22/2004,14.4,7.8,0.51,13.1,11.8,6484.4
05/23/2004,10.2,8.0,38.35,12.7,10.7,3016.1
05/24/2004,10.9,7.2,18.54,11.2,10.5,7427.9
05/25/2004,17.6,7.4,0.00,12.6,10.5,12130.0
