
	Warning... 
	   Date Selected:                 20060101:2400
	   First Entry In Datebase:       20061220:2400
	   ...Resetting Date Selected To: 20061220:2400
emmett
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
12/20/2006,7.7,-2.5,0.00,1.2,0.7,7267.7
12/21/2006,5.1,2.2,0.51,3.4,1.0,2428.3
12/22/2006,11.7,3.1,8.89,6.4,3.1,507.3
12/23/2006,5.9,2.6,0.76,5.4,3.4,1058.5
12/24/2006,6.9,-0.3,1.02,5.6,2.2,6964.0
12/25/2006,3.5,-1.1,0.76,3.1,1.6,1871.8
12/26/2006,2.9,-0.1,1.27,3.2,1.8,1845.5
12/27/2006,3.6,-0.9,0.00,2.7,1.1,4562.4
12/28/2006,5.0,-0.2,0.51,4.1,1.7,3104.7
12/29/2006,3.1,-0.2,0.00,2.8,1.3,1610.4
12/30/2006,6.2,0.3,0.00,4.5,2.0,2740.5
12/31/2006,9.2,0.7,16.26,4.9,2.4,1293.7
01/01/2007,10.1,-0.1,1.27,5.2,2.2,2445.5
01/02/2007,7.7,-2.0,0.00,3.5,1.2,8079.1
01/03/2007,9.7,-0.8,0.00,3.5,1.0,7340.3
01/04/2007,10.4,3.2,13.21,5.5,1.7,5194.7
01/05/2007,10.2,6.6,8.64,7.1,5.1,1337.9
01/06/2007,7.5,2.0,3.81,6.6,3.6,2006.9
01/07/2007,2.2,-2.2,1.27,3.6,1.8,2304.7
01/08/2007,1.3,-1.4,1.52,2.5,1.2,3949.8
01/09/2007,-1.4,-6.7,0.00,1.2,0.9,5614.4
01/10/2007,-1.9,-9.0,0.00,0.9,0.7,9081.6
01/11/2007,5.2,-2.0,0.00,0.7,0.6,3979.5
01/12/2007,8.9,0.2,3.56,4.5,0.7,1182.8
01/13/2007,0.3,-2.9,0.25,3.6,1.0,1791.8
01/14/2007,-0.2,-2.8,0.25,1.0,0.7,2205.1
01/15/2007,-0.3,-4.2,0.00,0.8,0.7,1166.3
01/16/2007,-4.2,-11.6,0.00,0.8,0.5,11477.0
01/17/2007,-2.6,-13.1,1.02,0.6,0.4,9132.3
01/18/2007,-0.3,-7.0,0.00,0.4,0.3,4257.0
01/19/2007,-1.7,-8.4,0.00,0.4,0.3,4500.2
