
	Warning... 
	   Date Selected:                 20040101:2400
	   First Entry In Datebase:       20040408:2400
	   ...Resetting Date Selected To: 20040408:2400
entrican
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
04/08/2004,8.2,1.5,1.27,8.8,5.5,4144.3
04/09/2004,11.2,-1.5,0.00,8.2,3.4,12681.0
04/10/2004,9.2,-2.7,0.00,8.5,2.6,15058.0
04/11/2004,5.5,-1.1,0.00,7.3,4.1,10472.0
04/12/2004,7.2,-4.5,0.00,7.6,1.9,17356.0
04/13/2004,12.7,-0.3,0.00,10.7,3.4,23599.0
04/14/2004,18.0,-4.5,0.00,13.2,3.1,25616.0
04/15/2004,21.7,2.9,0.00,15.1,6.6,24105.0
04/16/2004,24.4,8.3,0.00,17.0,9.3,21655.0
04/17/2004,24.6,11.0,10.16,18.3,11.6,19248.0
04/18/2004,28.5,10.3,5.33,18.6,12.0,21990.0
04/19/2004,24.1,5.8,0.00,16.4,12.5,13868.0
04/20/2004,12.7,0.5,2.29,13.0,8.4,15244.0
04/21/2004,18.9,5.8,2.54,14.0,10.2,12178.0
04/22/2004,14.1,0.8,0.00,13.1,7.3,16003.0
04/23/2004,17.8,1.9,0.00,16.1,7.2,24127.0
04/24/2004,12.7,2.2,0.25,14.5,7.5,22043.0
04/25/2004,17.8,2.7,21.34,11.9,7.4,9147.7
04/26/2004,14.5,3.3,0.51,12.6,7.3,21349.0
04/27/2004,7.0,-1.1,0.00,9.9,5.3,19265.0
04/28/2004,24.5,1.3,0.51,13.9,5.1,18042.0
04/29/2004,24.7,17.1,0.00,17.7,11.8,20573.0
04/30/2004,17.1,9.3,1.27,15.3,12.4,3939.4
05/01/2004,12.8,5.6,5.84,12.5,9.8,9742.7
05/02/2004,11.0,0.1,0.51,11.3,7.4,18005.0
05/03/2004,10.5,-2.5,0.00,11.4,4.2,22238.0
05/04/2004,15.7,-2.3,1.52,10.5,4.9,11023.0
05/05/2004,16.4,0.6,0.00,15.3,6.0,27321.0
05/06/2004,24.4,5.1,0.00,15.7,8.5,13774.0
05/07/2004,17.1,6.2,0.00,18.3,9.9,27380.0
05/08/2004,18.2,3.7,49.28,14.9,8.6,12857.0
05/09/2004,22.6,9.8,38.35,17.2,11.6,12649.0
05/10/2004,25.4,14.6,2.03,20.3,13.9,24065.0
05/11/2004,21.6,11.8,1.02,17.9,13.9,17185.0
05/12/2004,27.6,15.3,0.00,21.5,14.8,21625.0
05/13/2004,22.8,17.2,7.11,20.0,17.1,10157.0
05/14/2004,22.4,6.9,23.62,19.2,14.6,7223.2
05/15/2004,15.1,5.3,0.00,17.5,11.4,19619.0
05/16/2004,19.7,3.6,0.00,20.2,10.0,29545.0
05/17/2004,24.9,10.6,2.03,19.4,13.2,16396.0
05/18/2004,20.0,10.0,9.40,19.4,15.6,16925.0
05/19/2004,21.5,6.5,0.00,21.6,12.7,29536.0
05/20/2004,24.4,13.4,2.03,20.4,15.2,14047.0
05/21/2004,18.6,10.3,15.49,19.1,14.3,8143.4
05/22/2004,22.4,10.3,3.30,17.6,13.4,8884.2
05/23/2004,17.0,10.0,36.83,16.9,14.0,5798.3
05/24/2004,15.9,8.4,0.00,15.1,13.1,10656.0
05/25/2004,18.6,9.2,0.00,17.5,12.1,13403.0
05/26/2004,17.5,7.4,0.00,18.8,13.2,22535.0
05/27/2004,20.1,3.7,0.00,18.2,10.8,20040.0
05/28/2004,19.8,5.8,0.00,22.0,12.2,28866.0
05/29/2004,16.6,3.0,0.00,17.4,12.1,14624.0
05/30/2004,20.9,11.4,6.35,18.7,13.7,15374.0
05/31/2004,20.3,12.8,3.05,18.3,14.2,17240.0
06/01/2004,21.1,11.9,0.00,20.1,13.2,25100.0
06/02/2004,21.0,12.1,0.00,20.2,15.0,15650.0
06/03/2004,24.5,6.8,0.00,24.4,13.0,31029.0
06/04/2004,24.1,6.1,0.00,23.5,14.1,26622.0
06/05/2004,24.6,7.0,0.00,24.7,14.6,28480.0
06/06/2004,26.8,15.5,0.00,23.5,17.6,18299.0
06/07/2004,29.4,17.3,0.00,26.3,18.2,26485.0
06/08/2004,31.6,19.9,0.00,28.1,20.0,25663.0
06/09/2004,28.8,17.1,2.79,26.1,22.1,19462.0
06/10/2004,17.1,11.6,5.33,22.6,16.7,7082.7
06/11/2004,18.1,11.0,5.33,18.1,15.0,12959.0
06/12/2004,22.8,11.2,10.41,20.6,14.5,17745.0
06/13/2004,26.4,16.1,15.49,22.6,17.2,17987.0
06/14/2004,25.6,15.9,0.00,22.5,17.4,21317.0
06/15/2004,28.5,13.1,0.00,25.3,17.1,24311.0
06/16/2004,27.6,15.7,2.29,24.8,19.0,19574.0
06/17/2004,26.8,19.1,0.00,23.8,20.4,13147.0
06/18/2004,25.6,16.7,0.25,25.6,19.4,22865.0
06/19/2004,20.2,8.7,0.00,24.8,16.6,31673.0
06/20/2004,20.8,7.2,0.00,23.5,16.1,29205.0
06/21/2004,20.7,11.0,14.73,20.2,17.1,9995.1
06/22/2004,19.9,12.3,0.00,21.1,16.2,24187.0
06/23/2004,22.9,10.6,10.92,20.4,14.6,18490.0
06/24/2004,15.5,7.4,6.60,17.4,13.9,14103.0
06/25/2004,19.1,3.8,0.00,19.9,11.6,28918.0
06/26/2004,19.9,6.6,0.00,20.6,13.3,27183.0
06/27/2004,21.9,9.2,0.25,22.7,14.4,30307.0
06/28/2004,22.4,12.1,5.08,22.3,16.5,23518.0
06/29/2004,24.8,13.1,0.00,22.5,15.6,26178.0
06/30/2004,27.6,13.5,0.00,24.9,17.2,28018.0
07/01/2004,27.6,15.0,0.00,25.5,18.4,27065.0
07/02/2004,26.0,12.3,0.00,25.8,18.8,26458.0
07/03/2004,28.2,13.5,0.00,24.9,18.9,23537.0
07/04/2004,24.2,18.7,16.26,22.9,20.4,10297.0
07/05/2004,25.0,14.5,0.25,24.1,18.3,24016.0
07/06/2004,25.9,14.8,0.76,22.9,18.2,17834.0
07/07/2004,21.7,14.0,0.25,21.4,18.4,13308.0
07/08/2004,15.9,12.4,0.00,18.4,16.7,10713.0
07/09/2004,22.9,10.2,0.00,21.9,15.4,21287.0
07/10/2004,29.3,13.3,0.00,26.2,17.8,27879.0
07/11/2004,29.5,14.7,0.51,25.8,19.7,23503.0
07/12/2004,29.9,19.4,0.00,26.5,21.5,17551.0
07/13/2004,28.8,16.7,1.02,25.9,20.9,22141.0
07/14/2004,24.6,15.3,0.25,23.4,19.8,20654.0
07/15/2004,27.4,13.5,0.00,24.6,17.9,28337.0
07/16/2004,28.6,12.1,2.79,22.9,18.1,15274.0
07/17/2004,28.1,16.0,0.51,24.4,18.3,18889.0
07/18/2004,28.4,13.0,0.00,25.2,17.6,27308.0
07/19/2004,26.4,12.2,0.00,23.9,18.7,23458.0
07/20/2004,29.2,17.9,0.00,24.6,19.5,20749.0
07/21/2004,30.6,17.3,19.81,25.3,20.4,18502.0
07/22/2004,30.2,17.1,0.00,25.4,21.0,21614.0
07/23/2004,24.2,10.1,0.00,23.8,18.0,25779.0
07/24/2004,22.8,9.0,0.00,23.1,17.4,22747.0
07/25/2004,24.5,11.7,0.00,24.6,18.2,27615.0
07/26/2004,26.2,9.8,0.00,25.4,18.2,28839.0
07/27/2004,21.1,11.8,0.00,22.3,18.2,7795.0
07/28/2004,27.8,8.8,0.00,23.6,15.7,26712.0
07/29/2004,25.6,14.1,1.27,22.9,17.9,23379.0
07/30/2004,24.3,15.5,0.00,21.2,18.2,12174.0
07/31/2004,25.0,13.8,0.00,23.3,18.6,21686.0
08/01/2004,28.4,10.9,0.00,24.5,17.5,21576.0
08/02/2004,29.2,17.1,5.08,24.9,19.8,18639.0
08/03/2004,31.3,15.5,0.00,27.1,19.1,22770.0
08/04/2004,28.0,15.1,9.14,25.7,19.9,21070.0
08/05/2004,23.2,11.0,0.00,23.6,17.7,27070.0
08/06/2004,25.3,7.6,0.00,22.8,16.0,26074.0
08/07/2004,26.3,8.9,0.00,24.5,16.4,24458.0
08/08/2004,25.5,12.3,0.00,24.6,18.3,21083.0
08/09/2004,26.1,15.1,2.79,23.5,19.2,14937.0
08/10/2004,19.9,13.5,0.76,21.1,18.1,12289.0
08/11/2004,16.5,9.8,1.02,18.1,15.4,11118.0
08/12/2004,18.0,7.6,0.25,17.4,13.4,12354.0
08/13/2004,21.0,11.2,0.76,19.2,14.8,12924.0
08/14/2004,22.4,6.8,0.00,22.4,14.0,25013.0
08/15/2004,24.4,5.9,0.00,24.3,14.7,26331.0
08/16/2004,23.6,6.4,0.00,22.2,16.0,21583.0
08/17/2004,21.8,14.0,0.00,20.1,17.0,10842.0
08/18/2004,25.1,12.2,0.00,22.2,16.9,17275.0
08/19/2004,21.1,9.2,0.00,23.1,16.6,25465.0
08/20/2004,22.6,8.6,0.00,21.0,16.1,14677.0
08/21/2004,21.9,3.2,0.00,23.1,14.5,25805.0
08/22/2004,25.2,4.0,0.00,22.1,14.8,21074.0
08/23/2004,22.9,15.5,0.00,22.9,18.7,13685.0
08/24/2004,28.0,13.7,0.00,24.4,18.0,18536.0
08/25/2004,27.5,18.9,3.30,24.4,20.5,12208.0
08/26/2004,24.8,18.9,3.30,23.0,20.0,11219.0
08/27/2004,28.8,19.3,1.78,25.9,21.1,20017.0
08/28/2004,20.1,14.7,20.57,23.1,19.9,6318.7
08/29/2004,22.0,12.9,1.78,21.5,18.0,11298.0
08/30/2004,23.7,8.1,0.00,22.9,16.2,19076.0
08/31/2004,25.2,10.5,0.00,24.5,16.8,21548.0
09/01/2004,25.6,10.0,0.00,23.7,17.7,16391.0
09/02/2004,27.7,12.8,0.00,26.6,18.5,22083.0
09/03/2004,28.6,12.5,1.52,26.9,19.4,17848.0
09/04/2004,29.3,14.1,0.00,26.2,19.9,16851.0
09/05/2004,28.8,15.7,0.00,26.3,20.6,15603.0
09/06/2004,28.2,16.4,4.57,25.8,21.4,14392.0
09/07/2004,23.8,12.6,0.00,24.8,18.4,21263.0
09/08/2004,23.4,10.2,0.00,23.5,17.0,18773.0
09/09/2004,24.4,10.0,0.00,24.6,16.8,21309.0
09/10/2004,25.6,6.3,0.00,26.1,16.7,21367.0
09/11/2004,26.3,10.7,0.00,24.6,18.2,17568.0
09/12/2004,29.4,13.2,0.00,27.1,18.6,20284.0
09/13/2004,29.1,12.1,0.00,27.1,19.5,19619.0
09/14/2004,28.7,16.7,0.00,26.8,20.7,17317.0
09/15/2004,28.9,17.8,0.00,26.6,21.1,16443.0
09/16/2004,22.7,8.5,0.51,25.1,21.0,19936.0
09/17/2004,22.4,5.6,0.00,24.2,17.2,17619.0
09/18/2004,24.8,4.8,0.00,25.3,16.4,19331.0
09/19/2004,23.8,5.0,0.00,24.7,16.8,19759.0
09/20/2004,25.1,8.6,0.00,24.9,17.0,20037.0
09/21/2004,27.9,7.5,0.00,25.1,17.0,19511.0
09/22/2004,29.2,6.7,0.00,25.7,17.1,19129.0
09/23/2004,29.2,7.7,0.00,25.1,17.6,17588.0
09/24/2004,27.2,14.2,0.00,24.2,18.9,14721.0
09/25/2004,18.1,8.8,0.00,21.1,18.0,6166.0
09/26/2004,24.9,2.4,0.00,23.6,14.7,18606.0
09/27/2004,24.4,4.0,0.00,23.4,15.6,18138.0
09/28/2004,19.1,9.8,1.52,19.8,16.7,10563.0
09/29/2004,21.9,4.0,0.00,21.4,13.9,18986.0
09/30/2004,22.5,0.3,0.00,21.2,12.9,18236.0
10/01/2004,21.9,3.9,1.78,19.3,13.5,14182.0
10/02/2004,14.8,3.8,4.57,17.4,12.3,17858.0
10/03/2004,17.3,0.5,0.00,15.6,9.2,15656.0
10/04/2004,13.3,-0.7,0.00,14.9,10.9,13181.0
10/05/2004,13.5,-4.2,0.00,14.9,7.6,16822.0
10/06/2004,22.2,4.8,0.00,17.5,9.6,16015.0
10/07/2004,24.0,5.0,0.00,18.6,11.9,14343.0
10/08/2004,18.4,13.5,13.72,16.4,14.4,2227.2
10/09/2004,18.0,4.1,0.51,16.8,12.9,15941.0
10/10/2004,19.6,-0.8,0.00,16.9,9.3,16531.0
10/11/2004,17.1,1.4,0.00,16.9,10.0,14806.0
10/12/2004,14.3,0.3,0.00,14.7,9.6,10028.0
10/13/2004,16.1,4.3,0.00,14.9,10.2,8872.1
10/14/2004,17.1,7.2,0.00,16.8,11.4,12830.0
10/15/2004,11.0,6.6,7.37,13.7,11.1,2640.0
10/16/2004,7.7,2.6,0.76,11.1,7.9,5716.1
10/17/2004,5.8,3.0,0.00,8.2,6.9,4815.3
10/18/2004,7.3,0.0,0.00,8.7,6.5,4039.7
10/19/2004,8.8,2.7,0.00,8.9,6.6,2846.7
10/20/2004,11.2,6.8,0.00,10.7,8.6,3216.5
10/21/2004,12.6,1.8,0.00,11.1,8.2,4705.1
10/22/2004,12.9,1.2,0.00,11.0,7.4,5147.7
10/23/2004,16.1,9.0,32.26,12.7,9.7,878.8
10/24/2004,12.0,9.6,0.00,12.5,11.0,2902.6
10/25/2004,20.0,2.1,0.00,15.1,8.4,12125.0
10/26/2004,12.5,6.8,0.25,12.9,9.9,7734.5
10/27/2004,12.7,5.8,0.00,12.8,10.3,5129.5
10/28/2004,13.5,5.5,2.79,13.0,9.8,6767.4
10/29/2004,19.3,10.1,11.68,14.9,11.4,1757.1
10/30/2004,20.2,8.2,0.25,15.7,11.7,5965.4
10/31/2004,10.0,5.8,0.00,11.7,9.7,5519.2
11/01/2004,7.3,3.4,17.78,9.8,8.6,2707.8
11/02/2004,7.6,0.8,2.03,9.3,7.2,2337.0
11/03/2004,10.2,-0.7,0.00,11.2,6.1,9937.5
11/04/2004,6.5,3.1,7.11,7.9,6.1,1679.2
11/05/2004,10.3,1.0,0.00,8.3,4.1,9953.9
11/06/2004,15.7,5.0,0.00,11.1,5.7,10635.0
11/07/2004,11.5,-0.4,0.00,10.3,6.4,9891.4
11/08/2004,7.2,-4.9,0.00,7.4,3.6,9346.1
11/09/2004,5.5,-6.1,0.00,5.6,2.5,5421.7
11/10/2004,13.9,-0.2,0.00,8.3,2.8,6797.3
11/11/2004,10.8,-6.0,0.25,7.9,3.8,7951.7
11/12/2004,7.4,-7.9,0.00,6.4,2.0,9715.0
11/13/2004,6.9,-6.8,0.00,6.7,1.7,10226.0
11/14/2004,11.9,-7.1,0.00,7.1,1.6,9891.9
11/15/2004,7.8,-5.1,0.00,4.7,1.8,3551.5
11/16/2004,9.1,5.2,0.00,7.4,4.6,2134.6
11/17/2004,11.9,9.0,1.27,10.0,7.4,1884.4
11/18/2004,13.5,7.8,0.25,11.7,9.7,4618.9
11/19/2004,8.0,4.8,11.43,9.7,8.0,1515.3
11/20/2004,11.3,5.0,2.03,9.7,8.0,979.1
11/21/2004,6.8,1.0,0.00,8.3,5.7,7104.0
11/22/2004,7.8,-2.4,0.00,7.9,3.9,7780.0
11/23/2004,9.2,-2.4,0.00,7.8,4.9,2793.6
11/24/2004,0.4,-2.9,0.00,4.9,3.2,1045.9
11/25/2004,1.2,-7.3,3.05,3.2,2.8,8349.2
11/26/2004,2.0,-3.3,1.27,2.8,2.5,4191.7
11/27/2004,5.0,1.6,16.26,4.1,2.4,843.5
11/28/2004,4.3,-2.1,0.25,4.5,2.4,5127.8
11/29/2004,3.0,-2.7,0.00,3.0,1.8,3185.9
11/30/2004,2.6,-0.3,0.51,4.1,2.5,2143.7
12/01/2004,2.9,-3.1,10.16,2.9,2.2,9176.8
12/02/2004,1.5,-5.2,0.00,2.2,2.0,5084.6
12/03/2004,0.6,-10.6,0.51,2.1,1.7,6710.9
12/04/2004,5.2,-2.9,0.25,2.1,1.7,5083.9
12/05/2004,2.4,-3.7,0.00,2.8,1.4,6327.6
12/06/2004,0.2,-1.9,0.25,1.6,1.4,1195.3
12/07/2004,4.4,0.0,29.46,3.0,1.5,715.9
12/08/2004,4.1,1.2,0.00,4.0,2.7,2087.6
12/09/2004,5.7,0.7,0.00,4.5,2.1,3616.5
12/10/2004,4.0,0.0,2.29,4.2,2.7,1054.0
12/11/2004,2.2,-2.1,0.00,2.7,1.6,2811.1
12/12/2004,2.3,-2.5,2.54,1.6,1.3,1457.4
12/13/2004,0.8,-5.6,0.00,1.4,0.8,3943.6
12/14/2004,-3.3,-7.1,0.00,0.8,0.4,4246.4
12/15/2004,1.2,-8.6,0.00,0.4,-0.4,7955.1
12/16/2004,2.5,-4.7,0.00,0.3,-0.2,2697.6
12/17/2004,-0.6,-11.6,0.00,0.3,-0.5,7198.7
12/18/2004,0.3,-8.1,0.00,0.2,-0.2,1205.0
12/19/2004,-8.1,-21.3,0.00,-0.0,-4.1,8005.4
12/20/2004,-8.3,-21.5,0.00,-2.5,-5.1,2602.4
12/21/2004,0.9,-8.4,0.25,-0.6,-2.5,2476.2
12/22/2004,-4.9,-10.4,0.00,-0.9,-2.1,4293.7
12/23/2004,-5.5,-12.0,0.00,-1.7,-2.5,5849.4
12/24/2004,-11.3,-21.3,0.00,-2.5,-4.2,7797.9
12/25/2004,-11.7,-20.1,0.00,-3.2,-4.4,3392.3
12/26/2004,-4.4,-13.4,0.00,-1.7,-3.2,6768.8
12/27/2004,-5.3,-20.0,0.00,-2.0,-3.9,6325.8
12/28/2004,0.8,-7.4,0.00,-0.7,-2.2,2439.5
12/29/2004,2.7,-1.8,0.00,0.0,-0.7,4973.0
12/30/2004,9.4,-4.7,0.76,0.2,-0.4,1972.7
12/31/2004,12.8,-1.9,3.05,2.3,0.2,6164.4
01/01/2005,-0.9,-5.5,0.00,0.4,0.3,3522.3
01/02/2005,5.6,-2.0,13.46,0.4,0.4,1271.2
01/03/2005,0.5,-1.5,0.00,0.4,0.4,2196.9
01/04/2005,-0.3,-3.5,0.25,0.4,0.4,2091.3
01/05/2005,-3.5,-7.8,0.00,0.4,0.3,2707.3
01/06/2005,-4.7,-9.3,0.00,0.4,0.3,4039.9
01/07/2005,-4.3,-6.7,0.00,0.4,0.3,5678.7
01/08/2005,-2.2,-6.1,0.00,0.3,0.3,3027.3
01/09/2005,0.3,-3.5,0.00,0.4,0.3,2426.8
01/10/2005,0.3,-4.1,1.27,0.4,0.3,5147.2
01/11/2005,-0.6,-4.4,0.25,0.4,0.3,2627.1
01/12/2005,12.3,-1.1,7.11,0.5,0.3,1772.7
01/13/2005,8.9,-4.9,12.19,0.5,0.4,1013.8
01/14/2005,-4.8,-16.5,0.00,0.4,0.3,8377.9
01/15/2005,-9.3,-15.7,0.00,0.3,-1.0,9249.8
01/16/2005,-9.7,-17.5,0.00,-0.9,-2.4,7058.9
01/17/2005,-10.6,-19.5,0.00,-2.1,-3.6,7815.9
01/18/2005,-10.3,-21.0,0.00,-2.6,-4.4,8285.7
01/19/2005,-2.6,-11.9,0.00,-1.2,-3.5,3388.4
01/20/2005,-9.3,-12.4,0.00,-1.7,-2.4,4973.0
01/21/2005,-9.6,-18.0,0.00,-2.4,-4.3,9887.1
01/22/2005,-9.7,-16.4,0.00,-1.9,-3.6,4706.3
01/23/2005,-4.0,-23.0,0.00,-2.8,-4.0,10483.0
01/24/2005,-2.0,-11.1,0.00,-1.5,-3.2,4365.1
01/25/2005,0.0,-4.5,0.76,-0.8,-1.5,4335.7
01/26/2005,-0.1,-18.5,0.00,-0.6,-1.2,9571.7
01/27/2005,-2.8,-25.1,0.25,-1.2,-2.3,11177.0
01/28/2005,-6.3,-24.1,0.00,-2.2,-3.1,10769.0
01/29/2005,6.2,-11.4,0.00,-1.3,-2.5,10542.0
01/30/2005,-1.0,-12.8,0.00,-1.1,-2.2,4409.4
01/31/2005,-0.8,-4.7,0.00,-0.6,-1.2,5207.1
02/01/2005,1.8,-5.7,0.00,-0.4,-0.8,4033.7
02/02/2005,1.3,-9.3,0.00,-0.2,-0.7,5822.7
