
	Warning... 
	   Date Selected:                 20040101:2400
	   First Entry In Datebase:       20040821:2400
	   ...Resetting Date Selected To: 20040821:2400
freeland
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
08/21/2004,22.3,5.5,0.00,23.4,17.5,25219.0
08/22/2004,26.0,3.5,0.00,22.4,17.4,21450.0
08/23/2004,21.9,14.2,0.00,22.2,19.8,13600.0
08/24/2004,29.0,21.3,1.27,23.9,22.6,4363.1
08/25/2004,29.7,19.8,13.97,24.8,21.2,16788.0
08/26/2004,28.1,19.1,3.56,24.3,21.3,16447.0
08/27/2004,30.6,19.6,0.51,25.9,21.9,19701.0
08/28/2004,19.8,16.4,6.86,24.0,20.6,3344.4
08/29/2004,20.3,14.5,10.92,20.6,18.9,6852.0
08/30/2004,23.0,12.7,0.00,23.0,18.2,22035.0
08/31/2004,26.4,10.0,0.00,23.7,18.4,21643.0
09/01/2004,26.4,11.0,0.00,24.4,19.0,19168.0
09/02/2004,27.8,13.2,0.00,25.0,19.8,21459.0
09/03/2004,29.1,12.2,0.00,25.0,20.0,17723.0
09/04/2004,29.3,14.1,0.00,24.7,20.8,14451.0
09/05/2004,29.1,15.7,0.00,25.4,21.2,15347.0
09/06/2004,29.3,18.4,15.24,25.2,21.7,18375.0
09/07/2004,25.6,12.9,0.00,23.9,20.3,21442.0
09/08/2004,22.2,11.5,0.00,22.5,19.4,16117.0
09/09/2004,25.2,10.6,0.00,23.5,18.6,21619.0
09/10/2004,26.4,7.2,0.00,23.5,18.1,21047.0
09/11/2004,26.8,10.6,0.00,22.5,18.8,16906.0
09/12/2004,30.3,12.3,0.00,23.3,18.9,17059.0
09/13/2004,29.6,12.7,0.00,24.1,20.0,19319.0
09/14/2004,29.5,16.5,0.00,23.6,20.4,16997.0
09/15/2004,29.8,18.8,0.00,24.1,20.9,18185.0
09/16/2004,23.6,11.7,0.00,23.6,21.4,19452.0
09/17/2004,19.0,7.1,0.00,21.6,18.7,14482.0
09/18/2004,23.3,5.2,0.00,21.7,17.1,17155.0
