
	Warning... 
	   Date Selected:                 19960101:2400
	   First Entry In Datebase:       19960816:2400
	   ...Resetting Date Selected To: 19960816:2400
hart
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,soil0_max,soil0_min,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
08/16/1996,23.8,13.7,,,1.02,,,7071.1,,,,
08/17/1996,26.9,9.0,,,0.00,,,30283.0,,,,
08/18/1996,28.3,12.0,,,0.00,,,26547.0,,,,
08/19/1996,27.6,18.3,,,12.70,,,14277.0,,,,
08/20/1996,27.5,17.9,,,28.19,,,18863.0,,,,
08/21/1996,29.6,14.8,,,0.00,,,20653.0,,,,
08/22/1996,28.5,21.3,,,0.00,,,14170.0,,,,
08/23/1996,26.6,12.3,,,0.00,,,27052.0,,,,
08/24/1996,27.2,10.7,,,0.00,,,26212.0,,,,
08/25/1996,26.4,17.9,,,0.00,,,26051.0,,,,
08/26/1996,26.5,16.4,,,0.00,,,21057.0,,,,
08/27/1996,22.0,13.9,,,0.00,,,10699.0,,,,
08/28/1996,25.4,12.1,,,0.00,,,22336.0,,,,
08/29/1996,26.0,10.4,,,0.00,,,22966.0,,,,
08/30/1996,26.1,11.1,,,0.00,,,22850.0,,,,
08/31/1996,27.2,10.2,,,0.00,,,22852.0,,,,
09/01/1996,29.1,12.1,,,0.00,,,21635.0,,,,
09/02/1996,29.0,13.3,,,0.00,,,18599.0,,,,
09/03/1996,29.6,14.8,,,0.00,,,21720.0,,,,
09/04/1996,28.8,13.2,,,0.00,,,20915.0,,,,
09/05/1996,31.6,14.2,,,0.00,,,21743.0,,,,
09/06/1996,29.1,16.0,,,0.00,,,16641.0,,,,
09/07/1996,28.3,16.4,,,0.00,,,14509.0,,,,
09/08/1996,28.5,12.8,,,0.25,,,18563.0,,,,
09/09/1996,23.7,14.9,,,13.72,,,11560.0,,,,
09/10/1996,25.2,11.5,,,0.00,,,21111.0,,,,
09/11/1996,24.3,13.0,,,3.05,,,21448.0,,,,
09/12/1996,20.1,9.5,,,7.87,,,13956.0,,,,
09/13/1996,11.6,8.2,,,0.51,,,4064.3,,,,
09/14/1996,11.0,8.2,,,6.86,,,3144.0,,,,
09/15/1996,16.2,8.4,,,0.51,,,13226.0,,,,
09/16/1996,20.7,6.0,,,0.00,,,12295.0,,,,
09/17/1996,19.2,9.9,,,0.00,,,15026.0,,,,
09/18/1996,19.4,6.1,,,0.00,,,20761.0,,,,
09/19/1996,22.4,3.9,,,0.00,,,21292.0,,,,
09/20/1996,23.1,7.4,,,0.00,,,15442.0,,,,
09/21/1996,17.5,13.2,,,0.00,,,5732.8,,,,
09/22/1996,17.9,7.7,,,1.78,,,10504.0,,,,
09/23/1996,18.9,6.5,,,0.25,,,9537.0,,,,
09/24/1996,17.2,9.9,,,5.84,,,18496.0,,,,
09/25/1996,19.4,2.5,,,0.00,,,18930.0,,,,
09/26/1996,15.6,8.8,,,23.11,,,2725.2,,,,
09/27/1996,19.1,11.6,,,12.19,,,6046.6,,,,
09/28/1996,14.1,10.8,,,0.00,,,8865.6,,,,
09/29/1996,15.0,2.2,,,0.25,,,14160.0,,,,
09/30/1996,20.2,5.4,,,0.00,,,7719.0,,,,
10/01/1996,22.0,14.3,,,0.00,,,17517.0,,,,
10/02/1996,19.3,5.0,,,0.00,,,4151.6,,,,
10/03/1996,11.6,0.1,,,0.00,,,15289.0,,,,
10/04/1996,11.2,-0.7,,,0.00,,,10186.0,,,,
10/05/1996,18.1,4.9,,,0.00,,,15415.0,,,,
10/06/1996,20.6,11.0,,,0.00,,,8883.2,,,,
10/07/1996,16.5,6.9,,,3.30,,,4028.8,,,,
10/08/1996,13.0,2.2,,,0.00,,,11755.0,,,,
10/09/1996,12.4,-1.8,,,1.02,,,11454.0,,,,
10/10/1996,10.0,-0.8,,,0.51,,,9961.3,,,,
10/11/1996,12.2,-2.7,,,0.00,,,13999.0,,,,
10/12/1996,16.8,11.1,,,0.00,,,13470.0,,,,
10/13/1996,20.2,7.2,,,0.00,,,10262.0,,,,
10/14/1996,15.8,1.1,,,0.00,,,14556.0,,,,
10/15/1996,18.8,4.9,,,0.00,,,10076.0,,,,
10/16/1996,22.3,12.2,,,0.00,,,12178.0,,,,
10/17/1996,23.8,10.4,,,30.99,,,8336.9,,,,
10/18/1996,10.8,7.4,,,0.00,,,7203.5,,,,
10/19/1996,11.4,-1.1,,,0.00,,,15423.0,,,,
10/20/1996,17.6,-0.7,,,0.00,,,9919.6,,,,
10/21/1996,20.0,3.2,,,0.00,,,12932.0,,,,
10/22/1996,14.7,7.9,,,3.81,,,4782.5,,,,
10/23/1996,13.9,5.1,,,16.76,,,3038.0,,,,
10/24/1996,8.6,5.1,,,2.03,,,2919.5,,,,
10/25/1996,18.0,1.2,,,0.00,,,12578.0,,,,
10/26/1996,17.4,8.3,,,0.00,,,4843.9,,,,
10/27/1996,17.6,9.4,,,0.00,,,8969.5,,,,
10/28/1996,9.8,0.2,,,0.00,,,13133.0,,,,
10/29/1996,12.6,-0.2,,,35.81,,,2229.6,,,,
10/30/1996,12.3,-0.2,,,5.59,,,3763.2,,,,
10/31/1996,1.7,-2.0,,,0.00,,,8206.9,,,,
11/01/1996,1.9,-1.1,,,0.00,,,7491.7,,,,
11/02/1996,3.6,-1.5,,,0.51,,,7805.3,,,,
11/03/1996,6.7,-0.3,,,0.00,,,10983.0,,,,
11/04/1996,9.5,5.7,,,0.00,,,3905.7,,,,
11/05/1996,9.9,3.1,,,0.00,,,5200.3,,,,
11/06/1996,17.2,7.5,,,3.30,,,2752.7,,,,
11/07/1996,15.4,4.3,,,8.64,,,2930.2,,,,
11/08/1996,10.4,-3.5,,,0.76,,,9628.3,,,,
11/09/1996,5.0,-1.6,,,2.79,,,6484.7,,,,
11/10/1996,0.5,-2.7,,,0.00,,,3593.2,,,,
11/11/1996,-0.3,-3.3,,,0.00,,,4472.7,,,,
11/12/1996,-2.3,-5.2,,,0.00,,,4986.9,,,,
11/13/1996,-1.1,-6.6,,,0.00,,,4574.3,,,,
11/14/1996,0.9,-10.6,,,0.00,,,7852.5,,,,
11/15/1996,1.8,-11.0,,,0.00,,,5198.6,,,,
11/16/1996,10.5,1.3,,,0.76,,,8417.3,,,,
11/17/1996,10.7,0.1,,,4.32,,,1562.6,,,,
11/18/1996,0.8,-1.8,,,0.00,,,5055.1,,,,
11/19/1996,-0.3,-3.2,,,0.00,,,3624.6,,,,
11/20/1996,0.1,-2.4,,,0.00,,,2009.4,,,,
11/21/1996,0.3,-2.6,,,0.00,,,2016.2,,,,
11/22/1996,4.2,-0.5,,,0.00,,,8311.4,,,,
11/23/1996,3.8,-2.8,,,4.06,,,1143.8,,,,
11/24/1996,-1.6,-3.7,,,0.00,,,1712.7,,,,
11/25/1996,2.3,-3.3,,,0.25,,,4068.5,,,,
11/26/1996,-1.7,-5.2,,,0.00,,,2233.1,,,,
11/27/1996,-2.3,-4.1,,,0.00,,,1962.9,,,,
11/28/1996,2.4,-4.1,,,3.30,,,5888.5,,,,
11/29/1996,4.6,-5.5,,,1.27,,,4914.0,,,,
11/30/1996,7.1,1.2,,,6.10,,,1075.1,,,,
12/01/1996,3.1,-2.8,,,2.03,,,1024.8,,,,
12/02/1996,-2.6,-4.2,,,0.00,,,2775.3,,,,
12/03/1996,0.8,-3.3,,,2.54,,,4204.5,,,,
12/04/1996,3.9,-7.3,,,2.03,,,6996.4,,,,
12/05/1996,-0.7,-2.1,,,0.00,,,2507.9,,,,
12/06/1996,2.4,-1.1,,,2.29,,,2353.8,,,,
12/07/1996,3.2,-1.3,,,0.76,,,6999.3,,,,
12/08/1996,1.6,-2.7,,,0.25,,,1645.9,,,,
12/09/1996,0.3,-1.7,,,0.25,,,2479.1,,,,
12/10/1996,3.0,-3.5,,,0.00,,,3279.1,,,,
12/11/1996,2.1,-0.4,,,3.05,,,1637.5,,,,
12/12/1996,1.9,0.2,,,0.25,,,1068.9,,,,
12/13/1996,5.6,0.0,,,0.00,,,6953.9,,,,
12/14/1996,6.1,0.5,,,1.27,,,4652.4,,,,
12/15/1996,5.7,0.2,,,4.57,,,833.2,,,,
12/16/1996,0.4,-2.0,,,0.00,,,1913.4,,,,
12/17/1996,2.3,-3.1,,,4.06,,,2793.2,,,,
12/18/1996,-3.1,-10.1,,,0.00,,,4744.7,,,,
12/19/1996,-8.3,-19.7,,,0.00,,,4350.3,,,,
12/20/1996,-5.2,-18.6,,,0.00,,,4928.5,,,,
12/21/1996,1.8,-10.8,,,0.25,,,2489.2,,,,
12/22/1996,3.1,-3.3,,,2.03,,,4106.9,,,,
12/23/1996,6.3,-0.2,,,9.65,,,1235.3,,,,
12/24/1996,6.2,-7.8,,,0.00,,,4205.8,,,,
12/25/1996,-7.8,-12.8,,,0.00,,,4018.0,,,,
12/26/1996,-7.7,-12.2,,,0.00,,,4127.0,,,,
12/27/1996,-3.1,-10.3,,,0.00,,,1818.0,,,,
12/28/1996,3.3,-3.1,,,6.60,,,3135.2,,,,
12/29/1996,1.3,-3.5,,,0.00,,,1919.6,,,,
12/30/1996,-2.4,-4.1,,,0.00,,,1670.3,,,,
12/31/1996,-2.5,-5.1,,,0.00,,,4228.5,,,,
01/01/1997,2.2,-5.1,,,2.29,,,1777.1,,,,
01/02/1997,6.1,0.3,,,0.51,,,1744.7,,,,
01/03/1997,2.7,-1.1,,,0.00,,,2683.5,,,,
01/04/1997,14.1,1.4,,,14.22,,,551.1,,,,
01/05/1997,4.5,-7.3,,,0.25,,,1259.4,,,,
01/06/1997,-6.6,-8.5,,,0.00,,,2101.1,,,,
01/07/1997,-3.9,-8.8,,,0.00,,,4481.5,,,,
01/08/1997,-0.9,-8.3,,,0.76,,,6558.7,,,,
01/09/1997,-4.8,-8.1,,,0.00,,,3326.3,,,,
01/10/1997,-2.3,-8.5,,,0.00,,,4722.7,,,,
01/11/1997,-6.4,-9.9,,,0.00,,,3505.2,,,,
01/12/1997,-9.2,-11.1,,,0.00,,,5565.3,,,,
01/13/1997,-6.5,-9.7,,,0.00,,,3734.4,,,,
01/14/1997,-3.0,-9.0,,,1.52,,,9053.3,,,,
01/15/1997,-2.7,-8.6,,,0.00,,,2385.3,,,,
01/16/1997,-5.6,-17.6,,,0.00,,,5314.5,,,,
01/17/1997,-13.2,-17.4,,,0.00,,,6416.4,,,,
01/18/1997,-7.3,-14.3,,,0.00,,,5584.1,,,,
01/19/1997,-2.6,-18.0,,,0.00,,,4054.5,,,,
01/20/1997,3.1,-6.0,,,0.25,,,8256.6,,,,
01/21/1997,6.3,-8.0,,,8.13,,,7215.6,,,,
