
	Warning... 
	   Date Selected:                 20150101:2400
	   First Entry In Datebase:       20150402:2400
	   ...Resetting Date Selected To: 20150402:2400
haslett
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,soil0_max,soil0_min,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
04/02/2015,16.7,6.6,,,3.81,8.9,5.6,6059.6,,,,
04/03/2015,11.0,-2.0,,,0.00,7.8,4.9,5613.1,,,,
04/04/2015,11.5,-5.5,,,0.00,8.7,1.6,18574.7,,,,
04/05/2015,14.6,2.6,,,0.00,9.1,3.9,10954.8,,,,
04/06/2015,18.3,0.6,,,0.00,11.1,3.8,13929.9,,,,
04/07/2015,12.3,1.5,,,0.00,9.2,5.7,8664.2,,,,
04/08/2015,6.0,2.3,,,3.05,7.3,5.6,2990.3,,,,
04/09/2015,18.9,2.6,,,8.13,9.4,5.3,3357.3,,,,
04/10/2015,19.6,4.2,,,5.59,11.6,8.1,12819.6,,,,
04/11/2015,16.6,-0.3,,,0.00,14.7,4.7,22024.8,,,,
04/12/2015,19.7,4.9,,,0.00,14.7,5.8,20316.6,,,,
04/13/2015,19.5,7.4,,,0.25,12.0,8.6,9563.9,,,,
04/14/2015,,,,,0.00,15.8,5.7,,,,,
04/15/2015,19.2,5.3,,,0.00,16.4,7.3,26079.0,,,,
04/16/2015,15.6,7.5,,,0.00,12.0,9.0,7768.2,,,,
04/17/2015,26.3,5.2,,,0.00,17.9,8.4,25262.6,,,,
04/18/2015,21.4,8.1,,,0.00,17.2,10.3,26229.0,,,,
04/19/2015,20.9,5.3,,,4.83,15.9,9.5,17298.9,,,,
04/20/2015,15.1,5.3,,,2.03,12.8,9.7,5823.5,,,,
04/21/2015,8.3,2.9,,,0.25,9.7,6.9,7253.5,,,,
04/22/2015,4.9,0.4,,,0.25,6.9,5.1,7236.5,,,,
04/23/2015,5.4,-1.5,,,0.00,6.4,3.7,9982.8,,,,
04/24/2015,14.3,-3.3,,,0.00,12.9,2.0,27015.3,,,,
04/25/2015,14.2,3.8,,,0.00,13.0,7.1,18305.1,,,,
04/26/2015,15.8,-1.5,,,0.00,12.5,5.5,21613.6,,,,
04/27/2015,12.7,1.9,,,0.00,9.9,7.0,9163.6,,,,
04/28/2015,18.8,1.7,,,0.00,15.4,5.3,26420.0,,,,
04/29/2015,20.9,2.8,,,1.52,15.4,7.7,21338.8,,,,
04/30/2015,18.2,2.0,,,0.00,14.1,7.9,19395.9,,,,
05/01/2015,24.2,4.5,,,0.00,17.3,8.3,26514.8,,,,
05/02/2015,24.6,7.5,,,0.00,19.0,10.1,27262.6,,,,
05/03/2015,27.0,11.0,,,0.00,19.2,11.3,25258.7,,,,
05/04/2015,25.7,14.2,,,1.78,19.8,14.2,20499.2,,,,
05/05/2015,16.1,8.5,,,12.19,16.1,12.6,3793.2,,,,
05/06/2015,24.0,10.1,,,0.00,20.3,12.0,19798.6,,,,
