
	Warning... 
	   Date Selected:                 20080101:2400
	   First Entry In Datebase:       20080920:2400
	   ...Resetting Date Selected To: 20080920:2400
kalamazoo
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
09/20/2008,28.7,7.9,0.00,25.0,12.8,18505.0
09/21/2008,25.9,9.3,0.00,24.0,14.1,15507.8
09/22/2008,26.5,12.1,0.00,24.4,15.1,17224.8
09/23/2008,28.3,9.3,0.00,24.3,13.5,18548.2
09/24/2008,29.5,11.8,0.00,24.7,14.3,16918.6
09/25/2008,29.6,9.3,0.00,24.5,14.4,17062.9
09/26/2008,27.2,5.8,0.00,23.8,13.1,18338.0
09/27/2008,27.5,4.6,0.00,23.5,12.1,18207.4
09/28/2008,22.7,7.9,0.00,22.1,13.3,11550.1
09/29/2008,20.0,10.0,20.57,19.5,15.1,4599.8
09/30/2008,16.8,9.6,4.83,18.9,13.9,8349.5
10/01/2008,15.0,4.6,0.25,16.9,10.5,7874.5
10/02/2008,13.8,2.8,5.08,14.3,9.7,4795.3
10/03/2008,15.6,0.6,0.25,16.9,8.8,14803.5
10/04/2008,17.0,-2.6,0.00,16.4,6.4,15740.8
10/05/2008,17.2,-1.5,1.78,15.5,6.7,11379.8
10/06/2008,17.1,9.3,0.25,15.7,11.4,7413.3
10/07/2008,18.6,7.1,2.03,16.1,9.9,10250.3
10/08/2008,17.2,9.4,10.92,17.1,11.7,2696.2
10/09/2008,20.6,2.8,0.25,17.2,9.6,15657.6
10/10/2008,23.2,0.2,0.00,16.9,7.8,15397.6
10/11/2008,27.8,2.2,0.00,18.9,8.6,13753.3
10/12/2008,29.1,5.2,0.00,19.8,10.1,14415.0
10/13/2008,28.5,7.0,0.00,20.5,11.0,11646.9
10/14/2008,21.9,3.0,0.76,18.6,11.0,13588.0
10/15/2008,17.6,3.0,9.91,16.7,10.8,4716.9
10/16/2008,16.6,2.4,0.25,15.3,9.7,13027.7
10/17/2008,16.8,0.2,0.00,15.2,8.2,10690.8
10/18/2008,17.0,-0.9,0.00,14.7,7.9,13009.8
10/19/2008,16.9,-1.0,0.00,13.2,6.1,13338.5
