
	Warning... 
	   Date Selected:                 20120101:2400
	   First Entry In Datebase:       20120322:2400
	   ...Resetting Date Selected To: 20120322:2400
kalkaska
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
03/22/2012,20.8,10.4,1.78,17.6,13.3,10305.8
03/23/2012,15.3,9.6,13.21,14.9,12.4,3205.1
03/24/2012,15.2,8.5,0.00,13.4,10.2,7440.2
03/25/2012,9.8,-1.4,0.00,12.7,6.9,14744.2
03/26/2012,8.1,-5.0,0.00,10.9,2.5,19770.8
03/27/2012,12.6,-3.2,0.00,8.2,2.5,9044.1
03/28/2012,15.3,2.2,0.25,7.3,4.6,4493.5
03/29/2012,7.5,-0.6,0.00,10.1,3.0,13048.1
03/30/2012,1.0,-2.3,3.56,5.2,1.7,4633.1
03/31/2012,6.0,-0.8,0.00,7.3,1.5,9863.7
04/01/2012,10.5,1.0,0.00,9.0,3.6,10265.5
04/02/2012,14.7,-0.1,0.00,13.2,2.8,20164.7
04/03/2012,13.0,1.2,0.51,11.2,5.5,11496.9
04/04/2012,12.4,-1.9,0.00,12.6,2.8,21910.9
04/05/2012,9.9,-5.2,0.00,12.5,2.5,21342.1
04/06/2012,14.0,-6.7,0.00,14.5,2.2,22652.9
04/07/2012,18.4,-6.2,0.00,16.1,3.0,21296.4
04/08/2012,12.3,0.9,4.57,13.0,7.5,21804.8
04/09/2012,13.0,-3.9,0.00,12.3,3.7,16956.4
04/10/2012,5.9,-0.2,0.00,8.6,4.2,14286.7
04/11/2012,9.7,-1.4,0.00,12.4,2.4,22968.0
04/12/2012,12.1,-4.5,0.00,14.2,2.7,21804.8
04/13/2012,17.8,-5.2,0.00,15.3,3.5,20448.0
04/14/2012,22.2,10.4,0.25,19.4,9.4,19654.1
04/15/2012,20.5,11.8,6.10,15.6,12.8,5219.9
04/16/2012,19.5,-0.4,5.59,14.9,7.1,7032.8
04/17/2012,7.7,-2.3,0.00,10.9,3.8,14751.6
04/18/2012,14.9,-3.7,1.78,9.6,3.6,11190.2
04/19/2012,12.9,2.8,7.37,14.1,5.8,18225.7
04/20/2012,4.6,2.0,23.62,8.9,5.5,3331.4
04/21/2012,11.4,-3.5,0.00,12.9,2.6,24839.2
04/22/2012,12.8,-4.0,0.00,14.0,3.2,25494.9
04/23/2012,11.8,-3.0,0.00,13.3,3.7,25748.6
04/24/2012,12.8,1.4,0.00,13.4,4.8,23104.9
04/25/2012,15.5,-2.6,0.00,13.1,4.4,16918.2
04/26/2012,8.0,-0.7,3.56,10.4,5.4,10986.8
04/27/2012,9.0,-4.2,0.00,13.2,2.5,25989.7
04/28/2012,12.2,-0.8,0.00,13.4,4.5,18617.2
04/29/2012,20.2,-5.5,0.00,17.7,4.0,25104.1
04/30/2012,10.4,3.7,1.78,12.0,8.3,6814.1
05/01/2012,19.9,6.5,0.00,17.7,8.3,20642.3
05/02/2012,21.6,7.9,6.60,16.5,10.5,10533.9
05/03/2012,19.1,9.6,31.75,16.9,12.6,7142.0
05/04/2012,21.2,9.6,0.00,19.9,13.1,16466.3
05/05/2012,16.7,7.1,0.25,15.9,11.2,13084.3
05/06/2012,17.9,6.6,1.52,13.9,10.4,8515.2
05/07/2012,16.1,8.1,3.05,14.4,10.8,8282.4
05/08/2012,19.6,3.6,0.25,17.2,9.6,19627.8
05/09/2012,13.0,2.2,0.00,14.7,10.4,14065.6
05/10/2012,17.1,1.3,0.00,19.2,7.1,27440.3
05/11/2012,24.9,2.3,0.00,22.2,9.4,27163.4
05/12/2012,18.3,5.0,0.00,20.4,14.1,18286.5
05/13/2012,21.8,-1.3,0.00,23.4,9.7,28260.1
05/14/2012,25.9,1.1,0.00,24.5,11.3,27150.2
05/15/2012,29.4,7.0,0.51,24.4,14.5,19222.5
05/16/2012,14.6,1.4,0.00,21.9,11.2,26887.3
05/17/2012,21.3,-2.0,0.00,23.7,10.1,25873.0
05/18/2012,27.6,10.3,0.00,26.5,14.4,26532.1
05/19/2012,31.2,8.7,0.00,29.0,16.2,27454.6
05/20/2012,32.5,16.2,5.59,29.6,19.0,24448.3
05/21/2012,17.9,7.1,1.78,24.1,16.0,14405.1
05/22/2012,22.5,3.6,0.00,25.9,12.1,28334.5
05/23/2012,26.5,6.4,0.00,28.3,14.8,27004.3
05/24/2012,29.4,13.6,0.00,29.2,17.6,27824.1
05/25/2012,25.1,14.7,0.00,30.5,21.2,26483.0
05/26/2012,23.2,10.6,0.00,24.2,19.6,12911.0
05/27/2012,24.6,13.5,34.04,21.2,16.7,10315.9
05/28/2012,30.5,16.6,4.32,24.7,17.8,20851.9
05/29/2012,23.0,10.9,0.25,23.0,18.1,25614.5
05/30/2012,13.2,6.0,0.00,20.5,14.9,20191.8
05/31/2012,15.5,2.4,0.00,18.2,12.2,16545.4
06/01/2012,9.8,6.6,27.18,15.1,9.2,3294.6
06/02/2012,11.9,7.5,34.54,11.9,8.5,7088.4
06/03/2012,18.9,9.6,0.51,18.6,10.6,25296.4
06/04/2012,22.0,6.6,0.00,19.7,11.4,22054.9
06/05/2012,21.6,7.9,0.00,20.5,13.3,19784.9
06/06/2012,24.1,5.5,0.00,23.7,12.8,23601.7
06/07/2012,25.9,7.2,0.00,26.6,14.2,28952.2
