
	Warning... 
	   Date Selected:                 20030101:2400
	   First Entry In Datebase:       20030503:2400
	   ...Resetting Date Selected To: 20030503:2400
kewadin
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/03/2003,15.3,-0.8,0.00,15.1,6.1,28122.0
05/04/2003,19.6,3.2,0.00,16.1,7.7,25357.0
05/05/2003,12.8,6.8,1.02,12.7,9.3,2651.9
05/06/2003,9.8,5.2,0.51,10.6,8.5,4635.3
05/07/2003,19.6,4.3,0.25,16.8,8.1,21295.0
05/08/2003,21.9,9.8,0.00,18.9,10.7,26272.0
05/09/2003,20.4,10.4,0.00,16.2,11.6,15063.0
05/10/2003,21.0,10.3,0.00,19.9,11.1,26147.0
05/11/2003,16.8,4.5,24.64,16.0,10.7,5210.3
05/12/2003,6.0,3.8,2.29,10.7,7.6,3751.9
05/13/2003,16.7,2.8,0.00,15.3,5.8,28642.0
05/14/2003,20.7,2.7,0.00,17.6,7.7,26784.0
05/15/2003,19.6,8.6,0.00,18.6,10.3,25440.0
05/16/2003,16.7,9.5,0.00,15.6,12.0,8398.1
05/17/2003,20.6,10.8,0.00,19.5,12.3,16157.0
05/18/2003,24.2,8.1,0.00,21.5,11.8,24409.0
05/19/2003,26.9,12.2,0.76,23.4,13.9,24639.0
05/20/2003,18.4,5.3,4.57,19.1,12.5,18301.0
05/21/2003,16.4,0.9,0.00,19.4,9.0,28866.0
05/22/2003,17.8,1.3,0.00,20.2,9.7,28831.0
05/23/2003,17.8,8.2,2.29,16.6,12.0,13317.0
05/24/2003,13.3,4.9,0.25,14.0,10.8,9011.1
05/25/2003,17.8,6.5,0.00,17.7,10.8,15174.0
05/26/2003,19.6,6.2,0.00,19.1,11.5,19816.0
05/27/2003,23.1,6.4,0.00,22.0,12.1,28762.0
05/28/2003,25.1,9.3,0.00,23.1,13.5,26830.0
05/29/2003,19.3,7.3,0.00,21.1,15.0,20381.0
05/30/2003,15.5,7.8,5.84,16.8,13.5,4914.6
05/31/2003,11.7,3.3,1.52,17.0,12.1,19637.0
06/01/2003,17.0,1.7,0.00,19.9,9.1,27937.0
06/02/2003,21.9,4.8,0.00,21.9,11.4,27028.0
06/03/2003,23.0,8.4,0.00,21.6,13.6,19605.0
06/04/2003,19.4,8.6,0.00,18.7,13.2,13344.0
06/05/2003,22.2,8.8,0.00,22.1,13.2,26162.0
06/06/2003,23.7,10.9,0.00,20.8,14.4,16166.0
06/07/2003,20.7,9.8,1.52,20.5,15.4,15353.0
06/08/2003,18.6,8.2,4.57,19.1,14.5,9875.8
06/09/2003,17.8,9.8,3.05,20.5,13.7,20638.0
06/10/2003,16.2,8.6,24.89,16.5,13.4,3273.2
06/11/2003,23.0,8.3,0.00,21.5,13.2,23396.0
06/12/2003,23.4,11.6,0.00,23.8,14.1,28433.0
06/13/2003,23.6,11.4,0.00,25.8,16.1,26163.0
06/14/2003,23.0,10.4,0.00,26.4,16.6,29435.0
06/15/2003,25.5,9.1,0.00,27.1,16.9,29358.0
06/16/2003,25.6,9.9,0.00,27.6,17.0,30431.0
06/17/2003,26.3,11.8,0.00,28.3,17.7,29893.0
06/18/2003,24.5,12.6,0.00,28.2,19.2,26646.0
06/19/2003,19.2,10.2,0.00,26.1,17.7,30632.0
06/20/2003,22.2,7.8,0.00,26.7,16.7,29496.0
06/21/2003,25.9,9.4,0.00,28.0,17.2,30576.0
06/22/2003,29.1,9.6,0.00,29.0,17.8,30342.0
06/23/2003,31.1,13.1,0.00,28.9,19.2,29563.0
06/24/2003,30.6,20.3,0.00,28.6,21.6,22104.0
06/25/2003,33.2,23.0,0.00,30.4,22.5,26570.0
06/26/2003,25.1,14.7,0.76,26.1,21.6,14409.0
06/27/2003,22.2,13.1,1.02,25.7,18.5,22697.0
06/28/2003,17.4,10.5,9.40,20.7,17.2,10293.0
06/29/2003,19.1,13.4,1.52,21.2,17.3,12590.0
06/30/2003,24.8,12.2,0.00,27.6,15.4,29359.0
07/01/2003,29.0,14.4,0.00,28.8,18.5,27484.0
07/02/2003,29.2,14.4,0.00,28.3,19.7,26608.0
07/03/2003,29.5,19.8,0.00,26.4,21.2,17312.0
07/04/2003,28.9,18.5,0.00,27.3,20.9,18207.0
07/05/2003,27.8,17.9,0.00,29.7,20.9,23857.0
07/06/2003,29.5,14.5,0.00,27.2,20.6,19637.0
07/07/2003,28.1,17.3,0.00,30.7,21.3,25022.0
07/08/2003,23.9,15.5,0.00,28.3,21.8,20534.0
07/09/2003,25.0,11.6,0.00,27.5,19.4,21730.0
07/10/2003,19.2,13.2,45.97,23.6,18.9,2624.4
07/11/2003,16.6,13.6,12.95,19.4,16.3,3202.4
07/12/2003,23.0,13.4,0.00,24.1,15.3,26050.0
07/13/2003,27.0,12.6,0.00,27.7,16.5,28151.0
07/14/2003,27.9,15.9,0.00,28.3,18.6,26398.0
07/15/2003,23.9,13.4,0.76,24.9,20.2,12557.0
07/16/2003,24.0,11.9,0.00,28.2,17.9,27811.0
07/17/2003,23.6,14.6,0.25,27.6,20.8,20652.0
07/18/2003,22.8,9.7,0.00,28.0,18.1,28145.0
07/19/2003,25.8,10.8,0.00,27.9,18.5,26306.0
07/20/2003,25.6,15.8,1.78,27.7,20.0,21374.0
07/21/2003,23.2,15.5,7.37,26.1,20.6,17374.0
07/22/2003,23.6,13.8,0.00,28.4,19.1,25169.0
07/23/2003,23.5,12.8,0.00,28.9,19.4,27790.0
07/24/2003,25.6,12.2,0.00,29.1,19.5,27588.0
07/25/2003,26.8,16.5,0.00,28.0,20.6,25530.0
07/26/2003,25.2,18.3,12.70,24.7,20.9,12128.0
07/27/2003,23.5,14.9,0.00,28.4,21.2,23304.0
07/28/2003,23.7,12.1,0.00,28.6,18.9,25332.0
07/29/2003,27.1,13.0,0.00,28.6,19.2,24321.0
07/30/2003,28.1,16.7,0.00,27.8,20.6,22643.0
07/31/2003,28.2,18.3,0.00,30.3,21.6,24520.0
08/01/2003,25.2,16.9,15.75,26.7,21.3,16324.0
08/02/2003,25.3,16.9,0.25,26.5,20.9,14727.0
08/03/2003,26.7,17.1,11.43,26.6,20.4,12263.0
08/04/2003,23.1,16.6,0.00,26.1,19.7,18608.0
08/05/2003,25.2,16.7,0.00,25.4,20.5,13122.0
08/06/2003,25.6,16.6,0.00,29.0,20.1,23096.0
08/07/2003,25.4,17.9,0.00,29.0,21.9,19484.0
08/08/2003,25.4,18.1,0.00,29.3,22.6,21453.0
08/09/2003,25.8,16.9,0.00,27.5,22.4,15774.0
08/10/2003,27.7,16.1,0.00,29.9,20.9,24318.0
08/11/2003,22.0,18.1,0.00,25.6,22.5,9647.0
08/12/2003,25.4,15.5,0.00,28.2,20.2,18842.0
08/13/2003,28.3,15.4,0.00,30.1,20.5,24186.0
08/14/2003,30.0,17.2,0.00,31.1,21.7,23344.0
08/15/2003,29.6,19.9,0.00,30.8,23.1,21640.0
08/16/2003,29.5,20.8,0.00,32.2,24.0,23699.0
08/17/2003,28.5,16.7,0.00,31.0,22.5,22790.0
08/18/2003,28.2,14.7,0.00,31.0,21.8,24511.0
08/19/2003,30.1,16.5,0.00,30.4,22.0,21529.0
08/20/2003,32.4,18.2,0.00,31.1,22.6,22154.0
08/21/2003,30.2,20.2,3.81,29.0,23.6,17317.0
08/22/2003,26.5,16.1,0.00,30.1,20.7,23934.0
08/23/2003,24.0,13.7,0.00,28.6,19.9,21342.0
08/24/2003,27.4,13.0,0.25,25.5,20.3,13681.0
08/25/2003,32.0,18.2,0.00,29.4,20.9,17617.0
