
	Warning... 
	   Date Selected:                 20020101:2400
	   First Entry In Datebase:       20020419:2400
	   ...Resetting Date Selected To: 20020419:2400
ludington
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,soil0_max,soil1_min,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
04/19/2002,16.7,5.2,,,13.46,17.3,12.3,20323.0,,,,
04/20/2002,10.3,1.4,,,0.00,15.2,8.9,24571.0,,,,
04/21/2002,6.4,-1.8,,,0.25,9.6,6.7,7896.8,,,,
04/22/2002,5.3,-2.3,,,2.29,8.4,5.6,12138.0,,,,
04/23/2002,9.3,-1.0,,,0.00,12.3,3.8,27836.0,,,,
04/24/2002,21.1,2.9,,,10.67,14.5,6.3,18328.0,,,,
04/25/2002,7.4,2.3,,,0.51,9.2,5.9,19856.0,,,,
04/26/2002,7.8,-1.8,,,0.00,11.1,4.8,26802.0,,,,
04/27/2002,8.8,-1.9,,,4.32,8.1,5.1,6020.0,,,,
04/28/2002,5.3,2.4,,,13.46,6.8,5.6,5400.8,,,,
04/29/2002,9.4,2.1,,,0.51,7.6,5.3,9199.9,,,,
04/30/2002,11.8,4.4,,,0.76,12.0,5.7,29068.0,,,,
05/01/2002,14.0,3.2,,,1.27,11.2,7.2,14986.0,,,,
05/02/2002,8.2,2.4,,,6.60,9.9,7.5,15052.0,,,,
05/03/2002,9.1,-0.6,,,0.00,12.1,5.1,29440.0,,,,
05/04/2002,15.8,-2.8,,,0.00,12.7,4.9,29175.0,,,,
05/05/2002,17.1,5.2,,,0.00,15.4,8.2,28295.0,,,,
05/06/2002,20.5,10.8,,,3.81,15.4,11.5,13518.0,,,,
05/07/2002,16.6,5.8,,,0.76,14.5,10.7,19702.0,,,,
05/08/2002,16.3,5.9,,,0.00,12.9,9.2,14384.0,,,,
05/09/2002,14.1,7.2,,,20.83,13.4,10.2,16658.0,,,,
05/10/2002,13.7,5.6,,,0.00,13.9,7.6,29925.0,,,,
05/11/2002,13.5,0.3,,,1.78,10.9,7.3,7803.7,,,,
05/12/2002,9.2,5.2,,,14.99,9.7,7.6,4013.8,,,,
05/13/2002,13.3,5.6,,,0.00,12.7,8.1,19875.0,,,,
05/14/2002,13.2,3.4,,,0.00,14.5,7.8,29633.0,,,,
05/15/2002,20.2,-1.9,,,0.00,15.0,6.9,28708.0,,,,
05/16/2002,16.4,2.2,,,2.79,14.0,9.9,12615.0,,,,
05/17/2002,7.2,-1.1,,,0.00,10.9,6.9,17878.0,,,,
05/18/2002,7.5,-1.4,,,0.00,12.1,5.7,25009.0,,,,
05/19/2002,10.4,-3.8,,,0.00,13.6,5.6,29862.0,,,,
