
	Warning... 
	   Date Selected:                 20090101:2400
	   First Entry In Datebase:       20090521:2400
	   ...Resetting Date Selected To: 20090521:2400
mcbain
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/21/2009,25.3,12.3,0.00,17.3,11.9,25979.8
05/22/2009,23.5,9.4,1.52,18.2,12.8,24493.8
05/23/2009,23.5,8.4,0.25,17.9,12.8,19076.5
05/24/2009,23.4,8.4,0.00,19.2,13.5,28196.7
05/25/2009,18.0,2.7,0.00,16.9,12.3,27850.5
05/26/2009,17.1,7.2,0.00,14.3,12.4,8996.0
05/27/2009,14.0,10.3,20.57,13.6,12.8,3007.6
05/28/2009,14.0,7.2,0.25,13.8,12.2,7234.0
05/29/2009,18.7,4.9,0.00,16.2,10.4,28676.6
05/30/2009,19.0,2.5,5.08,15.2,10.9,23165.6
05/31/2009,16.1,-0.6,0.00,15.7,9.9,26793.6
06/01/2009,19.2,4.2,1.52,14.9,11.8,15429.2
06/02/2009,19.4,1.2,0.00,15.6,10.4,22512.9
06/03/2009,16.6,3.9,0.00,17.0,11.8,31185.5
06/04/2009,21.5,-0.1,0.00,17.7,10.8,29848.7
06/05/2009,22.5,1.8,0.00,17.6,11.8,29791.7
06/06/2009,16.5,3.9,0.76,15.5,12.8,14703.2
06/07/2009,12.9,6.3,9.65,14.1,12.1,8504.0
06/08/2009,13.8,8.8,38.61,12.8,11.4,2488.7
06/09/2009,19.1,7.9,0.00,15.3,11.2,21725.0
06/10/2009,22.4,8.0,0.00,17.2,12.4,24746.1
06/11/2009,18.8,10.0,0.00,15.9,13.8,11015.6
06/12/2009,23.0,6.1,0.00,17.8,12.8,24507.1
06/13/2009,25.9,8.4,0.00,18.6,13.8,25813.3
06/14/2009,25.3,6.1,0.00,17.9,14.0,21184.9
06/15/2009,27.1,7.2,0.00,19.0,13.7,27723.1
06/16/2009,24.9,9.1,0.00,19.2,14.6,26284.5
06/17/2009,20.6,12.8,1.78,17.4,15.8,6528.8
06/18/2009,23.2,11.3,0.00,18.7,15.2,19669.7
06/19/2009,24.5,15.4,0.00,18.6,16.5,11035.0
06/20/2009,28.1,17.4,4.06,20.4,17.3,24351.1
06/21/2009,30.5,13.4,0.00,21.3,17.1,27360.6
06/22/2009,30.4,14.7,0.00,21.2,17.8,24792.2
06/23/2009,32.2,17.0,0.00,22.1,18.4,26657.4
06/24/2009,34.0,17.3,0.25,22.7,19.1,26265.3
06/25/2009,30.7,19.2,0.00,21.8,19.8,21286.4
06/26/2009,27.6,14.3,0.00,21.4,18.5,27493.5
06/27/2009,27.6,11.1,0.00,20.3,17.3,21941.0
06/28/2009,24.2,17.1,0.25,20.8,18.6,25143.8
06/29/2009,20.3,13.3,2.54,19.1,17.6,13237.2
06/30/2009,15.6,11.4,1.52,17.6,16.0,9200.8
07/01/2009,15.7,10.2,7.87,16.1,15.1,6863.5
07/02/2009,16.9,11.1,0.00,16.0,14.9,7898.9
07/03/2009,20.5,11.1,0.00,17.0,14.9,16347.3
07/04/2009,25.8,7.4,0.00,18.5,14.0,24279.8
07/05/2009,25.2,6.8,0.00,18.0,14.2,20204.5
07/06/2009,22.6,7.1,0.00,18.0,14.4,24043.6
07/07/2009,20.4,8.0,0.00,16.7,14.7,17553.1
07/08/2009,26.9,7.0,0.00,17.9,13.7,22319.1
07/09/2009,25.3,8.5,0.00,18.7,14.5,27428.2
07/10/2009,25.2,11.3,0.00,18.0,15.5,16646.3
07/11/2009,24.8,10.1,0.51,19.2,17.1,25578.4
07/12/2009,22.5,5.4,0.00,18.3,14.3,27163.6
07/13/2009,23.2,3.2,0.00,17.8,13.5,27104.1
07/14/2009,26.1,4.6,0.00,18.4,13.5,25820.9
07/15/2009,24.8,11.5,0.51,17.6,15.7,11763.8
07/16/2009,22.8,9.9,0.00,18.6,15.4,23013.3
07/17/2009,17.9,7.0,0.00,16.7,14.8,9477.2
07/18/2009,15.6,7.8,0.00,15.4,14.1,7494.0
07/19/2009,26.0,6.4,0.25,17.4,13.1,21702.0
07/20/2009,24.3,8.3,0.00,17.9,14.3,26505.5
07/21/2009,26.0,8.4,0.00,17.9,14.5,22742.5
07/22/2009,23.2,14.0,11.94,17.8,16.1,8071.4
07/23/2009,26.2,13.0,0.25,18.8,16.2,16860.6
07/24/2009,25.8,9.7,5.08,18.6,15.7,18721.5
07/25/2009,24.3,14.0,8.13,19.7,17.0,19232.4
07/26/2009,21.5,13.5,1.02,18.3,17.1,10600.8
07/27/2009,25.8,12.1,0.00,19.7,16.4,18269.3
07/28/2009,26.5,13.8,0.00,20.4,17.8,20652.8
07/29/2009,24.2,11.4,0.00,19.9,16.6,24071.1
07/30/2009,23.8,10.0,0.00,18.1,16.1,13042.5
07/31/2009,25.9,10.6,0.00,19.2,16.0,20004.6
08/01/2009,22.3,10.0,9.91,17.7,15.6,11444.4
08/02/2009,21.8,9.7,0.25,17.8,15.6,22505.8
08/03/2009,24.9,12.4,12.19,18.2,15.8,13842.3
08/04/2009,24.2,10.0,1.02,19.2,17.3,20021.0
08/05/2009,22.6,6.8,0.00,17.9,15.0,21327.7
08/06/2009,23.2,8.4,0.00,17.8,15.0,18058.0
08/07/2009,22.1,7.2,0.00,17.3,14.4,15225.1
08/08/2009,20.6,14.9,20.07,17.2,16.2,4905.5
08/09/2009,28.6,18.2,5.84,19.7,17.1,9019.8
08/10/2009,26.6,18.0,0.51,20.5,19.1,15443.4
08/11/2009,24.5,12.7,0.25,20.1,18.5,21398.1
08/12/2009,28.3,11.1,0.00,19.9,17.2,24892.3
08/13/2009,27.5,10.3,0.00,19.9,16.8,23891.7
08/14/2009,26.9,10.5,0.00,19.9,16.8,23129.7
08/15/2009,27.5,15.8,0.00,20.6,18.2,22199.9
08/16/2009,28.4,12.5,3.05,20.4,17.7,18354.2
08/17/2009,23.1,17.9,1.27,20.2,19.6,5108.6
08/18/2009,24.0,12.3,1.78,20.4,18.8,21327.7
08/19/2009,25.1,8.3,0.00,19.5,16.6,23469.4
08/20/2009,22.6,16.5,12.70,19.4,18.5,10992.4
08/21/2009,19.9,11.5,0.76,18.7,17.4,9221.3
08/22/2009,17.7,10.1,3.56,17.4,16.1,12915.2
08/23/2009,21.7,12.5,0.00,17.6,16.3,12021.1
08/24/2009,25.6,6.7,0.00,18.1,14.9,21209.3
08/25/2009,23.9,10.2,1.52,18.0,15.8,15141.8
08/26/2009,25.7,12.7,0.25,18.7,17.0,23630.6
08/27/2009,19.5,9.3,0.00,17.6,15.7,12748.8
08/28/2009,16.4,7.6,16.76,16.1,14.5,8742.3
08/29/2009,15.3,9.8,5.59,15.5,14.9,6559.1
08/30/2009,18.7,5.1,0.00,15.2,13.6,22205.2
08/31/2009,21.6,1.6,0.00,14.7,11.6,23371.2
09/01/2009,24.5,2.3,0.00,14.8,11.5,23343.2
09/02/2009,25.1,3.7,0.00,15.2,11.6,22430.9
09/03/2009,25.4,5.3,0.00,15.6,12.1,22283.6
09/04/2009,26.9,5.8,0.00,15.6,12.5,21586.9
09/05/2009,27.3,8.4,0.00,16.2,13.0,19176.3
09/06/2009,26.0,8.8,0.00,16.8,13.7,19018.7
09/07/2009,27.1,7.2,0.00,16.7,13.5,20424.2
09/08/2009,26.8,6.3,0.00,16.4,13.5,16094.1
09/09/2009,27.4,8.6,0.00,17.1,13.8,19977.8
09/10/2009,27.4,9.9,0.00,17.5,14.5,17759.3
09/11/2009,27.0,9.1,0.00,17.1,14.7,18218.8
09/12/2009,27.4,3.3,0.00,16.1,13.1,21131.5
09/13/2009,27.3,9.1,0.00,16.8,13.6,17291.7
09/14/2009,26.6,10.0,0.00,17.3,14.5,18235.9
09/15/2009,26.6,10.9,0.00,17.1,14.8,16594.3
09/16/2009,18.6,4.9,0.00,16.1,14.2,16023.9
09/17/2009,23.8,0.6,0.00,15.1,11.5,20290.0
09/18/2009,23.7,6.8,0.00,15.5,13.1,16963.4
09/19/2009,23.0,0.7,0.00,15.0,11.5,19776.9
09/20/2009,21.0,0.1,0.00,14.6,10.8,19644.9
09/21/2009,22.6,12.3,19.05,16.3,13.9,7336.1
09/22/2009,23.0,11.3,1.27,16.7,14.7,8285.8
09/23/2009,22.6,9.4,16.76,17.1,15.8,9448.0
09/24/2009,22.0,6.2,0.00,15.8,13.7,14343.2
09/25/2009,20.3,5.6,0.00,15.3,13.0,14597.0
09/26/2009,16.9,11.1,2.03,14.8,14.3,4046.1
09/27/2009,19.9,8.6,8.64,15.4,13.8,12123.0
09/28/2009,13.0,8.4,9.65,14.7,13.1,5855.6
09/29/2009,11.7,5.5,1.78,13.1,11.2,6412.4
09/30/2009,12.5,-0.4,0.00,11.6,10.1,16446.1
10/01/2009,15.8,-3.2,0.00,10.9,8.2,15906.4
10/02/2009,9.9,4.2,6.10,10.3,9.7,1917.2
10/03/2009,12.4,6.7,2.29,10.8,9.9,5694.6
10/04/2009,12.2,7.2,1.02,10.8,10.3,6188.4
10/05/2009,13.6,2.0,0.76,11.1,9.8,9985.3
10/06/2009,11.3,4.0,12.95,10.2,9.7,2543.3
10/07/2009,10.4,2.1,0.51,10.2,9.2,6523.1
10/08/2009,13.9,1.3,0.25,10.0,8.2,7160.2
10/09/2009,9.4,2.6,0.76,10.0,9.3,2569.6
10/10/2009,9.4,-2.8,0.51,9.3,7.2,9947.8
10/11/2009,6.3,-4.4,0.00,7.2,5.7,9872.5
10/12/2009,8.0,-2.4,0.00,6.8,5.5,6080.7
10/13/2009,10.0,-2.1,0.51,7.1,6.0,10850.9
10/14/2009,11.1,-3.9,0.00,6.8,5.0,9621.6
10/15/2009,5.7,-1.5,0.00,6.2,5.6,3388.5
10/16/2009,9.1,-0.7,0.00,6.5,5.4,9324.6
10/17/2009,9.3,-3.4,0.00,6.4,5.0,8757.7
10/18/2009,9.8,-5.8,0.00,6.1,3.7,13015.6
10/19/2009,14.1,1.2,0.00,7.8,5.3,9735.1
10/20/2009,12.3,3.4,0.00,8.1,6.8,4092.7
10/21/2009,13.6,8.5,2.79,9.2,8.1,1555.1
10/22/2009,14.1,2.2,0.25,9.7,7.8,3499.7
10/23/2009,11.1,2.6,24.64,8.0,7.0,977.6
10/24/2009,10.1,0.2,2.03,8.2,6.7,4486.6
10/25/2009,9.7,-0.5,0.00,7.3,5.9,4232.1
10/26/2009,9.8,6.5,12.95,8.1,7.2,1782.6
10/27/2009,11.2,3.9,0.25,8.6,7.7,6172.6
10/28/2009,18.1,6.0,0.00,9.4,7.9,8568.1
10/29/2009,12.9,7.2,0.00,9.5,8.5,4735.2
10/30/2009,18.2,9.3,24.89,12.9,9.3,863.5
10/31/2009,10.1,2.6,0.51,12.0,7.3,2730.9
11/01/2009,7.8,0.1,0.00,7.6,6.5,4571.3
11/02/2009,7.4,-0.7,1.27,6.9,5.8,1697.0
11/03/2009,5.7,-2.3,0.00,6.1,4.7,6549.2
11/04/2009,5.5,-1.9,0.25,5.4,4.4,4533.7
11/05/2009,7.4,-3.8,0.00,5.6,3.9,8581.5
11/06/2009,6.3,-5.9,0.00,4.3,2.7,5736.9
11/07/2009,16.8,2.9,0.00,7.5,4.2,9721.9
11/08/2009,19.3,-0.9,0.00,7.6,4.8,9357.0
11/09/2009,16.2,1.0,0.00,8.6,6.6,7958.1
11/10/2009,14.7,-3.3,0.00,6.6,4.5,8625.9
11/11/2009,12.3,-5.9,0.00,5.5,3.0,10135.6
11/12/2009,10.3,-6.3,0.00,4.5,2.5,8458.2
11/13/2009,13.3,-1.4,0.00,5.6,3.3,8763.0
11/14/2009,15.8,3.6,0.00,7.2,5.0,8385.0
11/15/2009,10.7,0.1,0.00,7.1,5.3,6896.9
11/16/2009,7.9,-5.0,0.00,5.3,3.5,6606.3
11/17/2009,9.8,-4.3,0.00,4.9,3.1,9583.8
11/18/2009,12.1,-1.1,0.00,5.7,3.6,7623.9
11/19/2009,7.7,3.4,2.29,6.1,5.6,2010.7
11/20/2009,7.2,3.4,0.25,6.2,5.6,1399.0
11/21/2009,13.1,-0.8,0.00,7.2,5.5,6090.1
11/22/2009,11.5,-1.3,0.00,6.3,4.6,7111.6
11/23/2009,5.5,3.6,0.00,5.9,5.7,1355.7
11/24/2009,7.0,4.9,0.51,6.2,5.8,1234.5
11/25/2009,7.8,5.5,4.32,6.5,6.1,1391.5
11/26/2009,5.9,-0.2,11.94,6.4,4.3,1489.2
11/27/2009,2.2,-1.3,0.00,4.3,3.7,3101.9
11/28/2009,7.9,-3.0,0.00,4.5,3.1,7671.7
11/29/2009,3.7,-2.3,1.52,3.8,2.9,1647.2
11/30/2009,1.4,-1.2,0.25,3.5,2.6,2422.6
12/01/2009,7.8,-3.0,1.52,3.6,2.2,7435.8
12/02/2009,5.3,-0.3,0.00,3.7,2.7,2552.7
12/03/2009,2.8,-3.2,0.51,3.5,2.5,3241.3
12/04/2009,-2.4,-7.0,0.00,2.5,1.3,4414.8
12/05/2009,-3.2,-8.8,0.00,1.3,0.9,3893.3
12/06/2009,0.1,-7.5,0.76,0.9,0.8,3681.4
12/07/2009,-0.2,-13.9,0.25,0.8,0.8,3800.4
12/08/2009,-1.2,-13.6,0.00,0.8,0.7,3721.6
12/09/2009,0.8,-6.7,1.78,0.8,0.7,2987.3
12/10/2009,-6.1,-12.7,0.00,0.9,0.7,5810.3
12/11/2009,-10.7,-14.4,0.00,1.2,0.9,6386.3
12/12/2009,0.4,-19.3,0.00,1.4,1.2,7333.4
12/13/2009,0.7,-3.5,0.51,1.6,1.4,2525.7
