
	Warning... 
	   Date Selected:                 20120101:2400
	   First Entry In Datebase:       20120322:2400
	   ...Resetting Date Selected To: 20120322:2400
mecosta
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
03/22/2012,28.2,11.9,2.29,15.1,12.9,13853.1
03/23/2012,16.9,12.0,21.59,14.4,13.1,3736.5
03/24/2012,13.5,10.1,0.00,13.2,12.2,7579.1
03/25/2012,18.7,1.7,0.00,13.9,11.4,20411.0
03/26/2012,7.4,-2.9,0.00,12.7,9.4,21530.9
03/27/2012,14.1,-1.7,0.00,9.8,7.4,12934.7
03/28/2012,16.2,4.4,0.00,9.3,8.7,7280.1
03/29/2012,7.3,0.2,0.00,8.8,7.7,11698.4
03/30/2012,1.1,-1.4,6.60,8.0,5.3,2187.3
03/31/2012,4.5,-0.0,0.51,6.0,5.0,5765.0
04/01/2012,15.3,2.2,0.00,8.4,5.5,13388.2
04/02/2012,13.0,2.0,0.00,8.7,6.7,18778.7
04/03/2012,18.4,3.5,0.76,9.9,7.1,14130.8
04/04/2012,15.7,-2.1,0.00,10.3,7.2,23318.7
04/05/2012,11.4,-1.7,0.00,9.7,7.2,23254.0
04/06/2012,16.1,-3.5,0.00,9.8,6.2,24051.8
04/07/2012,17.9,-3.3,0.00,10.1,6.5,21886.2
04/08/2012,14.2,4.7,2.03,10.3,8.4,22129.3
04/09/2012,14.4,-0.7,0.00,9.9,7.6,21493.9
04/10/2012,5.8,0.8,0.00,9.2,7.5,10973.8
04/11/2012,13.7,-0.4,0.00,9.9,6.5,23823.8
04/12/2012,14.7,-3.5,0.00,9.8,6.7,20653.4
04/13/2012,17.5,-2.9,0.00,10.3,7.2,20989.4
04/14/2012,18.9,10.5,0.00,11.8,9.3,16242.8
04/15/2012,22.4,13.2,14.73,12.9,11.2,7502.6
04/16/2012,18.0,3.5,9.40,13.1,11.0,7475.8
04/17/2012,11.4,0.7,0.00,11.6,9.1,24553.8
04/18/2012,18.6,-1.6,0.25,10.8,8.5,16567.6
04/19/2012,17.5,5.2,5.84,11.8,9.5,14131.4
04/20/2012,6.5,3.4,7.62,11.2,8.8,2292.6
04/21/2012,12.6,-1.3,0.00,10.5,7.4,25811.7
04/22/2012,13.6,-1.9,0.00,10.3,7.4,24110.3
04/23/2012,13.8,0.0,0.00,10.2,7.4,26731.7
04/24/2012,16.6,3.4,0.00,10.5,7.6,24237.2
04/25/2012,17.2,-1.9,1.27,10.5,7.9,16516.0
04/26/2012,11.4,0.8,0.76,10.6,9.5,17550.6
04/27/2012,14.3,-4.7,0.00,10.8,7.3,27245.6
04/28/2012,9.2,-1.6,0.00,10.0,8.2,9535.8
04/29/2012,17.3,-4.3,0.00,10.1,6.4,23902.2
04/30/2012,10.6,3.9,1.78,9.6,8.3,4668.6
05/01/2012,14.1,7.3,0.00,10.3,8.8,10954.0
05/02/2012,25.3,8.3,4.83,12.9,9.6,14683.0
05/03/2012,26.5,13.1,18.80,14.4,12.3,8872.1
05/04/2012,19.8,12.0,0.00,14.2,13.2,6531.2
05/05/2012,17.1,7.7,0.00,13.8,12.3,14420.8
05/06/2012,17.2,8.5,0.25,13.0,11.7,10223.9
05/07/2012,12.8,9.9,5.59,12.6,11.9,4053.6
05/08/2012,21.0,5.2,0.25,14.5,11.2,25230.1
05/09/2012,17.6,6.0,0.00,14.1,12.3,22041.0
05/10/2012,20.5,0.2,0.00,14.1,10.9,26485.2
05/11/2012,23.5,1.0,0.00,15.1,11.1,28029.2
05/12/2012,22.3,13.5,0.00,15.0,13.4,15453.4
05/13/2012,24.0,6.9,0.00,16.1,13.0,29167.3
05/14/2012,25.3,2.8,0.00,16.5,12.7,28273.9
05/15/2012,27.4,6.4,7.62,16.9,13.5,23337.6
05/16/2012,18.7,4.9,0.00,16.1,13.8,28557.0
05/17/2012,21.3,0.8,0.00,15.8,12.4,27631.5
05/18/2012,26.2,9.2,0.00,17.4,13.7,28036.1
05/19/2012,30.4,11.5,0.00,18.6,14.8,28147.9
05/20/2012,31.9,15.2,3.30,19.7,16.4,24180.9
05/21/2012,20.3,9.3,0.76,19.2,16.8,16794.3
05/22/2012,24.1,5.6,0.00,18.0,14.7,29191.0
05/23/2012,26.4,6.8,0.00,18.8,15.2,28356.0
05/24/2012,30.4,14.9,0.00,20.3,16.8,28312.1
05/25/2012,25.8,16.5,0.51,20.6,18.5,27214.1
05/26/2012,24.6,14.3,14.99,19.8,18.0,16255.9
05/27/2012,25.1,14.1,0.00,19.7,17.8,16609.5
05/28/2012,31.6,18.1,0.76,21.4,18.4,23638.2
05/29/2012,25.2,12.8,1.27,21.1,19.3,25984.1
05/30/2012,18.9,5.7,0.00,19.9,17.3,18078.6
05/31/2012,14.6,4.7,0.00,17.7,15.7,14264.4
06/01/2012,10.3,6.8,19.56,16.1,13.9,3297.9
06/02/2012,20.5,7.0,2.29,15.8,13.1,20370.2
06/03/2012,24.7,12.0,0.00,17.9,14.8,27651.8
06/04/2012,24.9,8.6,0.00,18.4,15.7,25500.1
06/05/2012,22.0,8.4,0.00,17.8,15.8,21254.6
06/06/2012,27.3,7.0,0.00,18.4,15.4,23336.4
06/07/2012,27.6,8.1,0.00,18.6,15.8,23185.0
06/08/2012,28.4,8.4,0.00,19.2,16.2,22018.5
06/09/2012,30.6,15.8,0.00,21.1,17.8,28036.3
06/10/2012,32.9,13.0,0.00,21.6,18.4,26080.3
06/11/2012,30.2,18.4,21.08,22.1,19.9,21363.5
06/12/2012,22.4,10.4,0.25,21.6,19.8,29178.3
06/13/2012,22.1,4.2,0.00,19.8,17.1,27830.7
06/14/2012,26.0,7.0,0.00,19.8,16.6,27495.8
06/15/2012,30.9,13.5,0.00,21.2,17.9,28318.2
06/16/2012,30.6,17.2,2.79,21.2,19.4,17988.8
06/17/2012,26.7,15.1,2.79,21.3,19.8,20211.5
06/18/2012,29.6,13.7,16.00,21.4,18.8,17814.7
06/19/2012,31.4,23.0,0.00,23.2,20.7,24452.2
06/20/2012,32.0,21.4,0.00,23.8,21.5,27643.4
06/21/2012,26.9,17.2,4.83,23.4,21.9,15328.4
06/22/2012,26.0,11.8,2.79,21.9,19.9,25802.5
06/23/2012,27.2,10.4,0.00,21.1,18.9,24856.4
06/24/2012,28.1,15.8,0.00,21.7,19.8,22517.0
06/25/2012,25.0,9.5,0.00,21.3,19.1,28741.2
06/26/2012,27.9,7.5,0.00,21.0,18.2,28934.2
06/27/2012,30.3,9.9,0.00,21.8,18.7,27998.2
06/28/2012,35.8,15.7,0.00,23.1,20.1,24390.9
06/29/2012,32.0,17.8,0.00,23.4,21.4,26402.0
06/30/2012,33.2,15.3,0.00,23.9,21.4,26457.6
07/01/2012,33.3,14.4,0.00,24.0,21.4,27463.6
07/02/2012,35.4,14.9,0.00,24.6,21.8,27325.4
07/03/2012,32.4,19.6,20.32,24.5,22.7,18327.5
07/04/2012,35.6,21.4,4.06,26.1,23.0,25457.2
07/05/2012,35.3,20.4,33.53,26.2,23.6,25082.5
07/06/2012,36.9,21.3,0.00,26.7,24.2,26059.5
07/07/2012,31.1,21.0,0.00,26.3,24.7,22106.3
07/08/2012,29.3,15.2,0.00,25.0,22.9,21195.2
07/09/2012,30.1,14.7,0.00,24.0,21.9,26644.4
07/10/2012,28.5,12.2,0.00,24.4,21.3,25878.9
07/11/2012,30.2,12.1,0.00,24.8,21.1,28032.7
07/12/2012,30.6,12.7,0.00,25.0,21.3,27588.1
07/13/2012,32.8,13.8,0.00,24.8,21.6,21771.9
07/14/2012,33.3,19.2,0.00,25.7,22.6,23949.7
07/15/2012,32.9,19.1,0.00,25.9,23.2,21997.3
07/16/2012,35.0,16.0,0.00,26.1,23.0,24964.4
07/17/2012,36.2,22.1,0.00,27.1,24.0,23552.2
07/18/2012,28.9,19.9,10.92,26.2,23.8,14722.9
07/19/2012,20.6,16.5,0.76,24.9,21.9,5581.7
07/20/2012,28.0,13.6,0.76,24.4,20.8,28037.3
07/21/2012,29.1,13.4,0.25,23.7,21.0,19420.3
07/22/2012,31.8,17.7,0.51,24.8,21.6,22639.2
07/23/2012,33.8,20.4,0.00,26.0,22.5,26423.3
07/24/2012,29.9,17.7,0.00,25.4,22.9,25583.3
07/25/2012,31.1,14.8,,24.4,22.0,20635.5
07/26/2012,28.7,20.6,,24.9,22.8,17612.7
07/27/2012,22.5,17.2,,24.0,22.0,8692.3
07/28/2012,28.2,13.5,,24.0,20.6,27613.3
07/29/2012,28.2,12.5,,23.6,20.7,24211.2
07/30/2012,30.3,14.7,,24.0,21.0,25268.1
07/31/2012,28.0,16.4,,24.2,21.5,24596.5
08/01/2012,28.3,11.2,,23.6,20.5,25567.8
08/02/2012,29.0,15.7,,23.0,21.1,14449.1
08/03/2012,31.4,18.0,,24.6,21.4,24995.8
08/04/2012,32.4,18.9,,25.0,22.2,21833.6
08/05/2012,25.1,12.0,,24.2,22.8,25096.8
08/06/2012,26.8,8.7,,23.0,20.3,24866.4
08/07/2012,29.7,11.9,,23.1,20.1,24529.6
08/08/2012,27.1,13.0,,23.0,20.6,22771.8
08/09/2012,19.1,15.1,,22.3,20.1,3354.2
08/10/2012,15.4,13.2,,20.2,18.2,2564.2
08/11/2012,24.1,14.8,,19.7,17.8,15584.7
08/12/2012,24.4,11.0,,20.4,18.1,21257.2
08/13/2012,19.9,14.8,,19.9,18.8,4983.2
08/14/2012,25.9,11.1,,20.6,17.8,23391.1
08/15/2012,26.3,12.8,,20.7,18.4,20745.0
08/16/2012,23.7,15.6,,20.1,19.0,8248.6
08/17/2012,21.0,9.2,,19.9,18.3,22945.3
08/18/2012,22.6,6.3,,18.9,16.6,20908.5
08/19/2012,23.6,6.8,,18.2,16.3,16391.4
08/20/2012,23.2,8.2,,18.5,15.9,21347.2
08/21/2012,24.7,6.6,0.00,18.8,15.8,22907.8
08/22/2012,26.6,9.0,0.00,19.1,16.3,22874.2
08/23/2012,29.2,10.2,0.00,19.6,16.5,22822.6
08/24/2012,30.4,15.1,0.00,20.6,17.9,20825.5
08/25/2012,31.8,14.8,0.00,21.1,18.5,22232.4
08/26/2012,30.9,17.5,1.27,21.2,19.4,15835.4
08/27/2012,28.1,14.3,0.76,21.7,20.2,19334.7
08/28/2012,25.8,11.4,0.00,20.8,18.6,20833.9
08/29/2012,26.7,9.1,0.00,20.1,17.7,22338.8
08/30/2012,28.8,11.3,0.00,20.1,17.8,21228.9
08/31/2012,30.7,18.3,0.00,21.1,18.9,19749.2
09/01/2012,26.5,11.3,0.00,20.6,18.7,15828.9
09/02/2012,29.1,15.9,0.00,20.8,18.9,21221.7
09/03/2012,30.7,13.2,0.00,21.2,19.0,20771.3
09/04/2012,29.3,18.4,1.78,21.5,19.9,16195.7
09/05/2012,29.5,16.6,0.00,21.3,20.0,14648.2
09/06/2012,28.1,12.2,0.00,20.8,18.9,17965.4
09/07/2012,22.6,10.4,1.02,20.1,18.3,6949.3
09/08/2012,20.5,9.0,0.51,18.7,17.5,13262.7
09/09/2012,23.0,7.6,0.00,18.1,16.7,18334.1
09/10/2012,24.1,4.1,0.00,17.7,15.6,20048.2
09/11/2012,26.7,8.0,0.00,17.9,15.8,19490.5
09/12/2012,29.6,14.1,0.00,18.9,16.7,19981.6
09/13/2012,23.3,11.5,2.03,18.4,17.1,8820.2
09/14/2012,22.6,7.1,0.51,17.5,16.2,18932.8
09/15/2012,23.4,3.3,0.00,16.7,14.5,19377.8
09/16/2012,25.4,6.3,0.00,16.6,14.6,16823.0
09/17/2012,25.2,6.7,0.00,16.6,14.6,13136.9
09/18/2012,15.7,5.1,1.02,16.5,15.0,12729.0
09/19/2012,19.1,0.1,0.00,15.0,13.3,13676.3
09/20/2012,19.9,7.4,1.78,15.0,13.9,15741.3
09/21/2012,18.9,4.0,0.00,14.6,13.1,8817.8
09/22/2012,14.7,5.0,7.62,13.9,12.9,13445.1
09/23/2012,12.0,0.7,0.51,13.3,11.5,12063.0
09/24/2012,16.9,0.2,0.00,12.2,10.4,16203.0
09/25/2012,24.1,7.8,0.00,14.0,11.5,17253.9
09/26/2012,20.2,5.9,0.00,14.3,12.8,16975.1
09/27/2012,19.1,6.2,0.00,13.9,12.5,13460.1
09/28/2012,20.7,5.7,0.00,14.2,12.6,16815.9
09/29/2012,23.1,2.5,0.00,14.0,11.9,16749.8
09/30/2012,19.4,4.2,0.00,13.5,11.8,15437.6
10/01/2012,19.6,0.9,0.00,13.1,11.1,12997.6
10/02/2012,22.7,5.3,0.00,13.8,11.9,16428.5
10/03/2012,16.3,8.9,2.29,13.6,12.7,3541.7
10/04/2012,23.8,13.2,7.37,15.0,13.6,11459.6
10/05/2012,13.9,5.5,0.00,14.8,12.8,13004.9
10/06/2012,10.0,3.7,0.00,12.8,11.1,9049.0
10/07/2012,8.5,-1.9,0.00,11.1,10.3,8051.4
10/08/2012,13.3,-3.1,0.00,10.4,8.4,12772.2
10/09/2012,18.1,5.3,2.79,10.6,9.1,11249.8
10/10/2012,7.2,-0.4,4.32,10.6,8.8,6908.2
10/11/2012,13.7,-2.5,1.27,8.9,7.7,5822.6
10/12/2012,10.8,-3.0,0.00,8.8,7.3,15393.6
10/13/2012,14.5,1.3,16.26,8.1,7.1,1169.5
10/14/2012,19.4,9.2,24.89,11.8,8.1,2625.3
10/15/2012,9.3,6.0,0.00,11.7,9.9,3088.4
10/16/2012,15.1,-1.6,0.00,9.9,8.3,10941.2
10/17/2012,21.8,10.3,1.52,11.7,9.7,10598.6
10/18/2012,14.6,7.0,8.13,11.6,10.9,3675.6
10/19/2012,10.3,6.3,2.03,10.9,10.0,3868.9
10/20/2012,13.8,5.0,1.52,10.6,9.7,7021.1
10/21/2012,16.5,1.1,0.25,10.3,8.8,12307.5
10/22/2012,20.7,3.4,9.91,11.0,8.8,6368.2
10/23/2012,15.2,12.8,9.91,12.1,11.0,2139.8
10/24/2012,23.0,12.8,0.25,13.6,12.0,8349.6
10/25/2012,25.3,10.6,2.03,14.5,13.1,11538.8
10/26/2012,10.7,2.1,4.83,14.4,11.2,9931.5
10/27/2012,11.1,-2.4,0.00,11.2,9.1,11784.5
10/28/2012,9.3,-0.8,0.00,9.5,8.1,9997.3
10/29/2012,7.5,1.3,0.00,8.5,7.3,6220.1
10/30/2012,4.3,2.0,4.57,7.4,6.8,2380.8
10/31/2012,5.4,2.1,0.76,6.9,6.6,2423.3
11/01/2012,8.7,1.4,0.00,7.0,6.5,8411.5
11/02/2012,6.5,-0.9,0.00,6.8,6.1,6106.9
11/03/2012,6.8,-2.6,0.00,6.5,5.6,6592.4
11/04/2012,7.2,-2.5,0.00,6.3,5.4,8049.4
11/05/2012,1.9,-5.8,0.00,5.4,4.2,4094.7
11/06/2012,4.8,-0.2,0.00,5.4,4.6,5125.3
11/07/2012,8.0,-2.8,0.00,5.5,4.6,10096.4
11/08/2012,6.5,-5.1,0.00,4.8,3.8,2795.0
11/09/2012,10.4,2.8,0.00,6.0,4.8,3591.1
11/10/2012,15.8,5.5,0.00,7.0,5.9,3375.2
11/11/2012,20.9,12.2,0.51,9.1,6.9,7465.0
11/12/2012,12.8,-2.1,5.59,9.1,6.5,1948.4
11/13/2012,2.9,-5.8,0.00,6.5,4.7,6566.2
11/14/2012,4.1,-6.4,0.00,4.7,3.6,5138.9
11/15/2012,7.6,-4.6,0.00,4.3,3.3,7266.0
11/16/2012,7.4,-5.1,0.00,3.9,3.0,8170.0
11/17/2012,11.6,-4.9,0.00,4.0,2.9,7842.3
11/18/2012,12.4,-2.2,0.00,4.1,2.9,8167.5
11/19/2012,10.7,-3.9,0.00,4.3,2.9,5167.8
11/20/2012,10.4,2.4,0.00,5.4,4.2,2472.2
11/21/2012,12.5,-0.2,0.00,5.9,4.9,7064.6
11/22/2012,16.9,5.7,0.51,6.8,5.4,8012.2
11/23/2012,12.3,-1.1,0.00,7.0,4.7,2093.8
11/24/2012,-0.7,-2.9,0.00,4.7,3.5,2597.6
11/25/2012,0.8,-3.7,0.25,3.5,3.1,2285.9
11/26/2012,-0.3,-5.5,0.00,3.1,2.6,2287.3
11/27/2012,1.3,-9.5,0.00,2.6,1.9,7781.2
11/28/2012,2.9,-4.3,0.00,1.9,1.7,7560.4
11/29/2012,8.2,-3.3,0.00,1.8,1.5,6284.0
11/30/2012,1.8,0.1,0.00,2.3,1.7,1070.8
12/01/2012,9.3,-0.8,13.46,3.5,2.3,1757.3
12/02/2012,12.0,4.7,4.32,5.5,3.5,1930.2
12/03/2012,16.9,0.7,0.51,6.7,4.6,1353.3
12/04/2012,16.7,-0.3,2.03,7.2,5.8,4719.4
12/05/2012,2.6,-3.1,0.00,5.8,3.6,6100.4
12/06/2012,3.0,-3.3,0.00,3.6,2.9,2693.4
12/07/2012,8.7,1.6,0.00,4.4,3.2,5126.1
12/08/2012,3.2,-6.1,2.29,4.2,3.3,3494.8
12/09/2012,-0.0,-4.2,0.25,3.3,2.5,1579.7
12/10/2012,0.3,-3.2,2.03,2.5,2.3,3779.2
12/11/2012,0.8,-9.7,0.00,2.3,1.8,4243.1
12/12/2012,5.1,-1.6,1.27,2.0,1.8,5861.6
12/13/2012,7.4,-1.9,0.00,2.0,1.7,7629.5
12/14/2012,5.4,-5.5,0.00,1.9,1.6,6082.0
12/15/2012,4.6,-1.4,5.59,1.9,1.6,1289.7
12/16/2012,8.1,3.6,1.78,3.6,1.9,961.4
12/17/2012,4.0,-1.5,0.00,3.8,3.3,2293.8
12/18/2012,4.4,-1.0,0.00,3.3,2.6,5956.5
12/19/2012,2.8,-2.0,1.02,3.0,2.5,1969.2
12/20/2012,3.1,0.1,27.94,2.8,2.1,765.6
12/21/2012,2.5,-2.9,2.03,2.1,1.9,2422.8
12/22/2012,0.3,-5.8,0.00,1.9,1.9,6270.5
12/23/2012,-0.4,-9.3,0.00,2.0,1.9,3432.2
12/24/2012,-3.0,-9.7,0.00,1.9,1.9,3420.3
12/25/2012,-1.5,-11.5,0.00,1.9,1.8,3657.2
12/26/2012,-2.9,-7.6,0.00,1.8,1.6,2344.6
12/27/2012,0.8,-10.0,0.00,1.6,1.6,7139.2
12/28/2012,-1.7,-14.9,0.00,1.6,1.6,4114.6
12/29/2012,-0.1,-10.6,0.00,1.6,1.3,5307.0
12/30/2012,-2.3,-7.3,0.00,1.6,1.5,3226.3
12/31/2012,1.0,-5.7,0.00,1.5,1.4,2520.3
01/01/2013,-4.7,-9.0,0.00,1.5,1.4,4294.7
01/02/2013,-4.3,-9.3,0.00,1.6,-1.8,2108.0
