
	Warning... 
	   Date Selected:                 20180101:2400
	   First Entry In Datebase:       20180813:2400
	   ...Resetting Date Selected To: 20180813:2400
mountpleasant
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
08/13/2018,29.6,15.5,0.00,31.8,24.0,19009.0
08/14/2018,32.1,15.5,0.00,30.9,23.8,17014.7
08/15/2018,30.6,20.0,0.00,30.4,24.6,15657.1
08/16/2018,27.1,18.3,0.20,27.6,24.5,10197.2
08/17/2018,24.4,17.8,0.80,26.0,23.7,4443.3
08/18/2018,26.8,16.7,0.10,27.8,21.8,15863.4
08/19/2018,28.5,17.2,0.00,30.1,22.8,16761.4
08/20/2018,27.7,18.0,0.00,28.9,23.5,13670.6
08/21/2018,23.8,17.3,62.60,25.5,20.9,7582.5
08/22/2018,24.1,13.7,1.00,24.0,19.7,15139.3
08/23/2018,26.4,13.8,0.00,24.8,18.9,18179.5
08/24/2018,25.4,13.9,12.80,23.9,19.1,13200.7
08/25/2018,25.4,16.7,0.40,23.7,20.5,8671.2
08/26/2018,29.5,19.6,11.60,27.1,21.7,15684.6
08/27/2018,29.0,19.4,31.00,26.2,21.8,11681.5
08/28/2018,29.7,18.6,24.90,27.8,22.6,15684.7
08/29/2018,22.8,13.2,7.00,24.5,21.5,9866.9
08/30/2018,19.5,10.2,0.00,22.4,18.8,13484.7
08/31/2018,26.4,10.8,0.00,25.1,18.3,19545.8
09/01/2018,23.6,18.0,8.70,23.2,21.1,5555.4
09/02/2018,28.8,19.2,8.30,25.8,21.4,13516.1
09/03/2018,27.0,20.2,4.00,26.4,22.6,13402.5
09/04/2018,31.2,20.1,16.40,27.6,22.9,18139.7
09/05/2018,30.6,19.2,7.50,27.1,23.6,15926.8
09/06/2018,20.7,13.7,0.40,24.4,21.4,12201.2
09/07/2018,19.1,9.9,0.00,21.5,18.8,10303.5
09/08/2018,19.0,10.9,0.00,20.3,17.6,13262.6
09/09/2018,18.3,9.0,0.00,19.5,15.9,15414.5
09/10/2018,20.0,11.4,0.00,19.5,16.5,8895.4
09/11/2018,24.2,8.9,0.10,22.3,15.9,17968.8
09/12/2018,25.7,10.8,0.00,23.3,17.3,18367.5
09/13/2018,24.7,11.9,0.00,22.6,18.4,12455.5
09/14/2018,26.8,16.5,0.00,24.8,20.1,16447.9
09/15/2018,27.5,13.3,0.00,25.2,19.6,17484.9
09/16/2018,28.9,15.4,0.00,25.2,20.3,15176.3
09/17/2018,30.5,15.2,0.00,25.6,20.5,16035.1
09/18/2018,24.3,17.9,0.00,24.3,21.6,10043.6
09/19/2018,21.1,14.9,0.00,22.3,20.3,6372.1
09/20/2018,23.4,15.2,4.90,22.0,19.6,5421.9
09/21/2018,24.9,10.6,1.50,22.5,19.1,10961.8
09/22/2018,16.7,5.1,0.00,20.5,16.0,17120.5
09/23/2018,20.5,5.2,0.00,20.5,15.2,16443.2
09/24/2018,19.8,9.0,5.00,18.9,16.0,6398.5
09/25/2018,25.5,17.5,3.00,22.1,18.3,9951.8
09/26/2018,19.9,6.6,0.10,20.7,17.1,13682.4
09/27/2018,18.1,6.1,0.00,18.1,15.0,11993.0
09/28/2018,14.9,6.9,0.00,16.8,15.0,4998.2
09/29/2018,12.5,3.9,0.00,15.2,12.8,9494.5
09/30/2018,8.6,4.4,3.80,13.7,12.8,2436.8
10/01/2018,10.5,6.0,27.00,13.3,12.0,1811.2
10/02/2018,13.6,10.2,3.40,14.6,13.0,3241.3
10/03/2018,26.4,10.7,0.40,18.2,14.1,8263.7
10/04/2018,25.1,5.0,2.90,18.2,14.7,15522.3
10/05/2018,11.6,2.9,2.50,14.8,12.7,2875.9
10/06/2018,20.1,11.6,2.40,16.5,13.9,4339.9
10/07/2018,12.4,8.4,1.20,15.5,13.9,2544.1
10/08/2018,26.9,10.3,3.70,18.2,13.8,8942.1
10/09/2018,28.6,17.2,0.10,20.6,16.4,11732.7
10/10/2018,22.9,17.7,26.00,19.3,18.0,3602.3
10/11/2018,19.1,5.5,0.00,18.9,13.0,4418.1
10/12/2018,6.7,3.3,0.00,13.0,11.6,5583.6
10/13/2018,10.4,1.4,0.00,12.9,10.0,13500.3
10/14/2018,15.0,3.9,0.00,14.1,10.6,11709.0
10/15/2018,9.0,3.0,0.40,12.5,10.1,9790.2
10/16/2018,12.3,-0.3,0.00,11.5,8.6,12853.6
10/17/2018,8.4,1.0,0.00,10.4,8.8,6330.1
10/18/2018,10.8,-3.6,0.00,10.3,6.8,13001.3
10/19/2018,11.1,6.1,0.90,10.2,8.4,3703.6
10/20/2018,10.4,1.0,3.90,10.2,8.0,6845.9
10/21/2018,5.5,0.1,0.00,8.7,7.2,5513.1
10/22/2018,14.3,-0.1,0.00,10.6,6.4,12539.5
10/23/2018,10.7,1.2,0.00,10.2,8.1,9176.0
10/24/2018,8.2,-0.5,0.00,9.4,6.9,8771.0
10/25/2018,9.6,-2.9,0.00,9.3,5.9,8696.5
10/26/2018,9.5,2.6,0.00,9.4,7.6,4415.4
10/27/2018,6.0,2.2,1.00,9.0,8.2,3428.9
10/28/2018,4.4,1.6,1.70,8.2,7.6,1492.0
10/29/2018,10.1,1.7,0.00,9.4,7.2,8375.7
10/30/2018,11.3,-0.2,7.40,9.2,6.9,4537.9
10/31/2018,13.2,5.8,2.10,10.9,9.2,7586.1
11/01/2018,7.1,3.7,0.00,9.4,7.9,2759.2
11/02/2018,7.6,2.0,0.00,8.8,7.1,6318.0
11/03/2018,6.0,-2.7,0.00,8.1,6.4,5630.4
11/04/2018,8.3,-1.8,1.50,7.5,5.9,3604.5
11/05/2018,9.3,3.2,1.60,8.6,7.4,2377.9
11/06/2018,9.6,5.1,19.50,8.9,7.6,2596.9
11/07/2018,5.8,1.2,0.60,8.1,5.9,1926.4
11/08/2018,3.3,1.1,0.00,6.6,5.5,2849.5
11/09/2018,1.8,-4.6,2.70,6.1,3.8,2296.1
11/10/2018,1.8,-6.4,0.00,3.8,2.8,4301.9
11/11/2018,0.9,-3.5,0.00,3.8,3.1,2206.7
11/12/2018,1.0,-1.7,0.00,4.3,3.6,1780.7
11/13/2018,-1.6,-6.0,0.00,3.7,2.5,4408.6
