
	Warning... 
	   Date Selected:                 20030101:2400
	   First Entry In Datebase:       20030502:2400
	   ...Resetting Date Selected To: 20030502:2400
northport
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/02/2003,9.3,0.2,0.00,10.4,7.4,23469.0
05/03/2003,13.2,-2.9,0.00,11.1,6.2,27854.0
05/04/2003,18.4,1.8,0.00,11.4,6.9,24789.0
05/05/2003,11.9,6.1,14.22,10.1,8.2,3208.8
05/06/2003,8.5,2.3,2.03,9.0,7.6,4722.1
05/07/2003,15.6,1.0,0.00,11.7,6.6,19808.0
05/08/2003,17.8,8.5,0.00,13.2,9.0,25424.0
05/09/2003,18.3,8.9,0.00,11.5,9.6,9730.3
05/10/2003,19.3,5.4,0.00,13.5,9.1,24825.0
05/11/2003,16.2,3.0,18.80,12.3,10.1,5543.6
05/12/2003,6.9,3.2,0.76,10.2,8.0,3824.5
05/13/2003,13.5,3.8,0.00,12.3,6.7,28009.0
05/14/2003,19.0,2.7,0.00,13.9,8.1,26017.0
05/15/2003,19.9,8.9,0.00,14.8,9.9,26815.0
05/16/2003,17.4,10.0,0.00,13.7,11.2,12730.0
05/17/2003,18.4,10.1,0.00,15.1,11.5,18961.0
05/18/2003,21.4,7.2,0.00,16.0,11.3,22885.0
05/19/2003,24.4,10.6,0.00,17.6,12.7,24166.0
05/20/2003,17.7,4.2,3.05,15.7,12.7,18675.0
05/21/2003,14.6,0.4,0.00,15.7,10.0,28056.0
05/22/2003,15.8,3.0,0.00,14.9,10.5,27408.0
05/23/2003,16.6,3.6,0.00,13.8,10.8,15684.0
05/24/2003,14.3,5.0,0.00,12.6,10.6,10248.0
05/25/2003,18.7,5.9,0.00,16.1,10.3,23345.0
05/26/2003,18.9,5.0,0.00,17.1,11.6,25045.0
05/27/2003,20.1,7.8,0.00,17.5,12.2,27720.0
05/28/2003,22.0,6.7,0.00,17.9,12.7,26238.0
05/29/2003,17.5,6.0,0.00,17.1,13.3,22426.0
05/30/2003,15.6,7.5,3.81,15.0,12.7,4111.8
05/31/2003,11.4,4.7,0.76,15.0,11.5,23230.0
06/01/2003,14.6,0.4,0.00,15.8,10.0,27374.0
06/02/2003,15.3,3.0,0.00,16.6,11.2,26314.0
06/03/2003,21.6,5.6,0.00,17.2,12.1,23063.0
06/04/2003,18.2,6.5,0.25,15.5,12.3,14629.0
06/05/2003,18.8,8.3,0.00,17.4,12.2,26155.0
06/06/2003,23.6,8.1,2.03,17.2,13.1,16628.0
06/07/2003,19.0,7.4,4.32,17.1,13.8,14023.0
06/08/2003,16.9,7.0,2.79,15.5,13.4,9678.1
06/09/2003,16.0,7.6,0.00,17.3,12.8,22153.0
06/10/2003,16.1,6.8,16.51,15.2,13.0,2486.0
06/11/2003,18.5,6.5,0.00,17.8,12.4,22976.0
06/12/2003,23.5,8.7,0.00,19.1,13.0,28434.0
06/13/2003,21.2,8.7,0.00,20.2,14.3,28344.0
06/14/2003,19.7,10.5,0.00,21.0,15.2,29176.0
06/15/2003,23.2,8.9,0.00,21.3,15.3,28685.0
06/16/2003,23.6,6.9,0.00,21.4,15.3,30163.0
06/17/2003,26.4,8.5,0.00,21.2,15.6,29096.0
06/18/2003,22.2,11.7,0.00,21.7,16.4,24970.0
06/19/2003,18.0,9.3,0.00,21.4,15.4,30355.0
06/20/2003,20.3,6.4,0.00,21.2,14.9,29215.0
06/21/2003,22.5,6.5,0.00,21.6,15.0,29973.0
06/22/2003,24.2,6.9,0.00,22.0,15.4,29532.0
06/23/2003,29.4,14.3,0.00,22.9,16.5,28879.0
06/24/2003,29.1,18.1,0.00,22.1,18.4,20992.0
06/25/2003,30.9,21.4,0.00,24.3,19.1,25916.0
06/26/2003,25.5,13.8,1.27,22.2,19.8,20067.0
06/27/2003,19.2,11.7,0.00,22.1,17.3,25134.0
06/28/2003,18.3,9.7,4.83,18.8,16.4,11083.0
06/29/2003,17.0,12.2,0.25,18.3,16.5,13204.0
06/30/2003,23.2,12.9,0.00,21.4,15.7,29259.0
07/01/2003,24.2,17.0,0.00,22.1,17.1,28917.0
07/02/2003,28.6,13.9,0.00,21.8,17.6,26308.0
07/03/2003,28.8,18.7,0.00,20.8,18.5,17877.0
07/04/2003,30.0,15.1,0.00,21.1,18.2,18512.0
07/05/2003,25.0,16.8,0.00,22.1,18.4,24963.0
07/06/2003,28.3,11.6,0.00,21.2,18.1,19018.0
07/07/2003,26.6,14.8,0.00,22.2,18.6,25146.0
07/08/2003,22.2,12.1,0.00,21.5,18.5,20496.0
07/09/2003,22.7,9.6,0.00,20.9,17.5,20629.0
07/10/2003,18.7,13.5,29.46,19.8,17.5,2963.3
07/11/2003,15.8,13.3,13.97,18.1,16.5,3658.8
07/12/2003,20.9,13.2,0.00,19.5,16.0,26496.0
07/13/2003,25.9,10.5,0.00,20.4,16.5,26810.0
07/14/2003,26.2,18.6,0.00,20.8,17.6,24988.0
