
	Warning... 
	   Date Selected:                 20000101:2400
	   First Entry In Datebase:       20000414:2400
	   ...Resetting Date Selected To: 20000414:2400
nwmhrs
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
04/14/2000,22.8,5.4,,,0.00,23313.0,,,,
04/15/2000,10.3,1.2,,,0.00,7984.5,,,,
04/16/2000,1.8,-0.1,,,5.59,3002.1,,,,
04/17/2000,7.5,-0.2,,,0.00,9458.3,,,,
04/18/2000,10.9,3.2,,,0.00,9926.9,,,,
04/19/2000,11.7,3.2,,,0.51,13647.0,,,,
04/20/2000,7.3,3.0,,,13.97,1452.1,,,,
04/21/2000,13.7,2.5,,,3.56,16359.0,,,,
04/22/2000,15.6,-1.2,,,0.00,27461.0,,,,
04/23/2000,19.6,3.1,,,0.00,20216.0,,,,
04/24/2000,15.0,5.2,,,0.00,27896.0,,,,
04/25/2000,16.0,1.8,,,0.00,27380.0,,,,
04/26/2000,17.4,1.4,,,0.00,27907.0,,,,
04/27/2000,19.7,2.6,,,0.00,27813.0,,,,
04/28/2000,16.4,3.9,,,0.00,25724.0,,,,
04/29/2000,12.2,2.1,,,0.00,27092.0,,,,
04/30/2000,17.5,1.0,,,0.00,27540.0,,,,
05/01/2000,15.6,7.5,,,5.84,17694.0,,,,
05/02/2000,17.8,3.3,,,0.00,28158.0,,,,
05/03/2000,23.8,5.1,,,0.00,26997.0,,,,
05/04/2000,25.8,14.8,,,0.00,23479.0,,,,
05/05/2000,28.2,16.3,,,0.00,25043.0,,,,
05/06/2000,28.2,17.9,,,0.00,24349.0,,,,
05/07/2000,26.9,12.7,,,14.73,24271.0,,,,
05/08/2000,25.4,12.3,,,0.25,13560.0,,,,
05/09/2000,17.5,7.5,,,0.00,17409.0,,,,
05/10/2000,15.2,6.4,,,0.00,26358.0,,,,
05/11/2000,14.6,7.7,,,9.40,3587.6,,,,
05/12/2000,18.8,9.1,,,14.22,7087.3,,,,
05/13/2000,12.5,8.0,,,0.25,18756.0,,,,
05/14/2000,12.1,4.5,,,0.00,22011.0,,,,
05/15/2000,16.4,2.9,,,0.00,28351.0,,,,
05/16/2000,15.4,8.5,,,5.33,17416.0,,,,
05/17/2000,20.0,8.6,,,8.38,17641.0,,,,
05/18/2000,12.9,7.1,,,8.13,10951.0,,,,
05/19/2000,16.6,4.5,,,0.00,30471.0,,,,
05/20/2000,17.1,1.9,,,0.00,30250.0,,,,
05/21/2000,19.7,3.2,,,0.00,27069.0,,,,
05/22/2000,20.7,11.1,,,5.59,11185.0,,,,
05/23/2000,22.2,11.1,,,1.02,15047.0,,,,
05/24/2000,18.9,8.9,,,1.52,16653.0,,,,
05/25/2000,15.8,8.3,,,0.00,29522.0,,,,
05/26/2000,18.1,4.4,,,0.00,28100.0,,,,
05/27/2000,21.2,8.6,,,0.00,20675.0,,,,
05/28/2000,19.0,10.2,,,0.00,20069.0,,,,
05/29/2000,22.6,6.5,,,0.00,25577.0,,,,
05/30/2000,19.2,9.3,,,2.03,8032.9,,,,
05/31/2000,22.8,12.6,,,0.00,19786.0,,,,
06/01/2000,19.4,11.7,,,10.41,7635.7,,,,
06/02/2000,18.7,7.1,,,0.25,27095.0,,,,
06/03/2000,17.7,5.1,,,0.00,30362.0,,,,
06/04/2000,21.6,9.5,,,0.00,24383.0,,,,
06/05/2000,20.1,9.0,,,0.00,29020.0,,,,
