
	Warning... 
	   Date Selected:                 20170101:2400
	   First Entry In Datebase:       20170423:2400
	   ...Resetting Date Selected To: 20170423:2400
williamsburg20
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,soil_50cm_max,soil_50cm_min,srad
04/23/2017,11.1,2.6,0.00,11.8,7.3,8.8,7.9,24302.8
04/24/2017,20.5,-1.7,0.00,13.9,6.4,9.5,7.9,24295.3
04/25/2017,24.0,8.7,0.00,16.1,10.0,10.9,9.4,21247.7
04/26/2017,26.1,15.5,0.00,,,12.2,10.9,15146.3
04/27/2017,21.4,3.9,2.29,16.1,11.6,12.3,12.1,10883.8
04/28/2017,10.4,2.7,1.78,11.6,9.0,12.1,10.4,16648.4
04/29/2017,7.3,1.4,0.00,12.4,8.0,10.5,9.7,19386.3
04/30/2017,7.2,2.4,5.33,10.5,7.3,10.3,9.0,4349.8
05/01/2017,17.0,2.9,10.41,11.3,6.4,9.2,8.2,13226.2
05/02/2017,8.6,2.7,6.35,10.1,6.9,9.2,8.4,4602.4
05/03/2017,14.7,4.0,0.00,12.5,5.4,9.2,7.6,25445.9
05/04/2017,17.6,0.5,0.00,14.2,7.3,10.1,8.6,24638.5
05/05/2017,10.8,2.9,0.00,13.1,8.6,10.2,9.4,22019.1
05/06/2017,11.6,2.4,0.00,14.9,8.2,10.5,9.4,27782.2
05/07/2017,7.5,1.1,0.00,13.1,8.0,10.5,9.5,28369.3
05/08/2017,11.2,-1.8,0.00,13.7,7.0,10.3,1.3,28544.8
05/09/2017,15.1,-4.7,0.00,13.0,7.1,10.3,9.2,18971.0
05/10/2017,21.1,0.5,0.00,15.6,9.0,11.0,9.5,20796.2
05/11/2017,19.4,7.5,0.25,17.6,11.3,12.3,10.8,26548.3
05/12/2017,19.0,5.2,0.00,17.2,12.0,12.6,11.7,19225.8
05/13/2017,18.2,2.0,0.76,14.9,11.2,12.6,11.5,13128.0
05/14/2017,12.9,2.6,0.00,16.2,10.6,12.2,11.2,23179.8
05/15/2017,22.1,-1.0,0.00,18.4,10.0,12.9,11.3,26003.2
05/16/2017,28.5,9.8,0.00,18.6,13.6,13.6,12.6,17426.3
05/17/2017,28.9,20.6,0.00,20.4,16.0,14.9,13.6,17334.4
05/18/2017,25.1,3.8,3.30,19.3,13.5,15.1,14.4,8853.5
05/19/2017,12.0,2.3,0.00,16.8,10.9,14.4,12.8,22013.5
05/20/2017,19.6,-1.1,0.00,16.2,10.0,13.5,12.2,20502.2
05/21/2017,22.6,9.4,0.00,16.7,12.2,13.2,12.3,14080.0
05/22/2017,18.2,8.1,0.00,15.7,12.6,13.2,12.6,15872.9
05/23/2017,16.7,3.4,5.59,16.8,11.8,13.3,12.5,17013.5
05/24/2017,19.7,9.0,2.54,17.1,12.9,13.5,12.8,13684.2
05/25/2017,16.3,10.0,0.76,16.2,13.3,13.5,13.1,10631.4
05/26/2017,20.4,8.9,0.00,20.6,13.1,14.7,13.1,25224.2
05/27/2017,26.1,8.2,0.00,23.1,14.3,15.8,14.0,27015.1
05/28/2017,21.4,11.4,38.10,20.3,16.4,15.9,15.2,12880.0
05/29/2017,21.8,10.5,0.00,18.7,14.3,15.5,14.7,21353.1
05/30/2017,20.0,9.7,0.00,18.0,13.7,15.3,14.4,16289.9
05/31/2017,15.4,5.8,0.25,16.0,14.0,15.0,14.2,12115.6
06/01/2017,21.1,2.2,0.00,19.8,11.3,14.8,13.3,27716.2
06/02/2017,22.8,6.9,0.00,22.1,14.4,16.0,14.4,27515.7
06/03/2017,27.9,8.9,10.16,20.7,15.6,16.1,15.3,18367.1
06/04/2017,25.0,11.7,1.52,23.2,16.2,17.1,15.7,27581.9
06/05/2017,20.5,10.3,0.25,23.4,17.1,17.6,16.5,27172.3
06/06/2017,21.4,8.2,0.00,23.4,16.0,17.7,16.4,29577.5
06/07/2017,23.4,6.2,0.00,23.8,16.4,17.9,16.6,29243.3
06/08/2017,28.1,6.2,0.00,24.1,16.9,18.3,17.0,27665.7
06/09/2017,25.3,12.0,0.25,24.1,18.4,18.6,17.6,25779.5
06/10/2017,30.7,9.3,0.00,24.0,18.0,18.7,17.8,26305.0
06/11/2017,30.6,22.9,0.00,24.0,20.7,19.4,18.6,19346.7
06/12/2017,27.8,17.7,24.64,23.2,20.3,19.4,18.9,13605.4
06/13/2017,26.8,16.5,4.06,25.1,19.8,20.1,19.0,26582.1
06/14/2017,27.9,16.5,22.35,22.5,19.1,20.1,19.1,15711.1
06/15/2017,28.2,16.7,0.25,24.3,19.4,19.9,19.0,22042.1
06/16/2017,29.2,13.6,0.00,24.9,19.5,20.4,19.3,25322.6
06/17/2017,28.4,17.4,0.76,24.6,20.4,20.5,19.8,19000.7
06/18/2017,23.3,14.9,20.32,23.0,20.7,20.5,20.0,16520.1
06/19/2017,22.7,14.0,0.00,23.4,19.0,20.1,19.3,24936.0
06/20/2017,21.3,11.4,0.00,21.7,18.9,20.0,19.2,21700.7
06/21/2017,25.1,9.5,0.00,25.1,17.4,19.9,18.5,29246.8
06/22/2017,26.4,11.7,10.16,22.6,19.2,20.1,19.3,9126.8
06/23/2017,25.9,13.4,8.13,24.1,19.6,20.2,19.2,23041.5
06/24/2017,22.9,11.2,0.25,24.1,18.3,20.2,19.3,22795.3
06/25/2017,19.3,10.8,3.05,21.2,17.9,20.0,18.9,19213.3
06/26/2017,16.8,9.3,14.48,19.4,17.1,19.3,18.3,12782.4
06/27/2017,22.2,7.6,0.25,21.9,14.7,18.5,17.2,28520.0
