
	Warning... 
	   Date Selected:                 20230101:2400
	   First Entry In Datebase:       20230602:2400
	   ...Resetting Date Selected To: 20230602:2400
wmich
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,srad,stmp_05cm_max,stmp_05cm_min,stmp_100cm_max,stmp_100cm_min,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
06/02/2023,31.6,14.7,15.8,7.4,0.00,28406.2,34.2,20.5,15.8,15.3,28.3,21.4,20.1,19.6
06/03/2023,31.6,15.9,16.9,8.9,0.00,26464.2,33.6,20.7,16.1,15.7,28.0,21.8,20.4,19.9
06/04/2023,27.2,14.1,14.4,-0.4,0.00,30691.3,33.3,20.5,16.4,16.1,27.6,21.6,20.7,20.1
06/05/2023,27.4,10.6,10.8,3.9,0.00,27702.6,33.1,18.8,16.6,16.4,27.3,20.5,20.6,19.9
06/06/2023,25.9,12.8,15.0,8.8,0.00,19759.5,29.4,19.5,16.8,16.6,25.4,20.9,20.5,19.9
06/07/2023,23.7,7.6,10.5,1.6,0.00,26798.4,29.9,16.5,16.9,16.7,25.0,18.9,20.3,19.4
06/08/2023,23.3,8.2,6.8,1.2,0.00,29747.4,30.4,16.1,16.9,16.8,25.3,18.6,19.9,19.1
06/09/2023,23.7,9.2,9.7,3.6,0.00,27744.4,30.9,16.6,16.9,16.8,25.5,18.8,19.8,19.1
06/10/2023,27.8,9.4,10.2,3.3,0.00,25546.3,29.9,17.0,16.9,16.8,25.2,19.0,19.8,19.1
06/11/2023,19.2,12.7,15.6,9.3,0.00,7527.6,24.3,19.6,17.0,16.8,23.9,20.4,19.9,19.4
06/12/2023,16.2,9.3,11.3,2.7,0.00,15394.7,22.8,17.1,17.0,16.9,20.6,18.2,19.4,18.5
06/13/2023,19.4,10.2,13.2,5.2,0.25,17311.8,22.9,15.4,17.0,16.7,20.2,17.0,18.6,17.9
06/14/2023,21.6,11.7,13.6,9.8,0.00,23297.2,28.9,15.4,16.8,16.6,23.3,16.8,18.1,17.6
06/15/2023,25.2,10.6,17.4,8.7,0.00,20773.9,27.4,15.2,16.6,16.5,22.5,17.2,18.3,17.9
06/16/2023,23.6,11.7,14.5,9.8,0.00,21611.8,29.3,16.7,16.6,16.5,24.0,17.9,18.4,18.0
06/17/2023,26.2,9.9,13.8,6.4,0.00,29538.6,32.6,15.8,16.7,16.5,26.2,17.9,18.9,18.3
06/18/2023,28.2,10.7,14.5,9.3,0.00,26701.7,32.4,17.4,16.8,16.6,26.6,19.3,19.6,18.9
06/19/2023,29.1,12.5,14.2,7.2,0.00,26930.8,33.1,18.9,17.0,16.7,27.2,20.4,20.0,19.5
06/20/2023,31.4,16.4,17.6,10.5,0.00,27668.2,33.6,20.3,17.3,17.0,28.0,21.3,20.6,20.0
06/21/2023,30.9,17.8,17.7,13.5,0.00,25468.1,33.5,21.7,17.6,17.2,28.1,22.4,21.1,20.6
06/22/2023,27.9,17.5,16.6,11.8,0.00,23518.1,32.6,21.2,17.9,17.5,27.6,22.4,21.4,21.0
06/23/2023,26.9,16.1,18.3,12.5,0.00,11682.6,28.5,21.9,18.1,17.8,26.0,22.7,21.6,21.2
06/24/2023,30.4,15.1,17.4,13.2,0.00,25766.3,35.1,20.2,18.2,18.0,28.7,21.4,21.3,20.7
06/25/2023,27.3,17.7,21.8,15.0,1.02,13833.2,28.0,21.3,18.4,18.1,27.0,22.7,21.7,21.3
06/26/2023,19.6,15.7,18.6,14.3,9.40,5273.6,21.4,18.2,18.4,18.3,22.7,19.8,21.4,20.3
06/27/2023,21.2,13.9,16.5,12.6,0.00,11847.3,23.3,16.9,18.4,18.2,21.6,18.3,20.4,19.4
06/28/2023,26.7,11.1,16.8,10.6,0.00,23835.1,31.7,14.4,18.3,18.0,26.0,16.8,19.6,18.9
