date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
03/23/2019,7.4,-7.3,-1.1,-8.5,0,5210.6,,,,
03/24/2019,11.9,0.9,1.7,-7.2,0,3072.3,,,,
03/25/2019,7.9,-2.6,-1.2,-20.7,0,,,,,
03/26/2019,8.2,-5.3,-5.4,-17.7,0,5280,,,,
03/27/2019,12.2,-2.7,-1.8,-9.9,0,4781.2,,,,
03/28/2019,14.8,5.9,6.7,-3,0,4616.6,,,,
03/29/2019,13.3,2.7,1.9,-2.9,0,4703.6,,,,
03/30/2019,7.4,-4.2,2.9,-12.8,6.35,,,,,
03/31/2019,0.1,-5.6,-8.3,-13.2,0,2831.1,,,,
04/01/2019,6.2,-5.8,-2.7,-9.8,0,,,,,
04/02/2019,12.3,2.1,2.7,-2.7,0.25,4182.8,,,,
04/03/2019,9,0.8,0.8,-10.7,0,5414.4,,,,
04/04/2019,7.2,0.5,-1.2,-5.1,0,2515.7,,,,
04/05/2019,13.4,0.5,6.9,-1.5,2.03,3672,,,,
04/06/2019,18.4,1.1,10.8,0.8,0,3766.7,,,,
04/07/2019,22.6,8.8,13.9,6.5,6.86,3180.2,,,,
04/08/2019,18.5,9.5,13.3,0.2,0,4958.4,,,,
04/09/2019,15.8,4.5,5.8,-0.2,0,5336.4,,,,
04/10/2019,5.5,-0.1,0,-4.7,0.25,1728.6,,,,
04/11/2019,7.4,-1.2,2,-2.5,3.3,3041.5,,,,
04/12/2019,10.4,3.4,7.4,-2,26.92,4002.5,,,,
04/13/2019,7.4,1.4,-0.9,-5.1,0,,,,,
04/14/2019,3,-1.1,-0.1,-3.9,0.25,861.2,,,,
04/15/2019,7.5,-2.8,0.6,-8.8,13.46,6466.5,,,,
04/16/2019,15.4,3.1,9.9,-5.2,5.59,2335.1,,,,
04/17/2019,16.2,4,10.7,4,0,2108.8,,,,
04/18/2019,17.9,4,14.5,2.8,8.38,773.4,,,,
04/19/2019,11.7,3.7,4.8,0.9,0,3020,,,,
04/20/2019,19.1,2.5,4.9,-10.8,0,6644.1,,,,
04/21/2019,22.4,3.1,8,-1,0,5383.7,,,,
04/22/2019,25.5,12,10.5,2.7,0,5316.9,,,,
04/23/2019,19.6,5,12.7,-2,2.29,,,,,
04/24/2019,18.2,-0.5,7.3,-2.2,0,6089.3,,,,
04/25/2019,21.2,4.8,8.1,-3.7,0,5874.8,,,,
04/26/2019,14.6,5.5,9.1,-1.9,0.25,,,,,
04/27/2019,7.4,-0.6,1.1,-5.7,0,2746.9,,,,
04/28/2019,14.2,-0.9,-0.3,-9.5,0,6591.6,,,,
04/29/2019,7.9,3.4,4.8,-5.5,11.68,929.2,,,,
04/30/2019,6.9,4.7,5.6,4,6.86,,,,,
05/01/2019,12.7,5.3,12.5,5.3,30.48,,,,,
05/02/2019,9.2,5.3,8.8,5.3,6.1,914.3,,,,
05/03/2019,12.1,7.1,8.7,6.5,0.51,1934.7,,,,
05/04/2019,18.2,4.7,9.5,3.4,0,6512.8,,,,
05/05/2019,19.8,3,10.9,2.4,0,6512,,,,
05/06/2019,16.3,10.3,13.7,5.8,0.25,2170.4,,,,
05/07/2019,16.1,6.4,9.5,-1.2,0,4690.8,,,,
05/08/2019,14.3,5.1,4.3,-3.2,0,2559.8,,,,
05/09/2019,20.1,8.4,17.7,2.6,17.27,1977.8,,,,
05/10/2019,12.7,4.4,6.9,1,0,5901.2,,,,
05/11/2019,11.9,2,4.4,-1.1,0,,,,,
05/12/2019,12.6,5.7,6.3,1.1,0,2606.8,,,,
05/13/2019,14.9,6.5,7.4,1.7,0,3436.3,,,,
05/14/2019,18.6,2.1,6.4,-0.1,0,,,,,
05/15/2019,20.9,5.8,12.7,-0.5,0,,,,,
05/16/2019,22.3,0,16,0,0,169.2,,,,
05/17/2019,19.8,12.7,15.2,5,0,4330.4,17.1,13.6,12.1,11.8
05/18/2019,24.8,10.5,19.3,7,12.45,3275,17.4,13.7,12.5,12.1
05/19/2019,21.6,12.4,19.4,8.6,5.59,1937.5,16.9,14.7,12.9,12.4
05/20/2019,12.4,6,9,3.6,0,2389.2,15.9,12.7,13,12.6
05/21/2019,17.1,0,7.4,0,0,4292.1,14.2,0,12.6,0
05/22/2019,24.2,9.1,16.6,3.1,2.54,4989.3,18.6,11.8,12.4,11.9
05/23/2019,21.1,11.8,18.7,8.1,12.45,6827.9,19.8,16.1,13.5,12.3
05/24/2019,16.7,8.2,14.7,7.5,3.3,1796.8,17,14.1,13.8,13.4
05/25/2019,23,14.8,19.8,14.1,35.56,3872.3,19.8,15,14,13.4
05/26/2019,24.5,15.2,16.5,8.7,0,4737.2,21.4,15.8,14.5,13.9
05/27/2019,23.3,9.8,16.5,8.9,3.56,4217.9,20.9,15,14.9,14.5
05/28/2019,17.4,13.2,15.9,11,0.25,,18.9,16.2,15,14.8
05/29/2019,19.4,11.7,16.6,11.3,0.51,12172.6,19.2,15.3,15,14.7
05/30/2019,19.4,11.1,16.5,10.9,5.08,8266.6,18.4,15.3,14.9,14.7
05/31/2019,25.2,9.4,18,9.4,0,26026,22.5,14.3,15,14.5
06/01/2019,21.1,13.4,18.1,12.8,17.53,11343.1,19.7,17.1,15.5,15
06/02/2019,19.3,9.3,14.1,-1.2,0.25,29333.7,21.3,15.3,15.7,15.3
06/03/2019,19.1,4.2,8.9,-0.4,0,30124.6,21.8,13.7,15.8,15.3
06/04/2019,23.5,7.5,14.6,4.9,0,18089.2,19.9,15,15.8,15.5
06/05/2019,24.7,16.7,20.6,13.2,1.02,21392,23,17,16.2,15.6
06/06/2019,26.2,15.5,19.3,14.9,0,24182.7,24.6,18.5,17,16.2
06/07/2019,27.3,13,19,6.7,0,29775.4,24.4,18.4,17.6,17
06/08/2019,27.3,14.3,14.9,6.2,0,26708.4,22.6,17.4,17.8,17.4
06/09/2019,19.8,15.4,19,7.2,10.92,4177.2,19.9,18,17.7,17.3
06/10/2019,19.5,10.6,18.9,7,6.1,14357,19.2,17.3,17.3,17
06/11/2019,24.3,8.6,14.4,4.4,0,28877.3,24,15.3,17.1,16.6
06/12/2019,23.9,14.2,14.8,7.6,3.05,14025.4,22.4,17.6,17.4,17.1
06/13/2019,16.7,9.1,13.5,1.6,34.54,10917.5,18.9,15.5,17.4,16.8
06/14/2019,23.4,6.6,11.3,5.4,0,15045.8,18.5,13.7,16.8,16.1
06/15/2019,21.3,15.4,17.2,8.6,4.06,7008.8,18.3,16.1,16.2,16
06/16/2019,16.5,13.7,15.6,6.4,0,7838.6,17.6,15.4,16.2,15.9
06/17/2019,21.9,12.2,17.5,9.8,0,12062,19.3,14.8,16,15.6
06/18/2019,25.6,12.6,19.4,11.9,0,24096.2,23.7,16.2,16.6,15.8
06/19/2019,24.8,13,18.3,12.6,0,16266.3,22.2,18,17.2,16.6
06/20/2019,21.8,14.7,17.2,14.2,20.83,10858.4,20.2,17.7,17.4,17.2
06/21/2019,25.1,10.6,15.4,7.8,0,28836.6,23.7,16.7,17.6,17.1
06/22/2019,25.6,13.3,15.5,7.9,0,29981.2,23.6,17.4,18.1,17.6
06/23/2019,27.2,13.9,19.7,10.1,0.25,21914.8,24.3,17.9,18.4,17.9
06/24/2019,24,15.1,21.6,14.2,8.89,10392.3,22.9,20.6,18.8,18.4
06/25/2019,26.6,14.9,19.1,13.6,0.25,25075.2,25,18.6,18.8,18.4
06/26/2019,27.1,16.2,18.6,12.2,0,28833.4,26.1,19.2,19.2,18.6
06/27/2019,30.1,16.1,22.3,14.6,0,27241.9,28.2,20.1,19.9,19.2
06/28/2019,27.9,18.8,22.5,16.7,0,14334,25.9,21.8,20.2,19.9
06/29/2019,30,18.3,22.2,17.2,0,27811,27.7,21.3,20.6,20.1
06/30/2019,29.1,19.1,23.3,15,0,22682.2,26.9,22,21,20.6
07/01/2019,30,18,23.9,17.4,0,26986.2,28.9,22,21.4,20.8
07/02/2019,30.5,19.9,25.4,18.9,24.89,22059.8,29.6,23,21.9,21.3
07/03/2019,31.3,20.2,24.4,18.2,0,23390.7,28.9,23.4,22.1,21.6
07/04/2019,31.2,21.1,25.6,18.3,0,24368.3,29.4,23.5,22.4,22
07/05/2019,30.3,22.1,25.4,21,0,25134.9,29.9,24.5,22.9,22.4
07/06/2019,30.8,20.1,24.3,16.2,14.73,24644.1,29.1,24.6,23.1,22.7
07/07/2019,27.2,17.3,19,11.3,0.25,27298.7,27.2,22.5,23.1,22.6
07/08/2019,26.8,12.5,17.8,10.1,0,25019.4,26.4,21.2,22.8,22.1
07/09/2019,28.7,13.7,20.4,11.7,0,26925.1,27.6,20.9,22.4,21.8
07/10/2019,31.1,18.8,25.7,15.3,0.51,23037.6,28.4,22.5,22.4,21.9
07/11/2019,27.2,15.1,20.4,11.4,0,26341.6,27,22.8,22.5,22.2
07/12/2019,25.8,10.5,17.6,9.6,0,28803.2,26.9,20.3,22.5,21.7
07/13/2019,29.1,16.8,23.6,13.1,0,27094.1,27.7,21.8,22.1,21.7
07/14/2019,29.3,15.8,19.1,9.8,0,28627,27.5,21.7,22.2,21.8
07/15/2019,30.2,17.4,24.9,15.2,0,25106.5,28.2,22.5,22.4,22
