date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
12/04/2007,-4.2,-8.8,0,2.2,2.1,3763.7
12/05/2007,-6.5,-12.9,0,2.3,2.2,5442.8
12/06/2007,-4.1,-12.3,0,2.3,2.3,8063.2
12/07/2007,-3.1,-7.1,0,2.3,2.3,1646.7
12/08/2007,-3.4,-11.9,0.51,2.4,2.3,5999.6
12/09/2007,0.9,-8,0.25,2.4,2.3,3159.2
12/10/2007,5,-11.8,0,2.4,2.3,7081.6
12/11/2007,0.7,-3.5,1.27,2.4,2.3,2182.4
12/12/2007,3.3,-12.5,2.54,2.3,2.2,6491.5
12/13/2007,-1.2,-7.7,0,2.3,2.2,1862.3
12/14/2007,-1.2,-15.9,0,2.3,2.2,3544.4
12/15/2007,-6.7,-15.3,0,2.3,2.1,2060.4
12/16/2007,-2.8,-7.8,0,2.2,2.1,4802.5
12/17/2007,-2.1,-9,0,2.2,2.2,6773.2
12/18/2007,3.3,-4.6,0.25,2.3,2.2,6300.8
12/19/2007,-0.2,-6.5,0.25,2.2,2.2,1198.2
12/20/2007,0,-13.9,1.02,2.2,2.1,5328.4
12/21/2007,0.2,-3.3,0,2.2,2.1,2219.2
12/22/2007,4.2,-0.7,4.57,2.2,1.9,1497.2
12/23/2007,6.1,-9.6,4.57,1.9,1.2,1187.5
12/24/2007,-2.5,-8.6,0,1.5,1.2,1397.7
12/25/2007,0.4,-5.7,0.25,1.6,1.5,2906.3
12/26/2007,1.7,-2.5,0.76,1.7,1.5,4472.9
12/27/2007,0.5,-3.8,1.02,1.7,1.5,1469.3
12/28/2007,-2.5,-5.1,0,1.8,1.7,1580.4
12/29/2007,-2.1,-5.5,0,1.8,1.8,814.4
12/30/2007,-1.5,-5.7,0,1.8,1.8,2323.6
12/31/2007,1.5,-7,2.29,1.8,1.8,5632.5
01/01/2008,-0.6,-7.6,0.25,1.8,1.8,2874.3
01/02/2008,-3.8,-13.8,0,1.8,1.8,7766.8
01/03/2008,-5.1,-13.6,0,1.8,1.8,3227.2
01/04/2008,-0.5,-9.9,0,1.8,1.7,4647.2
01/05/2008,3,-4.2,5.33,1.8,1.7,2099.1
01/06/2008,9.1,1.9,1.27,1.7,1.6,1974.8
01/07/2008,11.3,2.1,37.08,5.1,1.6,817.4
01/08/2008,10,0,11.43,6.3,4.6,1464.8
01/09/2008,1,-2.3,1.27,4.6,2.2,3045.7
01/10/2008,2.1,-3.3,0,2.5,1.4,3830.9
01/11/2008,-0.7,-3.1,0,1.9,1.8,3017.4
01/12/2008,2.3,-3.1,2.29,1.9,1.8,4742.8
01/13/2008,0.2,-2.5,2.54,1.8,1.6,2581.4
01/14/2008,-0.6,-4.9,0,1.7,1.6,2576.5
01/15/2008,-4,-6.7,0,1.7,1.6,3276.4
01/16/2008,-3.3,-6.9,0,1.6,1.6,4966.9
01/17/2008,0.1,-7.6,0,1.6,1.5,6372.1
01/18/2008,-4,-11.3,0,1.5,1.5,7542.2
01/19/2008,-10.8,-22.3,0,1.5,1.4,8936.8
01/20/2008,-13.8,-22.7,0,1.4,1,6702.3
01/21/2008,-10.2,-15.8,0,1,0.8,5996.7
01/22/2008,-7.6,-12.2,0.25,1,0.9,6173.4
01/23/2008,-9.5,-14,0,1,1,4970
01/24/2008,-8.6,-19.1,0,1.1,1,4803.3
01/25/2008,-4.2,-13.6,0,1,0.8,9630.1
01/26/2008,-5.3,-10.4,0,0.9,0.9,5343.7
01/27/2008,-1.9,-8.1,0,1.1,0.9,4746.3
01/28/2008,5.7,-8.5,7.62,1.1,0.6,6467.5
01/29/2008,5.8,-3.7,8.38,0.9,0.6,2160.6
01/30/2008,-3.6,-20.9,0,1,0.5,7726
01/31/2008,-7.8,-16,0,0.5,0.4,7522.8
02/01/2008,-2.7,-10,0,0.4,0.4,3349
02/02/2008,-1,-6.5,0.25,0.5,0.4,4661.9
02/03/2008,-1.1,-4.6,0.25,0.5,0.4,3444.6
02/04/2008,0.4,-4,0,0.6,0.5,2935.2
02/05/2008,0.2,-2,1.27,0.7,0.6,2146.5
02/06/2008,-1.5,-8.9,0,0.8,0.7,3229.7
02/07/2008,2.6,-20.8,2.79,0.9,0.8,11144.2
02/08/2008,-1.1,-5.4,0,0.8,0.8,6575.5
02/09/2008,0.1,-5.9,0,0.9,0.8,3099.2
02/10/2008,-5.7,-21.7,0,0.9,0.7,8835
02/11/2008,-10.1,-20.4,0,0.7,0.5,8740.2
02/12/2008,-9.1,-18.9,0,0.5,0.4,5574.4
02/13/2008,-5.5,-16.4,0,0.4,0.4,7257.9
02/14/2008,-2.1,-8.4,0,0.4,0.4,5053.2
02/15/2008,-7.7,-19.5,0,0.5,0.4,11925.4
02/16/2008,-0.8,-15.9,0.25,0.5,0.5,8579.5
02/17/2008,4.5,-10.6,36.07,0.6,0.2,1966.7
02/18/2008,-1.9,-9.5,0,0.6,0.3,4443.3
02/19/2008,-7.8,-18,0,0.7,0.6,10152.3
02/20/2008,-7.6,-23.1,0,0.7,0.6,8928.8
02/21/2008,-4.4,-17.1,0.25,0.6,0.5,13056.7
02/22/2008,6.9,-15.8,1.27,0.5,0.4,14675.3
02/23/2008,1.9,-19,0,0.5,0.3,14458.1
02/24/2008,3.2,-12.6,0,0.4,0.3,14815.5
02/25/2008,1,-3.3,0.25,0.4,0.3,3612.1
02/26/2008,-1.4,-11.2,0,0.5,0.4,6709.8
02/27/2008,-6.7,-16.2,0,0.5,0.4,12649.4
02/28/2008,-1.6,-24.2,0,0.4,0.3,11286.5
02/29/2008,-3.2,-12.2,0,0.3,0.3,3971.8
03/01/2008,1.2,-13.6,1.27,0.3,0.3,7658.6
03/02/2008,3.5,-9.4,0.51,0.3,0.3,10660
03/03/2008,7.8,-7.3,10.41,0.3,0.2,3148.6
03/04/2008,-1.8,-12.9,1.78,0.4,0.3,16216.8
03/05/2008,2.5,-15,0,0.4,0.3,15142.8
03/06/2008,-0.9,-12.7,1.02,0.4,0.3,14970.6
03/07/2008,-1.9,-16.5,0,0.4,0.3,15477.5
03/08/2008,-3.8,-21,0,0.3,0.2,18027.9
03/09/2008,0.8,-16.2,0,0.2,0.2,16265.9
03/10/2008,3.9,-18.8,0,0.2,0.1,18290.3
03/11/2008,,,,,,
03/12/2008,,,,,,
03/13/2008,,,,,,
03/14/2008,,,,,,
03/15/2008,,,,,,
03/16/2008,,,,,,
03/17/2008,0.8,-8.6,0,0.3,0.2,10136.4
03/18/2008,1.9,-3.4,3.81,0.3,0.2,3172.6
03/19/2008,4.4,-3.4,0.25,0.3,0.3,9544.5
03/20/2008,-0.7,-7,0,0.4,0.3,10983.2
03/21/2008,-1.1,-12.2,0,0.4,0.3,8384.4
03/22/2008,4.5,-11.3,0,0.3,0.2,18666.2
03/23/2008,4,-12.4,0,0.3,0.2,13735.8
03/24/2008,2.1,-18.9,0,0.3,0.2,20754
03/25/2008,6.4,-4.3,4.83,0.3,0.2,8527.9
03/26/2008,6,-4.6,1.78,0.3,0.2,18401.9
03/27/2008,5.5,-5.1,0,0.3,0.2,11791.2
03/28/2008,4.7,-9.5,0,0.3,0.3,21323.6
03/29/2008,7.4,-12.7,0,0.3,0.2,22221.5
03/30/2008,6,-3.8,0,0.3,0.2,10652.7
03/31/2008,5.6,0.2,21.08,0.3,0.3,2502.7
04/01/2008,10.3,-6.5,12.95,0.4,0.2,4772.2
04/02/2008,7.1,-11.5,0.51,0.3,0.1,22721.7
04/03/2008,9.7,-1.8,0,3,0.2,16109.8
04/04/2008,13.6,-1.7,0,6.6,0.5,16216
04/05/2008,16.4,-0.8,0,9.3,1.1,21735.1
04/06/2008,16.8,-0.5,0,10,2.9,20783
04/07/2008,17.2,3.3,0,10.6,4.9,18840
04/08/2008,11.4,1.4,7.87,9,4.9,10076.8
04/09/2008,8.5,0.1,12.19,6.3,4.4,4434.8
04/10/2008,8.2,-1.5,11.43,6.9,3.4,8558.4
04/11/2008,5.3,-0.4,9.4,5.6,3.2,5133.7
04/12/2008,3.4,-0.8,3.3,5.5,3.2,7901.8
04/13/2008,8.2,-4.7,0.25,8.1,1.8,22418.6
04/14/2008,11.4,-5.8,0,9.4,1.8,24460.4
04/15/2008,14.1,-5,0,9.5,1.9,23121.8
04/16/2008,22.7,5.9,0,11.9,4.4,22817.7
04/17/2008,22.2,7,0,14.2,7.4,18110.7
04/18/2008,23.9,5.3,0,14.5,8.3,16793.1
04/19/2008,24.9,8,0,14.9,9.3,15158.2
04/20/2008,26.6,5,0,17.2,9.1,22858.3
04/21/2008,22.9,8.4,0,17.6,10.3,23756.7
04/22/2008,22.4,10.7,0,15.8,11.3,14259.5
04/23/2008,23.9,6.9,0,18.2,11,24694.2
04/24/2008,22.9,9.2,0,16.9,10.3,20541
04/25/2008,22.1,7.6,23.62,15.7,11.3,10079.7
04/26/2008,15.1,3,7.11,14.3,8.5,7932.4
04/27/2008,9.7,0.7,0,12.8,6.8,21213.7
04/28/2008,11.3,-2.7,0,11.1,6.3,17686.6
04/29/2008,8.2,-3.2,0,10.8,5.2,20039.9
04/30/2008,13.3,-4,0,13,4.4,24368.2
05/01/2008,18.5,-1.2,8.13,13.8,7.1,18727.8
05/02/2008,15.8,5.5,12.7,11.9,9,6463.1
05/03/2008,17.2,2.5,3.05,14.1,9.8,15108.4
05/04/2008,17,7.9,0,14.8,10.4,12315.6
05/05/2008,17.7,3.4,0,16.5,8.7,25911.1
05/06/2008,21.5,3,0.25,16.8,9.4,21812.9
05/07/2008,17,3.6,1.78,14.2,10.2,6918.1
