date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
06/17/2016,28.6,13.6,0,28.1,17.1,29871.3
06/18/2016,29.6,14.9,0,29.5,18.9,27049.7
06/19/2016,27.2,16,0,31,20.2,29198.5
06/20/2016,26.8,17.6,0.51,29.9,22.9,22604.8
06/21/2016,23.6,11.3,0,30.5,20.4,30131.4
06/22/2016,26.3,11.7,0,29,21,20175.4
06/23/2016,25,13.6,0.25,27.5,21.9,15706.6
06/24/2016,25.7,11.8,0,30.8,19.6,30333.4
06/25/2016,28.3,13.7,0,31.6,21.5,28820.7
06/26/2016,26.2,18.1,22.35,28.5,23.2,16683.5
06/27/2016,24.2,15.2,0,29.2,20.5,29580.1
06/28/2016,18.4,11.2,0,28.1,19.6,26874.6
06/29/2016,22.4,8.4,0,30.2,17.8,30485.1
06/30/2016,23.4,11.9,2.79,31.3,20.1,26592.6
07/01/2016,18.8,10.7,2.79,26.5,19.9,23941.7
07/02/2016,21.9,10.2,0,30.4,17.9,29836.7
07/03/2016,23.7,9.2,0,31.1,19.3,30203.6
07/04/2016,24.5,12.2,0,29.4,20.3,20660.8
07/05/2016,25.8,16.9,0,32.5,22.5,27676.1
07/06/2016,25.6,17.2,0,31.6,23.9,22259.9
07/07/2016,28.3,16.4,20.32,30.4,23.5,18205.6
07/08/2016,26.4,17.3,0,29.4,21.7,22507.7
07/09/2016,22.5,14.6,0,27.7,20.6,20573.8
07/10/2016,24.4,12.1,0,30.1,19.1,25058.7
07/11/2016,27.4,16.6,11.18,28.8,21.2,18497.2
07/12/2016,27,20.9,0,30.1,22.4,24877.5
07/13/2016,26.9,18.7,0,32.3,22.4,25593.8
07/14/2016,25.9,19.4,0,32.9,23.4,28042.6
07/15/2016,20.4,11.2,0.51,27.8,22.3,13749.3
07/16/2016,21.9,8.9,0,30.2,18.9,28765.3
07/17/2016,23.9,13.4,1.27,26.9,21.2,15992.8
07/18/2016,26.3,16.7,0,30.8,21.6,26251.2
07/19/2016,28,16.2,0,31.2,22.7,27738.5
07/20/2016,28.8,16.2,0,31.7,23,25716.3
07/21/2016,26.4,19,4.32,27.8,24.4,10617.8
07/22/2016,27.9,17.9,0,31.8,22.4,27173
07/23/2016,32.2,18.6,0.25,31.8,23.5,22570.3
07/24/2016,26.9,18.9,37.85,27.8,23.3,14650.2
07/25/2016,26.9,18.2,0,28,22.9,27730.6
07/26/2016,28.8,17,0,28.4,22,27908.3
07/27/2016,27.3,18.4,0,29.2,23.2,22200.4
07/28/2016,26.2,17.9,0.76,27.5,23.8,16774.1
07/29/2016,25.3,16.4,5.59,25.4,21.9,17255.1
07/30/2016,25,15.2,0,25.3,20.5,19276.7
07/31/2016,25.4,15.6,0,26,21.4,21605
08/01/2016,26.6,14.9,0,27.2,21.2,26881.1
08/02/2016,27.6,16.3,0,27.8,21.8,26192.7
08/03/2016,29.3,15.2,0,28.4,22.1,25247.3
