date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
08/19/2001,23.5,14.1,4.32,22.8,17.9,11097
08/20/2001,25.8,13.7,0,28.7,16.8,26143
08/21/2001,27.3,11.3,0,29.4,18.7,24822
08/22/2001,25.9,16.5,1.52,26.4,20.8,13946
08/23/2001,27.5,15.7,0,29.9,20.5,21094
08/24/2001,27.3,15.9,0,27.9,20.9,16390
08/25/2001,23.5,16.3,22.1,24.1,20.7,4217.9
08/26/2001,27.4,16.5,3.05,28.5,20.8,21229
08/27/2001,25.8,16.1,0,24.6,20.9,11358
08/28/2001,26.7,12.1,0,28.6,18.3,24797
08/29/2001,25.4,14.1,0,27.7,18.9,22809
08/30/2001,27.4,17.3,1.52,27.1,20.5,17549
08/31/2001,19.4,7.5,0,23.6,19.2,12771
09/01/2001,19.5,4.8,0,25.1,15.1,22401
09/02/2001,22.9,10.1,0,25.8,16.6,22561
09/03/2001,24.1,12.5,5.08,23.3,19.4,10192
09/04/2001,22.7,9.5,0,26.1,16.1,22140
09/05/2001,22.8,9.1,0,26.3,16.2,22632
09/06/2001,28.3,14.2,0,26.6,17.7,19503
09/07/2001,28.8,19.5,15.49,25.6,20.7,14511
09/08/2001,25.3,18.3,8.64,23.2,20.9,7386.2
09/09/2001,19.6,13.3,20.07,20.9,18,1687.3
09/10/2001,21.4,12.3,2.03,21.2,16.3,16700
09/11/2001,21.7,9.4,0,22.7,14.8,19894
09/12/2001,23.1,12.3,1.02,21.5,17.1,11607
09/13/2001,17.8,6.2,0,21.1,14.4,17909
09/14/2001,18.8,4,0,21.2,13.5,19924
09/15/2001,19.9,8.3,0,22.4,13.9,20600
09/16/2001,19.9,6.9,0,21,14,17294
09/17/2001,17.9,9.2,1.02,18.1,15.1,5300.6
09/18/2001,21.7,11.9,0,20.6,15.5,12076
09/19/2001,15.8,13.3,54.36,17.9,15.9,1226.6
09/20/2001,16.1,11.2,23.37,16.3,15,2319.4
09/21/2001,17.5,9.4,0,18,13.6,8184.8
09/22/2001,20.7,9.8,0,20.5,13.2,16958
09/23/2001,16.3,9.2,17.78,17,14.4,2795.4
09/24/2001,12,6.7,6.35,15.7,12.3,10530
09/25/2001,10,5.7,1.02,13.2,11,6995
09/26/2001,9.6,6.2,8.89,12.9,10.8,3586.3
09/27/2001,11.6,7.8,0,13.9,11.5,4607.5
09/28/2001,18.2,6.2,0,17.8,11.3,14704
09/29/2001,21.3,4,0,19.1,10.5,18049
09/30/2001,18.8,5.4,0,18.5,11.3,18071
10/01/2001,21.6,8.7,0,20,13,16505
10/02/2001,22.5,6.5,0,19,12.2,17183
10/03/2001,20.7,10.2,1.02,18.5,14.2,12052
10/04/2001,15.1,5.8,0,15.8,12.3,9890.4
10/05/2001,11,3.9,0.51,13.5,10.7,7043.2
10/06/2001,8.9,1.4,1.52,11.3,8.1,6443.3
10/07/2001,9.8,-0.1,0,12.4,6,15677
10/08/2001,16.9,0,0,12.9,5.9,14923
10/09/2001,19.2,9.8,1.27,14.6,10.3,7367.9
10/10/2001,17.9,13.7,0.51,14.5,12.7,2826.5
10/11/2001,16.4,8.2,0,16,11.2,13011
10/12/2001,12.8,7,16.51,12.6,11.1,1541.8
10/13/2001,18.8,8.4,65.28,14.5,11.2,2188.1
10/14/2001,13.3,8.2,13.21,14.2,11.6,7496.2
10/15/2001,,,,,,
