date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
08/06/2008,27.9,16,1.02,26.4,21.7,22485.4
08/07/2008,26.1,13.4,1.02,25.3,20,22660.1
08/08/2008,26,11.5,0.25,25.5,18.6,25776.9
08/09/2008,26.1,10.9,0.51,24.4,19,21125.9
08/10/2008,21.9,8.2,0,21.2,17.4,16318.5
08/11/2008,27.6,10.7,0,24.9,17.3,25011.4
08/12/2008,28.1,10.7,0,25.2,18.4,23472
08/13/2008,26.1,12.4,0,23.6,19.2,16872.8
08/14/2008,26.9,11.8,2.54,24.6,18.8,20604.6
08/15/2008,27.1,8.4,0,23.9,17,21737.3
08/16/2008,27.2,10.3,0,24.4,17.4,23999.9
08/17/2008,29.1,15.1,0,25.6,19.1,23776.8
08/18/2008,29.7,17.1,0,26.4,20.4,23686.5
08/19/2008,25.6,13.2,0,25.4,20.9,18520.6
08/20/2008,28.1,8.2,0,26.1,18.4,25824.9
08/21/2008,30.2,9.2,0,25.1,18.5,19730.8
08/22/2008,28.9,20.9,1.02,23.3,21.5,7388
08/23/2008,31.7,20,7.37,26.2,20.8,20548.9
08/24/2008,26.1,15,0.25,25.9,21.1,21424.4
08/25/2008,23.8,10.6,0,24.7,18.2,21147.7
08/26/2008,25.7,7.7,0,24.9,16.2,24693.6
08/27/2008,30.1,7.6,0,26.1,16.9,24142.6
08/28/2008,26.4,15,0,24.8,19.8,14122.3
08/29/2008,29.3,14,0,26.9,20.7,20812
08/30/2008,31.3,9.9,0,27.1,18.7,23748.6
08/31/2008,32.3,11.1,0,27.4,19,23477.7
09/01/2008,31.9,13.8,0,27.6,19.5,23242.4
09/02/2008,34.2,11.8,0,27.6,19.4,22395.7
09/03/2008,31.5,17.9,0,26.9,21.3,16024.5
09/04/2008,19.3,15.2,12.45,24.2,20.2,4839.2
09/05/2008,22.5,13.2,5.33,21.1,19.2,7751.7
09/06/2008,24.7,9.4,0,22.9,16.3,20880.5
09/07/2008,23.2,12.2,5.84,22,17.8,17911.8
09/08/2008,22.5,11,16.26,20.1,16.2,9954.1
09/09/2008,21,7.5,1.02,19.6,15.1,18669.1
09/10/2008,22.6,5.3,0,20.2,13.2,21465.5
09/11/2008,25.6,8.2,0,20.8,14,20198.5
09/12/2008,23.4,18.2,6.86,20.1,18.2,3454
09/13/2008,23.6,19.1,67.31,20.7,19.1,1668.5
09/14/2008,22.6,13.7,51.82,20.4,18.1,1502.1
09/15/2008,18.3,10.3,0.51,18.4,16.9,8700.1
09/16/2008,20.9,6.2,0,19.8,14.7,19907.5
09/17/2008,26.6,11.3,0,20.6,15.2,18421.5
09/18/2008,22.7,8.2,0,20.1,15.3,19907.9
09/19/2008,24.6,7.8,0,19.5,14.4,18032.3
09/20/2008,27.1,10.7,0,20.8,15.2,18486.8
09/21/2008,22.5,11.7,0,18.9,16.4,6940.3
09/22/2008,26.3,8.8,0,20.2,15.1,17324.6
09/23/2008,27.4,9.5,0,20.3,14.8,18242.2
09/24/2008,27.8,12,0,20.7,15.3,17058.9
09/25/2008,28.8,10.2,0,21,15.5,17123.6
09/26/2008,26.4,8.7,0,20.2,14.9,17906.6
09/27/2008,27.2,5.5,0,19.9,13.8,17597.1
09/28/2008,20.3,8.7,0,17.6,14.5,8105.1
09/29/2008,18.7,10.5,24.89,17.2,15.3,4703.8
09/30/2008,15.9,8.8,1.02,16.4,14.7,6429.7
10/01/2008,14,3.6,0,14.7,12.4,6886.7
10/02/2008,13.3,3,5.84,13.4,11.2,6802.8
10/03/2008,14.3,1.3,0,14.2,10,14697.4
10/04/2008,17.3,-0.9,0,14.1,8.4,15696.9
10/05/2008,16.9,0.2,1.02,13.6,8.5,12634.4
10/06/2008,14.4,7.6,1.78,13.3,11.5,5358
10/07/2008,18.2,6,0.25,14.2,10.1,11152.7
10/08/2008,18.7,9.9,14.99,15.2,12.5,3862.7
10/09/2008,20.4,7.7,0,15.2,11.8,16249.9
10/10/2008,22.6,2.8,0,15.2,9.9,14906.8
10/11/2008,26.6,3.4,0,16.1,10.2,13954.4
10/12/2008,28.7,10.2,0,17.2,12,13870.4
10/13/2008,27.4,12.8,0,17.3,13,10484.2
10/14/2008,21.4,5.3,0.25,16.4,13.2,13002
10/15/2008,17.8,4.4,9.4,14.6,12.1,4388.7
10/16/2008,16,3.9,1.02,14.1,11.3,11322.2
10/17/2008,15.2,0.6,0,13.2,9.5,11608
10/18/2008,16.2,1.2,0,12.9,9.1,13802.8
10/19/2008,15.5,1.4,0,11.8,8.1,13361.1
10/20/2008,15.7,4.1,2.29,11.4,9,5272
10/21/2008,12.4,0.4,0,10.7,7.7,13874.1
10/22/2008,11.3,-3.5,0,9.3,5.8,12024.1
10/23/2008,14.2,-2,0,9.4,5.4,13111.7
10/24/2008,8.5,3.8,11.94,8.6,7.1,1204.4
10/25/2008,8.2,5,0.76,9,8.1,3519.2
10/26/2008,13.6,0.4,6.6,9.6,7.5,7267.9
10/27/2008,8.5,-1,1.78,8.5,6.4,7546.5
