date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/01/2003,22.5,12.9,15.75,15.8,12.8,12962
05/02/2003,19.1,6.8,1.78,14.9,12.6,17076
05/03/2003,19.2,2.5,0,14.8,10.5,22628
05/04/2003,17.4,3.3,7.11,13.3,10.5,18795
05/05/2003,24.9,10,35.31,15.3,11.5,20431
05/06/2003,22.2,12.1,0,16.7,14.7,2644.7
05/07/2003,20,10.7,2.29,15.9,13.3,14829
05/08/2003,17,11.2,0.51,14.9,13.7,6416.9
05/09/2003,25.4,11.3,32.26,16.9,13.1,18770
05/10/2003,25.8,16.6,3.05,17.6,15.3,12601
05/11/2003,22.3,8.8,21.84,16.8,12.9,7087.8
05/12/2003,11.8,7,4.57,12.9,12,7831.6
05/13/2003,19.8,2.9,0,15.6,10.5,30716
05/14/2003,20,2.1,3.56,13.7,10.8,13652
05/15/2003,11.6,9.9,5.84,12.8,12.2,3613.6
05/16/2003,18.9,9.4,0,15.4,12.1,19218
05/17/2003,22.6,11.2,0,16.7,13.2,20760
05/18/2003,23.8,11.6,0,17.8,14,22865
05/19/2003,23.8,15.2,0.51,17.4,15.1,13663
05/20/2003,19.2,9.2,7.11,16.3,14.9,13777
05/21/2003,16.7,4.8,0,17.4,13.2,30244
05/22/2003,19.8,3.2,0,17.4,12.6,30693
05/23/2003,15.7,6.3,0,15.1,13,11522
05/24/2003,17.6,5.5,0,14.9,12.4,14634
05/25/2003,20.2,8,0,16.2,13,18901
05/26/2003,22.9,5.9,0,15.8,12.5,17334
05/27/2003,23.5,6.8,0,17.1,12.6,27321
05/28/2003,23.4,6.7,0,15.9,13,17086
05/29/2003,20.2,10.6,0,17.8,14,26922
05/30/2003,20.9,6.1,4.57,15.9,13.5,13817
05/31/2003,18.6,7.5,3.3,16,14.4,10733
06/01/2003,21.4,3.4,0,17.3,12.3,29932
06/02/2003,21.9,3.6,0,16.8,12.4,24616
06/03/2003,16.7,11,1.27,15.3,14.3,6370.8
06/04/2003,14.6,9.4,0.25,14.8,13.9,5587.6
06/05/2003,23.6,7.8,0,17.2,13.1,22979
06/06/2003,24.8,6.6,1.52,16,13,15862
06/07/2003,26,14.7,0.51,18.8,14.8,25334
06/08/2003,24.1,12.3,5.33,17.7,15.2,15347
06/09/2003,24.1,13.1,0,19.6,15.3,27888
06/10/2003,24.4,12,0.51,17.5,15.5,9045.4
06/11/2003,26.6,17.5,9.4,20.2,16.8,21073
06/12/2003,19.9,15.4,1.27,18.9,17.6,5882.7
06/13/2003,23.4,16.1,0,18.8,17.3,9049.6
06/14/2003,29.3,16.2,0,20.8,17.3,25358
06/15/2003,29.1,14,0,21.3,17.2,27582
06/16/2003,28.9,13.2,0,20.9,17.3,24347
06/17/2003,28.1,15.1,0,20.5,17.9,18537
06/18/2003,31.5,13.3,0,22,17.3,26039
06/19/2003,25.2,14.5,0.25,22.5,19.1,30543
06/20/2003,26.6,7.4,0,21.9,17.1,31222
06/21/2003,30.1,8.2,0,22.1,17.1,30704
06/22/2003,32.2,10.8,0,23,17.6,31104
06/23/2003,32.7,12.6,0,23.2,18.3,29143
06/24/2003,33.4,14.8,0,23.8,19.2,27954
06/25/2003,33.7,16.9,0,24.6,20,28769
06/26/2003,26.7,16.5,13.97,22.8,21,12571
06/27/2003,27.5,12,0,23.6,18.8,30013
06/28/2003,26.2,16.5,11.18,21.6,19.5,17707
06/29/2003,27.9,16.1,0.25,22.7,19.3,20128
06/30/2003,29.8,13.7,0,23.3,19,26276
07/01/2003,32.5,13.3,0,24.1,19.1,30390
07/02/2003,32.9,17.1,0,24.9,20.1,29261
07/03/2003,33.2,15.5,0,24.8,20.4,27272
07/04/2003,33.7,20.5,6.6,25.5,21.8,21837
07/05/2003,29.6,19,7.87,25.2,21.7,21664
07/06/2003,29.9,19.3,47.75,25,22.1,19364
07/07/2003,29.2,18.9,21.59,23.7,21.3,17980
07/08/2003,28.3,18.7,10.41,23.5,21.9,19033
07/09/2003,28.2,18.6,0.51,24.4,21.9,21167
07/10/2003,26.3,19.7,10.16,23.5,22.3,13944
07/11/2003,22.9,15.5,0.76,22.6,21,14765
07/12/2003,25.5,13,0,22.8,19.7,28824
07/13/2003,28.9,10.4,0,22.9,19,29721
07/14/2003,29,13.2,0,23.2,19.4,28452
07/15/2003,28.1,19.5,1.52,22.3,20.7,13915
07/16/2003,27.2,13.4,0,22.7,19.7,28511
07/17/2003,29.9,13.1,2.29,23.2,19.5,26585
07/18/2003,26.8,15.1,0,22.4,20.8,18731
07/19/2003,29,10.9,0,22.5,18.8,28983
07/20/2003,29.4,14.9,13.97,22.7,19.4,19943
07/21/2003,27.1,18.1,47.24,21.9,20.2,16162
07/22/2003,26.4,16.9,0.51,21.4,20.4,15569
07/23/2003,26.8,15.1,0,21.8,19.8,22936
07/24/2003,27.3,11.4,0,22.1,19.1,27316
07/25/2003,27.4,11.6,0,22.1,18.8,27488
07/26/2003,27.5,17.2,0,21.5,20,17066
07/27/2003,27.3,16.4,0,21.8,20.7,8566.8
07/28/2003,25.5,14,0,21.6,19.7,17805
07/29/2003,27.9,12.9,0,22.1,19.3,26042
07/30/2003,28.2,13.3,0,22.2,19.4,24775
07/31/2003,29.9,13.2,1.27,22.4,19.4,22524
08/01/2003,30.1,15.1,57.66,22.4,19.9,17013
08/02/2003,29.1,15,0.25,22.1,19.9,21382
08/03/2003,27.9,16.6,6.35,22.3,20.5,17644
08/04/2003,26.8,15.3,2.79,21.5,20.2,9844.6
08/05/2003,27.8,15.5,0,22.1,20.1,3087.5
08/06/2003,29.3,16.1,0,22,20.2,1278.6
08/07/2003,29.9,15.7,0,22,20.2,113.6
08/08/2003,28.7,17.9,2.79,21.8,20.6,15245
08/09/2003,27.6,18,0,21.7,20.6,19389
08/10/2003,27.9,16.6,0,21.6,20.4,16398
08/11/2003,28.4,15.3,47.24,21.8,20,17651
08/12/2003,28.1,17.9,0,21.2,19.9,19397
08/13/2003,29.4,17.7,0,21.8,20.3,19067
08/14/2003,31.6,17,0,22.6,20.3,21459
08/15/2003,30.8,20.6,0,23.3,21.5,21419
08/16/2003,31.1,20.6,0,23.7,21.8,23195
08/17/2003,28.7,15.7,0,22.9,21,24422
08/18/2003,27.9,12,0,21.5,19.5,24453
08/19/2003,28.9,11.6,0,21.5,19,23023
08/20/2003,30.6,12.9,0,21.8,19.3,23481
08/21/2003,34.1,17.7,18.54,22.9,20.3,21469
08/22/2003,28.5,16.3,0,22.7,21.1,23726
08/23/2003,27.6,13.2,0,21.1,19.4,24215
08/24/2003,27.9,13.9,0,21.1,19.1,20811
08/25/2003,34.7,18.6,0,22.4,19.9,19431
08/26/2003,30.4,19.5,6.1,22.6,21.2,14237
08/27/2003,32.6,17.1,0,22.3,20.6,16707
08/28/2003,30.8,13.2,0,22,19.5,19600
08/29/2003,25.6,19.4,0.25,22,21.4,5921.3
08/30/2003,24.7,13.1,0,21.5,19.4,18042
08/31/2003,20.2,13.3,16.51,19.4,18.8,3018.5
09/01/2003,17.1,13.3,42.16,18.9,18,1250.1
09/02/2003,23.2,14.6,2.29,18.6,17.9,10987
09/03/2003,29.5,12,0,19.4,15.1,16361
09/04/2003,21.6,11.9,0,19,15.1,13858
09/05/2003,28.5,7.4,0,17.9,13.6,20949
09/06/2003,31.4,6.2,0,17.8,12.4,20135
09/07/2003,32.4,10.6,0,17.8,12.7,19528
09/08/2003,34.3,13.5,0,17.7,13.4,16390
09/09/2003,31,18.4,0,16.4,14.6,18582
09/10/2003,32.4,14.6,0,17.8,13.7,13650
09/11/2003,31.2,17.8,0,15.5,14,18972
09/12/2003,31.8,15.2,0,15.5,13.9,18273
09/13/2003,33.5,20.9,0,16.3,14.8,17250
09/14/2003,29.3,19.1,7.37,15.9,15.1,8653.5
09/15/2003,26.4,14,1.78,15.5,14.1,1.1
09/16/2003,31.7,10.5,0,14.8,12.5,0.9
09/17/2003,31.9,12.9,0,14.9,12.7,162.7
09/18/2003,29.6,13.7,0,14.4,12.7,0.1
09/19/2003,22.5,12.8,0,13.9,12.8,0
09/20/2003,28.3,9.3,0,13.3,11.4,1.8
09/21/2003,27.7,7.7,0,13.1,10.9,1.1
09/22/2003,24.3,15.6,33.02,13.3,12.7,1.1
09/23/2003,22.5,10.1,6.35,12.7,11.4,0.1
09/24/2003,24.6,9.9,24.38,12.5,11,34.6
09/25/2003,19.9,7.8,0,12.4,10.4,16512
09/26/2003,24.3,6.5,11.43,11.2,9.8,11798
09/27/2003,22.6,11.7,0.51,11.3,10.7,15400
09/28/2003,17.4,9,10.92,10.7,10.1,7380.5
09/29/2003,16.9,4.8,0.51,10.1,8.8,11331
09/30/2003,15.6,4.6,0,8.8,8.2,11477
10/01/2003,15.7,3.8,0,8.4,7.5,11391
10/02/2003,16,1.9,0,7.8,6.7,13787
10/03/2003,13.7,1.9,11.43,7.2,6.1,4401.4
10/04/2003,15.9,4.1,0.25,7.5,6.7,11312
10/05/2003,20.2,0.8,0,7.2,5.4,15551
10/06/2003,22.6,1.1,0,7,4.9,16762
10/07/2003,28.7,2.8,0,8.4,5.3,15457
10/08/2003,30.8,9.8,0,9.3,7,8562.2
10/09/2003,27.9,12.1,0,9.8,8.1,10838
10/10/2003,28.9,12.2,0,10.3,8.4,13243
10/11/2003,30.2,14.4,0,11.1,9.2,12771
10/12/2003,23,9.4,0.25,10.9,9.4,15260
10/13/2003,26,4.5,0,9.8,7.7,14996
10/14/2003,13.5,10.3,37.34,8.9,8.3,0.4
10/15/2003,19,6.6,0,8.3,7.3,11516
10/16/2003,19.1,3.6,0,8.2,7.1,10840
10/17/2003,17.4,0,0,7.1,5.3,10481
10/18/2003,22.3,6.3,0,7.7,6,12797
10/19/2003,22.9,6.1,0,7.6,6.2,13745
10/20/2003,31.3,6.7,0,9.3,6.4,12008
10/21/2003,23.3,7.4,0,9.3,7.9,4672.8
10/22/2003,14.9,5.7,0,7.9,6.6,9903.9
10/23/2003,14.4,5.6,0,7,6.4,11606
10/24/2003,18.9,1.2,0,7,5.4,11937
10/25/2003,15,9.8,16.26,7.4,6.7,1973.9
10/26/2003,13.4,7.4,0.25,7.4,6.5,5624.9
10/27/2003,12.7,5.9,0,6.5,5.9,6391.8
10/28/2003,12.1,6.1,3.3,6.2,5.5,1332.8
10/29/2003,13.2,6.9,0.25,6,5.4,4600.6
10/30/2003,26.6,7.7,0.25,7.9,5.6,11368
10/31/2003,25.8,14.9,0,9.6,7.9,1.3
11/01/2003,15.4,11.8,0,9,8.3,0
11/02/2003,20.9,12.9,6.86,9.2,8.2,0
11/03/2003,17.1,11.5,3.56,9.2,8.6,0
11/04/2003,28.7,12.9,9.91,10.1,8.5,1297.4
11/05/2003,19.7,7.5,16.76,10.2,7.8,2786
11/06/2003,13.9,0.9,0,7.8,6,8264.9
11/07/2003,9.4,-0.7,0,6.1,4.5,9110
11/08/2003,5.5,-4.8,0,4.6,2.6,10809
11/09/2003,8.3,-40,0,2.6,-53.5,10903
11/10/2003,13,-3.5,0.25,2.9,0.9,8051.5
11/11/2003,16.9,10.7,2.03,5.3,2.9,1792.5
11/12/2003,20.5,5.7,0.76,6.6,5.2,4805.5
11/13/2003,6.2,-1.2,0.25,5.4,2.6,5917.9
11/14/2003,9.2,-1.8,0,2.8,1.8,3831.4
11/15/2003,7.6,5.4,1.52,3.4,2.8,1134.8
11/16/2003,10.8,7.4,0.76,4.4,3.4,1488.3
11/17/2003,14.4,9,0,5.1,4.3,4129
11/18/2003,19.5,13.2,49.02,7.9,5,748.4
11/19/2003,17.2,5,0.25,7.8,5.5,9050.3
11/20/2003,20.8,1.7,0,6.2,4.3,9288.2
11/21/2003,19.4,6.8,0,6.1,5.2,8226.5
11/22/2003,18.8,7.6,0,6.3,5.3,309.7
11/23/2003,21.6,9.9,25.65,8.3,6.3,2167.2
11/24/2003,10,-2.9,3.56,8.1,2.6,3691.2
11/25/2003,6.7,-2,0,2.6,1.7,5343.8
11/26/2003,11.8,1.8,0,3.4,2.2,0.2
11/27/2003,10.4,4.8,0.51,3.9,2.8,1.3
11/28/2003,7.2,0.9,2.29,3.8,2.4,0.2
11/29/2003,3.7,0,0.25,2.6,1.8,0
11/30/2003,12.3,3.4,3.81,2.1,1.7,0.1
12/01/2003,9.4,1.9,0,2.1,1,1.6
12/02/2003,7.7,-3.6,0,1.1,0.1,0.3
12/03/2003,4.4,-3.9,0,0.3,-0.2,0
12/04/2003,7.6,-1,0.25,0.5,-0.2,0.7
12/05/2003,5.8,0.7,6.86,0.6,0.4,0
12/06/2003,6,-2.4,0,0.4,-0.2,0
12/07/2003,4,-6.4,0,-0.1,-0.7,0.4
12/08/2003,6,-0.8,0,0.2,-0.6,0.1
12/09/2003,10.6,3.8,0.76,1.3,0.2,1.5
12/10/2003,12.7,4.5,8.38,3,1.3,0.1
12/11/2003,4.5,-1.9,0,2.7,0.2,0.2
12/12/2003,0.7,-8,0,0.2,-0.7,0.1
12/13/2003,0.4,-9.4,0,-0.7,-1.5,0.1
12/14/2003,1.5,-1.4,0.25,-1.4,-1.5,0
12/15/2003,3.2,-1.2,0,-1.4,-1.5,0
12/16/2003,7.9,-0.4,3.3,-1.3,-1.6,0.5
12/17/2003,-0.2,-3.2,0,-1.3,-1.4,0
12/18/2003,1.2,-2.7,0,-1.4,-1.5,0
12/19/2003,1.4,-1.9,0.25,-1.4,-1.5,0
12/20/2003,2,-4.7,1.02,-1.3,-1.5,0
12/21/2003,9.6,-3.8,0.25,-1.3,-1.4,0.5
12/22/2003,,,,,,
12/23/2003,,,,,,
12/24/2003,11.2,-1.8,0,-0.2,-1.3,635.7
12/25/2003,0.9,-6,0,-0.8,-1.3,3028.9
12/26/2003,3.3,-7.6,1.02,-1.2,-1.6,2183.5
12/27/2003,,,,,,
12/28/2003,,,,,,
12/29/2003,,,,,,
12/30/2003,,,,,,
12/31/2003,,,,,,
01/01/2004,,,,,,
01/02/2004,,,,,,
01/03/2004,,,,,,
01/04/2004,,,,,,
01/05/2004,,,,,,
01/06/2004,4.2,-17.1,0,-0.4,-1.5,911.8
01/07/2004,-5.9,-12.1,0,-1.1,-1.4,4853.1
01/08/2004,,,,,,
01/09/2004,-3.3,-11.8,0,-1.1,-1.4,3301.1
01/10/2004,,,,,,
01/11/2004,,,,,,
01/12/2004,,,,,,
01/13/2004,,,,,,
01/14/2004,,,,,,
01/15/2004,,,,,,
01/16/2004,,,,,,
01/17/2004,,,,,,
01/18/2004,,,,,,
01/19/2004,,,,,,
01/20/2004,-6.5,-16.2,0,-1.1,-1.6,2884.6
01/21/2004,,,,,,
01/22/2004,-5.8,-18.3,0,-1.4,-1.9,0.6
01/23/2004,,,,,,
01/24/2004,-10.4,-21.2,0,-1.7,-2,0.1
01/25/2004,,,,,,
01/26/2004,,,,,,
01/27/2004,,,,,,
01/28/2004,,,,,,
01/29/2004,,,,,,
01/30/2004,,,,,,
01/31/2004,-9.8,-20.8,0,-1.7,-2,0.2
02/01/2004,,,,,,
02/02/2004,0.4,-2.6,0.25,0.4,0.2,950.1
02/03/2004,1.5,-12.2,5.84,0.5,0.3,2508.8
02/04/2004,-1.8,-17.9,0,0.5,0.3,5639.7
02/05/2004,-2.6,-13.8,0,0.5,0.3,212.4
02/06/2004,0,-2.6,1.52,0.6,0.4,2471.8
02/07/2004,1.4,-8.6,0,0.7,0.4,6015.2
02/08/2004,-3,-20.4,0,0.7,0.4,4819.2
02/09/2004,0.8,-6.4,0,0.6,0.3,5706.4
02/10/2004,-0.9,-7.8,0,0.7,0.4,5715.4
02/11/2004,1.3,-14.3,0,0.8,0.5,6340.2
02/12/2004,-2.9,-10.6,0,0.8,0.6,5352.8
