date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
04/05/2004,4.3,-8.3,0,6.3,1.9,22486
04/06/2004,12,-1.5,3.56,8,3.4,16648
04/07/2004,14.6,-0.6,0,8.7,4.2,17608
04/08/2004,12.5,0.6,0.76,8.3,5.6,13645
04/09/2004,6.6,-1.3,0,6.5,4.5,9798.4
04/10/2004,5.9,-4.1,0,6.6,3,17582
04/11/2004,3.7,-6.6,0,6.8,2.6,21825
04/12/2004,7,-0.2,0,5.5,4.2,3175
04/13/2004,8,-3.1,0,7.3,2.6,24212
04/14/2004,12.9,-2.7,0,9,3.4,24106
04/15/2004,19.8,0.1,0,10.3,4.9,22671
04/16/2004,23.7,9.2,0,12.6,7.7,20432
04/17/2004,18.1,7.5,2.03,13,9.2,21177
04/18/2004,23.2,6.9,2.54,12.6,9.3,12831
04/19/2004,22,2.2,8.64,12,8.5,6959.1
04/20/2004,10.9,1.4,2.29,10.2,7.4,14937
04/21/2004,11.5,2.4,13.21,9.3,7.7,3271.6
04/22/2004,10.2,1.1,0.25,10.6,6.7,23442
04/23/2004,11.3,-2.7,0,10.2,6.1,20141
04/24/2004,12.4,-1.1,0,10.6,6.4,21735
04/25/2004,9.8,2,7.37,8.7,7,3876.5
04/26/2004,11.6,0.3,5.84,9.6,6.4,14083
04/27/2004,5,-2,0.25,8.4,5.2,24158
04/28/2004,21.4,1.2,0.51,9.6,5.7,16466
04/29/2004,21.6,2.9,0,12.6,9.4,16681
04/30/2004,13.1,2.5,0.51,10.3,8.3,8666
05/01/2004,9.2,2.5,0.51,9.6,8.1,11759
05/02/2004,8.6,0.4,0,10.3,6.9,23857
05/03/2004,8.2,-0.4,0,10.6,6.8,26657
05/04/2004,13.4,0.8,0,8.3,6.7,4737.9
05/05/2004,11.8,1.1,0,10.8,6.4,24145
05/06/2004,18.8,4.8,2.03,10.1,8.4,10322
05/07/2004,12.5,1.7,0,10.9,6.9,23024
05/08/2004,9.6,3.8,1.02,8.8,7.7,3955.8
05/09/2004,17.7,8,0,11.1,8.4,9760.8
05/10/2004,21.4,11,2.54,14,10.6,17494
05/11/2004,24.3,4.3,0,15.2,9.9,25773
05/12/2004,28,15.4,0,17.1,13.1,23494
05/13/2004,20.7,14.7,21.08,15.9,14.5,4661.3
05/14/2004,16,3.9,13.72,15.5,11.4,4420.9
05/15/2004,12.8,2.4,0,14.2,10.2,25678
05/16/2004,19,1.9,0,14.6,10.2,27905
05/17/2004,23.4,8.7,0.51,14.7,12,14348
05/18/2004,15.8,5.3,0,14.5,12.2,19109
05/19/2004,22.9,1.8,0,15.3,10.2,27959
05/20/2004,24.3,8.9,7.37,16,13.2,12454
05/21/2004,16.8,4.2,0,14.4,11.9,13168
05/22/2004,14.4,7.8,0.51,13.1,11.8,6484.4
05/23/2004,10.2,8,38.35,12.7,10.7,3016.1
05/24/2004,10.9,7.2,18.54,11.2,10.5,7427.9
05/25/2004,17.6,7.4,0,12.6,10.5,12130
05/26/2004,15,5.5,0,14,10.9,24949
05/27/2004,15.5,4.8,1.78,12,10.5,6298
05/28/2004,14.4,2.4,0,13.4,9.4,29559
05/29/2004,20.8,-0.8,0,13.2,9.1,25725
05/30/2004,22.2,10,0,14,11.4,18372
05/31/2004,19.4,10,14.99,13.3,12,9940
06/01/2004,18.8,9.8,0,14.3,12.1,18357
06/02/2004,21,8.3,0,16.3,12.3,29189
06/03/2004,19.4,3.7,0,15.9,11.7,30147
06/04/2004,21.8,1.9,0,15.3,11.2,30362
06/05/2004,24.3,4.4,0,15.5,11.6,27217
06/06/2004,23.3,11.9,2.03,15.9,13.3,17781
06/07/2004,29.3,13.8,1.27,18.1,14,27387
06/08/2004,29.9,18.6,0,19.6,16.6,23433
06/09/2004,23.8,12.8,1.27,18.5,16.1,10501
06/10/2004,20.6,11.6,0.25,18,15,28022
06/11/2004,21.7,11,0,16.6,14.6,18358
06/12/2004,26.3,11.9,0,16.8,14.4,18543
06/13/2004,26.9,13.1,33.27,18,14.9,11748
06/14/2004,23,12.6,0.25,17.6,15.6,19008
06/15/2004,23.6,11.8,0.25,17.9,15.3,26323
06/16/2004,28.7,12.5,0,19.2,15.2,27559
06/17/2004,20,15.7,25.91,18,16.9,6917.4
06/18/2004,23.4,10.4,0,18.2,15.6,24267
06/19/2004,16.7,6.4,0,16.7,14.7,29854
06/20/2004,21.5,9.6,0,17.1,14.1,28970
06/21/2004,20.1,12.7,0,16,14.9,11166
06/22/2004,19.1,11.6,0.25,17.2,14.9,27093
06/23/2004,19.9,11.3,1.52,17.4,14.7,25483
06/24/2004,16,6.2,6.86,15.7,14.1,18674
06/25/2004,19.8,4.8,0,15.9,12.8,26364
06/26/2004,19.1,6.4,0,16.4,13,29215
06/27/2004,20.8,9.6,0.51,16.9,13.9,27166
06/28/2004,21.9,11.2,0,17.4,14.7,26209
06/29/2004,22.6,12.2,0,17.9,15.4,25714
06/30/2004,28.2,10,0,18.4,15,26610
07/01/2004,23,10.8,2.03,18.5,16.1,27786
07/02/2004,27.4,8.2,0,18.5,15,27823
07/03/2004,30.6,12.3,0,19.3,15.8,26179
07/04/2004,22.9,13.8,6.35,18.6,17.2,6811.7
07/05/2004,21.4,10.8,0.51,18.1,15.8,21422
07/06/2004,18.4,10.5,2.03,16.6,15.3,4096.2
07/07/2004,17.4,12.2,0,16,15.1,10219
07/08/2004,16.3,12.1,0.25,15.7,14.6,9466.8
07/09/2004,19.6,12.6,0,16.7,14.8,13240
07/10/2004,25.9,9.8,0,18.7,14.3,27580
07/11/2004,29.7,12,0,19.3,15.5,21777
07/12/2004,29,17,0,20.9,17.6,24462
07/13/2004,29.1,14.8,6.86,20.4,17.7,18224
07/14/2004,24.8,13.8,0.76,19.7,17.1,21059
07/15/2004,25.6,12.7,0,19.8,16.6,25757
07/16/2004,24.8,11.2,2.54,18,16.2,13457
07/17/2004,27.4,14.6,0,20,16.8,24841
07/18/2004,27.3,11.4,0,19.8,16.5,25889
07/19/2004,27.8,11.6,0,19.6,16.5,21901
07/20/2004,29.1,16.8,0,20.8,17.9,23640
07/21/2004,30.4,13.7,10.67,20.9,17.7,16781
07/22/2004,25.4,12,0,21.4,18.9,23515
07/23/2004,22.4,9.2,0,19.5,16.7,27623
07/24/2004,23.3,7,0,18.9,15.8,27327
07/25/2004,25.1,6.7,0,18.7,15.2,27243
07/26/2004,26.8,7.8,0,18.9,15.3,25084
07/27/2004,27.8,10.5,0,19.6,16,24329
07/28/2004,29.6,12.2,0,20.1,16.4,24789
07/29/2004,27.8,17.5,0.25,19.9,17.6,18604
07/30/2004,22.1,16.9,26.67,19.1,18.1,4570.5
07/31/2004,22.8,14.2,0.25,19,17.7,16725
08/01/2004,27,14.9,0,19.5,17,16571
08/02/2004,30.2,17.2,0,20.6,17.9,16991
08/03/2004,28.1,14.4,0,20.8,18.1,24282
08/04/2004,26.6,13.5,0,20.7,17.9,25736
08/05/2004,22.1,9.2,0,19.3,17,24396
08/06/2004,24.6,9.5,0,19.2,15.8,25559
08/07/2004,26.3,9.4,0,19.1,15.9,24543
08/08/2004,26,9,0,19.3,15.8,23600
08/09/2004,25.6,16,24.89,19.2,17.5,12334
08/10/2004,19.2,12.3,6.1,18.6,16.9,5996.1
08/11/2004,17.7,11.3,2.79,16.9,15.5,10466
08/12/2004,20.7,9.7,1.52,16.5,14.9,16481
08/13/2004,20.9,9.9,0,17.4,15.1,23268
08/14/2004,23.1,5.8,0,17.2,14.2,23185
08/15/2004,24.2,6.3,0,17.3,14,23849
08/16/2004,25.3,10.8,0,17.7,14.6,22002
08/17/2004,22.2,15,0.51,17.5,16.2,10566
08/18/2004,25.2,14.4,17.78,18.7,16.3,17221
08/19/2004,18.6,7,0,17.5,15.2,23367
08/20/2004,20.7,5.9,0,17.1,15.2,18365
08/21/2004,19.6,3.5,0,16.3,13.3,22988
08/22/2004,25.2,10.4,3.3,16.4,13.8,10648
08/23/2004,21.1,12,0,17.8,15.5,21302
08/24/2004,27.8,11.8,0,18.7,15.3,17782
08/25/2004,27,19.2,16.51,19.4,18.1,9768.4
08/26/2004,26.7,19.6,0,20.1,18.6,12968
08/27/2004,26.8,18.4,4.57,21.2,19.1,19124
08/28/2004,19.9,12.2,2.79,20,17.5,9078.4
08/29/2004,20.3,12.1,0.76,18,16.7,15004
08/30/2004,21.4,8.9,0,17.8,15.7,15135
08/31/2004,22.8,12.8,0,18.6,16.4,17913
09/01/2004,21.6,13.4,3.05,17.8,16.4,8855.1
09/02/2004,28.8,14.3,0,19.7,16.4,19003
09/03/2004,29.1,17.2,0,20.7,17.8,19643
09/04/2004,29.3,15.5,0,20.9,18.1,17972
09/05/2004,29.2,17.5,0,20.9,18.4,14223
09/06/2004,28.2,14.9,5.84,20.8,19.3,9584.8
09/07/2004,21.2,12.8,0,19.4,17.7,18162
09/08/2004,22.9,7.9,0,18.3,16,15911
09/09/2004,23.6,10.4,0,18.3,15.7,17750
09/10/2004,25.6,7.2,0,18.1,14.8,18837
09/11/2004,26.6,16.5,0,18.7,16.5,14161
09/12/2004,28.8,11,0.25,19.6,16.4,18288
09/13/2004,29.9,15.8,0,20.3,17.3,17896
09/14/2004,29.4,19.6,0,20.8,18.4,16505
09/15/2004,29.4,19.3,0.76,21.2,18.9,15633
09/16/2004,21.4,10.9,0.25,20.2,17.5,13455
09/17/2004,22.2,6.8,0,18.2,15.6,18227
09/18/2004,23.3,5.8,0,17.4,14.6,16102
09/19/2004,25.7,11.4,0,18.1,14.9,17600
09/20/2004,26.3,12.5,0,18.5,16,17806
09/21/2004,27.9,14.4,0,18.7,15.7,17544
09/22/2004,29.7,10.4,0,19.1,15.8,16956
09/23/2004,30.7,8.5,0,19,15.3,15758
09/24/2004,26.9,15.2,0,19.2,17.1,15347
09/25/2004,20.8,8.4,0,18.1,16.1,12172
09/26/2004,23.9,9.3,0,18,15,16485
09/27/2004,24.5,11.4,1.02,17.8,15.1,14463
09/28/2004,17.2,5.6,1.02,16.8,14.4,16597
09/29/2004,19.3,1,0,15.5,12.3,17156
09/30/2004,21.4,0.8,0,15,11.4,15770
10/01/2004,23.6,11.8,3.3,15.7,13.1,12300
10/02/2004,14,6,4.06,14.9,12.3,15235
10/03/2004,17.2,6.4,3.56,13.2,11.5,11373
10/04/2004,10.1,3.4,13.97,12.9,10.2,6688.2
10/05/2004,14.1,1.4,0,11.6,9.4,14704
10/06/2004,22,10.2,0,13.6,10.6,13703
10/07/2004,24.9,13,0,15,12.4,12958
10/08/2004,18.2,12,13.46,14.5,13.6,1120.6
10/09/2004,16.6,6.8,0,14.4,12.5,7475.4
10/10/2004,16.6,1.8,0,13.1,10.6,14809
10/11/2004,16.4,-1.7,0,12.3,9.4,14306
10/12/2004,18.2,-1.2,0,12.1,9.1,13542
10/13/2004,19.7,1.6,0,12,9.6,9950
10/14/2004,10.4,7.4,3.3,11.5,10.9,2641.8
10/15/2004,11.2,7.2,12.7,11.2,10.6,2631.1
