date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/06/2016,23.2,2.9,0,12.2,8.8,27011.3
05/07/2016,17.6,6.9,0,12,10.6,27314
05/08/2016,17.8,2.6,0,11.8,9.6,26614.3
05/09/2016,20.8,3.9,0,12.2,9.5,24804.8
05/10/2016,15.3,8.4,4.06,11.5,10.5,8131.4
05/11/2016,23.9,9.5,0,13.5,10.3,23603.7
05/12/2016,21.1,13.4,0,13.5,12.3,12587.6
05/13/2016,16.6,5.7,8.64,13.4,12.1,17838.5
05/14/2016,7.1,2.5,2.54,12.4,10.8,13523.7
05/15/2016,10.1,-0.1,2.79,11.7,9.7,27002.3
05/16/2016,18.9,2.5,0,12.7,9.8,22830.4
05/17/2016,17.6,5.3,0,13.7,10.9,28442.1
05/18/2016,18,1.9,0,13.7,10.8,30531.4
05/19/2016,21.1,0.4,0,14.1,10.8,30117.9
05/20/2016,24.4,3.9,0,14.2,11.4,23245.8
05/21/2016,26,7.8,0,14.8,12.3,27564.3
05/22/2016,25.3,7,0,15.3,12.4,29288.4
05/23/2016,26.1,9.6,0,15.7,12.8,29767.8
05/24/2016,28.6,13.3,3.81,16,13.4,25570.7
05/25/2016,29.4,13.7,1.78,18,14.5,26163.2
05/26/2016,26.6,16.8,0.25,18.3,16.1,22605.3
05/27/2016,28.1,15.5,1.02,18.2,16.2,15321.6
05/28/2016,26.7,18.7,0.25,18.3,16.9,17620.8
05/29/2016,25,15.6,1.02,18.5,16.6,25668.8
05/30/2016,26.3,11.9,0,18.6,16.3,29686.7
05/31/2016,28.8,11.2,0,18.8,16,28135.1
06/01/2016,24,15.9,0,18.1,16.7,14863.2
06/02/2016,22.7,12.2,0,18.3,15.9,30761.2
06/03/2016,25.5,8.5,0,18.8,15.6,30025.6
06/04/2016,28.8,13.7,3.05,18.1,16.6,15905.5
06/05/2016,21.7,12.3,3.3,17.5,16.8,12461.9
06/06/2016,22.6,11.3,1.27,17.8,15.4,20908.5
06/07/2016,13.9,6.7,0.51,16.9,15.2,9921.6
06/08/2016,17.7,4.7,0,17,13.8,30955.4
06/09/2016,22.7,6.2,0,16.5,14.4,15350.5
06/10/2016,29.7,12.3,4.83,18.4,15,24687
06/11/2016,29.8,16.7,0.25,20.9,17,28699.5
06/12/2016,23.6,8.6,0,20.1,17.2,30539.8
06/13/2016,20.6,9.8,1.02,18.4,16.5,12100.8
06/14/2016,25.6,15.3,0,19,16.6,21324.9
06/15/2016,26.8,15.1,8.13,19.8,17.3,19394.6
06/16/2016,25,13,0,19.4,18,10414.7
06/17/2016,31,13.9,0,21.2,16.8,29164.7
06/18/2016,31.7,12.4,0,21.4,17.9,26287.8
06/19/2016,31.4,15.9,0,21.9,18.6,29397.6
06/20/2016,30,15.5,0.76,21.9,19.6,26508.5
06/21/2016,25.8,11.5,0,21.3,18.4,30008.1
06/22/2016,27.2,10.8,0,20.6,18.3,20382.5
06/23/2016,25.9,13.1,0,20.5,18.6,16420.4
06/24/2016,29.3,11.1,0,21.7,17.7,30257.3
06/25/2016,30.9,13.4,0,22.2,18.5,28639.3
06/26/2016,27.2,19.3,21.59,22,20.1,18921.4
06/27/2016,25.6,15.3,0,21.9,19.8,26215.6
06/28/2016,22.5,9.8,0,21.5,19.4,28705.2
06/29/2016,24.9,5.7,0,21.4,18.2,30510.1
06/30/2016,26.1,9.4,4.06,21.7,18.7,27911.4
07/01/2016,20.8,11.2,3.56,20.9,19.3,26945.2
07/02/2016,24.9,9.2,0,21.2,18.1,28731.6
07/03/2016,27.5,8.8,0,21.9,18.3,30637.9
07/04/2016,26.5,11.4,0,21,18.9,18486.1
07/05/2016,27.9,16,0,22.3,19.6,26401.1
07/06/2016,27.6,18.7,0,22.7,20.4,23135
07/07/2016,30,16.7,8.64,22.6,20.4,16757.4
07/08/2016,27.9,17.4,0,22.9,20.7,22736.3
07/09/2016,25.8,15.2,0,22,20.4,21212.8
07/10/2016,27.8,10.4,0,22.3,19.4,25188.2
07/11/2016,29.6,16.5,9.4,22.6,20.2,20797.2
07/12/2016,29.9,21.4,0,23.6,21.3,24425.9
07/13/2016,29.2,18.6,0,23.9,21.4,23819
07/14/2016,26.9,19.4,0,23.8,21.9,26800.6
07/15/2016,20.9,11.3,0.25,23,20.8,10046
07/16/2016,26.2,8.8,0,22.2,19.2,28617.4
07/17/2016,27.2,13.5,0.25,21.5,19.9,18857
07/18/2016,28.4,16.8,0,22.8,20.2,27473.2
07/19/2016,30.4,15.9,0,23.2,20.6,26901.3
07/20/2016,31.9,14.6,0,23.5,20.8,27165.5
07/21/2016,28,20.7,5.84,23,21.7,12062.3
07/22/2016,31.9,19.2,0,24.8,21.4,28111.2
07/23/2016,35.3,18,0,24.9,22.2,22851.5
07/24/2016,29.3,20.3,61.98,24.2,21.6,13580.7
07/25/2016,28.2,18.3,0,24.4,22.3,28492.8
07/26/2016,30.8,16.7,0,24.7,22,28247.3
07/27/2016,30.2,17.6,0,24.6,22.4,22202
07/28/2016,27.8,18.7,15.75,24,22.8,12867.8
07/29/2016,24.9,16.9,13.72,23.4,22.1,15590.1
07/30/2016,25.4,14.8,0,23.3,21.6,17884.7
07/31/2016,27.4,16.2,0,23.5,21.7,17079.1
08/01/2016,29.4,14.4,0,24.1,21.4,26076.2
08/02/2016,30.4,15.8,0,24.6,21.8,26606.6
08/03/2016,30.8,15.1,0,24.7,22.1,24740.9
08/04/2016,31.5,18.3,0,25.1,22.6,25929.9
08/05/2016,27.4,18.1,0,24.8,23.2,26145
08/06/2016,26.2,15.2,0,24.2,22.4,26318.7
08/07/2016,26.4,14,0,23.6,22,22162.6
08/08/2016,28.8,12.2,0,23.6,21.3,24167.2
08/09/2016,30.4,13.6,0,24,21.4,25521.4
08/10/2016,31.6,16.7,0,24.2,22,20168.1
08/11/2016,31,19.8,4.32,24.1,22.4,15826.7
08/12/2016,25.6,21.7,0.25,23.6,22.8,7579.2
08/13/2016,26.5,19.2,3.3,23.6,22.8,12645.7
08/14/2016,27.5,16.3,0.76,24,21.8,22564.5
08/15/2016,28,16.5,0,23.4,21.9,12786.5
08/16/2016,29.2,19.3,0,24.1,22.1,22375.6
08/17/2016,25.9,17.5,6.6,23.9,22.4,21720.3
08/18/2016,29.9,14.9,0,24.2,21.6,22651.3
08/19/2016,26.7,20.6,0,23.8,22.7,14193.9
08/20/2016,24.3,17.8,12.19,23.4,22.4,6248.6
08/21/2016,22.2,13.7,2.03,22.4,21.3,17790.9
08/22/2016,24.3,11.4,0,22.5,20.1,24597.4
08/23/2016,26.4,13.1,0,22.4,20.3,22004.6
08/24/2016,27.1,17.1,0,22.2,20.9,14063.1
08/25/2016,26.4,16,0,23.1,21.4,19640.1
08/26/2016,24.4,14,0,22.6,20.7,21659.2
08/27/2016,24.6,14.6,10.41,21.9,20.7,6901.4
08/28/2016,26.5,16.3,4.57,23.2,20.9,22481.1
08/29/2016,29,15.4,0,23.4,20.8,20416.6
08/30/2016,28.2,17.7,0,23.4,21.5,15956.7
08/31/2016,25.4,14.5,0,22.8,21.6,19893.7
09/01/2016,25,11.6,0,22.2,20.9,21017.2
09/02/2016,26,8,0,21.9,19.5,23813.9
09/03/2016,26.2,10.8,0,21.9,19.6,23713.5
09/04/2016,27.4,11.3,0,21.8,19.5,23162
09/05/2016,30.3,14.9,0,21.8,19.9,19386.8
09/06/2016,31.6,20.8,2.79,23,20.9,17584.3
09/07/2016,26.5,20.4,70.36,23,21.6,6965.7
