date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
04/08/2004,8.2,1.5,1.27,8.8,5.5,4144.3
04/09/2004,11.2,-1.5,0,8.2,3.4,12681
04/10/2004,9.2,-2.7,0,8.5,2.6,15058
04/11/2004,5.5,-1.1,0,7.3,4.1,10472
04/12/2004,7.2,-4.5,0,7.6,1.9,17356
04/13/2004,12.7,-0.3,0,10.7,3.4,23599
04/14/2004,18,-4.5,0,13.2,3.1,25616
04/15/2004,21.7,2.9,0,15.1,6.6,24105
04/16/2004,24.4,8.3,0,17,9.3,21655
04/17/2004,24.6,11,10.16,18.3,11.6,19248
04/18/2004,28.5,10.3,5.33,18.6,12,21990
04/19/2004,24.1,5.8,0,16.4,12.5,13868
04/20/2004,12.7,0.5,2.29,13,8.4,15244
04/21/2004,18.9,5.8,2.54,14,10.2,12178
04/22/2004,14.1,0.8,0,13.1,7.3,16003
04/23/2004,17.8,1.9,0,16.1,7.2,24127
04/24/2004,12.7,2.2,0.25,14.5,7.5,22043
04/25/2004,17.8,2.7,21.34,11.9,7.4,9147.7
04/26/2004,14.5,3.3,0.51,12.6,7.3,21349
04/27/2004,7,-1.1,0,9.9,5.3,19265
04/28/2004,24.5,1.3,0.51,13.9,5.1,18042
04/29/2004,24.7,17.1,0,17.7,11.8,20573
04/30/2004,17.1,9.3,1.27,15.3,12.4,3939.4
05/01/2004,12.8,5.6,5.84,12.5,9.8,9742.7
05/02/2004,11,0.1,0.51,11.3,7.4,18005
05/03/2004,10.5,-2.5,0,11.4,4.2,22238
05/04/2004,15.7,-2.3,1.52,10.5,4.9,11023
05/05/2004,16.4,0.6,0,15.3,6,27321
05/06/2004,24.4,5.1,0,15.7,8.5,13774
05/07/2004,17.1,6.2,0,18.3,9.9,27380
05/08/2004,18.2,3.7,49.28,14.9,8.6,12857
05/09/2004,22.6,9.8,38.35,17.2,11.6,12649
05/10/2004,25.4,14.6,2.03,20.3,13.9,24065
05/11/2004,21.6,11.8,1.02,17.9,13.9,17185
05/12/2004,27.6,15.3,0,21.5,14.8,21625
05/13/2004,22.8,17.2,7.11,20,17.1,10157
05/14/2004,22.4,6.9,23.62,19.2,14.6,7223.2
05/15/2004,15.1,5.3,0,17.5,11.4,19619
05/16/2004,19.7,3.6,0,20.2,10,29545
05/17/2004,24.9,10.6,2.03,19.4,13.2,16396
05/18/2004,20,10,9.4,19.4,15.6,16925
05/19/2004,21.5,6.5,0,21.6,12.7,29536
05/20/2004,24.4,13.4,2.03,20.4,15.2,14047
05/21/2004,18.6,10.3,15.49,19.1,14.3,8143.4
05/22/2004,22.4,10.3,3.3,17.6,13.4,8884.2
05/23/2004,17,10,36.83,16.9,14,5798.3
05/24/2004,15.9,8.4,0,15.1,13.1,10656
05/25/2004,18.6,9.2,0,17.5,12.1,13403
05/26/2004,17.5,7.4,0,18.8,13.2,22535
05/27/2004,20.1,3.7,0,18.2,10.8,20040
05/28/2004,19.8,5.8,0,22,12.2,28866
05/29/2004,16.6,3,0,17.4,12.1,14624
05/30/2004,20.9,11.4,6.35,18.7,13.7,15374
05/31/2004,20.3,12.8,3.05,18.3,14.2,17240
06/01/2004,21.1,11.9,0,20.1,13.2,25100
06/02/2004,21,12.1,0,20.2,15,15650
06/03/2004,24.5,6.8,0,24.4,13,31029
06/04/2004,24.1,6.1,0,23.5,14.1,26622
06/05/2004,24.6,7,0,24.7,14.6,28480
06/06/2004,26.8,15.5,0,23.5,17.6,18299
06/07/2004,29.4,17.3,0,26.3,18.2,26485
06/08/2004,31.6,19.9,0,28.1,20,25663
06/09/2004,28.8,17.1,2.79,26.1,22.1,19462
06/10/2004,17.1,11.6,5.33,22.6,16.7,7082.7
06/11/2004,18.1,11,5.33,18.1,15,12959
06/12/2004,22.8,11.2,10.41,20.6,14.5,17745
06/13/2004,26.4,16.1,15.49,22.6,17.2,17987
06/14/2004,25.6,15.9,0,22.5,17.4,21317
06/15/2004,28.5,13.1,0,25.3,17.1,24311
06/16/2004,27.6,15.7,2.29,24.8,19,19574
06/17/2004,26.8,19.1,0,23.8,20.4,13147
06/18/2004,25.6,16.7,0.25,25.6,19.4,22865
06/19/2004,20.2,8.7,0,24.8,16.6,31673
06/20/2004,20.8,7.2,0,23.5,16.1,29205
06/21/2004,20.7,11,14.73,20.2,17.1,9995.1
06/22/2004,19.9,12.3,0,21.1,16.2,24187
06/23/2004,22.9,10.6,10.92,20.4,14.6,18490
06/24/2004,15.5,7.4,6.6,17.4,13.9,14103
06/25/2004,19.1,3.8,0,19.9,11.6,28918
06/26/2004,19.9,6.6,0,20.6,13.3,27183
06/27/2004,21.9,9.2,0.25,22.7,14.4,30307
06/28/2004,22.4,12.1,5.08,22.3,16.5,23518
06/29/2004,24.8,13.1,0,22.5,15.6,26178
06/30/2004,27.6,13.5,0,24.9,17.2,28018
07/01/2004,27.6,15,0,25.5,18.4,27065
07/02/2004,26,12.3,0,25.8,18.8,26458
07/03/2004,28.2,13.5,0,24.9,18.9,23537
07/04/2004,24.2,18.7,16.26,22.9,20.4,10297
07/05/2004,25,14.5,0.25,24.1,18.3,24016
07/06/2004,25.9,14.8,0.76,22.9,18.2,17834
07/07/2004,21.7,14,0.25,21.4,18.4,13308
07/08/2004,15.9,12.4,0,18.4,16.7,10713
07/09/2004,22.9,10.2,0,21.9,15.4,21287
07/10/2004,29.3,13.3,0,26.2,17.8,27879
07/11/2004,29.5,14.7,0.51,25.8,19.7,23503
07/12/2004,29.9,19.4,0,26.5,21.5,17551
