date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,soil1_max,soil1_min,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
01/01/2000,7,-2.1,,,0,3.4,1.4,6116.1,,,,
01/02/2000,13.8,2.3,,,0.25,5.8,2.6,3044.7,,,,
01/03/2000,2.7,-1.7,,,1.02,5.1,2.8,1105.9,,,,
01/04/2000,0.8,-4.6,,,1.02,2.8,2.3,1474.4,,,,
01/05/2000,-1.2,-5.8,,,0,2.5,2.3,1155.2,,,,
01/06/2000,2.9,-5,,,5.08,2.6,2.5,4315.5,,,,
01/07/2000,0.5,-8.6,,,0,2.5,2.2,3174.9,,,,
01/08/2000,6.2,-7.2,,,0,2.5,1.8,7595.6,,,,
01/09/2000,4.3,2.2,,,3.81,3.9,2.5,1722.1,,,,
01/10/2000,5.6,3.5,,,4.06,4.4,3.7,2065.2,,,,
01/11/2000,5.2,-1.6,,,0,3.8,2.1,1303.1,,,,
01/12/2000,0.1,-3.8,,,0,2.1,1.5,5302,,,,
01/13/2000,-2.5,-12.2,,,0,1.5,1.3,6823,,,,
01/14/2000,-2.8,-9.9,,,0,1.6,1.3,1747.1,,,,
01/15/2000,4.1,-5.9,,,0.51,1.8,1.6,5723.8,,,,
01/16/2000,4.3,-10.2,,,0,1.8,1.1,8724.1,,,,
01/17/2000,-6.7,-13,,,0,1.1,0.4,4079.1,,,,
01/18/2000,0.6,-8.3,,,0,0.4,0.3,1110,,,,
01/19/2000,-1,-7,,,0.25,0.3,0.2,3312.7,,,,
01/20/2000,-4,-10.4,,,0,0.3,0.3,1437.5,,,,
01/21/2000,-8.2,-12.1,,,0,0.4,0.3,1809.1,,,,
01/22/2000,-6.9,-13.1,,,0,0.4,0.4,1554.6,,,,
01/23/2000,-1.2,-10,,,0,0.4,0.4,2683,,,,
01/24/2000,-7.2,-14.6,,,0,0.5,0.4,5298.3,,,,
01/25/2000,-0.9,-14.1,,,0,0.5,0.4,6124.3,,,,
01/26/2000,-6.4,-16.1,,,0,0.5,0.4,10242,,,,
01/27/2000,-2.6,-22.6,,,0,0.4,0.2,10513,,,,
01/28/2000,3.1,-17.9,,,1.52,0.2,0.1,8443.6,,,,
01/29/2000,-2.3,-15.4,,,0,0.1,0,5341,,,,
01/30/2000,-1.3,-6.4,,,0.76,0.1,0.1,3669.7,,,,
01/31/2000,-0.6,-6.9,,,0.25,0.2,0.1,8286.6,,,,
02/01/2000,-1,-3.7,,,0,0.3,0.2,4971.2,,,,
02/02/2000,-1,-13.8,,,0,0.3,0.2,7594.6,,,,
02/03/2000,2.4,-2.9,,,3.56,0.3,0.3,3117.3,,,,
02/04/2000,0,-6,,,1.27,0.4,0.3,7389.1,,,,
02/05/2000,0.2,-8.9,,,0,0.5,0.4,11150,,,,
