date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
08/21/2004,22.3,5.5,0,23.4,17.5,25219
08/22/2004,26,3.5,0,22.4,17.4,21450
08/23/2004,21.9,14.2,0,22.2,19.8,13600
08/24/2004,29,21.3,1.27,23.9,22.6,4363.1
08/25/2004,29.7,19.8,13.97,24.8,21.2,16788
08/26/2004,28.1,19.1,3.56,24.3,21.3,16447
08/27/2004,30.6,19.6,0.51,25.9,21.9,19701
08/28/2004,19.8,16.4,6.86,24,20.6,3344.4
08/29/2004,20.3,14.5,10.92,20.6,18.9,6852
08/30/2004,23,12.7,0,23,18.2,22035
08/31/2004,26.4,10,0,23.7,18.4,21643
09/01/2004,26.4,11,0,24.4,19,19168
09/02/2004,27.8,13.2,0,25,19.8,21459
09/03/2004,29.1,12.2,0,25,20,17723
09/04/2004,29.3,14.1,0,24.7,20.8,14451
09/05/2004,29.1,15.7,0,25.4,21.2,15347
09/06/2004,29.3,18.4,15.24,25.2,21.7,18375
09/07/2004,25.6,12.9,0,23.9,20.3,21442
09/08/2004,22.2,11.5,0,22.5,19.4,16117
09/09/2004,25.2,10.6,0,23.5,18.6,21619
09/10/2004,26.4,7.2,0,23.5,18.1,21047
09/11/2004,26.8,10.6,0,22.5,18.8,16906
09/12/2004,30.3,12.3,0,23.3,18.9,17059
09/13/2004,29.6,12.7,0,24.1,20,19319
09/14/2004,29.5,16.5,0,23.6,20.4,16997
09/15/2004,29.8,18.8,0,24.1,20.9,18185
09/16/2004,23.6,11.7,0,23.6,21.4,19452
09/17/2004,19,7.1,0,21.6,18.7,14482
09/18/2004,23.3,5.2,0,21.7,17.1,17155
09/19/2004,23.7,4.1,0,21.6,17,18234
09/20/2004,25.8,5.6,0,21.2,17.1,16436
09/21/2004,28.3,6,0,21.3,16.9,17188
09/22/2004,30,6,0,21.9,17.1,17579
09/23/2004,31.3,6.9,0,21.9,17.5,15661
09/24/2004,28.1,14.5,0,21.3,18.7,9696.4
09/25/2004,20,11.1,0.76,20.5,18.4,6169.1
09/26/2004,25.6,3.8,0,20.7,16.2,15861
09/27/2004,25.2,4.3,0,20.4,16.2,16281
09/28/2004,15.4,10.3,1.52,18.7,16.4,3360.4
09/29/2004,19.5,3.7,0,18.7,15,16152
09/30/2004,23.5,-0.4,0,18.2,13.8,17230
10/01/2004,24,2.1,0,17.6,14,14249
10/02/2004,16.7,4,3.81,16.9,14.5,16095
10/03/2004,18.3,-0.4,0,15.5,12.1,15658
10/04/2004,14.4,-0.1,0,15.1,13.2,12075
10/05/2004,14.7,-4.9,0,14.5,10.5,16229
10/06/2004,24.4,4.8,0,15.9,11.6,14883
10/07/2004,26.4,6.1,0,16.8,13.1,13514
10/08/2004,21.5,11.8,4.83,15.9,14,4392.5
10/09/2004,19.1,6.4,3.3,15.9,14,11427
10/10/2004,15.9,0.7,0,15.2,11.5,13166
10/11/2004,17,0.1,0,15.2,11.6,11299
10/12/2004,18.2,0.8,0,15.3,11.9,10671
10/13/2004,15.3,3.6,0,14.3,12.2,6078.7
10/14/2004,12.6,9.2,8.38,13.2,12.8,1616.3
10/15/2004,11.2,7.5,6.86,12.9,12.2,1867.6
10/16/2004,10.2,3.8,0.51,12.2,9.8,6817.6
10/17/2004,8.3,2.7,0.25,9.8,8.6,3871.7
10/18/2004,8.4,0.1,0,9.7,8.3,4023.4
10/19/2004,9.6,6,0,9.8,8.8,2676
10/20/2004,11.2,8.3,0,10.8,9.7,2378.5
10/21/2004,13.2,0.8,0,11.4,10.2,4865.9
10/22/2004,14.4,0.6,0,11.4,9.5,5706.6
10/23/2004,16,8.8,6.6,12.1,10.5,1897.5
10/24/2004,16.4,9.7,0,12.3,11.8,3244
10/25/2004,19.6,7.3,0,13.8,11.7,11095
10/26/2004,12.7,5.8,0,12.5,11,3994.1
10/27/2004,12.3,7.3,0,12.1,11.2,3999.7
10/28/2004,15,5.5,0.25,12.5,10.8,7792.5
10/29/2004,18.9,9.8,21.59,13.7,11.4,2961
10/30/2004,21.5,9.4,0.51,14.7,12.8,8550.2
10/31/2004,12,6.3,0,12.8,11.1,6904
11/01/2004,8.5,5.8,12.45,11.1,10.2,2504.4
11/02/2004,7.9,2.1,4.06,10.2,9.2,1943.2
11/03/2004,8.7,1.7,0,9.8,8.9,3969.3
11/04/2004,8.1,3,4.06,9.1,8.1,1675.9
11/05/2004,10.7,1.1,0,8.1,6.7,9637.3
11/06/2004,16.8,4.3,0,9.2,7,8904.4
11/07/2004,12.7,-0.6,0,9.1,7.8,9225
11/08/2004,6.2,-3.5,0,7.8,5.8,6913
11/09/2004,4.7,-6.1,0,5.8,4.5,5166.5
11/10/2004,15.5,0.3,0,7.3,4.6,5519.9
11/11/2004,9.8,-5.4,0.25,7.3,5.4,7615.5
11/12/2004,8.7,-7.3,0,5.8,3.8,9175.3
11/13/2004,7.4,-7.2,0,5.5,3.4,9277.9
11/14/2004,9.8,-7,0,5.1,3,9216.1
