date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
01/01/2004,1.8,-7.4,0.76,1.1,0.5,3533.9
01/02/2004,14.1,1.2,12.19,4.1,0.5,2285.8
01/03/2004,11.6,-1.8,0,4.5,2,2877.6
01/04/2004,-1.6,-6.1,0,2,0.9,1726.6
01/05/2004,-1.7,-10.5,0.25,0.9,0.7,4614.8
01/06/2004,-10.4,-15,0,0.8,0.6,4327.8
01/07/2004,-8.2,-12.1,0,0.7,0.6,6073.5
01/08/2004,-4.3,-17.8,0,0.6,0.5,5207.4
01/09/2004,-5,-17.4,0,0.6,0.4,7718.6
01/10/2004,-2.5,-14.9,0.25,0.5,0.4,5706.7
01/11/2004,2,-2.5,1.02,0.4,0.3,2104.9
01/12/2004,2.2,-1.6,0.25,0.4,0.3,3255.8
01/13/2004,-1.3,-12.6,0,0.4,0.4,6400.2
01/14/2004,-4.8,-12,0,0.4,0.3,2671.2
01/15/2004,-8.8,-13.7,0,0.4,0.3,5139.2
01/16/2004,-10.1,-15.9,0,0.3,0.2,5152.4
01/17/2004,-1.4,-10.2,0,0.2,0.2,2628.4
01/18/2004,-3.3,-12.2,0,0.2,0.2,7363.6
01/19/2004,-5.8,-12.5,0,0.2,0.2,6799.3
01/20/2004,-2.9,-17.4,0.76,0.2,0.2,7966
01/21/2004,-0.2,-10.9,0.25,0.2,0.2,1838.7
01/22/2004,-6.6,-18.5,0,0.2,0.1,8151.3
01/23/2004,-10.6,-18.3,0,0.2,0.1,3534.4
01/24/2004,-3.8,-16.9,0,0.1,0.1,9080.4
01/25/2004,-9.6,-20.3,0,0.1,0,7236.8
01/26/2004,-8.2,-11.1,0,0.1,0,3273.9
01/27/2004,-5.6,-9.3,0,0,0,2915.8
01/28/2004,-5,-14.7,0,0,0,5774.7
01/29/2004,-10.2,-17.6,0,0,0,6272.8
01/30/2004,-10.3,-14.6,0,0,0,7514.8
01/31/2004,-6,-11.8,0,0,0,7262
02/01/2004,-4.1,-9,0.25,0,0,7198.1
02/02/2004,-1.6,-8.7,0,0,0,5478.2
02/03/2004,-0.3,-10.2,0.51,0,0,2862.1
02/04/2004,-2,-18.5,0,0,0,9237.7
02/05/2004,-3.2,-18,0,0,0,5503.3
02/06/2004,-1.5,-8,0.51,0,0,5017.4
02/07/2004,-1.9,-17,0,0,0,6825.2
02/08/2004,-3.2,-21,0,0.1,0,5649.3
02/09/2004,-0.2,-6.8,0,0.1,0,4011.9
02/10/2004,-2.3,-7,0,0.1,0,7526.2
02/11/2004,-0.8,-7.2,0,0.1,0,7330.6
02/12/2004,-0.5,-5.9,1.02,0.1,0,5892.8
02/13/2004,-1.6,-6,0,0.1,0,13126
02/14/2004,1.6,-14.7,0,0.1,0,8485.3
02/15/2004,-2.3,-16.9,0,0.1,0,12746
02/16/2004,-5.2,-19.7,0,0.1,0,11386
02/17/2004,0.1,-11.1,0,0,0,10515
02/18/2004,2.2,-10.2,0,0,0,6974.4
02/19/2004,5.5,-6.2,0,0,0,10276
02/20/2004,3.6,-0.8,2.29,0,0,2342.8
02/21/2004,1.8,-2.5,0.76,0,0,4685.1
02/22/2004,8.6,-6.2,0,0,0,13495
02/23/2004,1.3,-0.3,7.87,0.1,0,2306.9
02/24/2004,4.1,-2.7,0,0.1,0,11291
02/25/2004,6.1,-9.2,0,0.1,0,13182
02/26/2004,1.4,-7.2,0,0.1,0,15225
02/27/2004,6.4,-7.7,0,0.1,0.1,15868
02/28/2004,8.1,-6.6,0,0.1,0.1,14995
02/29/2004,12.4,-1.9,0,0.1,0,12794
03/01/2004,8,3.2,17.27,0,-0.1,3319.3
03/02/2004,6.4,2.6,0.25,2.4,-0.1,5025.7
03/03/2004,4.3,1,1.27,2.8,1.1,4147.3
03/04/2004,5.5,1.3,7.37,3.9,1.6,4513.7
03/05/2004,13.8,-0.3,41.4,5.3,2.6,2594.4
03/06/2004,2.6,-1.3,0,3.8,2,5965.5
03/07/2004,4.2,-1.5,8.13,2.2,1.3,2599.9
03/08/2004,0.4,-6,0.25,1.9,0.9,6859.4
03/09/2004,1.9,-4.9,0,0.9,0.5,7805.2
03/10/2004,6.7,-5.8,0,2.2,0.3,15916
03/11/2004,4.9,-7.1,4.32,1.8,0.7,6397
03/12/2004,-5.8,-13,0,0.7,0.4,8419.7
03/13/2004,3.6,-14.3,0,1.7,0.3,14628
03/14/2004,4,-0.8,3.3,1.3,0.5,4020.2
03/15/2004,2.9,-2.4,0,2.2,0.3,13844
03/16/2004,2.9,-3.8,0,2.5,0.3,15739
03/17/2004,1.2,-4.6,0,1.5,0.3,9365.2
03/18/2004,3.3,-1.7,0.76,2.7,0.5,7783.2
03/19/2004,7,-1.9,0.25,4.4,0.7,10462
03/20/2004,13.4,-1.7,6.6,7,2.6,15241
03/21/2004,-0.5,-8.1,0,3.7,1.5,14905
03/22/2004,0.3,-11.4,0,1.5,0.4,15877
03/23/2004,10.3,0.2,0,4.7,0.4,19061
03/24/2004,11.4,0.2,2.54,4.7,1.1,3562.9
03/25/2004,14.9,10.6,1.02,7.6,4.7,4773.6
03/26/2004,15.4,11.8,14.22,11.3,7.6,4457.2
03/27/2004,13.1,6.2,0,11.1,8.5,8871.3
03/28/2004,20.1,6.3,9.14,12.3,7.7,12866
03/29/2004,13.3,3.4,1.02,12,7.9,19356
03/30/2004,16.2,2.4,2.54,11.3,6.1,12924
03/31/2004,11.6,-0.3,0,9.2,5.2,10808
04/01/2004,13.6,-1.9,0,10.4,4.2,19684
04/02/2004,17.4,-0.8,0,11.2,4.1,22229
04/03/2004,11.8,-2.5,0.51,8.4,4.2,14075
04/04/2004,4.7,-3.2,0,8,3.4,20669
04/05/2004,7,-7,0,8.7,2.4,23035
04/06/2004,14,-2.3,0.51,8.7,4.1,11709
04/07/2004,18.4,-1.5,0,11.9,3.7,21547
04/08/2004,9.7,2.6,0,8.3,6.4,6337.2
04/09/2004,11.1,-1.1,0,9.4,4.3,14870
04/10/2004,9.7,-2.7,0,8.4,4.1,12903
04/11/2004,6.6,-2,0,7.3,3.8,12234
04/12/2004,8.1,-4.7,0,7.8,2.9,16530
04/13/2004,11.9,-2.3,0,10,3.4,23263
04/14/2004,16.3,-3.6,0,11.4,3.7,23715
04/15/2004,20.8,2.8,0,12.7,6,22474
04/16/2004,22.5,11.2,0,13.9,8.4,20400
04/17/2004,23.4,11.1,8.89,16.4,10.2,20947
04/18/2004,26.3,12.5,9.14,15.7,11.5,18255
04/19/2004,22.7,4.6,0,13.9,10.9,10913
04/20/2004,13.2,0.3,3.56,12.3,7.8,13898
04/21/2004,16.5,5.8,2.79,12.9,10.3,9633.7
04/22/2004,15.2,2,0,13.7,8.1,17738
04/23/2004,16,1.9,0,14.9,7.8,22110
04/24/2004,14.9,2.2,0.76,13.8,7.9,19972
04/25/2004,16.4,3.4,16,11.6,8.5,7551
04/26/2004,13.7,3.6,0.76,12.2,7.9,20025
04/27/2004,7.2,-1.1,0,11.4,6.6,21439
04/28/2004,23.1,2.4,0.51,12.9,7,18161
04/29/2004,23.7,15.9,0,15.7,11.3,21984
04/30/2004,17.2,8.3,1.52,13.9,12.1,4532.8
05/01/2004,11.6,6,2.54,12.3,10.4,8336.3
05/02/2004,11.6,0.3,0,13.5,8.6,23239
05/03/2004,10.1,-2.6,0,14,6.6,26457
05/04/2004,16.6,-1.1,0.25,11.1,7.6,10958
05/05/2004,15.9,0.7,0,14.3,7.4,23683
05/06/2004,24.2,5.8,0,14.3,9.2,11519
05/07/2004,18.3,8.5,0,16.4,10.4,25375
05/08/2004,19.9,4.8,92.2,14.8,8.3,13888
05/09/2004,23.9,11.8,26.92,17.7,12.3,12283
05/10/2004,24.6,12.3,9.65,19,14.1,18328
05/11/2004,22.1,11.9,0.25,18.9,14.4,17763
05/12/2004,27.8,17.6,2.54,20.5,15.9,24255
05/13/2004,22.5,17,14.22,19.4,17,8654.5
05/14/2004,19.6,6.7,9.65,18.4,14.6,4622.3
05/15/2004,16.5,5.4,0,18.7,13,21446
05/16/2004,19.3,3.3,0,19.1,12.4,26670
05/17/2004,23.7,10.7,0,18.6,14.3,14506
05/18/2004,19.2,9.3,25.4,19.5,15.9,18943
