date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
05/25/2017,18.9,12.6,,16.3,13.8,10142.5
05/26/2017,21.9,8.3,,19.6,12.5,21477.3
05/27/2017,25.7,8.7,,20.7,13.6,26314.2
05/28/2017,22.6,12.3,,18.9,15.8,16247.6
05/29/2017,21.8,8,,20.1,13.8,28637
05/30/2017,19.2,8.4,,19,13.5,20320.8
05/31/2017,19.6,8.1,,17.4,13.1,24204.2
06/01/2017,22.8,4.6,,19.7,12.6,30052.1
06/02/2017,27.2,5.5,,20.6,13.1,29020.5
06/03/2017,27.2,10.8,,19.7,14.9,15997.6
06/04/2017,29.2,15.6,,23.9,16.9,28566.2
06/05/2017,24.2,10.1,,21.1,16.7,22064.1
06/06/2017,25.5,12.6,,21.6,18.6,11636
06/07/2017,26.4,6.8,0,21.9,14.6,29194.1
06/08/2017,26.4,8.1,0,23.4,15.5,28677.7
06/09/2017,27.4,13.8,0.51,23.8,17.6,25362.9
06/10/2017,29.6,12.6,0,23.8,17.9,27468.4
06/11/2017,30.2,21.7,0,24.9,19.5,23129.3
06/12/2017,30.5,22.3,0,25.9,20.2,23022.7
06/13/2017,30.2,18.6,5.59,25.8,21.1,21006.1
06/14/2017,31,18,11.18,27.1,20.3,22197.5
06/15/2017,27.4,18.7,0.25,26.1,21.1,22991.1
06/16/2017,27.4,17.4,0,25.1,20.8,21439.9
06/17/2017,26.7,17.7,11.68,24.5,20.7,10623.2
06/18/2017,23.5,16.6,0.51,23.7,21.1,18810.4
06/19/2017,23.5,13.5,0,24.6,18.7,24586.5
06/20/2017,22.1,11.4,3.81,22.3,17.9,19185.6
06/21/2017,24.2,8.5,0,22.7,15.6,23849.8
06/22/2017,28.2,15.3,3.05,24.4,18.4,15669.8
06/23/2017,25.3,15.8,20.07,25.2,20.8,22431
06/24/2017,21.6,12.9,0,23.5,18,26404.9
06/25/2017,19.6,10.5,0.25,21,16.4,18857.5
06/26/2017,18,9.1,0.25,21.5,15.8,22947.2
06/27/2017,21.9,6.6,0,22.8,14.2,27179.6
06/28/2017,22.6,11.6,20.83,20.1,15.9,13055.7
06/29/2017,24.7,16.6,10.67,22.2,17.7,13876.6
06/30/2017,25.9,16.8,0,24.3,18.9,17148.3
07/01/2017,25.6,16.6,0,26.6,20.1,26607.2
07/02/2017,23.2,14.7,2.54,22.8,19.2,15041.8
07/03/2017,26.5,13.2,0,26.9,18,29998.4
07/04/2017,27.6,14.1,0,27.9,18.7,29152.9
07/05/2017,28.9,14.9,0,28.5,19.4,28467.8
07/06/2017,30.1,15.2,0,29.7,20.7,26558.4
07/07/2017,27.4,16.5,4.83,27.6,21.3,26147.9
07/08/2017,24.6,12,0,26.7,19.1,27801.6
07/09/2017,25.6,13.5,0.51,26.6,18.7,23610.5
07/10/2017,25.6,16.8,2.79,25.1,20.4,15210.3
07/11/2017,30.4,15.6,0,29.3,20.1,26224.7
07/12/2017,26.4,18.4,3.3,26,22.3,12777.7
07/13/2017,26.8,18.1,0,28.8,23.2,22565.6
07/14/2017,22.9,13.7,0,26.9,21.8,20002.4
07/15/2017,25.6,10.4,0,28.9,19.4,26502.1
07/16/2017,25.8,15.8,0,28.7,21.4,26632.8
07/17/2017,26.8,12.9,0,27.8,20.1,24881.6
07/18/2017,28.7,12.4,0,29.1,20,28238.8
07/19/2017,31,16.6,0,29.2,21.7,24921.3
07/20/2017,30.1,18.8,0.25,28.2,22.6,21275.7
07/21/2017,31.1,14.6,0,29.1,21.4,20982.2
07/22/2017,26.4,18.8,1.27,25.3,23,7775
07/23/2017,27.4,17.7,3.56,27.6,22.2,18737.8
07/24/2017,26.4,15,0,27.9,20.9,25552.5
07/25/2017,26.8,12.4,0,27.8,19.7,24704.5
07/26/2017,26.6,16.3,4.06,25.4,20.9,12581.3
07/27/2017,29,19.9,3.05,27.9,21.9,22561.2
07/28/2017,26.9,14.1,0,27.1,20.6,22977.8
07/29/2017,28.1,8.2,0,27,18.1,24975.5
07/30/2017,28.6,10.9,0,26.7,18.9,24719.8
07/31/2017,29.2,11.3,0,27.4,19,25313.7
08/01/2017,28.9,12.7,0,27.5,19.7,24560.8
08/02/2017,29.6,15.5,0,28.2,21.2,22927.7
08/03/2017,26.5,16.8,2.29,25.9,21.8,13233.4
08/04/2017,19.6,13,0.76,23,19.6,10807.7
08/05/2017,23.7,9.9,0,24.1,16.6,22895.6
08/06/2017,25.4,11.3,0,23.2,18,16357.6
08/07/2017,24.9,11.9,0,25,19.3,20561.8
08/08/2017,27.5,9.9,0,25.7,17.6,23115.1
08/09/2017,27.8,14.8,0,25.8,19.2,21052.8
08/10/2017,27.2,15,9.4,24.6,19.8,15768.8
08/11/2017,24.1,16,0.51,24.2,19.4,15625
08/12/2017,24.6,11.8,0,24.4,18.6,17869
08/13/2017,25.5,6.9,0,25.7,16.3,21817.5
08/14/2017,26.6,14.4,0,25.6,19.6,15319.3
08/15/2017,26.7,14.9,0,27.9,19.7,22824.4
08/16/2017,30.4,15.5,0,28.7,20.3,22615.1
08/17/2017,25.1,19,20.83,25.7,22.3,6013.8
08/18/2017,21.7,16.6,0.25,22.5,20.6,7838.1
