date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
08/07/2008,25.4,13,0.25,24.1,19.4,23616
08/08/2008,25.9,12.7,0,24.4,19.2,25346.3
08/09/2008,26.1,10.8,0,23.8,19.1,22732.8
08/10/2008,23,7.9,0,22.4,18.5,19974.4
08/11/2008,26.5,10.1,0,23.8,18.5,24951.9
08/12/2008,27.8,9.1,0,24.1,18.7,24794.1
08/13/2008,24.9,11.3,0,22.6,19.5,15664.3
08/14/2008,27.2,12.9,0,24.4,19.1,25878.2
08/15/2008,26,7.7,0,23.6,18.7,23939.3
08/16/2008,26.9,8.9,0,23.7,18.7,24040.1
08/17/2008,29.3,13.2,0,24.7,19.4,24288.3
08/18/2008,30.1,15.3,0,25.3,20.3,24534.2
08/19/2008,24.7,14.6,0,23.6,20.8,16400
08/20/2008,27.8,9.1,0,24.6,19,25964
08/21/2008,29.6,9.4,0,23.8,19.2,18937.6
08/22/2008,27.3,20.5,7.87,23.7,21.4,8034.7
08/23/2008,31.6,19.9,0.76,25.8,21,19125.8
08/24/2008,25.6,15.4,0.25,25.5,21.4,22609.8
08/25/2008,23.5,11.1,0,24.2,19.6,24572.3
08/26/2008,25.8,5.8,0,23.7,18,25075.2
08/27/2008,29.3,8.1,0,24.2,18,24523.5
08/28/2008,27.1,15,0,23.6,19.8,14972.9
08/29/2008,29.1,12.9,0.76,25.2,20.7,21575.3
08/30/2008,30.7,9.5,0,25,19.1,23922.1
08/31/2008,32.9,10.1,0,25.2,19.2,23747.9
09/01/2008,32.2,11.9,0,25.4,19.7,23493.8
09/02/2008,34.9,11.1,0,25.6,19.5,22748.8
09/03/2008,29.8,16.4,0,24.9,20.9,15472.6
09/04/2008,19.3,14.2,36.07,23,19.7,3845.4
09/05/2008,22.3,12.1,12.19,21.3,19.7,9199
09/06/2008,23.6,8.4,0,21.9,17.7,20863.5
09/07/2008,23.1,10.4,3.3,23.9,19.2,19067.2
09/08/2008,21.7,9.7,17.53,,,9134
09/09/2008,19.7,6.8,0.51,,,17784.5
09/10/2008,22.1,4.5,0,,,19573.4
09/11/2008,25.8,8.5,0,,,20514.6
09/12/2008,23.2,18.8,7.62,,,2772.3
09/13/2008,23.3,19,101.3,,,1521.9
09/14/2008,22.5,13.5,66.29,,,1545.8
09/15/2008,17.6,10.3,0.25,,,11081
09/16/2008,21.5,5.6,0,,,20593.8
09/17/2008,25.4,8.8,0,,,19972.1
09/18/2008,21.7,7.8,0,,,19866
09/19/2008,24.9,8.2,0,,,18308.1
09/20/2008,27.1,8.7,0,,,17647.4
09/21/2008,20.7,10.1,0,,,8243.4
09/22/2008,25.4,9.8,0,,,17167.4
09/23/2008,27.6,10.6,0,,,18632.6
09/24/2008,28.1,11.5,0,,,16912.3
09/25/2008,28.3,10.2,0,,,17349.5
09/26/2008,25.9,8.2,0,,,18288.8
09/27/2008,25.7,5.8,0,,,18493.1
09/28/2008,19.1,8.9,0,,,8121.4
09/29/2008,18.6,12.6,23.88,,,4201.3
09/30/2008,17,9.7,0.76,,,9576.2
10/01/2008,13.6,3.1,0,,,7948.1
10/02/2008,12.9,2.3,6.35,,,4527
10/03/2008,13.1,0.3,0,,,14637.2
10/04/2008,14.9,-2.4,0,,,13957.6
10/05/2008,16.3,-1.1,3.3,,,12371.8
10/06/2008,15,8.7,1.78,,,7040.6
10/07/2008,18.4,6.6,1.27,,,10893
10/08/2008,17.2,9.4,9.65,,,2647.6
10/09/2008,19.5,4.7,0,,,16244.7
10/10/2008,22.7,1.4,0,15.2,10.7,15880.6
10/11/2008,26.8,3.5,0,15.9,11.1,13754.1
10/12/2008,28.8,8.1,0,17.2,12.3,14411.4
10/13/2008,27.4,10.7,0,17.1,13.4,10021.9
10/14/2008,21.1,3.7,0.76,17.2,14.3,13689.6
10/15/2008,17.3,3.5,7.37,15.3,13.3,4648.1
10/16/2008,15.5,3.9,0.25,14.6,12.3,11348.9
10/17/2008,13.9,0.2,0,13.2,10.5,10349.8
10/18/2008,15.7,0.5,0,13.3,10.3,13290.4
10/19/2008,16,0.9,0,12.5,9.1,13156
10/20/2008,14.8,4.1,1.78,11.9,9.9,5203.9
10/21/2008,11.7,-0.9,0,11.5,8.6,13943.4
10/22/2008,11,-3.8,0,10.1,7.1,12538.7
10/23/2008,15.1,-1.4,0,10,6.6,13700.7
10/24/2008,8.6,4.9,17.27,9,8.1,965.6
10/25/2008,7.6,4.6,2.54,9.2,8.4,2515.1
10/26/2008,13.2,1.9,6.6,10.2,8.2,7949.1
10/27/2008,7.3,-0.8,4.57,8.9,7.1,6030
10/28/2008,3.5,-1.7,0.25,7.1,5.7,2477.6
10/29/2008,8.4,-2.6,0,7.5,5.1,8636.8
10/30/2008,13.3,-5.1,0,7.9,4.2,12258.3
10/31/2008,21.5,5.5,0,10.2,5.8,11492.9
11/01/2008,13.1,3.7,0,9.9,7.4,9387.2
11/02/2008,11.9,-0.5,0.25,8.8,6.2,6932.9
11/03/2008,23.3,9.7,2.03,12.4,8.6,10259.4
11/04/2008,22.9,8.7,0,12.5,9,9993.2
11/05/2008,22.1,5.6,0,12,8.5,11024
11/06/2008,23.2,7.3,0,11.8,8.5,10065.7
11/07/2008,16.6,3.5,0,12.3,10,10833.2
11/08/2008,4.7,1.5,4.32,10,7.9,2569
11/09/2008,3.9,-1.4,2.03,7.9,6.3,2702.4
11/10/2008,0.9,-1,0.25,6.3,5.6,1522.2
11/11/2008,3.1,-0.2,1.02,6.7,5.4,4519.9
11/12/2008,8.8,0.1,2.03,7.1,-73.1,2152.8
11/13/2008,11.2,7.6,1.27,8.6,7.1,4216.5
11/14/2008,10.7,4.5,6.35,9.1,8,1303.2
11/15/2008,5.6,0.9,0.51,8.2,6.1,2463.5
11/16/2008,1.7,-1.5,1.78,6.1,5.1,2987.7
11/17/2008,1.1,-5.2,0.76,5.6,4.3,4931.8
11/18/2008,1,-8.2,0,4.3,2.9,10030.6
11/19/2008,1.9,-4.7,0.25,3.4,2.6,2432.4
11/20/2008,2.5,-6,0,4.1,2.5,5457.2
11/21/2008,-2.4,-10.1,0,2.5,1.5,4853.3
11/22/2008,-0.7,-10.1,0,1.9,1.4,4505.2
11/23/2008,3,-12.1,0,1.4,1,7926.3
11/24/2008,1.2,-2.4,0.25,1.5,1.1,644.4
11/25/2008,1.9,0,7.37,2.1,1.5,1635.5
11/26/2008,4.7,-6.2,0,2.6,1.8,5336.8
11/27/2008,5.8,-8.6,0,1.8,1.2,5794.7
11/28/2008,5,-4.5,0,3.2,1.5,5728.3
11/29/2008,7,-8.2,0,2.1,1.1,7840.6
11/30/2008,0.6,-4,0,1.5,1.2,1024
12/01/2008,0.8,-3,0,1.9,1.5,1487
12/02/2008,-1.5,-5.9,0,2.1,1.9,4445.8
12/03/2008,4.4,-1.9,7.37,2.2,2.1,4727.3
12/04/2008,-0.8,-8.8,0,2.1,2,3274
12/05/2008,-5.7,-10.9,0,2.1,2,5193.9
12/06/2008,-1.2,-10.9,0,2.1,2.1,2360.1
12/07/2008,-3.9,-9.6,0,2.1,2,6387.6
12/08/2008,0.3,-7.8,0,2.1,2,5112.5
12/09/2008,4.2,-2.7,13.72,2.1,1.9,1348.1
