date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
11/30/1999,1.5,-6.7,0,2.5,1,2515.7
12/01/1999,5.4,-6.6,0.44,1.8,0.8,6096.1
12/02/1999,5.1,2.2,0,3.8,1.8,2499.8
12/03/1999,11.2,4.2,8.4,6.1,3.4,678.1
12/04/1999,8.5,5.1,0.29,6.4,5.7,1282.2
12/05/1999,5.4,-2,10.9,5.8,2.5,1153.1
12/06/1999,-0.8,-3.9,0,2.7,1.6,2387.2
12/07/1999,3,-3.5,0.29,3.2,1.3,3162.9
12/08/1999,5,-3.7,0.74,3.3,1,4386.2
12/09/1999,4.6,-3.2,0.15,2.5,0.8,1489.6
12/10/1999,4.5,-2.1,0.74,2.9,1.3,1534.6
12/11/1999,3.7,-4.2,1.62,2.6,0.8,5914.2
12/12/1999,1.8,-4.9,0,0.9,0.6,2810.3
12/13/1999,8.4,-6.2,1.33,0.9,0.5,7041
12/14/1999,2.4,0.6,0,1.2,0.5,1579.8
12/15/1999,2.1,0,3.98,2.3,1.1,1373.6
12/16/1999,0.4,-8.3,0.15,1.8,0.8,3660.6
12/17/1999,-3.3,-11.3,1.03,0.9,0.7,4289.7
12/18/1999,-2.1,-13.1,0.88,0.8,0.4,6292.2
12/19/1999,0.7,-14.9,0,0.4,0.3,4139.4
12/20/1999,2.2,-11.3,2.65,0.4,0.3,1949.7
12/21/1999,-8.2,-13.4,0,0.3,0.2,4380.7
12/22/1999,-7.7,-14.9,0,0.2,0.1,5303.9
12/23/1999,-8.1,-17.3,0,0.1,-0.1,5979.6
12/24/1999,-5.2,-17,0,-0.1,-0.2,4778
12/25/1999,0.6,-9.9,0.15,-0.1,-0.2,4899
12/26/1999,0.8,-7.4,0.15,-0.1,-0.2,4361.8
12/27/1999,-6.9,-17.1,0,-0.1,-0.2,6990.4
12/28/1999,-4.4,-13.7,0,-0.1,-0.2,2498.3
12/29/1999,4.1,-15.7,1.33,-0.1,-0.2,2029.7
12/30/1999,2.7,-17.6,0,-0.1,-0.2,6034.2
12/31/1999,-1.1,-17.6,0,-0.1,-0.2,2137.1
01/01/2000,6.7,-3.4,1.47,-0.1,-0.2,4770.3
01/02/2000,3,-5.8,5.16,-0.1,-0.2,414.9
01/03/2000,-1.9,-9.3,0.15,-0.1,-0.2,1824.7
01/04/2000,-2.5,-9.2,6.92,-0.1,-0.1,3181.1
01/05/2000,-3.8,-10.9,0.59,0,-0.1,5398.8
01/06/2000,1.2,-4.7,0.59,0,-0.1,2118.9
01/07/2000,-1.4,-8.6,0,0,-0.1,4852.9
01/08/2000,4.6,-7.9,1.62,0,-0.1,7346.1
01/09/2000,1.3,-10.5,0,0,-0.1,4544.1
01/10/2000,2.8,0.6,1.47,0,-0.1,1359.2
01/11/2000,1.4,-6.8,0.44,0,-0.1,2377
01/12/2000,-5.5,-9,0,0,-0.1,4799.9
01/13/2000,-8.3,-15.9,0,0,-0.1,5292.4
01/14/2000,-6.1,-10.9,0,0,-0.1,3441.8
01/15/2000,-0.6,-7.8,0.15,0,-0.1,3426
01/16/2000,1.5,-15.9,0,0,-0.1,8497.5
01/17/2000,-9.9,-17.1,0,-0.1,-0.2,4481.3
01/18/2000,-5.1,-11.9,0,-0.2,-0.2,2571.4
01/19/2000,-4.4,-8.7,0.15,-0.1,-0.2,4674
01/20/2000,-8.6,-23.9,0,-0.1,-0.2,8716.3
01/21/2000,-10.3,-25.1,0,-0.2,-0.3,7502.5
01/22/2000,-9.4,-26.4,0,-0.3,-0.5,7588.2
01/23/2000,-4.4,-16.1,0.29,-0.3,-0.4,4617.5
01/24/2000,-6.3,-18.2,0.29,-0.3,-0.4,8439.4
01/25/2000,-5.3,-13.5,0.29,-0.2,-0.4,4629.7
01/26/2000,-10.9,-16.5,0,-0.3,-0.3,7049.5
01/27/2000,-5.8,-19.1,1.18,-0.3,-0.4,9688.8
01/28/2000,-0.4,-14.3,0.88,-0.3,-0.4,7019.6
01/29/2000,3.9,-18.4,1.47,-0.3,-0.5,9751.7
01/30/2000,-0.8,-15.3,0,-0.3,-0.5,3264.6
01/31/2000,-2.8,-10.4,0,-0.3,-0.3,3966.3
02/01/2000,-3.7,-11.7,0,-0.2,-0.4,9295
02/02/2000,-3.5,-22,0,-0.4,-0.7,6521
02/03/2000,-2.5,-6.3,2.36,-0.3,-0.5,3139.2
02/04/2000,-1.2,-12.9,1.77,-0.2,-0.3,10563
02/05/2000,-2.2,-10.8,0,-0.3,-0.4,2883.1
02/06/2000,-0.3,-15,0,-0.3,-0.4,10961
02/07/2000,-0.6,-18.1,0,-0.3,-0.4,11031
02/08/2000,1,-22.7,0.15,-0.3,-0.4,11397
02/09/2000,3.1,-9,0.15,-0.3,-0.4,6718.3
02/10/2000,-1.9,-7.5,1.03,-0.2,-0.3,3156.1
02/11/2000,-4.1,-18.7,1.47,-0.2,-0.3,11457
02/12/2000,-4.8,-26.5,0.15,-0.2,-0.4,10868
02/13/2000,-3,-8.3,0.44,-0.3,-0.4,2493.9
02/14/2000,0.4,-12,2.21,-0.3,-0.3,11979
02/15/2000,-1,-13.3,0.88,-0.2,-0.3,5105.8
02/16/2000,-2.8,-17.8,2.8,-0.2,-0.3,9840.5
02/17/2000,-0.2,-25.1,1.33,-0.2,-0.3,12050
02/18/2000,-2.6,-15.2,0,-0.2,-0.3,3160.5
02/19/2000,1.3,-14.9,0,-0.2,-0.3,7520.1
02/20/2000,-1.6,-9.9,0,-0.2,-0.3,7069.4
02/21/2000,9.6,-14.3,2.65,-0.2,-0.3,13357
02/22/2000,11.3,-0.9,0.15,-0.2,-0.3,7947.6
02/23/2000,10.6,2.4,0,-0.2,-0.2,4279
02/24/2000,8.6,1.8,9.28,-0.2,-0.2,3465.8
02/25/2000,6,1.6,1.77,-0.1,-0.2,5081.6
02/26/2000,15.2,3.6,1.47,-0.1,-0.2,7636.6
02/27/2000,11.8,-0.2,0,-0.1,-0.2,5129
02/28/2000,6.5,-3,0,-0.1,-0.2,11889
02/29/2000,12.3,-2.5,0.15,-0.1,-0.2,8986.5
03/01/2000,8.1,-1.6,0.74,-0.1,-0.2,3907.9
03/02/2000,3.3,-4.4,0.15,-0.1,-0.2,13143
03/03/2000,9.2,-5.7,1.33,-0.1,-0.2,14309
03/04/2000,12.1,-2.8,0.29,-0.1,-0.2,13307
03/05/2000,10.6,-3.3,0,3.8,-0.2,16705
03/06/2000,16,-4.8,0.88,7,0,16233
03/07/2000,23.4,2.2,1.03,10.2,0.6,15399
03/08/2000,27.7,1.6,0.44,11.3,1.7,12339
03/09/2000,15.4,-9.3,2.06,7.8,1.5,2248.7
03/10/2000,-3.6,-11.1,0,2.8,0.5,13340
03/11/2000,2.2,-12.7,0.29,2.3,0.1,18100
03/12/2000,1.5,-8.2,0,0.4,0.1,9391.9
03/13/2000,-0.6,-11.9,0,0.1,0,7470
03/14/2000,5.8,-4.2,0.15,0.6,0,8967.3
03/15/2000,8,-4.4,1.92,1.9,0.1,5290.4
03/16/2000,0.6,-7.8,0.74,4.7,0.1,18566
03/17/2000,1.5,-6.5,1.18,4.7,0.2,19425
03/18/2000,5.8,-8.7,0.44,5.4,0.1,18357
03/19/2000,5.9,-1.1,0,4.3,0.6,7561.7
03/20/2000,4.3,0.1,1.92,3.1,1.2,2439
03/21/2000,12.7,1.7,2.21,9.2,1.8,11300
03/22/2000,13.3,4.6,0,7.7,4.2,5666.8
03/23/2000,19.4,1.6,1.03,11.2,4,13173
03/24/2000,16.1,2.2,0.15,11.2,3.8,14081
03/25/2000,13.8,2.7,0,11.5,6.3,15938
03/26/2000,14.1,0.2,0.29,12,4.1,20897
03/27/2000,9.3,2,0.29,7.4,5,8319.9
03/28/2000,11.3,-2.6,0.59,10.5,3.2,16804
03/29/2000,4.4,-2.1,0,6.3,3,9590.8
03/30/2000,10.9,-3.4,0.59,10.2,1.6,22044
03/31/2000,14.2,-4.7,0.88,11.3,1.6,22518
04/01/2000,12.1,0.4,0,7.5,3.5,7518.3
04/02/2000,16.5,2,0,10.4,3.9,14026
04/03/2000,14.3,-1,0.15,9.2,3.7,8743
04/04/2000,3.6,-2.9,0,5.6,2.5,6593.7
04/05/2000,8.9,-3,0.29,10.6,1.6,21653
04/06/2000,4.3,1.4,1.77,5.7,3.5,2516.5
