date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
09/02/2002,27.4,17.6,0,23.2,21.3,13783
09/03/2002,25.9,13.7,1.78,23.5,21.2,23175
09/04/2002,25.6,11.8,0,23,19.3,23232
09/05/2002,26.2,10.2,0,23.4,19.1,21542
09/06/2002,30.5,10.2,0,23.8,19.1,22038
09/07/2002,35.8,13.1,0,24.8,19.8,20550
09/08/2002,34.4,14.5,0,25.4,20.6,20877
09/09/2002,33.8,14,0,25.5,20.8,19181
09/10/2002,30.8,15.6,0,24.2,21.8,15543
09/11/2002,25.1,9.9,0,22.3,19.2,20968
09/12/2002,25.7,7.4,0,21.8,18.1,20445
09/13/2002,26.4,11,0,21.5,18.1,17581
09/14/2002,28.7,9.2,0,21.6,18.3,17518
09/15/2002,19.3,7.7,1.02,20.9,18.1,4667.1
09/16/2002,24,5.3,0,20,16.2,19562
09/17/2002,29.6,8.3,0,21.2,16.7,19222
09/18/2002,22.7,12.1,1.27,19.7,18,5407.2
09/19/2002,31.3,18.3,13.46,21.4,18.6,11407
09/20/2002,25.4,18.3,1.27,21.4,20.5,6541.2
09/21/2002,27.1,14.3,0.25,21.6,19.1,18672
09/22/2002,15.5,7.7,2.29,20,16.6,5027.9
09/23/2002,19.5,4.2,0,18.1,14.8,18425
09/24/2002,17.6,4.9,0,16.9,15,12610
09/25/2002,,,,,,
09/26/2002,,,,,,
09/27/2002,,,,,,
09/28/2002,,,,,,
09/29/2002,,,,,,
09/30/2002,30.3,17.4,0,19.8,17.1,15430
10/01/2002,29.6,19.6,0,20.6,18.1,13268
10/02/2002,24.2,12.3,1.52,20.2,18.6,6219.8
10/03/2002,14.6,10.1,3.3,18.7,16.6,2886.7
10/04/2002,24.9,13.2,16.26,18.5,16.5,3307.9
10/05/2002,17.4,5.6,0,16.6,14.7,14594
10/06/2002,20.4,5.4,2.54,15.3,13.7,8761.4
10/07/2002,12.9,2.3,0,14.7,12.2,16081
10/08/2002,17.8,3.4,0,14.1,12.2,11601
10/09/2002,21.1,6.4,0,15.6,12.4,11858
10/10/2002,22.5,6.5,0,16.7,13.2,12227
10/11/2002,22.9,7.5,0,17.3,13.6,13781
10/12/2002,21.1,7.2,2.29,16,13.8,6907
10/13/2002,11.2,1.4,3.3,15.3,11.5,13768
10/14/2002,14.4,-2.4,0,13,9.4,14972
10/15/2002,18.1,0.4,0,13.1,9.5,13428
10/16/2002,11,0.1,0,12.3,9.9,14641
10/17/2002,6.8,-4.6,0.25,10.6,8.1,6512.1
10/18/2002,8.7,0.9,6.86,9.4,8.6,3008.7
10/19/2002,10.8,4.9,0.25,10.3,9.2,8293.3
10/20/2002,8.3,-1.6,0,9.7,8.3,9309.5
10/21/2002,9.1,-2.9,0,9.7,7.2,7428.4
10/22/2002,7.1,2.7,1.52,9.1,8.3,2493.2
10/23/2002,11.2,-0.3,0,10.1,7.5,10111
10/24/2002,8.7,-2.6,0,9.5,6.7,9154.3
10/25/2002,4.4,-2.1,3.56,7.8,6.4,1957.4
10/26/2002,8,3.8,0.76,8.6,7.2,2419.6
10/27/2002,8.6,2.3,0,8.7,7.2,8487.3
10/28/2002,8.5,-2.3,0,8.7,6.7,6243
10/29/2002,4.9,-3.1,0,6.7,5.2,4737.6
10/30/2002,9.8,-1.6,0,8.2,4.8,11380
10/31/2002,7.6,-2.7,0,6.8,5,4622.5
11/01/2002,4.2,-3.5,0,5.8,4.1,7427.3
11/02/2002,4.3,-3.1,0,4.9,3.6,3795
11/03/2002,7.5,-4.9,0,5.7,3.7,6924.7
11/04/2002,8.9,-3.3,0,6.6,4.8,6465.9
11/05/2002,3.1,-3.3,4.57,4.9,3.9,1509.7
11/06/2002,4.4,0.2,0,5.2,4.6,1771.1
11/07/2002,8.3,-5.7,0,5.5,3.3,8476.1
11/08/2002,16.9,6.2,0,8.2,5.2,9410.1
11/09/2002,17.7,5.3,1.52,9.8,6.6,5964
11/10/2002,17.6,8.7,19.3,12.4,9.8,2317.7
11/11/2002,8.8,3.2,1.02,11.2,7.9,1512.7
11/12/2002,4.6,0.4,0,7.9,6,1738.6
11/13/2002,8.8,0.4,0,7.4,5.2,8778.2
11/14/2002,11.5,0,2.79,8,6.4,4903.9
11/15/2002,2.7,-4.8,0,6.8,4.2,8051.5
11/16/2002,2.4,-6.3,0,4.2,2.8,8595.9
11/17/2002,3,-3.9,0,4,3,6806.8
11/18/2002,4.6,-6,0,3.5,2.1,6723.2
11/19/2002,10.8,1.4,4.06,5.8,3.5,6549.7
11/20/2002,9.8,0.4,0,5.8,3.5,5285.6
11/21/2002,4.6,0.2,5.33,5.6,3,599.5
11/22/2002,3.3,-1.5,1.02,3.8,2.9,4954.4
11/23/2002,3.8,-1,0.25,3.3,2.7,2266.3
11/24/2002,3.7,-1.9,0,4,2.9,4434.9
11/25/2002,1.2,-5.1,0,3.6,2.9,4757.4
11/26/2002,-1,-7.2,0,2.9,2.2,3355.6
11/27/2002,1.8,-8.9,0.51,2.2,1.6,6420.3
11/28/2002,-1.2,-4.5,0,1.9,1.5,2038
11/29/2002,7.9,-1.5,0,3.1,1.4,5596.3
11/30/2002,4.1,-7.5,0,2.7,1.6,3417
12/01/2002,-3.7,-8.2,0,1.6,1,3822.2
12/02/2002,-3.9,-19.1,0,1,0.9,4262.1
12/03/2002,-6,-20.4,0,0.9,0.8,8328.9
12/04/2002,-4.6,-17.3,0,0.8,0.6,4728
12/05/2002,-2.4,-11,0,0.6,0.6,5610.9
12/06/2002,-3.4,-9.2,0,0.7,0.5,3434.3
12/07/2002,2.4,-4.6,0,0.6,0.5,3141.9
12/08/2002,-0.8,-12,0,0.6,0.3,5802.3
12/09/2002,-2.3,-13.6,0,0.3,-0.2,5283.4
12/10/2002,6.3,-6.6,0,-0.2,-0.4,7396.8
12/11/2002,4.4,-6.6,0,-0.2,-0.3,4351.7
12/12/2002,5.7,-5.6,0,-0.2,-0.3,5437.9
12/13/2002,0.8,-0.1,0,-0.1,-0.2,788.1
12/14/2002,1.7,0.2,0,0.1,-0.1,1374.5
12/15/2002,4,-2.3,0,0.2,0.1,3221.9
12/16/2002,-2.3,-9.7,0,0.3,0.2,6755.2
12/17/2002,-0.2,-5.5,0,0.2,0.2,5204.9
12/18/2002,8.3,-2.4,7.11,0.3,0.2,1160.5
12/19/2002,10.6,0.7,5.33,3.9,0.2,1439.9
12/20/2002,1.7,-1.6,1.78,3.4,1.7,2162.9
12/21/2002,0.3,-2.5,0,1.7,1.2,4007.5
12/22/2002,0.2,-1.9,0,1.2,0.9,881.1
12/23/2002,-0.4,-4.4,0,0.9,0.7,4494
