date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
11/10/2009,13.8,0.9,0,9.7,5.3,6006.9
11/11/2009,11.6,-1.8,0,8.4,3.3,10392.5
11/12/2009,11.3,-2.9,0,7.2,2.5,10088.5
11/13/2009,14.3,1.6,0,7.9,3.1,8930.8
11/14/2009,16.7,6.4,0,10.4,5.4,8691
11/15/2009,11.1,2.6,0,9,6.3,6545.8
11/16/2009,7.2,0.7,0,7.1,4.1,5780.5
11/17/2009,9.5,-0.3,0,6,2.8,8046.8
11/18/2009,11.1,2.8,1.27,7.2,3.7,4353.8
11/19/2009,7.7,4.9,11.43,7.6,6.5,1965
11/20/2009,9,4.9,2.79,8.6,6.4,2070.4
11/21/2009,13,2.7,0,9.8,5.6,5680.6
11/22/2009,13.1,2.7,0,8.6,4.2,7831.8
11/23/2009,7.1,3.2,0,7.2,5.3,2407.3
11/24/2009,9.4,3.4,2.54,8,5.5,3593
11/25/2009,8.7,4.9,8.64,7.8,7.1,1229.2
11/26/2009,5.2,0.2,5.33,7.1,5.1,2036.1
11/27/2009,2.5,-0.9,0,5.5,3.3,3266.8
11/28/2009,9.4,-2.3,0,5.9,2.2,6600.1
11/29/2009,4.3,0.4,2.79,4.9,2.8,1608.1
11/30/2009,4.5,-0.8,0.76,4.2,2.5,2553.3
12/01/2009,8.8,1.6,0,5.9,2.2,4974.2
12/02/2009,8.2,0.9,0,6.6,2.1,5620.2
12/03/2009,3.1,-2.5,0.76,4.8,2.7,3025.3
12/04/2009,-0.4,-5.4,0,2.7,2.2,534.1
12/05/2009,-3.5,-5.8,0,2.2,2,506.3
12/06/2009,1.5,-5.5,0,2,1.8,544.4
12/07/2009,0.7,-5.6,0,2.1,1.4,4102.1
12/08/2009,-0.5,-4.8,0,1.4,1.1,2470.2
12/09/2009,1.3,-5.3,7.11,1.3,1.2,1622.8
12/10/2009,-5,-11.2,0,1.4,1.2,3379.8
12/11/2009,-7.8,-12.4,0,1.3,1.3,3628.4
12/12/2009,1.3,-11.8,0,1.3,1.2,6017.3
12/13/2009,2.3,-0.9,5.59,1.2,1.1,1809
12/14/2009,0.8,-0.6,5.08,1.1,1,1274.9
12/15/2009,0,-9.7,0,1,1,2984
12/16/2009,-4.6,-12.8,0,1,0.8,4820
12/17/2009,-3.6,-11.4,0,0.8,0.6,4414.7
12/18/2009,-0.7,-7,0,0.7,0.6,3695.5
12/19/2009,0.3,-5.3,0.25,0.9,0.7,3562.9
12/20/2009,-1.2,-9.6,0,0.9,0.7,3346.3
12/21/2009,-2.4,-4.9,0,0.9,0.9,1473.5
12/22/2009,-2.8,-8.7,0,1,0.9,4842.8
12/23/2009,-3.8,-11.2,0,0.9,0.7,5704.8
12/24/2009,-1.9,-5.7,0,0.9,0.8,2804.5
12/25/2009,3.2,-3.1,14.99,0.9,0.5,873.5
12/26/2009,-2.9,-5.9,0,0.8,0.6,1719.7
12/27/2009,-3.1,-7.4,0,0.8,0.8,776.3
12/28/2009,-0.5,-7.9,0,0.8,0.8,953.7
12/29/2009,-1.5,-9.9,0,0.8,0.7,6211.2
12/30/2009,-2,-8.6,0,0.8,0.7,4046.8
12/31/2009,0.7,-8.2,0,0.8,0.8,2142.1
01/01/2010,-2.7,-12.1,0,0.8,0.7,5534.4
01/02/2010,-5.6,-17.2,0,0.7,0.4,6075.2
01/03/2010,-2.9,-17.4,0,0.4,0.3,6113.6
01/04/2010,-2.5,-6.7,0,0.3,0.3,3660
01/05/2010,-1.5,-7,0,0.4,0.3,3322.5
01/06/2010,0.8,-4.2,0.25,0.4,0.4,5322.4
01/07/2010,-3.8,-6.3,0,0.5,0.4,1652
01/08/2010,-4.3,-8.4,0,0.6,0.5,1493.3
01/09/2010,-0.8,-10.7,0.51,0.6,0.6,1926.3
01/10/2010,-3,-11.2,0,0.6,0.5,2671.9
01/11/2010,1.5,-10.1,0,0.6,0.5,2515.5
01/12/2010,-1.8,-11.9,0,0.6,0.5,3495
01/13/2010,0.3,-5.7,0,0.6,0.6,4079.7
01/14/2010,3,-4.6,5.33,0.6,0.6,3613.6
01/15/2010,1.5,-1,0,0.6,0.6,3085.1
01/16/2010,-0.5,-3.3,0,0.6,0.6,2632.6
01/17/2010,-0.2,-4.6,0,0.7,0.6,4280.5
01/18/2010,2.4,-2.6,0,0.6,0.6,3773.3
01/19/2010,2.7,-4.5,0,0.6,0.6,5863.9
01/20/2010,-3.1,-9,0,0.6,0.4,6427.9
01/21/2010,-2.1,-7.7,0,0.4,0.3,8416.8
01/22/2010,0.6,-4.9,0,0.3,0.3,6464.3
01/23/2010,2.2,-1.6,0,0.3,0.3,3093.1
01/24/2010,6.8,1,8.38,1.7,0.3,1275.3
01/25/2010,1.3,-2.3,0,1.5,0.5,1429.6
01/26/2010,-1.2,-5.8,0,0.5,0.4,3397.2
01/27/2010,-4.7,-10.3,0,0.4,0.3,6410
01/28/2010,-6,-16.4,0,0.3,0.2,7695
01/29/2010,-4,-16.2,0,0.2,0.1,7366
01/30/2010,-2.9,-18.2,0.25,0.1,0,10493.9
01/31/2010,-3.2,-9.3,0,0,0,9771.5
02/01/2010,-2,-10.1,0,0,-0.1,5243.9
02/02/2010,-2.9,-6.8,0,0,-0.1,4604.6
02/03/2010,1.6,-10.1,0.51,0,-0.1,5158.3
02/04/2010,-0.6,-11.8,0,0,-0.1,5981.4
02/05/2010,0.4,-6.4,0,0,0,6545.6
02/06/2010,-2.9,-11.8,0,0,-0.1,12110.4
02/07/2010,-1.1,-14.8,0.51,-0.1,-0.4,9875.6
02/08/2010,0.9,-11.4,0,-0.2,-0.5,12007.6
02/09/2010,-2.9,-7.7,0,-0.2,-0.4,5035.5
02/10/2010,-1.3,-7.8,0.25,-0.2,-0.2,7847.6
02/11/2010,-1.4,-5.8,0.51,-0.2,-0.2,4324.4
02/12/2010,2.2,-9.1,0.76,-0.1,-0.2,8886
02/13/2010,0,-9.6,0.25,-0.2,-0.3,5957.7
02/14/2010,1.8,-5.1,0,-0.1,-0.2,5727.8
02/15/2010,-0.7,-6.1,0,-0.1,-0.2,6152.1
02/16/2010,2.8,-5.6,1.27,-0.1,-0.1,7830.3
02/17/2010,2.4,-4.2,0.51,-0.1,-0.1,6897.8
02/18/2010,5.3,-5,0,-0.1,-0.1,13788.5
02/19/2010,6.4,-7.1,0,-0.1,-0.2,14456
02/20/2010,5.6,-6.8,0,-0.1,-0.3,11459.3
02/21/2010,4,-1.6,0.25,-0.1,-0.1,7131.6
