date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
04/30/2019,7,4.4,5.6,3,4.57,4659.8,8.2,6.1,7.4,7.1
05/01/2019,11.6,2.7,10.6,2.6,11.43,6843.7,11.4,5.9,7.7,6.9
05/02/2019,8.4,1.7,8.3,1.7,3.81,4361,9.3,5.5,7.7,7.2
05/03/2019,12.7,2.1,8.2,2.1,0.25,19596,13.6,4.5,8.2,7.1
05/04/2019,16.7,1.1,6.7,0.6,0,28340.2,17.6,3.8,9.3,7.4
05/05/2019,20,3.3,10.1,1.5,0,27760.8,19.7,5.4,10.2,8.4
05/06/2019,12.4,5.6,10.3,4.7,3.81,10241.2,13.9,8.7,10.2,9.5
05/07/2019,12.8,3.8,5.7,-3,0,19187.2,14.7,6.7,9.9,9.1
05/08/2019,14.2,4,3.9,-4.2,0,9017.2,10,5.1,9.7,8.6
05/09/2019,16.8,4.8,15.9,2.1,24.38,6619,13.4,8.3,9.6,8.7
05/10/2019,11.2,2.5,4.8,-0.6,0,23840,13.6,6.4,9.6,8.9
05/11/2019,12.7,-0.3,5,-3.1,0,12396.6,13.1,4,9.6,8.5
05/12/2019,12.5,4.6,5.5,-1.4,0,13591.3,14.4,6.9,9.6,8.8
05/13/2019,13.9,3.9,6.4,0.1,0,22454,15.3,7.4,10.1,9.2
05/14/2019,18.1,0.9,6,-1.5,0,29610.7,20.3,4.8,10.8,8.9
05/15/2019,20.5,8,10.9,-1,0,26355.4,22,8.6,11.9,10.1
05/16/2019,19.4,7,15.8,4.8,0.25,12631.5,17.6,9.1,11.9,10.9
05/17/2019,14.9,8.2,12.7,2.8,0,23038.3,19.2,10.4,12.3,11.3
05/18/2019,23.3,8.7,18.1,2.5,1.52,10781,18.7,10.8,12.5,11.5
05/19/2019,21.5,6.2,18.5,6.2,8.64,12896.3,19.1,11.7,13.1,12.1
05/20/2019,11.7,4.2,7.6,2.1,0,17856.6,15.3,8.4,13.1,11.8
05/21/2019,17.8,1.3,7.3,1.3,0,20184.2,17.5,6.2,12.1,10.8
05/22/2019,25,8.7,15.4,1.8,4.32,19744.3,19.8,10.1,12.9,11.5
05/23/2019,19.9,10.6,17.5,7.9,23.11,27886.1,22.4,13.1,14.6,12.8
05/24/2019,17.2,6.9,14,6.7,0.51,7007.6,17.5,10.5,14.5,13.2
05/25/2019,23.2,15.5,19.8,13.8,5.33,21734.7,24,14.3,15.2,13.4
05/26/2019,20.5,9.8,14.5,7.7,0,24616.6,23.7,13,15.6,14.4
05/27/2019,13.8,0,12.3,0,0,0,15.8,0,15.6,0
05/28/2019,15.8,10.6,13.9,9.8,1.27,6492.2,17.8,14.5,15.5,14.6
05/29/2019,18.3,12.2,15.5,11,0,24356.6,22.8,13.7,15.7,14.3
05/30/2019,21.3,10.6,15.8,10.2,0,13268.3,20.8,13.3,15.7,14.8
05/31/2019,24.8,10,17.9,9.8,0,26005.5,25.8,12.2,16.4,14.6
06/01/2019,18.1,7.5,15.5,6.5,4.32,10474.5,19,13.1,16.4,15.4
06/02/2019,16.7,5.9,10.8,0.5,0,30810.6,22.6,10.7,15.7,14.3
06/03/2019,16.2,0.6,6.5,-2.7,0,28722.2,24.3,8.5,15.6,14
06/04/2019,20.7,5.7,15.2,-2.7,2.79,20215,21.1,11.3,15.6,14.3
06/05/2019,19.8,11.3,18.8,11,15.49,18938.7,22,15.6,16.6,15.4
06/06/2019,22.4,10.6,18.8,10.6,0,27503.5,26.5,13.5,17.5,15.6
06/07/2019,27.8,9.1,17,9,0,30531.2,29.5,13.1,18.1,16.1
06/08/2019,27.7,13.8,14.2,7.5,0,28219.4,29.3,14.2,18.6,16.8
06/09/2019,20.8,16.1,19,9.1,14.73,5641.6,20.2,16.6,18.6,17.4
06/10/2019,19,10.6,18.6,7.2,4.57,21315,23.1,15.1,17.8,16.9
06/11/2019,23.8,8,13.4,4.9,0,27626.3,27,12.5,18,16.2
06/12/2019,19,13.3,15.4,7.2,3.56,7349.2,19.8,15.9,18,17.1
06/13/2019,16.1,7.9,13.1,4.7,26.16,20089.7,19.1,13.4,17.3,16
06/14/2019,18,7.4,12.4,4,8.13,6873.2,15.7,11.6,16.4,15.3
06/15/2019,19.8,13.5,16.5,9.8,0,12767.9,21.7,14.1,16.2,15
06/16/2019,15.8,12.5,14,6.7,2.79,6251.6,17.9,15,16.2,15.7
06/17/2019,21.8,12.6,15.9,10,0,26642.4,25.4,14.6,17.1,15.4
06/18/2019,22.7,9.8,18.1,9.4,0,24523,24.7,14,17.8,16.2
06/19/2019,19.1,13.6,18.1,13.1,16.76,9882.5,20.9,16.6,17.8,17
06/20/2019,22.2,10.2,18.3,9.2,8.13,18885,23.3,16.2,17.9,17
06/21/2019,21.6,7.5,14.4,7.4,0,29696.2,26.2,13,18.2,16.6
06/22/2019,25.6,12.1,15.2,7.7,0,30575.8,29.1,14.7,18.9,17.2
06/23/2019,26.4,16.1,18.4,8.8,0,22466.2,28.6,16.4,19.4,17.8
06/24/2019,22.5,14.3,19.7,14.3,7.11,6773.4,22.1,18.3,19.4,18.8
06/25/2019,23.6,14.9,18.4,13.8,1.52,23631.9,28,16.8,19.6,18.1
06/26/2019,25.5,15.8,18.5,13.1,1.27,27139.1,28.9,16.9,20.3,18.6
06/27/2019,28.8,13.8,21.2,12.3,0,28859.3,31,17.4,21,19.1
06/28/2019,26.8,16.4,22.2,15.3,3.3,17323.1,27.3,19.4,21,20
06/29/2019,27.8,14,22.4,13.8,0,29869.4,31.4,17.5,21.6,19.7
06/30/2019,27.4,15.5,21.8,14.2,0,18324.5,27.6,18.9,21.5,20.4
07/01/2019,28.1,15.1,22.4,14.9,0,23141,29.9,18.2,21.7,20.3
07/02/2019,26.8,18.9,23.6,18.3,8.89,11867,27,20.8,21.8,20.9
07/03/2019,28.7,16.8,23.2,16.7,0.25,26541.6,30.8,19.5,22.4,20.8
07/04/2019,30,19.2,24.1,17.3,0,28330.6,32.4,20.7,23,21.4
07/05/2019,29.3,20.5,24.6,20.1,0,26322.8,33.4,22,23.8,22.1
07/06/2019,26.4,18.9,21.9,16.4,0,24659.4,30.9,21.3,23.7,22.5
