date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
01/01/1996,-0.5,-3.8,0.25,0.2,0.1,1275.9
01/02/1996,-3.8,-12.1,0,0.4,0.2,4136
01/03/1996,-8.3,-17.6,0,0.3,0,7639.6
01/04/1996,-6.2,-19.3,0,0.1,-0.3,3774.3
01/05/1996,-7.4,-19.7,0,0.2,-0.7,7469.5
01/06/1996,-6.2,-17.6,0,-0.3,-0.9,6490.4
01/07/1996,-8.4,-16.3,0,-0.2,-0.9,4958
01/08/1996,-4.4,-18.7,0,-0.3,-1,4731
01/09/1996,-2.9,-8.7,0,-0.2,-0.6,3030.2
01/10/1996,-6.5,-19.2,0,-0.1,-0.2,8383.6
01/11/1996,-8.3,-19.5,0,0,-0.3,3892.3
01/12/1996,-3.5,-16.4,0,0,-0.3,4637.6
01/13/1996,2.9,-3.8,2.29,0.1,-0.2,4056.7
01/14/1996,5.2,-5.9,0,0.1,-0.4,7606.9
01/15/1996,-5.6,-12.9,0,0.3,-0.3,8667.6
01/16/1996,6.1,-10.8,0,0,-1.1,2118.2
01/17/1996,7.6,4.1,3.81,0.4,-0.1,1024.8
01/18/1996,15,7,15.24,0.5,0,3300
01/19/1996,7.8,-11.7,0.76,0.3,0.1,5432.6
01/20/1996,-5.3,-14.5,0,0.6,0.2,8559.9
01/21/1996,-2.2,-9.5,0,0.4,0.2,7733.4
01/22/1996,6.2,-5.6,0,0.3,0.1,8549.2
01/23/1996,1.3,-1.6,3.56,0.4,0.1,1021.1
01/24/1996,3.8,-9,2.03,0.3,0.2,3304.3
01/25/1996,-3.9,-11.5,0,0.3,-0.1,4609.5
01/26/1996,3.2,-4.5,2.03,0.2,-0.1,5229.7
01/27/1996,5,-8.4,2.03,0.2,0.1,4756.9
01/28/1996,-3.7,-13.5,0,0.1,-0.2,6064.9
01/29/1996,-0.8,-11,0,0.1,-0.6,6639.3
01/30/1996,-10.4,-16.1,0,-0.6,-1.6,5728.5
01/31/1996,-12.5,-19.6,0,-1.3,-2.7,9002.2
02/01/1996,-11.5,-19,0,-1.6,-3.6,10252
02/02/1996,-15.8,-23.1,0,-2.9,-4.8,10741
02/03/1996,-16.5,-25.9,0,-3.6,-6.1,10898
02/04/1996,-13.9,-25.1,0,-3.8,-6.6,9403.7
02/05/1996,-8,-20.5,0,-3.4,-6.2,8795.8
02/06/1996,-3.6,-18.9,0,-2.2,-5.7,9964.1
02/07/1996,3.6,-3.8,0,-0.5,-2.6,1191
02/08/1996,5.4,-0.6,4.32,0,-0.5,1150.9
02/09/1996,5.2,-1.1,0,0.2,-0.1,9379.4
02/10/1996,10.9,0.6,0,0.3,0.1,8113.2
02/11/1996,1.1,-9,0,0.3,0.2,4352
02/12/1996,-6.2,-11.3,0,0.2,-0.6,6641.3
02/13/1996,-2.5,-14.6,0,-0.6,-2.3,6278.5
02/14/1996,-2.5,-6.9,0,-0.3,-0.6,7473.2
02/15/1996,-4.4,-12.9,0,-0.3,-0.7,5924
02/16/1996,-5.4,-21.5,0,-0.4,-1,10116
02/17/1996,-3.9,-12.9,0.25,-0.4,-0.8,7240.1
02/18/1996,-6.8,-22.3,0,-0.5,-1.3,13030
02/19/1996,4.8,-7.6,0.76,-0.2,-0.9,12577
02/20/1996,8.7,1.1,0.51,0,-0.2,4734.8
02/21/1996,4.8,-3.5,0.76,0.1,0,1152.5
02/22/1996,-0.2,-3.5,0,0.2,0.1,2557.3
02/23/1996,8.7,-0.7,0.76,0.2,0.1,1780.9
02/24/1996,8.8,1.2,0,0.3,0.2,14959
02/25/1996,13.6,-1.8,0,0.3,0.2,10820
02/26/1996,3.6,0.7,3.81,0.6,0.2,3406.2
02/27/1996,16.1,0.1,8.89,2.5,0.3,6435.1
02/28/1996,0.3,-10.4,0.25,0.8,0.2,8455.3
02/29/1996,-6,-12.9,0,0.3,0.3,10347
03/01/1996,0.6,-10.4,0,0.3,0.1,14315
03/02/1996,-1.1,-13.1,0,0.2,0.2,9483.2
03/03/1996,-8.4,-17.1,0,0.2,0.1,12974
03/04/1996,-1.7,-16.4,0,0.1,-0.3,11402
03/05/1996,-2.1,-6.5,0.76,0.1,0,3550.1
03/06/1996,-5.8,-13.2,0,0.1,0,7117.9
03/07/1996,-10.5,-18.1,0,0.1,-0.1,17859
03/08/1996,-10.9,-18.8,0,0,-0.3,15832
03/09/1996,-5.4,-20.9,0,0,-0.5,18370
03/10/1996,0.7,-18.1,1.52,0,-0.6,17487
03/11/1996,6.1,-7.8,0,0.1,-0.3,18161
03/12/1996,10.2,-1.4,0,0.3,0.1,16664
03/13/1996,13.4,-0.1,0,0.3,0.2,12691
03/14/1996,14.5,0.7,0,0.5,0.2,12392
03/15/1996,6.7,-4.1,0,0.9,0.2,11455
03/16/1996,5.3,-5.4,0,2.3,0.2,19447
03/17/1996,10.5,-6.9,0,2.6,0.3,18094
03/18/1996,7.3,-1,0,4.3,0.5,16905
03/19/1996,3.3,-2.2,0,2.1,0.6,7935.2
03/20/1996,1.3,-3.8,0.25,1.3,0.5,6076.6
03/21/1996,-1.5,-6.4,0,0.7,0.5,12653
03/22/1996,2.2,-6.6,0,0.6,0.5,11796
03/23/1996,8.1,-6.7,0,1.4,0.4,20592
03/24/1996,13.8,-1.3,0,5.8,0.7,13594
03/25/1996,13.6,-6.3,0.76,6,2.6,4864.7
03/26/1996,-5.8,-14.7,0,2.7,1.1,15299
03/27/1996,1,-15.9,0,1.5,0.4,21451
03/28/1996,6.3,-6.4,0,3.6,0.7,13420
03/29/1996,9.5,-3.8,0,6.8,1.2,21218
03/30/1996,13.4,-3.9,0,7.9,1.6,20615
03/31/1996,5.8,-1,2.79,5.1,4.1,4750.4
04/01/1996,6.9,-4.2,0,6.2,2.1,21659
04/02/1996,9.3,-3.3,0,5.8,2.2,11832
04/03/1996,14.8,-1,0,8.8,2.6,19056
04/04/1996,2.2,-5.2,2.79,6.2,3.1,2324.9
04/05/1996,3.6,-7.5,0.25,6.7,2,22984
