date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
04/06/2006,18.7,4.1,0,11,7.5,15758
04/07/2006,12.3,2.1,17.02,10.1,8.5,2161.5
04/08/2006,4.6,-2.7,0,10.3,5.8,24159
04/09/2006,7.6,-5.1,0,10.9,5.4,22986
04/10/2006,18.7,0.1,0,12.5,6.7,23289
04/11/2006,24.5,8.2,0,12.6,8.5,16534
04/12/2006,18.5,8.6,2.54,13.6,11.4,11859
04/13/2006,20.5,7,0,13.3,10.5,14006
04/14/2006,26.1,11.7,0.51,15.1,12.8,8744.9
04/15/2006,17.9,5.3,0,15.9,11,24471
04/16/2006,20.9,5.7,4.32,14.8,11.7,13863
04/17/2006,19.1,4.7,0,15.7,10.4,25279
04/18/2006,21.6,3.7,0,15.9,10.7,25175
04/19/2006,23,8.7,0,16.4,11.6,23224
04/20/2006,22.1,8.6,0,15.2,12.5,12080
04/21/2006,19.5,4.7,0,15.9,11.3,22461
04/22/2006,16.4,3.7,0,16.1,11.5,20733
04/23/2006,10.4,4.7,0.25,13.9,11.6,7087.1
04/24/2006,16.9,4.2,0,15.5,11,22263
04/25/2006,15.9,2.3,1.02,14,11.6,15344
04/26/2006,13.3,-3.8,0,14.5,9,26437
04/27/2006,11.5,3.5,0,15.4,10.6,25649
04/28/2006,20.8,2,0,16.3,10.4,25911
04/29/2006,19.4,7.6,2.29,13.9,11.8,10939
04/30/2006,15.7,9.8,6.35,13,11.5,4051.9
05/01/2006,18.5,11.7,1.27,15.5,12.2,15214
05/02/2006,14.1,6.6,8.38,14.6,13.2,6210.9
05/03/2006,22.8,3.9,0.25,16.9,11.3,20127
05/04/2006,18.5,8,0,18.2,13.5,24655
05/05/2006,12.6,7.6,0,18,13.6,22747
05/06/2006,10.9,1.4,0,17.8,12.8,26840
05/07/2006,19.5,0.5,0,18.1,12.2,26570
05/08/2006,23.2,4.6,0,18.4,12.7,26219
05/09/2006,24.6,11.3,0,18.2,14.1,19684
05/10/2006,19.2,12.2,2.54,18.1,15.6,13255
05/11/2006,14.6,3.6,41.15,16.5,11.2,4088.6
05/12/2006,6.4,3.1,13.21,12,10.8,5003.2
05/13/2006,9.6,5.8,4.57,12.4,10.5,6726.5
05/14/2006,10.9,6.4,2.03,13.9,11.1,12183
05/15/2006,17.3,8.1,3.3,14.2,12.1,9697.1
05/16/2006,10.1,7,1.27,14.6,12.1,9080.8
05/17/2006,14.2,6.5,5.84,15.8,11.8,15685
05/18/2006,11.4,6.5,1.27,17.6,12.1,23575
05/19/2006,11.9,5.6,0.25,17.7,12.5,25927
05/20/2006,19.4,2.5,0,18.7,12.3,27777
05/21/2006,12,2.5,2.54,18.8,13.6,28150
05/22/2006,12.1,0.8,0,18.6,12.7,28660
05/23/2006,21.5,-0.3,0,18.9,12.5,28585
05/24/2006,25,5.9,0.25,17.4,13.8,16761
05/25/2006,23.5,14.8,2.03,18.8,15.7,12801
05/26/2006,17.3,9.3,2.03,18.9,16.3,14645
05/27/2006,28.2,8.5,0,21.5,15.2,25932
05/28/2006,31.8,18.5,0,24,18.2,27096
05/29/2006,32.5,20,0,25,19.8,25752
05/30/2006,31.1,18.4,1.27,25.2,20.6,23219
05/31/2006,20.3,14.2,0,23,20.8,15815
06/01/2006,22.6,13.5,0,21.9,19.6,15167
06/02/2006,23.1,10.4,0,23,18.4,25626
06/03/2006,19.5,8.6,0,23,17.9,28138
06/04/2006,20.8,7.4,0,22.9,17.3,28467
06/05/2006,25.4,5.1,0,23,17,29011
06/06/2006,27.5,7.9,0,21.9,17.3,20612
06/07/2006,19.6,14.2,7.87,20.9,18.5,18294
06/08/2006,20.7,13.2,0,22.6,18.4,26271
06/09/2006,17,10.7,0,22.1,18.4,22296
06/10/2006,18.9,10.2,0.25,21.3,18,23023
06/11/2006,20.2,9.5,0,21.6,17.2,26045
06/12/2006,19.1,5.8,0,21.9,16.9,28758
06/13/2006,17.4,6.1,0,22,16.8,28665
06/14/2006,22.6,6.2,0,21.7,16.9,23457
06/15/2006,28.7,9.4,0,22.9,17.6,22268
06/16/2006,30.2,20.9,0,23.8,19.7,20211
06/17/2006,34,21.9,0,26.1,20.4,26250
06/18/2006,25.6,18.4,1.78,24.2,22,11221
06/19/2006,25.9,14.3,0,25.4,20.4,27794
06/20/2006,25,13.1,0,24.5,19.8,23275
06/21/2006,29.4,17.4,0,23.8,20.9,12924
06/22/2006,23.2,16,1.52,23,20.9,14661
06/23/2006,23.4,10.5,0,24.4,19.3,26087
06/24/2006,23.4,7.8,0,24.6,18.2,27819
06/25/2006,26.1,11.2,0,22.9,19.5,15908
06/26/2006,23,15.9,0,24.5,19.7,22320
06/27/2006,23.8,14.5,0.25,25.5,20.4,26838
06/28/2006,22.7,14.5,0,24.8,20.5,23048
06/29/2006,22,12,0,25.7,19.9,27901
06/30/2006,27.3,9.3,0,25.8,19,26321
07/01/2006,31.1,15.1,0,25,20.8,19152
07/02/2006,25.9,17.7,1.02,24,22.3,11261
07/03/2006,26.7,15.8,2.54,22.6,20,8068.2
07/04/2006,23.5,16.4,0.25,25.5,21.1,26942
07/05/2006,22,10.3,0,25.2,19.6,28568
07/06/2006,24.6,9,0,25.1,19.4,26922
07/07/2006,25.8,9.8,0,25.5,19.5,26460
07/08/2006,27.6,12.3,0,26.1,20.1,27106
07/09/2006,29,21.7,0,27,22.4,24050
