date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
10/23/2014,15.8,-1.3,0,,,13249.8
10/24/2014,16.2,6.2,0,,,8605.4
10/25/2014,18.6,6.4,0,,,12562.1
10/26/2014,14.9,1.3,0,,,13843.8
10/27/2014,24.8,1.7,0,,,9459
10/28/2014,21.6,9.2,6.86,,,10744.2
10/29/2014,9.4,1.7,1.27,11.8,9.8,3016
10/30/2014,10.2,1.9,0,10.6,9.5,3696.4
10/31/2014,6.9,-0.4,4.32,10,7.6,3103
11/01/2014,5.9,-5,0,8,5.9,12827.6
11/02/2014,11.3,-5.9,0,7.8,4.8,12175.5
11/03/2014,16.1,5.9,0,8.7,6.7,8317.8
11/04/2014,15.8,5.7,4.57,9.7,8.4,705.7
11/05/2014,11,3.2,0.51,9.2,7.5,9631.7
11/06/2014,8.7,2.4,2.29,9,7.6,1585.9
11/07/2014,6.5,-0.2,0,8.1,6.9,5662.4
11/08/2014,6.4,-0.5,2.29,7.6,6.8,2328.6
11/09/2014,8,-1,0.25,7.2,6.1,4270.9
11/10/2014,14.2,3.6,0,8.4,6.9,5581.7
11/11/2014,11.8,0.6,5.84,8.4,6.9,1083.3
11/12/2014,0.7,-1.5,0,6.9,5.3,2503.2
11/13/2014,-0.5,-5.9,0,5.4,5,1356
11/14/2014,-0.2,-6.7,0,5.3,5.2,1338.8
11/15/2014,-1.2,-4,0,5.2,4.7,796.5
11/16/2014,-0.8,-4.2,0,4.8,4.7,622.1
11/17/2014,-1.5,-9.4,0,4.8,4.6,885.4
11/18/2014,-6,-9.3,0,4.6,4.4,1681.5
11/19/2014,-3,-9.6,0,4.4,4.2,716.5
11/20/2014,-3.2,-8.7,0,4.2,3.8,2079
11/21/2014,-0.3,-12.3,0,3.9,3.8,5107.2
11/22/2014,8,-4.6,8.89,3.9,3.7,1279.4
11/23/2014,10.4,5.2,30.23,6.6,3.7,1834.2
11/24/2014,10,-1.5,21.59,7.4,4.9,1012.3
11/25/2014,-0.1,-2.2,0.25,4.9,4.4,2474
11/26/2014,-0.8,-2.6,0,4.5,4.1,2596.9
11/27/2014,0,-8.2,0.51,4.1,3.3,3360.2
11/28/2014,-1.8,-8.4,0,3.3,2.9,3357.5
11/29/2014,10.3,-2.4,1.02,4.7,2.9,6687.8
11/30/2014,11.6,-0.4,0.25,6.5,4.7,974.2
12/01/2014,-0.3,-9.7,0,5.2,2,6704
12/02/2014,3,-10.3,0,2,1.3,7291.6
12/03/2014,1.6,-3.1,0.25,1.9,1.4,6679.3
12/04/2014,-0.1,-7.6,0,1.5,1.1,5782.6
12/05/2014,3.1,-2,0,2.3,1.3,2457
12/06/2014,5.3,-3,0,3.2,2,6771
12/07/2014,2,-5.4,0,2,1.2,5778.8
12/08/2014,2.9,-1.6,3.3,1.9,1.3,2112.7
12/09/2014,3.5,-0.4,0.51,2.9,1.9,2300.7
12/10/2014,1.6,-5.2,0,2.8,1.7,6252.4
12/11/2014,3.3,-5.5,0,1.7,1.1,8151
12/12/2014,1.8,-2.7,0,1.7,1.1,1190.5
12/13/2014,5.9,1.5,0.25,3.4,1.7,1380.2
12/14/2014,8.7,5.6,0,5,3.4,1008.3
12/15/2014,10.1,6.7,0.25,6.1,5,2693.9
12/16/2014,7.2,0.3,3.56,6,5,886.3
12/17/2014,0.3,-2.9,0,5,2.7,1305.4
12/18/2014,0.4,-2.2,0.25,3.1,2.6,1550
12/19/2014,1.8,-6.5,0,2.8,1.7,8116.5
12/20/2014,-0.1,-7.9,0,1.7,1.1,3462.8
12/21/2014,1.7,-1.6,0,1.9,1.2,2197.1
12/22/2014,2.6,-2.9,6.1,1.9,1.3,2702.5
12/23/2014,10.2,1.6,3.56,3.9,1.9,2762.8
12/24/2014,4.6,0.8,19.81,3.9,3.2,1039.9
12/25/2014,2.8,-0.2,0.51,3.2,2.5,1187
12/26/2014,8.9,1.2,0,4,2.3,7311.1
12/27/2014,9,1.3,0.51,4.8,3.5,713.1
12/28/2014,2.5,-2.6,0,3.9,2.6,5939.6
12/29/2014,-1.2,-7.8,0,2.6,1.3,7936.2
12/30/2014,-6.6,-9.3,0,1.3,0.6,3259
12/31/2014,-5.4,-10.7,0,0.6,0.3,3700.9
01/01/2015,-0.5,-5.5,0,0.3,0.2,2474.4
01/02/2015,0.4,-5.7,0,0.3,0.3,5498
01/03/2015,0.3,-3.6,10.67,0.3,0.3,980.1
01/04/2015,0.2,-12.6,0.76,0.4,0.3,1597.5
01/05/2015,-12.3,-15.2,0,0.5,0.4,5132.3
01/06/2015,-8.4,-15.1,0,0.4,0.4,2250.3
01/07/2015,-10.7,-16.5,0,0.4,0.4,8155.6
01/08/2015,-8.4,-17.3,0,0.4,0.3,4666
01/09/2015,-8.7,-14.8,0,0.4,0.3,5158.1
01/10/2015,-8.3,-13.6,0,0.4,0.4,5020.3
01/11/2015,0.8,-8.8,0.76,0.4,0.4,7109.1
01/12/2015,-2.2,-14.4,0,0.5,0.4,7847.7
01/13/2015,-6.7,-19.7,0,0.5,0.5,9571.8
01/14/2015,-6.1,-21.4,0,0.5,0.4,4838.1
01/15/2015,1.2,-9.8,0,0.5,0.4,4217.8
01/16/2015,0.8,-6.9,0,0.5,0.5,2511.4
01/17/2015,7.1,-8,2.03,0.5,0.5,4263.2
01/18/2015,2.9,-0.2,0.76,0.7,0.5,3008.2
01/19/2015,1.4,-1.7,0,0.9,0.6,2942
01/20/2015,-0.1,-3.5,0.51,1.1,0.9,2858.7
01/21/2015,-1.5,-4.2,0.25,1.3,1.1,2503.8
01/22/2015,0.2,-5.2,0,1.4,1.3,3315.7
