date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,srad
01/11/2001,4.4,-4.5,0,3.3,0.1,6969.5
01/12/2001,3,-2.1,0,3.4,0.3,3356.1
01/13/2001,1.2,0.2,0,2.3,1.3,1449.9
01/14/2001,1.9,-0.4,1.52,2.5,0.6,1733.6
01/15/2001,2,0.7,3.56,2.4,1.6,1099
01/16/2001,1.3,-1.3,0.76,2.1,0.7,1776.1
01/17/2001,-0.6,-2.6,0.25,0.7,0.3,2570.9
01/18/2001,-0.4,-4.6,0,0.3,0.2,2750
01/19/2001,-0.2,-11.8,0,0.2,0,7966.9
01/20/2001,-4,-17,0,0.1,-0.7,6668.6
01/21/2001,-2.8,-6.7,0,-0.5,-1.4,5379.6
01/22/2001,-0.7,-4.7,0,-0.4,-1.2,6461.4
01/23/2001,1.4,-3.8,0,-0.4,-0.9,2674.8
01/24/2001,1.1,-5.3,0,-0.4,-0.7,5743.9
01/25/2001,-1.6,-6.7,0,-0.4,-1.3,8175.7
01/26/2001,-1,-7.8,0,-0.7,-2.7,4185.5
01/27/2001,-2.6,-6.5,0,-0.6,-1.4,5412.7
01/28/2001,-1.7,-5.4,0.76,-0.7,-1.5,3653.8
01/29/2001,3,-6,8.13,-0.4,-0.6,1971.4
01/30/2001,4.4,-1.2,4.06,-0.3,-0.4,3878.4
01/31/2001,2.2,0.1,3.3,-0.2,-0.3,1966.9
02/01/2001,1.3,-8.9,0,-0.1,-0.2,8459.8
02/02/2001,-7.3,-10.9,0,-0.2,-0.2,5016.9
02/03/2001,-4.5,-11.5,0,-0.2,-0.2,4209.4
02/04/2001,2.1,-4.7,0.76,-0.2,-0.2,2680.5
02/05/2001,0.2,-2,0.25,-0.2,-0.2,2778.2
02/06/2001,-0.6,-3.2,0.25,-0.2,-0.2,3606.5
02/07/2001,4.2,-5,1.02,-0.2,-0.2,7786.6
02/08/2001,8.9,-1.5,15.75,-0.1,-0.2,2403.9
02/09/2001,11.1,-5.1,23.62,3,-0.2,1247.7
02/10/2001,-5,-8.7,0,0.7,0.1,6469.9
02/11/2001,-3.3,-12.3,0,0.1,-0.1,12928
02/12/2001,2.4,-7.5,0,-0.1,-0.4,13268
02/13/2001,1.5,-0.7,0,-0.2,-0.2,2632.8
02/14/2001,1.5,-4.4,3.05,0.1,-0.2,1743.4
02/15/2001,0.3,-7.1,1.52,0.2,0.1,7755.3
02/16/2001,-1,-7,0,0.2,0.1,3461.8
02/17/2001,-6.8,-13.7,0,0.1,0,8135.8
02/18/2001,-2.4,-8.6,0,0.1,0,10090
02/19/2001,2.5,-5.4,0.51,0,0,3885.4
02/20/2001,1.3,-6.4,0,1.5,0,13663
02/21/2001,-5.8,-13.1,0,0.1,-0.2,13562
02/22/2001,-1.8,-13.7,0,-0.2,-1.3,4442.2
02/23/2001,-0.2,-6.4,0,-0.3,-1.3,14236
02/24/2001,5,-4.6,22.1,-0.3,-0.4,1772.8
02/25/2001,12.2,-0.7,0.76,-0.2,-0.3,2060.2
02/26/2001,1.4,-2.1,0,0.9,-0.2,8978.2
02/27/2001,-1.4,-8,0,2.7,-0.2,15397
02/28/2001,-2.8,-10.1,0,0.2,-0.2,12606
03/01/2001,2.4,-3.6,0,-0.1,-0.2,12308
03/02/2001,3,-3.1,0,1.4,-0.2,5732.4
03/03/2001,7.7,-4.2,0,7.5,0,16829
03/04/2001,5.3,-5,0,7.5,0.6,17153
03/05/2001,-1.8,-8.2,0.25,1.7,0.2,10417
03/06/2001,0.4,-4,0.25,0.3,0.1,7475.1
03/07/2001,3.5,-2.4,0,6.1,0,16695
03/08/2001,1.2,-3.6,1.78,1.4,0.4,8871.6
03/09/2001,1.1,-5.8,0.25,2.6,0.2,9833.9
03/10/2001,6,-6.7,1.52,4,0,13526
03/11/2001,2.8,-4.8,2.29,6.9,0.7,13913
03/12/2001,6.6,-3.6,4.06,3.4,0.7,3708.4
03/13/2001,3.5,-0.4,0.25,3.4,1.2,4142.1
03/14/2001,5.7,0.3,0,7.1,0.7,13684
03/15/2001,4,0.6,5.59,5,2.9,4459.5
03/16/2001,3.4,-0.9,0,4,1.3,8200.3
03/17/2001,6.3,-3.3,0,6.6,0.8,14299
03/18/2001,8.8,-7.6,0,9.4,0.6,21577
03/19/2001,9.9,-6.8,0,8.8,1.1,17952
03/20/2001,13.8,-2,0,11.8,1.9,20304
03/21/2001,15.3,-3.1,0,12.4,2.7,20301
03/22/2001,11.8,-4.1,0,13.1,2.7,21174
03/23/2001,8.6,-1.6,0,12.7,4.4,20715
03/24/2001,2.2,-4.8,0,7.2,1.9,8529.9
03/25/2001,-3.8,-13.4,0,1.9,1.1,11087
03/26/2001,-0.9,-15.7,1.02,1.2,0.8,3611
03/27/2001,4.6,-9.2,3.56,0.9,0.5,14832
03/28/2001,6,-7.4,0,5.8,0.2,18005
03/29/2001,9.1,0.8,0,9.8,2.2,12191
03/30/2001,9.7,0.9,0,8.8,3.3,11321
03/31/2001,11.6,-2.2,1.27,11,2.3,14477
04/01/2001,5.1,-2.8,2.54,6.5,3.1,5187.1
04/02/2001,11.2,-4.5,0.51,11.2,1.5,19460
04/03/2001,12.7,1.5,0,11.9,4.7,19936
04/04/2001,14.8,-2.6,0,13.8,3.4,22534
04/05/2001,16.6,1.6,0.51,12.5,5,13726
04/06/2001,15.6,7,12.19,16,9.3,13585
