station,lat,lon,elev
aetna,43.5544,-85.9605,285
allegan,42.4866,-85.8122,212
alpine,43.0733,-85.7228,281
arlene,44.3966,-85.2935,403
belding,43.1125,-85.3122,257
benona,43.6304,-86.4931,256
benzonia,44.5593,-86.1172,253
berriensprings,41.9352,-86.3797,228
cassopolis,41.953,-85.9902,290
charlevoix,45.2547,-85.3196,240
charlotte,42.6509,-84.916,285
clarksville,42.8733,-85.2604,273
conklin,43.1187,-85.8284,250
constantine,41.8243,-85.6591,254
deerfield,41.8626,-83.7979,208
eastleland,45.0301,-85.6743,257
eastport,45.1081,-85.3247,228
elbridge,43.6793,-86.1893,276
elkrapids,44.8448,-85.4062,198
emmett,42.9915,-82.76,240
entrican,43.3541,-85.1791,290
fennville,42.5951,-86.1561,214
freeland,43.5631,-84.0233,182
fremont,43.4225,-85.9551,233
gaylord,45.0315,-84.8481,434
grant,43.3232,-85.8484,241
hart,43.7366,-86.3594,233
haslett,42.7703,-84.3297,281
hastings,42.535,-85.3019,283
hawks,45.2994,-83.8528,252
ithaca,43.3154,-84.4884,218
kalamazoo,42.3546,-85.5855,268
kalkaska,44.6555,-85.0743,351
kentcity,43.2463,-85.7718,290
kewadin,44.9526,-85.3347,238
linwood,43.7199,-84.0275,188
ludington,43.9043,-86.3798,200
mcbain,44.1861,-85.1251,360
mears,43.6834,-86.4107,229
mecosta,43.5653,-85.2449,305
mountpleasant,43.5759,-84.7737,242
msuhort,42.6734,-84.487,264
msuhtrc,42.711,-84.476,257
ncmc,45.3558,-84.9371,233
newera,43.5609,-86.3777,269
northport,45.1359,-85.651,236
nwmhrs,44.8831,-85.6777,247
oldmission,44.932,-85.4996,219
onekama,44.4165,-86.2131,247
southhaven,42.3579,-86.2894,189
standale,42.9557,-85.7521,226
westolive,42.9715,-86.0765,194
williamsburg20,44.8153,-85.4445,213
wmich,42.256,-85.6395,284
