number,time,t.F
1,2019-06-28 3:00,58.993
2,2019-06-28 15:00,59.164
3,2019-06-29 3:00,59.508
4,2019-06-29 15:00,59.508
5,2019-06-30 3:00,60.024
6,2019-06-30 15:00,60.195
7,2019-07-01 3:00,60.539
8,2019-07-01 15:00,60.539
9,2019-07-02 3:00,61.054
10,2019-07-02 15:00,61.054
11,2019-07-03 3:00,61.569
12,2019-07-03 15:00,61.741
13,2019-07-04 3:00,62.083
14,2019-07-04 15:00,62.083
15,2019-07-05 3:00,62.598
16,2019-07-05 15:00,62.769
17,2019-07-06 3:00,63.111
18,2019-07-06 15:00,63.282
19,2019-07-07 3:00,63.455
20,2019-07-07 15:00,63.282
21,2019-07-08 3:00,63.111
22,2019-07-08 15:00,62.598
23,2019-07-09 3:00,62.425
24,2019-07-09 15:00,62.083
25,2019-07-10 3:00,62.083
26,2019-07-10 15:00,62.083
27,2019-07-11 3:00,62.425
28,2019-07-11 15:00,62.425
29,2019-07-12 3:00,62.425
30,2019-07-12 15:00,61.912
31,2019-07-13 3:00,61.741
32,2019-07-13 15:00,61.569
33,2019-07-14 3:00,61.741
34,2019-07-14 15:00,61.569
35,2019-07-15 3:00,61.569
36,2019-07-15 15:00,61.398
37,2019-07-16 3:00,61.741
38,2019-07-16 15:00,61.912
39,2019-07-17 3:00,62.254
40,2019-07-17 15:00,62.254
41,2019-07-18 3:00,62.598
42,2019-07-18 15:00,62.598
43,2019-07-19 3:00,62.769
44,2019-07-19 15:00,62.769
45,2019-07-20 3:00,63.111
46,2019-07-20 15:00,63.455
47,2019-07-21 3:00,63.797
48,2019-07-21 15:00,63.455
49,2019-07-22 3:00,63.626
50,2019-07-22 15:00,63.282
51,2019-07-23 3:00,63.111
52,2019-07-23 15:00,62.425
53,2019-07-24 3:00,62.254
54,2019-07-24 15:00,61.741
55,2019-07-25 3:00,61.569
56,2019-07-25 15:00,61.398
57,2019-07-26 3:00,61.569
58,2019-07-26 15:00,61.569
59,2019-07-27 3:00,61.741
60,2019-07-27 15:00,61.912
61,2019-07-28 3:00,62.254
62,2019-07-28 15:00,62.425
63,2019-07-29 3:00,62.94
64,2019-07-29 15:00,63.111
65,2019-07-30 3:00,63.282
66,2019-07-30 15:00,63.111
67,2019-07-31 3:00,63.111
68,2019-07-31 15:00,62.425
69,2019-08-01 3:00,62.254
70,2019-08-01 15:00,61.912
71,2019-08-02 3:00,61.912
72,2019-08-02 15:00,61.569
73,2019-08-03 3:00,61.741
74,2019-08-03 15:00,61.569
75,2019-08-04 3:00,61.912
76,2019-08-04 15:00,61.912
77,2019-08-05 3:00,62.254
78,2019-08-05 15:00,62.083
79,2019-08-06 3:00,62.769
80,2019-08-06 15:00,62.598
81,2019-08-07 3:00,62.769
82,2019-08-07 15:00,62.598
83,2019-08-08 3:00,62.769
84,2019-08-08 15:00,62.94
85,2019-08-09 3:00,62.94
86,2019-08-09 15:00,62.598
87,2019-08-10 3:00,62.425
88,2019-08-10 15:00,61.912
89,2019-08-11 3:00,62.083
90,2019-08-11 15:00,61.741
91,2019-08-12 3:00,61.741
92,2019-08-12 15:00,61.912
93,2019-08-13 3:00,62.254
94,2019-08-13 15:00,62.425
95,2019-08-14 3:00,62.598
96,2019-08-14 15:00,62.425
97,2019-08-15 3:00,62.425
98,2019-08-15 15:00,62.083
99,2019-08-16 3:00,62.083
100,2019-08-16 15:00,61.569
101,2019-08-17 3:00,62.254
102,2019-08-17 15:00,61.912
103,2019-08-18 3:00,62.083
104,2019-08-18 15:00,62.254
105,2019-08-19 3:00,62.425
106,2019-08-19 15:00,62.425
107,2019-08-20 3:00,62.769
108,2019-08-20 15:00,62.598
109,2019-08-21 3:00,62.769
110,2019-08-21 15:00,62.94
111,2019-08-22 3:00,63.282
112,2019-08-22 15:00,62.94
113,2019-08-23 3:00,62.769
114,2019-08-23 15:00,62.083
115,2019-08-24 3:00,61.912
116,2019-08-24 15:00,61.398
117,2019-08-25 3:00,61.398
118,2019-08-25 15:00,61.054
119,2019-08-26 3:00,61.054
120,2019-08-26 15:00,61.054
121,2019-08-27 3:00,61.227
122,2019-08-27 15:00,61.398
123,2019-08-28 3:00,61.912
124,2019-08-28 15:00,61.741
125,2019-08-29 3:00,61.569
126,2019-08-29 15:00,61.054
127,2019-08-30 3:00,61.054
128,2019-08-30 15:00,60.883
129,2019-08-31 3:00,60.883
130,2019-08-31 15:00,60.368
131,2019-09-01 3:00,60.368
132,2019-09-01 15:00,60.195
133,2019-09-02 3:00,60.195
134,2019-09-02 15:00,60.195
135,2019-09-03 3:00,60.368
136,2019-09-03 15:00,60.368
137,2019-09-04 3:00,60.712
138,2019-09-04 15:00,60.712
139,2019-09-05 3:00,60.712
140,2019-09-05 15:00,60.024
141,2019-09-06 3:00,59.851
142,2019-09-06 15:00,59.68
143,2019-09-07 3:00,59.851
144,2019-09-07 15:00,59.68
145,2019-09-08 3:00,59.68
146,2019-09-08 15:00,59.508
147,2019-09-09 3:00,59.337
148,2019-09-09 15:00,59.164
149,2019-09-10 3:00,58.993
150,2019-09-10 15:00,58.993
151,2019-09-11 3:00,59.508
152,2019-09-11 15:00,59.851
153,2019-09-12 3:00,61.398
154,2019-09-12 15:00,61.398
155,2019-09-13 3:00,61.227
156,2019-09-13 15:00,61.398
157,2019-09-14 3:00,61.741
158,2019-09-14 15:00,61.398
159,2019-09-15 3:00,61.227
160,2019-09-15 15:00,61.054
161,2019-09-16 3:00,61.054
162,2019-09-16 15:00,61.227
163,2019-09-17 3:00,61.569
164,2019-09-17 15:00,61.569
165,2019-09-18 3:00,61.741
166,2019-09-18 15:00,61.398
167,2019-09-19 3:00,61.741
168,2019-09-19 15:00,61.569
169,2019-09-20 3:00,61.741
170,2019-09-20 15:00,61.741
171,2019-09-21 3:00,62.083
172,2019-09-21 15:00,62.083
173,2019-09-22 3:00,62.425
174,2019-09-22 15:00,62.598
175,2019-09-23 3:00,62.94
176,2019-09-23 15:00,62.769
177,2019-09-24 3:00,62.598
178,2019-09-24 15:00,62.083
179,2019-09-25 3:00,61.912
180,2019-09-25 15:00,61.741
181,2019-09-26 3:00,61.912
182,2019-09-26 15:00,61.569
183,2019-09-27 3:00,61.227
184,2019-09-27 15:00,60.712
185,2019-09-28 3:00,60.368
186,2019-09-28 15:00,60.368
187,2019-09-29 3:00,60.368
188,2019-09-29 15:00,59.851
189,2019-09-30 3:00,59.337
190,2019-09-30 15:00,58.993
191,2019-10-01 3:00,59.337
192,2019-10-01 15:00,59.851
193,2019-10-02 3:00,61.741
194,2019-10-02 15:00,61.741
195,2019-10-03 3:00,61.227
196,2019-10-03 15:00,60.368
197,2019-10-04 3:00,60.024
198,2019-10-04 15:00,59.337
199,2019-10-05 3:00,58.82
200,2019-10-05 15:00,58.131
201,2019-10-06 3:00,57.785
202,2019-10-06 15:00,57.614
203,2019-10-07 3:00,57.614
204,2019-10-07 15:00,57.441
205,2019-10-08 3:00,57.441
206,2019-10-08 15:00,56.923
207,2019-10-09 3:00,56.75
208,2019-10-09 15:00,56.404
209,2019-10-10 3:00,56.404
210,2019-10-10 15:00,56.404
211,2019-10-11 3:00,56.577
212,2019-10-11 15:00,56.923
213,2019-10-12 3:00,57.268
214,2019-10-12 15:00,56.577
215,2019-10-13 3:00,55.711
216,2019-10-13 15:00,55.017
217,2019-10-14 3:00,54.322
218,2019-10-14 15:00,53.623
219,2019-10-15 3:00,53.1
220,2019-10-15 15:00,52.576
221,2019-10-16 3:00,52.225
222,2019-10-16 15:00,52.225
223,2019-10-17 3:00,52.401
224,2019-10-17 15:00,52.05
225,2019-10-18 3:00,52.05
226,2019-10-18 15:00,51.699
227,2019-10-19 3:00,51.523
228,2019-10-19 15:00,51.346
229,2019-10-20 3:00,51.523
230,2019-10-20 15:00,51.699
231,2019-10-21 3:00,52.05
232,2019-10-21 15:00,52.225
233,2019-10-22 3:00,52.401
234,2019-10-22 15:00,52.576
235,2019-10-23 3:00,52.225
236,2019-10-23 15:00,51.874
237,2019-10-24 3:00,51.699
238,2019-10-24 15:00,51.346
239,2019-10-25 3:00,50.995
240,2019-10-25 15:00,50.466
241,2019-10-26 3:00,50.29
242,2019-10-26 15:00,49.582
243,2019-10-27 3:00,49.05
244,2019-10-27 15:00,49.05
245,2019-10-28 3:00,49.228
246,2019-10-28 15:00,49.05
247,2019-10-29 3:00,49.228
248,2019-10-29 15:00,49.228
249,2019-10-30 3:00,49.05
250,2019-10-30 15:00,48.871
251,2019-10-31 3:00,48.517
252,2019-10-31 15:00,48.16
253,2019-11-01 3:00,47.266
254,2019-11-01 15:00,46.728
255,2019-11-02 3:00,46.548
256,2019-11-02 15:00,46.188
257,2019-11-03 3:00,46.008
258,2019-11-03 15:00,45.648
259,2019-11-04 3:00,45.648
260,2019-11-04 15:00,45.648
261,2019-11-05 3:00,45.828
262,2019-11-05 15:00,45.648
263,2019-11-06 3:00,45.466
264,2019-11-06 15:00,44.922
265,2019-11-07 3:00,44.379
266,2019-11-07 15:00,44.013
267,2019-11-08 3:00,43.831
268,2019-11-08 15:00,43.648
269,2019-11-09 3:00,43.466
270,2019-11-09 15:00,43.466
271,2019-11-10 3:00,43.282
272,2019-11-10 15:00,43.099
273,2019-11-11 3:00,42.915
274,2019-11-11 15:00,42.732
275,2019-11-12 3:00,42.548
276,2019-11-12 15:00,42.179
277,2019-11-13 3:00,41.994
278,2019-11-13 15:00,41.81
279,2019-11-14 3:00,41.625
280,2019-11-14 15:00,41.439
281,2019-11-15 3:00,41.254
282,2019-11-15 15:00,41.067
283,2019-11-16 3:00,41.067
284,2019-11-16 15:00,40.881
285,2019-11-17 3:00,40.881
286,2019-11-17 15:00,40.696
287,2019-11-18 3:00,40.509
288,2019-11-18 15:00,40.321
289,2019-11-19 3:00,40.321
290,2019-11-19 15:00,40.321
291,2019-11-20 3:00,40.509
292,2019-11-20 15:00,40.509
293,2019-11-21 3:00,40.696
294,2019-11-21 15:00,40.881
295,2019-11-22 3:00,41.254
296,2019-11-22 15:00,41.439
297,2019-11-23 3:00,41.254
298,2019-11-23 15:00,40.881
299,2019-11-24 3:00,40.509
300,2019-11-24 15:00,40.321
301,2019-11-25 3:00,40.134
302,2019-11-25 15:00,40.134
303,2019-11-26 3:00,40.509
304,2019-11-26 15:00,40.696
305,2019-11-27 3:00,40.696
306,2019-11-27 15:00,40.696
307,2019-11-28 3:00,41.067
308,2019-11-28 15:00,40.881
309,2019-11-29 3:00,40.881
310,2019-11-29 15:00,40.696
311,2019-11-30 3:00,40.696
312,2019-11-30 15:00,40.509
313,2019-12-01 3:00,40.509
314,2019-12-01 15:00,40.321
315,2019-12-02 3:00,40.134
316,2019-12-02 15:00,39.947
317,2019-12-03 3:00,39.947
318,2019-12-03 15:00,39.76
319,2019-12-04 3:00,39.76
320,2019-12-04 15:00,39.76
321,2019-12-05 3:00,39.573
322,2019-12-05 15:00,39.573
323,2019-12-06 3:00,39.573
324,2019-12-06 15:00,39.573
325,2019-12-07 3:00,39.573
326,2019-12-07 15:00,39.384
327,2019-12-08 3:00,39.196
328,2019-12-08 15:00,39.196
329,2019-12-09 3:00,39.007
330,2019-12-09 15:00,38.44
331,2019-12-10 3:00,38.629
332,2019-12-10 15:00,38.629
333,2019-12-11 3:00,38.629
334,2019-12-11 15:00,38.44
335,2019-12-12 3:00,38.25
336,2019-12-12 15:00,37.87
337,2019-12-13 3:00,37.679
338,2019-12-13 15:00,37.679
339,2019-12-14 3:00,37.488
340,2019-12-14 15:00,37.488
341,2019-12-15 3:00,37.297
342,2019-12-15 15:00,37.297
343,2019-12-16 3:00,37.297
344,2019-12-16 15:00,37.297
345,2019-12-17 3:00,37.297
346,2019-12-17 15:00,37.297
347,2019-12-18 3:00,37.107
348,2019-12-18 15:00,37.107
349,2019-12-19 3:00,37.107
350,2019-12-19 15:00,36.914
351,2019-12-20 3:00,36.914
352,2019-12-20 15:00,36.723
353,2019-12-21 3:00,36.723
354,2019-12-21 15:00,36.723
355,2019-12-22 3:00,36.723
356,2019-12-22 15:00,36.531
357,2019-12-23 3:00,36.531
358,2019-12-23 15:00,36.531
359,2019-12-24 3:00,36.531
360,2019-12-24 15:00,36.531
361,2019-12-25 3:00,36.531
362,2019-12-25 15:00,36.531
363,2019-12-26 3:00,36.531
364,2019-12-26 15:00,36.531
365,2019-12-27 3:00,36.338
366,2019-12-27 15:00,36.531
367,2019-12-28 3:00,36.531
368,2019-12-28 15:00,36.531
369,2019-12-29 3:00,36.723
370,2019-12-29 15:00,36.723
371,2019-12-30 3:00,37.297
372,2019-12-30 15:00,37.679
373,2019-12-31 3:00,37.87
374,2019-12-31 15:00,37.679
375,2020-01-01 3:00,37.679
376,2020-01-01 15:00,37.679
377,2020-01-02 3:00,37.488
378,2020-01-02 15:00,37.488
379,2020-01-03 3:00,37.488
380,2020-01-03 15:00,37.297
381,2020-01-04 3:00,37.297
382,2020-01-04 15:00,37.297
383,2020-01-05 3:00,37.297
384,2020-01-05 15:00,37.297
385,2020-01-06 3:00,37.297
386,2020-01-06 15:00,37.297
387,2020-01-07 3:00,37.297
388,2020-01-07 15:00,37.107
389,2020-01-08 3:00,37.107
390,2020-01-08 15:00,37.107
391,2020-01-09 3:00,36.914
392,2020-01-09 15:00,36.914
393,2020-01-10 3:00,36.914
394,2020-01-10 15:00,36.723
395,2020-01-11 3:00,36.723
396,2020-01-11 15:00,36.723
397,2020-01-12 3:00,36.723
398,2020-01-12 15:00,36.723
399,2020-01-13 3:00,36.723
400,2020-01-13 15:00,36.531
401,2020-01-14 3:00,36.531
