time,t.F
2019-06-27 3:00,59.68
2019-06-27 15:00,58.993
2019-06-28 3:00,59.68
2019-06-28 15:00,59.851
2019-06-29 3:00,60.368
2019-06-29 15:00,60.195
2019-06-30 3:00,60.883
2019-06-30 15:00,60.712
2019-07-01 3:00,61.054
2019-07-01 15:00,60.883
2019-07-02 3:00,61.398
2019-07-02 15:00,61.569
2019-07-03 3:00,61.912
2019-07-03 15:00,61.741
2019-07-04 3:00,62.598
2019-07-04 15:00,62.425
2019-07-05 3:00,63.282
2019-07-05 15:00,63.455
2019-07-06 3:00,64.139
2019-07-06 15:00,63.968
2019-07-07 3:00,63.797
2019-07-07 15:00,62.94
2019-07-08 3:00,63.111
2019-07-08 15:00,62.425
2019-07-09 3:00,62.598
2019-07-09 15:00,61.912
2019-07-10 3:00,62.425
2019-07-10 15:00,62.425
2019-07-11 3:00,63.282
2019-07-11 15:00,63.282
2019-07-12 3:00,62.94
2019-07-12 15:00,61.741
2019-07-13 3:00,61.912
2019-07-13 15:00,61.912
2019-07-14 3:00,62.598
2019-07-14 15:00,62.083
2019-07-15 3:00,62.425
2019-07-15 15:00,62.083
2019-07-16 3:00,62.425
2019-07-16 15:00,62.769
2019-07-17 3:00,63.626
2019-07-17 15:00,63.626
2019-07-18 3:00,64.31
2019-07-18 15:00,64.139
2019-07-19 3:00,64.481
2019-07-19 15:00,64.825
2019-07-20 3:00,65.68
2019-07-20 15:00,65.68
2019-07-21 3:00,65.68
2019-07-21 15:00,64.996
2019-07-22 3:00,65.338
2019-07-22 15:00,64.481
2019-07-23 3:00,64.31
2019-07-23 15:00,63.111
2019-07-24 3:00,63.282
2019-07-24 15:00,62.254
2019-07-25 3:00,62.425
2019-07-25 15:00,61.912
2019-07-26 3:00,62.769
2019-07-26 15:00,62.94
2019-07-27 3:00,63.455
2019-07-27 15:00,63.455
2019-07-28 3:00,63.797
2019-07-28 15:00,63.797
2019-07-29 3:00,64.652
2019-07-29 15:00,64.652
2019-07-30 3:00,64.996
2019-07-30 15:00,64.481
2019-07-31 3:00,64.31
2019-07-31 15:00,62.94
2019-08-01 3:00,63.111
2019-08-01 15:00,62.254
2019-08-02 3:00,62.769
2019-08-02 15:00,62.254
2019-08-03 3:00,62.94
2019-08-03 15:00,62.598
2019-08-04 3:00,63.282
2019-08-04 15:00,63.282
2019-08-05 3:00,63.968
2019-08-05 15:00,63.111
2019-08-06 3:00,63.797
2019-08-06 15:00,63.626
2019-08-07 3:00,64.31
2019-08-07 15:00,63.626
2019-08-08 3:00,64.139
2019-08-08 15:00,63.968
