id,pe,obstime,name,wfo,lat,lon,prod_id,1in,2in,4in,6in,8in,12in,20in,24in,40in,50in,60in,Date Range,Shallowest,ShallowestDepth
3SE,TB,2023-11-02 04:59:59,Spencer 1N,FSD,43.1652777777778,-95.1466666666667,KFSDRR3FSD,0,24,27,0,34,0,44,0,54,0,57,2023/10/30-2023/11/02,24,2
ABES2,TB,2023-11-02 13:00:00,Aberdeen 3E - WFO,ABR,45.4553,-98.4141,KABRRR3ABR,0,33,38,0,40,0,0,0,39,0,0,2023/10/30-2023/11/02,33,2
ALNM4,TB,2023-11-02 13:00:00,Albion 1NW /MAWN/,GRR,42.261944444444,-84.774166666667,KMSRLCOMSR,0,43,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,43,2
BELM4,TB,2023-11-02 13:00:00,Belding 4WNW - MSU Ag Mesonet,GRR,43.1125,-85.3122,KMSRLCOMSR,0,38,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,38,2
CENS2,TB,2023-11-02 13:00:00,Centerville,FSD,43.05,-96.9,KFSDRR3FSD,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
CERM4,TB,2023-11-02 13:00:00,Ceresco 6SW - Ag Mesonet,GRR,42.22,-85.1526,KMSRLCOMSR,0,37,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,37,2
CHTM4,TB,2023-11-02 13:00:00,Charlotte (MAWN),GRR,42.6509,-84.916111111111,KMSRLCOMSR,0,44,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,44,2
CSSM4,TB,2023-11-02 10:00:00,Cass City 1SSW - WWTP,DTX,43.586111111111,-83.180555555556,KDTXRR3DTX,0,35,41,0,42,0,46,0,0,0,50,2023/10/30-2023/11/02,35,2
DSAI2,TB,2023-10-31 21:00:00,Dixon Springs Ag Center,PAH,37.4333333333333,-88.6666666666667,KPAHRR3PAH,0,0,58,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,58,4
ENTM4,TB,2023-11-02 13:00:00,Lakeview - Entrican - MSU Ag Mesonet,GRR,43.3775,-85.18,KMSRLCOMSR,0,43,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,43,2
