leap	month	day	sday	dyear
0	1	1	1	0
0	1	2	2	0.002739726
0	1	3	3	0.005479452
0	1	4	4	0.008219178
0	1	5	5	0.010958904
0	1	6	6	0.01369863
0	1	7	7	0.016438356
0	1	8	8	0.019178082
0	1	9	9	0.021917808
0	1	10	10	0.024657534
0	1	11	11	0.02739726
0	1	12	12	0.030136986
0	1	13	13	0.032876712
0	1	14	14	0.035616438
0	1	15	15	0.038356164
0	1	16	16	0.04109589
0	1	17	17	0.043835616
0	1	18	18	0.046575342
0	1	19	19	0.049315068
0	1	20	20	0.052054795
0	1	21	21	0.054794521
0	1	22	22	0.057534247
0	1	23	23	0.060273973
0	1	24	24	0.063013699
0	1	25	25	0.065753425
0	1	26	26	0.068493151
0	1	27	27	0.071232877
0	1	28	28	0.073972603
0	1	29	29	0.076712329
0	1	30	30	0.079452055
0	1	31	31	0.082191781
0	2	1	32	0.084931507
0	2	2	33	0.087671233
0	2	3	34	0.090410959
0	2	4	35	0.093150685
0	2	5	36	0.095890411
0	2	6	37	0.098630137
0	2	7	38	0.101369863
0	2	8	39	0.104109589
0	2	9	40	0.106849315
0	2	10	41	0.109589041
0	2	11	42	0.112328767
0	2	12	43	0.115068493
0	2	13	44	0.117808219
0	2	14	45	0.120547945
0	2	15	46	0.123287671
0	2	16	47	0.126027397
0	2	17	48	0.128767123
0	2	18	49	0.131506849
0	2	19	50	0.134246575
0	2	20	51	0.136986301
0	2	21	52	0.139726027
0	2	22	53	0.142465753
0	2	23	54	0.145205479
0	2	24	55	0.147945205
0	2	25	56	0.150684932
0	2	26	57	0.153424658
0	2	27	58	0.156164384
0	2	28	59	0.15890411
0	3	1	60	0.161643836
0	3	2	61	0.164383562
0	3	3	62	0.167123288
0	3	4	63	0.169863014
0	3	5	64	0.17260274
0	3	6	65	0.175342466
0	3	7	66	0.178082192
0	3	8	67	0.180821918
0	3	9	68	0.183561644
0	3	10	69	0.18630137
0	3	11	70	0.189041096
0	3	12	71	0.191780822
0	3	13	72	0.194520548
0	3	14	73	0.197260274
0	3	15	74	0.2
0	3	16	75	0.202739726
0	3	17	76	0.205479452
0	3	18	77	0.208219178
0	3	19	78	0.210958904
0	3	20	79	0.21369863
0	3	21	80	0.216438356
0	3	22	81	0.219178082
0	3	23	82	0.221917808
0	3	24	83	0.224657534
0	3	25	84	0.22739726
0	3	26	85	0.230136986
0	3	27	86	0.232876712
0	3	28	87	0.235616438
0	3	29	88	0.238356164
0	3	30	89	0.24109589
0	3	31	90	0.243835616
0	4	1	91	0.246575342
0	4	2	92	0.249315068
0	4	3	93	0.252054795
0	4	4	94	0.254794521
0	4	5	95	0.257534247
0	4	6	96	0.260273973
0	4	7	97	0.263013699
0	4	8	98	0.265753425
0	4	9	99	0.268493151
0	4	10	100	0.271232877
0	4	11	101	0.273972603
0	4	12	102	0.276712329
0	4	13	103	0.279452055
0	4	14	104	0.282191781
0	4	15	105	0.284931507
0	4	16	106	0.287671233
0	4	17	107	0.290410959
0	4	18	108	0.293150685
0	4	19	109	0.295890411
0	4	20	110	0.298630137
0	4	21	111	0.301369863
0	4	22	112	0.304109589
0	4	23	113	0.306849315
0	4	24	114	0.309589041
0	4	25	115	0.312328767
0	4	26	116	0.315068493
0	4	27	117	0.317808219
0	4	28	118	0.320547945
0	4	29	119	0.323287671
0	4	30	120	0.326027397
0	5	1	121	0.328767123
0	5	2	122	0.331506849
0	5	3	123	0.334246575
0	5	4	124	0.336986301
0	5	5	125	0.339726027
0	5	6	126	0.342465753
0	5	7	127	0.345205479
0	5	8	128	0.347945205
0	5	9	129	0.350684932
0	5	10	130	0.353424658
0	5	11	131	0.356164384
0	5	12	132	0.35890411
0	5	13	133	0.361643836
0	5	14	134	0.364383562
0	5	15	135	0.367123288
0	5	16	136	0.369863014
0	5	17	137	0.37260274
0	5	18	138	0.375342466
0	5	19	139	0.378082192
0	5	20	140	0.380821918
0	5	21	141	0.383561644
0	5	22	142	0.38630137
0	5	23	143	0.389041096
0	5	24	144	0.391780822
0	5	25	145	0.394520548
0	5	26	146	0.397260274
0	5	27	147	0.4
0	5	28	148	0.402739726
0	5	29	149	0.405479452
0	5	30	150	0.408219178
0	5	31	151	0.410958904
0	6	1	152	0.41369863
0	6	2	153	0.416438356
0	6	3	154	0.419178082
0	6	4	155	0.421917808
0	6	5	156	0.424657534
0	6	6	157	0.42739726
0	6	7	158	0.430136986
0	6	8	159	0.432876712
0	6	9	160	0.435616438
0	6	10	161	0.438356164
0	6	11	162	0.44109589
0	6	12	163	0.443835616
0	6	13	164	0.446575342
0	6	14	165	0.449315068
0	6	15	166	0.452054795
0	6	16	167	0.454794521
0	6	17	168	0.457534247
0	6	18	169	0.460273973
0	6	19	170	0.463013699
0	6	20	171	0.465753425
0	6	21	172	0.468493151
0	6	22	173	0.471232877
0	6	23	174	0.473972603
0	6	24	175	0.476712329
0	6	25	176	0.479452055
0	6	26	177	0.482191781
0	6	27	178	0.484931507
0	6	28	179	0.487671233
0	6	29	180	0.490410959
