"station","lat","lon","elev","t2022","t1990","t2010","dt1990","dt2010","dt1990.rf","dt2010.rf","wts"
"USC00200146",43.3869,-84.6481,221.9,9.09715514410036,8.34256865216805,8.3052310939655,-0.754586491932308,-0.791924050134858,-1.02009226581215,-0.801071060166432,1
"USC00200230",42.2981,-83.6639,247.8,10.1191307323751,9.68563434495484,9.87586396353504,-0.433496387420247,-0.243266768840044,-1.1508974914832,-0.864390933256605,1
"USC00200552",42.3678,-85.2633,281.3,10.4177229109103,8.96465258878936,9.32921465399613,-1.45307032212093,-1.08850825691416,-1.18688782706563,-0.79433027648139,1
"USC00200710",42.1244,-86.4267,190.5,11.068294446594,9.5079168714419,9.54712163425301,-1.56037757515209,-1.52117281234099,-1.41555684357186,-1.10844097483384,1
"USC00200779",43.7072,-85.4819,273.7,7.93546310133305,7.19578526018464,7.61524366745743,-0.739677841148412,-0.320219433875622,-1.09538117210339,-0.710198906723797,25
"USC00200864",42.3839,-85.9625,224.3,9.84406127347132,8.59043383203526,9.02687494272352,-1.25362744143606,-0.817186330747797,-1.23764304976993,-0.85527319401384,1
"USC00200925",45.1672,-84.9139,221.9,8.84524298425736,6.99453119542444,7.80725345109406,-1.85071178883291,-1.0379895331633,-1.01028797511032,-0.646164156637509,1
"USC00201299",43.4839,-83.3919,210.3,9.16823298655346,8.36054892732595,8.61629613944842,-0.807684059227512,-0.55193684710504,-1.16288209522853,-0.844933958133608,1
"USC00201361",43.5861,-83.1805,212.8,8.52884682149304,7.85465776243944,8.3205802180546,-0.674189059053598,-0.208266603438437,-1.15324030583597,-0.796841269969529,1
"USC00201468",45.3172,-85.2672,180.7,8.15547570157426,7.03781428106426,7.50449391369867,-1.11766142051,-0.650981787875592,-1.01070742163572,-0.626078411207735,1
"USC00201492",45.6522,-84.4725,177.4,7.18730321697467,6.31249639646472,6.37630621419385,-0.874806820509959,-0.810997002780822,-0.955574362511437,-0.629770115253016,1
"USC00201896",45.6414,-85.0142,219.8,7.18348035454148,6.75604402316179,6.81924169879362,-0.427436331379688,-0.364238655747857,-0.912221798601883,-0.577780740612821,1
"USC00202015",42.3192,-83.2383,184.4,10.8093770371703,9.77508294659542,9.92329172864087,-1.03429409057492,-0.886085308529474,-1.31456189035352,-0.933050683587214,1
"USC00202381",45.1517,-85.1325,178.9,7.42797517899348,6.91384561478692,7.65118566776656,-0.514129564206558,0.223210488773078,-0.980819166517891,-0.612472389081788,1
"USC00202423",44.2839,-83.5036,178.6,8.20919576629723,6.99748589604494,7.58857882368811,-1.21170987025229,-0.62061694260912,-1.18217958308482,-0.796454461389898,1
"USC00202437",42.5181,-84.6522,265.2,9.7444395769861,8.76025028294284,9.06939293729246,-0.98418929404326,-0.67504663969364,-1.10901657876708,-0.812367143348151,1
