"station","lat","lon","elev","depth","t.rf","t.best","t","dt1990.rf","dt2010.rf","predt1990","predt2010"
"GRR1",44.3602778,-85.6794444,502,0,7.19926336369932,7.19926336369932,NA,-1.06175336391174,-0.643182049690775,6.13750999978758,6.55608131400855
"GRR1",44.3602778,-85.6794444,502,10,8.32402507700018,8.24609314907416,6.80870315775681,-1.06175336391174,-0.643182049690775,7.18433978516242,7.60291109938339
"GRR1",44.3602778,-85.6794444,502,50,8.10067639693448,7.99513903473833,7.2233158217319,-1.06175336391174,-0.643182049690775,6.93338567082659,7.35195698504755
"GRR2",44.3701389,-85.7571111,286,0,8.15894331296937,8.15894331296937,NA,-1.16916545410765,-0.734835485052275,6.98977785886173,7.4241078279171
"GRR2",44.3701389,-85.7571111,286,10,10.0978096627139,10.0978096627139,NA,-1.16916545410765,-0.734835485052275,8.92864420860628,9.36297417766165
"GRR2",44.3701389,-85.7571111,286,50,9.35808579143414,9.338263769927,9.21251407840589,-1.16916545410765,-0.734835485052275,8.16909831581935,8.60342828487473
"GRR5",43.68175,-85.5799722,401,0,7.75791757848814,7.75791757848814,NA,-1.0441900475007,-0.652142392907397,6.71372753098744,7.10577518558074
"GRR5",43.68175,-85.5799722,401,10,9.162952738593,9.12693393525899,9.00071903725206,-1.0441900475007,-0.652142392907397,8.0827438877583,8.47479154235159
"GRR5",43.68175,-85.5799722,401,50,9.02503344953298,9.02356452962202,9.02356452962202,-1.0441900475007,-0.652142392907397,7.97937448212133,8.37142213671463
"GRR6",43.631,-85.7725278,285,0,8.62141494507162,8.62141494507162,NA,-1.15403923721561,-0.753745445696928,7.46737570785601,7.86766949937469
"GRR6",43.631,-85.7725278,285,10,10.2469337227513,10.2469337227513,NA,-1.15403923721561,-0.753745445696928,9.09289448553568,9.49318827705436
"GRR6",43.631,-85.7725278,285,50,9.45029987689779,9.34578524739545,9.23190104932823,-1.15403923721561,-0.753745445696928,8.19174601017984,8.59203980169852
"aetna",43.5544,-85.9605,285,0,9.06041422821364,9.03279162430795,8.88654251581167,-1.16638736649775,-0.777240353559594,7.8664042578102,8.25555127074835
"aetna",43.5544,-85.9605,285,10,10.9616040125667,10.9938381506588,11.8677648040033,-1.16638736649775,-0.777240353559594,9.82745078416106,10.2165977970992
"aetna",43.5544,-85.9605,285,50,10.4948336903949,10.4330809208322,10.3523125437982,-1.16638736649775,-0.777240353559594,9.26669355433448,9.65584056727264
"allegan",42.4866,-85.8122,212,0,10.1012916749675,10.112237148757,10.069325997249,-1.26139826130529,-0.860689530774008,8.8508388874517,9.25154761798298
"allegan",42.4866,-85.8122,212,10,12.7828280897987,12.7846661793306,13.6887169811321,-1.26139826130529,-0.860689530774008,11.5232679180253,11.9239766485566
"allegan",42.4866,-85.8122,212,50,12.2904402299183,12.2904402299183,NA,-1.26139826130529,-0.860689530774008,11.0290419686131,11.4297506991443
"alpine",43.0733,-85.7228,281,0,9.4948589234296,9.53679239003672,9.52605244996549,-1.21987895967412,-0.814065092932376,8.31691343036261,8.72272729710435
"alpine",43.0733,-85.7228,281,10,11.4069174615634,11.3882817083628,11.3713940648723,-1.21987895967412,-0.814065092932376,10.1684027486887,10.5742166154305
"alpine",43.0733,-85.7228,281,50,11.2630013944074,11.301309812691,11.288198757764,-1.21987895967412,-0.814065092932376,10.0814308530169,10.4872447197587
"arlene",44.3966,-85.2935,403,0,7.63484939720104,7.65245815354386,7.629615648593,-0.969409446173251,-0.598100036831635,6.68304870737061,7.05435811671222
"arlene",44.3966,-85.2935,403,10,10.2073201354477,10.4609852083599,10.4183609958506,-0.969409446173251,-0.598100036831635,9.49157576218662,9.86288517152823
"arlene",44.3966,-85.2935,403,50,9.6557133090391,9.6557133090391,NA,-0.969409446173251,-0.598100036831635,8.68630386286585,9.05761327220747
"belding",43.1125,-85.3122,257,0,9.18858942880846,9.00462922831277,8.98525377229081,-1.10677612538728,-0.788316601049013,7.89785310292549,8.21631262726376
"belding",43.1125,-85.3122,257,10,11.2708288627102,11.4929850677868,11.4732853223594,-1.10677612538728,-0.788316601049013,10.3862089423995,10.7046684667378
"belding",43.1125,-85.3122,257,50,10.8647693745637,10.8647693745637,NA,-1.10677612538728,-0.788316601049013,9.7579932491764,10.0764527735147
"benona",43.6304,-86.4931,256,0,8.79987227099476,8.76534334198217,8.64265927977839,-1.11217541889391,-0.841005388964595,7.65316792308826,7.92433795301758
"benona",43.6304,-86.4931,256,10,11.1857714201222,11.1884648296455,11.1344910591472,-1.11217541889391,-0.841005388964595,10.0762894107516,10.3474594406809
"benona",43.6304,-86.4931,256,50,10.9525694321722,10.9525694321722,NA,-1.11217541889391,-0.841005388964595,9.84039401327827,10.1115640432076
"benzonia",44.5593,-86.1172,253,0,8.31980334170113,8.1874458033867,8.1492439862543,-1.14604342099198,-0.770584195553624,7.04140238239471,7.41686160783307
"benzonia",44.5593,-86.1172,253,10,11.0291014957905,10.9953706434145,10.9552233676976,-1.14604342099198,-0.770584195553624,9.84932722242251,10.2247864478609
"benzonia",44.5593,-86.1172,253,50,10.7396250096733,10.7396250096733,NA,-1.14604342099198,-0.770584195553624,9.59358158868131,9.96904081411967
"berriensprings",41.9352,-86.3797,228,0,10.2977134556403,10.3275791465574,10.1740873299928,-1.3018365760119,-0.998411455901577,9.02574257054555,9.32916769065587
"berriensprings",41.9352,-86.3797,228,10,12.3675371703522,12.3035945954026,11.8064882697947,-1.3018365760119,-0.998411455901577,11.0017580193907,11.3051831395011
