"station","lat","lon","elev","t0112","p0112","depth","forest","t.2022","t.2010","t.1990","d2010","d1990","d1990.rf","d2010.rf","d1990.best","d2010.best","t.50","t50.1990","t50.2010"
"USC00200146",43.3869,-84.6481,221.9,8.33125019073486,839.400024414062,0,"open",8.7,8.3,8.3,-0.431075859357591,-0.394094027238291,-0.6,-0.4,-0.4,-0.4,10.7,10.3,10.3
"USC00200230",42.2981,-83.6639,247.8,9.34833335876465,907.150024414062,0,"open",10.2,9.9,9.7,-0.331485246356522,-0.521838405738619,-0.8,-0.5,-0.5,-0.3,11.8,11.3,11.5
"USC00200552",42.3678,-85.2633,281.3,9.27333354949951,922.119995117188,0,"open",9.8,9.3,9,-0.495607172117026,-0.8580453358101,-0.8,-0.5,-0.9,-0.5,11.5,10.7,11
"USC00200710",42.1244,-86.4267,190.5,9.55749988555908,925.400024414062,0,"open",10.5,9.5,9.5,-0.926361636625952,-0.964295735025503,-1.1,-0.7,-1,-0.9,12.3,11.3,11.3
"USC00200779",43.7072,-85.4819,273.7,7.52500009536743,889.47998046875,0,"open",7.6,7.6,7.2,0.0201875650864949,-0.39878697476942,-0.6,-0.3,-0.4,0,9.9,9.5,9.9
"USC00200864",42.3839,-85.9625,224.3,9.15124988555908,1006.30004882812,0,"open",9.5,9,8.6,-0.473548702382185,-0.909917837095055,-0.9,-0.5,-0.9,-0.5,11.8,10.9,11.3
"USC00200925",45.1672,-84.9139,221.9,7.03833341598511,854.839965820312,0,"open",8.4,7.8,7,-0.629586714933055,-1.44120672105253,-0.7,-0.4,-1.4,-0.6,9.6,8.2,9
"USC00201299",43.4839,-83.3919,210.3,8.26083374023438,834,0,"open",8.6,8.6,8.4,-0.0253661176826387,-0.281628984336065,-0.6,-0.3,-0.3,0,10.5,10.2,10.5
"USC00201361",43.5861,-83.1805,212.8,8.09000015258789,825.200012207031,0,"open",8,8.3,7.9,0.345872941367946,-0.0976531780439611,-0.6,-0.3,-0.1,0.3,10.3,10.2,10.7
"USC00201468",45.3172,-85.2672,180.7,7.27833366394043,806.519958496094,0,"open",7.8,7.5,7.1,-0.251028671763151,-0.693241396509498,-0.7,-0.3,-0.7,-0.3,9.5,8.8,9.2
"USC00201492",45.6522,-84.4725,177.4,6.36999988555908,783.670043945312,0,"open",6.8,6.4,6.3,-0.414219569968181,-0.477148699764459,-0.7,-0.3,-0.5,-0.4,8.7,8.2,8.3
"USC00201896",45.6414,-85.0142,219.8,6.59791660308838,760.2099609375,0,"open",6.7,6.8,6.8,0.0694226983315307,0.0150229072077854,-0.6,-0.2,0,0.1,8.8,8.8,8.8
"USC00202015",42.3192,-83.2383,184.4,10.0283336639404,850.539978027344,0,"open",10.2,9.9,9.8,-0.255805457694386,-0.40371135045919,-1,-0.6,-0.4,-0.3,12,11.6,11.7
"USC00202381",45.1517,-85.1325,178.9,7.33333349227905,804.640014648438,0,"open",7.9,7.7,6.9,-0.243242952860366,-0.981154688795257,-0.8,-0.3,-1,-0.2,9.5,8.5,9.2
"USC00202423",44.2839,-83.5036,178.6,7.52083301544189,801.669982910156,0,"open",7.7,7.6,7,-0.112386530968124,-0.699379779625616,-0.8,-0.3,-0.7,-0.1,9.8,9.1,9.7
"USC00202437",42.5181,-84.6522,265.2,8.662917137146,874.700012207031,0,"open",9.4,9,8.7,-0.376877278236554,-0.649886515647873,-0.8,-0.5,-0.6,-0.4,11.1,10.4,10.7
"USC00202984",44.6483,-86.2097,289,7.90625,875.760009765625,0,"open",8.4,8,7.3,-0.357013495033717,-1.09197346255229,-0.7,-0.4,-1.1,-0.4,10,8.9,9.7
"USC00203096",45.0333,-84.7114,401.7,5.99458312988281,896.130004882812,0,"open",5.8,6.5,6.4,0.646505741902987,0.539755439862738,-0.5,-0.2,0.5,0.6,8.2,8.8,8.9
"USC00203391",44.6547,-84.6997,346.6,5.99541664123535,849.710021972656,0,"open",6.5,5.9,6,-0.622558839772761,-0.557123659993239,-0.6,-0.3,-0.6,-0.6,8.4,7.9,7.8
"USC00203429",43.2025,-85.2422,270.7,8.36916637420654,890.130004882812,0,"open",8.7,8.5,8.3,-0.192102963760851,-0.358465591819499,-0.6,-0.4,-0.4,-0.2,10.5,10.2,10.3
"USC00203504",42.3942,-85.385,281.9,9.40999984741211,974.260009765625,0,"open",10.5,10.1,9.3,-0.393014651667659,-1.17494581440598,-0.9,-0.5,-1.2,-0.4,11.8,10.6,11.4
"USC00203529",44.4633,-83.7217,221.9,6.80041646957397,743,0,"open",7.4,7.2,6.8,-0.260191806829291,-0.666845053235322,-0.7,-0.3,-0.7,-0.3,9.2,8.5,8.9
"USC00203632",43.675,-86.4228,236.2,8.1470832824707,938.809997558594,0,"open",8.5,8.1,8.2,-0.455523391845896,-0.334808975175656,-0.6,-0.4,-0.3,-0.5,10.5,10.2,10.1
"USC00203661",42.6419,-85.2881,250.2,8.90208339691162,936.299987792969,0,"open",9,8.9,8.7,-0.173418851122399,-0.332617504625381,-0.8,-0.5,-0.3,-0.2,11,10.7,10.8
"USC00203932",44.3119,-84.8922,345.9,6.36083316802979,781.460021972656,0,"open",6.9,6.3,6.2,-0.597029747199973,-0.679688126689244,-0.7,-0.4,-0.7,-0.6,8.6,7.9,8
"USC00204320",43.2036,-85.7775,247.8,8.54541683197021,934.299987792969,0,"open",8.4,8.3,8.1,-0.0356336799849721,-0.252767516558121,-0.7,-0.4,-0.3,0,10.7,10.5,10.7
"USC00204502",44.3089,-85.205,374.9,6.35458326339722,825.52001953125,0,"open",6.8,6.3,6.1,-0.457135549720572,-0.692060755905304,-0.7,-0.4,-0.7,-0.5,8.5,7.8,8
"USC00204655",43.0608,-83.3075,249.9,8.52916622161865,817.130004882812,0,"open",9.1,8.5,8.4,-0.51810906512778,-0.652214357804418,-0.7,-0.4,-0.7,-0.5,10.7,10,10.2
"USC00204967",44.42,-84.0233,276.8,6.63958311080933,784.940002441406,0,"open",6.6,6.4,6,-0.214941856474268,-0.588562233757369,-0.7,-0.3,-0.6,-0.2,8.7,8.1,8.5
"USC00205065",44.2114,-86.2939,204.2,7.89249992370605,868.549987792969,0,"open",8.8,8.4,8.2,-0.407257852346362,-0.546183677536265,-0.8,-0.4,-0.5,-0.4,10.3,9.8,9.9
"USC00205097",44.855,-85.8353,243.5,7.62041664123535,852.580017089844,0,"open",8,8,7.6,-0.038165702900617,-0.40227547840547,-0.7,-0.3,-0.4,0,10.1,9.7,10.1
"USC00205567",43.4611,-86.4178,198.1,8.45708274841309,842.220031738281,0,"open",8.8,8.2,8,-0.539477946178916,-0.726091386471406,-0.8,-0.5,-0.7,-0.5,10.6,9.9,10.1
"USC00205662",43.5858,-84.7694,242.3,8.06458377838135,814.760009765625,0,"open",9.1,8.5,8.1,-0.628180989274822,-0.932173832010399,-0.7,-0.4,-0.9,-0.6,10.6,9.7,10
"USC00206184",45.4108,-84.2233,227.1,6.72208309173584,753.869995117188,0,"open",7.2,7.5,7,0.330258565749515,-0.225901575317151,-0.6,-0.2,-0.2,0.3,9,8.8,9.3
"USC00206300",43.0161,-84.18,222.5,8.59249973297119,826.260009765625,0,"open",9.1,8.5,8.4,-0.52977837888993,-0.626820227283718,-0.7,-0.5,-0.6,-0.5,10.8,10.2,10.3
"USC00206507",45.3725,-84.9767,182.6,6.94291687011719,818.010009765625,0,"open",7.2,7.1,7.1,-0.0442780116487498,-0.0605756696365622,-0.7,-0.3,-0.1,0,9,8.9,8.9
"USC00206658",42.6389,-83.2556,271.3,9.07208347320557,815,0,"open",9.9,9.5,9.2,-0.355968755077022,-0.705368766048631,-0.8,-0.4,-0.7,-0.4,11.2,10.5,10.9
