"station","lat","lon","elev","t2010.rf","t1990.rf","dt.open.rf","dt.forest.rf","t1990","t2010","dt.open","dt.forest","soilopen1990","soilopen2010","soilforest1990","soilforest2010"
"USC00200146",43.3869,-84.6481,221.9,8.36115396372662,8.18803446366889,1.83250723033889,1.06042639440408,8.34286248702913,8.30519450862496,NA,NA,10.175369717368,10.1377017389639,9.40328888143321,9.36562090302904
"USC00200230",42.2981,-83.6639,247.8,9.17052778042725,8.90273709871014,1.84866579725706,1.16985392362755,9.6858469681429,9.87584145040954,NA,NA,11.5345127654,11.7245072476666,10.8557008917705,11.0456953740371
"USC00200552",42.3678,-85.2633,281.3,9.06499930164071,8.58171523634884,1.68518457707436,0.989538012379834,8.96465633604161,9.32879623319634,NA,NA,10.649840913116,11.0139808102707,9.95419434842144,10.3183342455762
"USC00200710",42.1244,-86.4267,190.5,9.13431831304207,8.87955575827321,2.1289466597001,1.33762691162325,9.50830724155069,9.54662120300058,NA,NA,11.6372539012508,11.6755678627007,10.8459341531739,10.8842481146238
"USC00200779",43.7072,-85.4819,273.7,8.03530155153882,7.76270533304951,1.95921739432475,1.04709210445271,7.1960606710539,7.61589423864443,NA,NA,9.15527806537866,9.57511163296919,8.24315277550661,8.66298634309714
"USC00200864",42.3839,-85.9625,224.3,9.01815102120749,8.60475939119509,2.0158844444684,1.30283683726951,8.59145836876934,9.02682457803724,NA,NA,10.6073428132377,11.0427090225056,9.89429520603886,10.3296614153068
"USC00200925",45.1672,-84.9139,221.9,7.28000305250764,6.78966260104082,2.1402971390897,1.52399136781539,6.99483641290468,7.80726899943705,NA,NA,9.13513355199438,9.94756613852675,8.51882778072008,9.33126036725245
"USC00201299",43.4839,-83.3919,210.3,8.60701356280702,8.29988522446518,1.89426938031815,1.14148316134485,8.36052649933808,8.6157027533452,NA,NA,10.2547958796562,10.5099721336633,9.50200966068293,9.75718591469005
"USC00201361",43.5861,-83.1805,212.8,8.82811033951298,8.51557250670582,1.9073045100526,1.1464574210638,7.840460083386,8.3169187096753,NA,NA,9.7477645934386,10.2242232197279,8.9869175044498,9.46337613073909
"USC00201468",45.3172,-85.2672,180.7,7.39043219284787,6.97216272016683,2.13672575718013,1.52157693206961,7.04715118277121,7.51190707840614,NA,NA,9.18387693995134,9.64863283558627,8.56872811484082,9.03348401047575
"USC00201492",45.6522,-84.4725,177.4,6.9215377639507,6.61909730367251,2.07118619237305,1.43924877386874,6.31235367724866,6.37612136423026,NA,NA,8.38353986962171,8.44730755660331,7.7516024511174,7.815370138099
"USC00201896",45.6414,-85.0142,219.8,7.04189287939362,6.70327459241038,2.17734621166838,1.60054100310961,6.75211757808024,6.81949008618033,NA,NA,8.92946378974862,8.9968362978487,8.35265858118985,8.42003108928993
"USC00202015",42.3192,-83.2383,184.4,9.39080961280213,9.02093334555025,1.85466009801257,1.13264638095674,9.77485675735048,9.92316971936555,NA,NA,11.629516855363,11.7778298173781,10.9075031383072,11.0558161003223
"USC00202381",45.1517,-85.1325,178.9,7.34496305876539,6.90220274599938,2.16258519702279,1.51401167807727,6.9134950249009,7.65114008411051,NA,NA,9.07608022192368,9.81372528113329,8.42750670297817,9.16515176218778
"USC00202423",44.2839,-83.5036,178.6,7.50322430959659,7.09062199272912,2.08692056308096,1.20380147837098,6.99835785803029,7.58874828277651,NA,NA,9.08527842111125,9.67566884585747,8.20215933640127,8.79254976114749
"USC00202437",42.5181,-84.6522,265.2,9.01360610286421,8.64870296312051,1.67435352891587,1.01210416389379,8.76435559646412,9.06293631118305,NA,NA,10.43870912538,10.7372898400989,9.77645976035791,10.0750404750768
"USC00202984",44.6483,-86.2097,289,7.69094933602112,7.2050290633858,2.29657584324584,1.44175733503745,7.30352328018909,8.04639611097715,NA,NA,9.60009912343493,10.342971954223,8.74528061522654,9.48815344601459
"USC00203096",45.0333,-84.7114,401.7,6.55255622353324,6.27073672223279,2.2126327693069,1.51718705090434,6.37490720388523,6.48131819241666,NA,NA,8.58753997319214,8.69395096172356,7.89209425478957,7.99850524332099
"USC00203391",44.6547,-84.6997,346.6,6.53975862561273,6.2739618119129,2.23807349892812,1.43250424444754,5.95384276381741,5.88855701819694,NA,NA,8.19191626274552,8.12663051712506,7.38634700826495,7.32106126264448
"USC00203429",43.2025,-85.2422,270.7,8.55176368674658,8.33544827939972,1.67927303442617,1.04611913538054,8.34298201820682,8.50933193392352,NA,NA,10.022255052633,10.1886049683497,9.38910115358736,9.55545106930406
"USC00203504",42.3942,-85.385,281.9,9.10755832374412,8.59903510839413,1.77835068749184,1.02157030707327,9.33790224249184,10.1175082170994,NA,NA,11.1162529299837,11.8958589045912,10.3594725495651,11.1390785241726
"USC00203529",44.4633,-83.7217,221.9,7.37194623216956,6.98741623611034,2.17329512812412,1.33481164392174,6.76960172759286,7.17618507384791,NA,NA,8.94289685571698,9.34948020197203,8.1044133715146,8.51099671776965
"USC00203632",43.675,-86.4228,236.2,8.25529975511149,8.13771023970762,2.15573702163564,1.28232007946115,8.19728167976691,8.07630716536019,NA,NA,10.3530187014025,10.2320441869958,9.47960175922805,9.35862724482134
"USC00203661",42.6419,-85.2881,250.2,8.95849777218681,8.60599666110181,1.84902297540008,1.12771953458334,8.69315841836127,8.85239008271062,NA,NA,10.5421813937614,10.7014130581107,9.82087795294461,9.98010961729396
"USC00203932",44.3119,-84.8922,345.9,6.59041693685052,6.30158844221044,2.15050279651383,1.24091277466672,6.22719116347438,6.31114826033192,NA,NA,8.37769395998821,8.46165105684575,7.4681039381411,7.55206103499864
"USC00204320",43.2036,-85.7775,247.8,8.5785312164645,8.31409470604405,1.89661715910309,1.16666035924888,8.14244411181996,8.34619363527097,NA,NA,10.039061270923,10.2428107943741,9.30910447106885,9.51285399451985
"USC00204502",44.3089,-85.205,374.9,6.69443899540009,6.40964008303565,2.18098386936357,1.26079190085531,6.10059577467503,6.33585021800416,NA,NA,8.28157964403859,8.51683408736773,7.36138767553034,7.59664211885948
"USC00204655",43.0608,-83.3075,249.9,8.96928950462208,8.65670335584218,1.82598866942327,1.17007231402889,8.4026956492929,8.53730173387673,NA,NA,10.2286843187162,10.3632904033,9.57276796332179,9.70737404790562
"USC00204967",44.42,-84.0233,276.8,6.90461942696325,6.56698868560483,2.05694671290553,1.23729432500663,6.02413324788935,6.39649950451423,NA,NA,8.08107996079488,8.45344621741976,7.26142757289598,7.63379382952087
"USC00205065",44.2114,-86.2939,204.2,7.95245527116877,7.57677589377489,2.32470963772234,1.43454759470304,8.22876565666571,8.36697237859876,NA,NA,10.5534752943881,10.6916820163211,9.66331325136875,9.8015199733018
"USC00205097",44.855,-85.8353,243.5,7.75026347865859,7.26276474658519,2.15118287597066,1.35268973644038,7.6037354717715,7.96738012233483,NA,NA,9.75491834774217,10.1185629983055,8.95642520821188,9.32006985877521
"USC00205567",43.4611,-86.4178,198.1,8.45856856623959,8.23756415999343,2.12063073021932,1.32894366091135,8.03769685141707,8.2265400304877,NA,NA,10.1583275816364,10.347170760707,9.36664051232842,9.55548369139905
"USC00205662",43.5858,-84.7694,242.3,8.38628702637509,8.11952065248103,1.85084908865033,1.10353525359276,8.14646847476631,8.44751530684353,NA,NA,9.99731756341664,10.2983643954939,9.25000372835907,9.5510505604363
